date,temperature
2023-06-10,27.5
2023-06-11,15.3
2023-06-12,15.4
2023-06-13,15.6
2023-06-14,12.2
2023-06-15,26.8
2023-06-16,28.4
2023-06-17,17.4
2023-06-18,13.3
2023-06-19,20.9
2023-06-20,11.1
2023-06-21,20.9
2023-06-22,27.1
2023-06-23,17.2
2023-06-24,18.8
2023-06-25,24.8
2023-06-26,14.1
2023-06-27,26.2
2023-06-28,15.0
2023-06-29,26.7
2023-06-30,13.6
2023-07-01,24.7
2023-07-02,26.4
2023-07-03,22.9
2023-07-04,11.5
2023-07-05,24.7
2023-07-06,24.4
2023-07-07,14.7
2023-07-08,21.3
2023-07-09,16.3
2023-07-10,18.3
2023-07-11,19.2
2023-07-12,15.4
2023-07-13,19.9
2023-07-14,15.6
2023-07-15,29.1
2023-07-16,22.8
2023-07-17,11.1
2023-07-18,23.0
2023-07-19,20.0
2023-07-20,23.8
2023-07-21,22.8
2023-07-22,17.4
2023-07-23,19.4
2023-07-24,16.3
2023-07-25,10.6
2023-07-26,28.0
2023-07-27,20.6
2023-07-28,23.6
2023-07-29,19.8
2023-07-30,11.9
2023-07-31,29.7
2023-08-01,12.5
2023-08-02,18.8
2023-08-03,23.2
2023-08-04,10.8
2023-08-05,11.3
2023-08-06,20.6
2023-08-07,21.9
2023-08-08,27.1
2023-08-09,11.5
2023-08-10,22.2
2023-08-11,21.4
2023-08-12,26.8
2023-08-13,18.8
2023-08-14,14.4
2023-08-15,14.3
2023-08-16,11.3
2023-08-17,26.6
2023-08-18,24.9
2023-08-19,19.9
2023-08-20,25.3
2023-08-21,24.5
2023-08-22,21.4
2023-08-23,13.4
2023-08-24,28.6
2023-08-25,19.7
2023-08-26,13.3
2023-08-27,17.5
2023-08-28,17.7
2023-08-29,23.4
2023-08-30,20.1
2023-08-31,22.4
2023-09-01,24.2
2023-09-02,27.4
2023-09-03,19.7
2023-09-04,29.0
2023-09-05,28.2
2023-09-06,13.2
2023-09-07,15.8
2023-09-08,29.9
2023-09-09,29.4
2023-09-10,24.4
2023-09-11,17.4
2023-09-12,11.3
2023-09-13,25.5
2023-09-14,11.3
2023-09-15,23.9
2023-09-16,10.6
2023-09-17,15.3
2023-09-18,23.9
2023-09-19,18.3
2023-09-20,18.8
2023-09-21,10.2
2023-09-22,21.4
2023-09-23,23.3
2023-09-24,29.0
2023-09-25,20.9
2023-09-26,24.9
2023-09-27,12.5
2023-09-28,11.9
2023-09-29,10.6
2023-09-30,16.9
2023-10-01,15.5
2023-10-02,14.5
2023-10-03,30.0
2023-10-04,28.1
2023-10-05,18.3
2023-10-06,14.3
2023-10-07,15.1
2023-10-08,29.0
2023-10-09,19.5
2023-10-10,12.4
2023-10-11,18.2
2023-10-12,15.5
2023-10-13,20.9
2023-10-14,12.6
2023-10-15,11.9
2023-10-16,14.3
2023-10-17,21.0
2023-10-18,15.9
2023-10-19,11.9
2023-10-20,26.0
2023-10-21,23.2
2023-10-22,20.7
2023-10-23,14.3
2023-10-24,17.9
2023-10-25,25.1
2023-10-26,18.3
2023-10-27,12.5
2023-10-28,25.8
