date,temperature
2023-06-10,10.2
2023-06-11,28.9
2023-06-12,7.6
2023-06-13,-3.1
2023-06-14,19.0
2023-06-15,18.3
2023-06-16,19.2
2023-06-17,-1.5
2023-06-18,20.8
2023-06-19,3.7
2023-06-20,-8.0
2023-06-21,7.1
2023-06-22,18.6
2023-06-23,-1.3
2023-06-24,8.0
2023-06-25,28.9
2023-06-26,7.2
2023-06-27,-9.9
2023-06-28,9.0
2023-06-29,-7.7
2023-06-30,20.6
2023-07-01,6.2
2023-07-02,29.3
2023-07-03,11.3
2023-07-04,24.3
2023-07-05,4.6
2023-07-06,0.5
2023-07-07,28.0
2023-07-08,23.6
2023-07-09,-1.3
2023-07-10,18.2
2023-07-11,-9.8
2023-07-12,8.5
2023-07-13,10.3
2023-07-14,5.9
2023-07-15,-2.1
2023-07-16,3.2
2023-07-17,12.8
2023-07-18,14.8
2023-07-19,13.3
2023-07-20,9.3
2023-07-21,21.3
2023-07-22,-9.2
2023-07-23,-3.8
2023-07-24,13.0
2023-07-25,20.0
2023-07-26,29.9
2023-07-27,1.2
2023-07-28,1.3
2023-07-29,22.4
2023-07-30,3.7
2023-07-31,0.7
2023-08-01,-4.7
2023-08-02,9.4
2023-08-03,-3.9
2023-08-04,8.7
2023-08-05,26.5
2023-08-06,5.2
2023-08-07,8.0
2023-08-08,22.3
2023-08-09,28.9
2023-08-10,-5.7
2023-08-11,20.7
2023-08-12,5.7
2023-08-13,11.8
2023-08-14,24.6
2023-08-15,-3.5
2023-08-16,-1.2
2023-08-17,-6.6
2023-08-18,13.0
2023-08-19,5.2
2023-08-20,26.2
2023-08-21,-7.0
2023-08-22,-8.1
2023-08-23,24.3
2023-08-24,11.0
2023-08-25,17.2
2023-08-26,-4.5
2023-08-27,13.0
2023-08-28,-8.2
2023-08-29,12.7
2023-08-30,-3.1
2023-08-31,3.1
2023-09-01,20.4
2023-09-02,28.9
2023-09-03,-1.4
2023-09-04,24.5
2023-09-05,6.0
2023-09-06,11.7
2023-09-07,-4.0
2023-09-08,28.4
2023-09-09,25.9
2023-09-10,9.6
2023-09-11,24.6
2023-09-12,13.4
2023-09-13,4.8
2023-09-14,24.9
2023-09-15,29.5
2023-09-16,26.4
2023-09-17,27.4
2023-09-18,-2.2
2023-09-19,17.5
2023-09-20,-9.2
2023-09-21,24.6
2023-09-22,8.8
2023-09-23,5.0
2023-09-24,-9.9
2023-09-25,-9.2
2023-09-26,0.7
2023-09-27,9.9
2023-09-28,0.9
2023-09-29,19.4
2023-09-30,0.2
2023-10-01,-3.6
2023-10-02,16.0
2023-10-03,19.9
2023-10-04,17.8
2023-10-05,28.9
2023-10-06,15.1
2023-10-07,12.3
2023-10-08,24.6
2023-10-09,-3.3
2023-10-10,25.2
2023-10-11,-3.0
2023-10-12,7.2
2023-10-13,-8.0
2023-10-14,7.9
2023-10-15,12.1
2023-10-16,29.2
2023-10-17,-6.7
2023-10-18,27.5
2023-10-19,29.6
2023-10-20,7.0
2023-10-21,27.2
2023-10-22,18.9
2023-10-23,1.9
2023-10-24,-7.9
2023-10-25,10.9
2023-10-26,26.1
2023-10-27,26.4
2023-10-28,17.3
2023-10-29,8.4
2023-10-30,-9.2
2023-10-31,-9.2
2023-11-01,28.5
2023-11-02,18.7
2023-11-03,9.1
2023-11-04,7.5
2023-11-05,29.3
2023-11-06,15.6
2023-11-07,13.2
2023-11-08,0.9
2023-11-09,20.3
2023-11-10,11.4
2023-11-11,12.1
2023-11-12,0.5
2023-11-13,2.1
2023-11-14,-0.3
2023-11-15,8.5
2023-11-16,28.9
2023-11-17,29.3
2023-11-18,5.7
2023-11-19,1.6
2023-11-20,19.1
2023-11-21,29.9
2023-11-22,22.3
2023-11-23,-2.2
2023-11-24,-8.3
2023-11-25,19.3
2023-11-26,-5.0
2023-11-27,-1.9
2023-11-28,27.5
2023-11-29,-5.5
2023-11-30,-6.0
2023-12-01,1.8
2023-12-02,18.2
2023-12-03,29.5
2023-12-04,13.9
2023-12-05,-7.3
2023-12-06,15.5
2023-12-07,14.8
2023-12-08,27.8
2023-12-09,23.4
2023-12-10,17.5
2023-12-11,6.8
2023-12-12,29.3
2023-12-13,23.7
2023-12-14,23.3
2023-12-15,5.2
2023-12-16,-6.0
2023-12-17,19.7
2023-12-18,-1.8
2023-12-19,-2.5
2023-12-20,16.9
2023-12-21,1.1
2023-12-22,20.9
2023-12-23,7.1
2023-12-24,2.9
2023-12-25,14.4
2023-12-26,0.9
2023-12-27,17.1
2023-12-28,-5.2
2023-12-29,15.6
2023-12-30,17.7
2023-12-31,-4.1
2024-01-01,19.8
2024-01-02,17.0
2024-01-03,23.4
2024-01-04,24.6
2024-01-05,-8.0
2024-01-06,-7.1
2024-01-07,-0.2
2024-01-08,-9.2
2024-01-09,3.7
2024-01-10,20.0
2024-01-11,21.1
2024-01-12,11.7
2024-01-13,8.3
2024-01-14,10.9
2024-01-15,26.2
2024-01-16,-4.4
2024-01-17,21.9
2024-01-18,-6.3
2024-01-19,19.5
2024-01-20,7.9
2024-01-21,5.3
2024-01-22,12.2
2024-01-23,17.0
2024-01-24,6.7
2024-01-25,-7.6
2024-01-26,2.1
2024-01-27,9.9
2024-01-28,-2.1
2024-01-29,26.0
2024-01-30,9.8
2024-01-31,4.9
2024-02-01,17.5
2024-02-02,2.2
2024-02-03,16.4
2024-02-04,17.0
2024-02-05,-0.9
2024-02-06,15.8
2024-02-07,-1.7
2024-02-08,0.8
2024-02-09,-5.6
2024-02-10,-9.1
2024-02-11,23.5
2024-02-12,18.0
2024-02-13,15.1
2024-02-14,22.1
2024-02-15,19.9
2024-02-16,0.9
2024-02-17,29.9
2024-02-18,13.1
2024-02-19,-2.2
2024-02-20,21.6
2024-02-21,10.6
2024-02-22,3.6
2024-02-23,14.1
2024-02-24,16.8
2024-02-25,-2.8
2024-02-26,12.8
2024-02-27,-4.0
2024-02-28,23.5
2024-02-29,25.2
2024-03-01,25.9
2024-03-02,16.0
2024-03-03,24.7
2024-03-04,4.2
2024-03-05,2.2
2024-03-06,-6.6
2024-03-07,5.1
2024-03-08,29.2
2024-03-09,7.0
2024-03-10,25.9
2024-03-11,23.2
2024-03-12,20.3
2024-03-13,17.1
2024-03-14,23.2
2024-03-15,0.7
2024-03-16,15.0
2024-03-17,22.2
2024-03-18,5.6
2024-03-19,5.1
2024-03-20,-1.6
2024-03-21,-6.5
2024-03-22,-2.9
2024-03-23,25.1
2024-03-24,18.2
2024-03-25,2.6
2024-03-26,13.6
2024-03-27,13.2
2024-03-28,6.0
2024-03-29,19.1
2024-03-30,1.7
2024-03-31,-0.8
2024-04-01,3.3
2024-04-02,28.2
2024-04-03,-8.1
2024-04-04,6.2
2024-04-05,6.1
2024-04-06,17.2
2024-04-07,16.1
2024-04-08,4.3
2024-04-09,14.9
2024-04-10,25.4
2024-04-11,5.2
2024-04-12,11.4
2024-04-13,-10.0
2024-04-14,4.8
2024-04-15,14.8
2024-04-16,29.3
2024-04-17,5.6
2024-04-18,27.2
2024-04-19,8.6
2024-04-20,25.9
2024-04-21,20.6
2024-04-22,14.4
2024-04-23,4.5
2024-04-24,-4.1
2024-04-25,12.3
2024-04-26,14.1
2024-04-27,27.6
2024-04-28,25.1
2024-04-29,6.3
2024-04-30,9.8
2024-05-01,-3.0
2024-05-02,16.5
2024-05-03,-0.9
2024-05-04,-4.0
2024-05-05,29.3
2024-05-06,9.7
2024-05-07,26.4
2024-05-08,-1.3
2024-05-09,12.9
2024-05-10,29.9
2024-05-11,26.1
2024-05-12,4.8
2024-05-13,12.8
2024-05-14,-8.2
2024-05-15,-0.9
2024-05-16,22.3
2024-05-17,-9.0
2024-05-18,5.6
2024-05-19,-3.5
2024-05-20,9.4
2024-05-21,15.3
2024-05-22,29.4
2024-05-23,-4.4
2024-05-24,16.5
2024-05-25,21.7
2024-05-26,-2.1
2024-05-27,-2.6
2024-05-28,-1.0
2024-05-29,-8.5
2024-05-30,-0.3
2024-05-31,6.5
2024-06-01,16.1
2024-06-02,-5.3
2024-06-03,16.3
2024-06-04,29.6
2024-06-05,10.1
2024-06-06,19.5
2024-06-07,5.2
2024-06-08,22.5
2024-06-09,28.3
2024-06-10,22.8
2024-06-11,0.2
2024-06-12,19.8
2024-06-13,2.4
2024-06-14,14.9
2024-06-15,0.9
2024-06-16,10.3
2024-06-17,-6.7
2024-06-18,14.7
2024-06-19,3.8
2024-06-20,0.7
2024-06-21,23.3
2024-06-22,15.2
2024-06-23,1.6
2024-06-24,27.2
2024-06-25,1.0
2024-06-26,20.6
2024-06-27,21.0
2024-06-28,7.5
2024-06-29,6.4
2024-06-30,15.5
2024-07-01,-1.0
2024-07-02,5.1
2024-07-03,15.6
2024-07-04,2.4
2024-07-05,29.4
2024-07-06,17.9
2024-07-07,6.5
2024-07-08,6.9
2024-07-09,13.4
2024-07-10,22.9
2024-07-11,5.3
2024-07-12,29.9
2024-07-13,9.0
2024-07-14,-4.1
2024-07-15,23.5
2024-07-16,25.2
2024-07-17,-2.0
2024-07-18,-5.3
2024-07-19,-4.6
2024-07-20,-3.5
2024-07-21,20.8
2024-07-22,13.4
2024-07-23,24.5
2024-07-24,20.7
2024-07-25,2.6
2024-07-26,13.1
2024-07-27,5.5
2024-07-28,23.4
2024-07-29,4.8
2024-07-30,24.0
2024-07-31,22.5
2024-08-01,-2.7
2024-08-02,14.1
2024-08-03,6.2
2024-08-04,0.2
2024-08-05,-1.6
2024-08-06,3.1
2024-08-07,-4.9
2024-08-08,3.0
2024-08-09,-0.8
2024-08-10,20.0
2024-08-11,21.4
2024-08-12,14.2
2024-08-13,24.4
2024-08-14,14.8
2024-08-15,16.7
2024-08-16,2.4
2024-08-17,-5.5
2024-08-18,6.4
2024-08-19,0.9
2024-08-20,24.2
2024-08-21,6.9
2024-08-22,23.7
2024-08-23,-9.2
2024-08-24,22.4
2024-08-25,23.9
2024-08-26,28.1
2024-08-27,20.9
2024-08-28,-6.1
2024-08-29,-6.0
2024-08-30,29.8
2024-08-31,18.2
2024-09-01,-4.3
2024-09-02,26.3
2024-09-03,10.9
2024-09-04,-0.6
2024-09-05,14.9
2024-09-06,23.4
2024-09-07,-7.2
2024-09-08,14.7
2024-09-09,2.6
2024-09-10,2.5
2024-09-11,22.8
2024-09-12,-3.9
2024-09-13,13.5
2024-09-14,13.7
2024-09-15,5.0
2024-09-16,20.8
2024-09-17,16.7
2024-09-18,13.9
2024-09-19,24.7
2024-09-20,8.6
2024-09-21,12.9
2024-09-22,24.2
2024-09-23,22.1
2024-09-24,17.6
2024-09-25,8.9
2024-09-26,11.1
2024-09-27,22.4
2024-09-28,-5.9
2024-09-29,25.4
2024-09-30,23.0
2024-10-01,-6.1
2024-10-02,0.1
2024-10-03,-7.1
2024-10-04,-7.9
2024-10-05,4.7
2024-10-06,7.4
2024-10-07,8.1
2024-10-08,9.3
2024-10-09,1.5
2024-10-10,16.6
2024-10-11,26.1
2024-10-12,-3.4
2024-10-13,22.2
2024-10-14,20.9
2024-10-15,-1.6
2024-10-16,-1.4
2024-10-17,13.0
2024-10-18,24.9
2024-10-19,9.2
2024-10-20,11.2
2024-10-21,-4.6
2024-10-22,14.2
2024-10-23,-3.0
2024-10-24,4.9
2024-10-25,-1.6
2024-10-26,19.8
2024-10-27,-9.5
2024-10-28,-2.3
2024-10-29,16.6
