date,temperature
2023-06-10,-11.1
2023-06-11,-10.6
2023-06-12,-16.7
2023-06-13,9.4
2023-06-14,-9.9
2023-06-15,-19.6
2023-06-16,6.8
2023-06-17,-1.8
2023-06-18,19.3
2023-06-19,7.9
2023-06-20,-0.5
2023-06-21,-18.0
2023-06-22,-9.3
2023-06-23,15.1
2023-06-24,-2.1
2023-06-25,8.7
2023-06-26,9.7
2023-06-27,18.8
2023-06-28,-4.9
2023-06-29,19.3
2023-06-30,-3.0
2023-07-01,4.7
2023-07-02,10.2
2023-07-03,-1.7
2023-07-04,15.7
2023-07-05,-7.4
2023-07-06,-12.6
2023-07-07,2.2
2023-07-08,2.5
2023-07-09,-10.0
2023-07-10,-18.1
2023-07-11,-15.6
2023-07-12,14.9
2023-07-13,5.4
2023-07-14,-16.9
2023-07-15,2.5
2023-07-16,-10.6
2023-07-17,12.4
2023-07-18,-5.3
2023-07-19,-9.8
2023-07-20,17.0
2023-07-21,11.4
2023-07-22,2.5
2023-07-23,0.7
2023-07-24,-5.2
2023-07-25,11.7
2023-07-26,-4.1
2023-07-27,-9.4
2023-07-28,6.1
2023-07-29,-13.5
2023-07-30,-8.7
2023-07-31,17.8
2023-08-01,0.1
2023-08-02,2.0
2023-08-03,-14.9
2023-08-04,-1.5
2023-08-05,1.5
2023-08-06,-13.6
2023-08-07,4.9
2023-08-08,6.7
2023-08-09,17.4
2023-08-10,-13.2
2023-08-11,0.3
2023-08-12,-3.5
2023-08-13,13.6
2023-08-14,-1.2
2023-08-15,-13.5
2023-08-16,12.2
2023-08-17,-5.4
2023-08-18,6.7
2023-08-19,9.3
2023-08-20,-15.1
2023-08-21,-16.0
2023-08-22,-1.6
2023-08-23,-3.3
2023-08-24,18.8
2023-08-25,6.3
2023-08-26,2.4
2023-08-27,-4.7
2023-08-28,-6.5
2023-08-29,-17.4
2023-08-30,8.9
2023-08-31,15.7
2023-09-01,-7.3
2023-09-02,10.8
2023-09-03,0.2
2023-09-04,2.9
2023-09-05,8.5
2023-09-06,10.4
2023-09-07,5.7
2023-09-08,-15.1
2023-09-09,-19.8
2023-09-10,-18.5
2023-09-11,-17.4
2023-09-12,12.0
2023-09-13,-14.9
2023-09-14,-10.6
2023-09-15,-7.8
2023-09-16,7.5
2023-09-17,-17.6
2023-09-18,4.4
2023-09-19,-8.1
2023-09-20,8.4
2023-09-21,9.6
2023-09-22,-0.6
2023-09-23,16.8
2023-09-24,-4.5
2023-09-25,-8.4
