date,temperature
2023-06-10,15.0
2023-06-11,24.4
2023-06-12,27.6
2023-06-13,28.4
2023-06-14,17.3
2023-06-15,31.1
2023-06-16,27.8
2023-06-17,35.8
2023-06-18,13.3
2023-06-19,20.7
2023-06-20,33.5
2023-06-21,13.4
2023-06-22,28.4
2023-06-23,13.4
2023-06-24,23.7
2023-06-25,30.0
2023-06-26,17.1
2023-06-27,10.2
2023-06-28,36.5
2023-06-29,15.6
2023-06-30,28.3
2023-07-01,24.6
2023-07-02,35.3
2023-07-03,18.4
2023-07-04,39.6
2023-07-05,24.5
2023-07-06,19.4
2023-07-07,31.8
2023-07-08,18.2
2023-07-09,18.7
2023-07-10,23.9
2023-07-11,16.6
2023-07-12,15.2
2023-07-13,14.8
2023-07-14,36.9
2023-07-15,14.8
2023-07-16,12.9
2023-07-17,10.0
2023-07-18,22.1
2023-07-19,32.3
2023-07-20,11.6
2023-07-21,29.3
2023-07-22,26.0
2023-07-23,21.0
2023-07-24,35.8
2023-07-25,20.5
2023-07-26,24.5
2023-07-27,15.8
2023-07-28,26.3
2023-07-29,29.8
2023-07-30,33.0
2023-07-31,26.0
2023-08-01,15.0
2023-08-02,12.0
2023-08-03,32.7
2023-08-04,25.8
2023-08-05,20.8
2023-08-06,29.7
2023-08-07,16.9
2023-08-08,17.6
2023-08-09,26.2
2023-08-10,17.9
2023-08-11,21.1
2023-08-12,28.0
2023-08-13,24.3
2023-08-14,16.8
2023-08-15,15.1
2023-08-16,36.5
2023-08-17,16.9
2023-08-18,10.3
2023-08-19,37.5
2023-08-20,30.5
2023-08-21,21.8
2023-08-22,19.1
2023-08-23,21.0
2023-08-24,16.8
2023-08-25,29.6
2023-08-26,22.6
2023-08-27,12.6
2023-08-28,18.1
2023-08-29,38.1
2023-08-30,15.5
2023-08-31,18.5
2023-09-01,22.7
2023-09-02,13.2
2023-09-03,35.9
2023-09-04,22.1
2023-09-05,25.8
2023-09-06,17.5
2023-09-07,34.2
2023-09-08,14.2
2023-09-09,39.6
2023-09-10,34.9
2023-09-11,13.3
2023-09-12,30.9
2023-09-13,18.9
2023-09-14,35.4
2023-09-15,12.4
2023-09-16,32.6
2023-09-17,18.0
2023-09-18,33.0
2023-09-19,18.3
2023-09-20,31.7
2023-09-21,14.1
2023-09-22,17.5
2023-09-23,20.4
2023-09-24,29.4
2023-09-25,19.5
2023-09-26,10.6
2023-09-27,23.3
2023-09-28,25.3
2023-09-29,14.5
2023-09-30,17.8
2023-10-01,13.8
2023-10-02,31.6
2023-10-03,22.2
2023-10-04,33.8
2023-10-05,37.1
2023-10-06,39.2
2023-10-07,19.1
2023-10-08,11.7
2023-10-09,39.4
2023-10-10,39.9
2023-10-11,29.1
2023-10-12,14.6
2023-10-13,13.5
2023-10-14,27.0
2023-10-15,35.2
2023-10-16,13.9
2023-10-17,11.0
2023-10-18,38.7
2023-10-19,26.6
2023-10-20,15.4
2023-10-21,12.6
2023-10-22,28.7
2023-10-23,31.3
2023-10-24,24.7
2023-10-25,15.3
2023-10-26,16.8
2023-10-27,21.0
2023-10-28,13.8
2023-10-29,11.2
2023-10-30,38.6
2023-10-31,22.6
2023-11-01,26.4
2023-11-02,26.4
2023-11-03,33.0
2023-11-04,11.9
2023-11-05,13.4
2023-11-06,26.8
2023-11-07,36.0
2023-11-08,39.8
2023-11-09,13.6
2023-11-10,25.3
2023-11-11,14.6
2023-11-12,23.3
2023-11-13,22.4
2023-11-14,34.1
2023-11-15,10.5
2023-11-16,32.2
2023-11-17,15.5
2023-11-18,12.9
2023-11-19,16.3
2023-11-20,17.8
2023-11-21,29.1
2023-11-22,27.2
2023-11-23,13.2
2023-11-24,38.6
2023-11-25,10.5
2023-11-26,34.4
2023-11-27,28.1
2023-11-28,37.3
2023-11-29,31.0
2023-11-30,35.6
2023-12-01,38.6
2023-12-02,33.9
2023-12-03,28.4
2023-12-04,12.5
2023-12-05,20.9
2023-12-06,21.9
2023-12-07,14.9
2023-12-08,28.0
2023-12-09,26.5
2023-12-10,11.5
2023-12-11,19.8
2023-12-12,38.0
2023-12-13,12.7
2023-12-14,16.6
2023-12-15,11.9
2023-12-16,12.7
2023-12-17,14.6
2023-12-18,30.7
2023-12-19,37.7
2023-12-20,32.7
2023-12-21,13.2
2023-12-22,39.0
2023-12-23,17.0
2023-12-24,14.1
2023-12-25,35.6
2023-12-26,23.0
2023-12-27,15.3
2023-12-28,12.4
2023-12-29,30.6
2023-12-30,15.2
2023-12-31,19.0
2024-01-01,24.3
2024-01-02,15.3
2024-01-03,33.2
2024-01-04,14.2
2024-01-05,38.8
2024-01-06,39.4
2024-01-07,31.6
2024-01-08,33.8
2024-01-09,19.4
2024-01-10,35.6
2024-01-11,36.0
2024-01-12,24.9
2024-01-13,10.6
2024-01-14,22.0
2024-01-15,22.3
2024-01-16,15.1
2024-01-17,20.0
2024-01-18,27.3
2024-01-19,36.8
2024-01-20,39.2
2024-01-21,22.3
2024-01-22,32.6
2024-01-23,22.1
2024-01-24,16.7
2024-01-25,31.0
2024-01-26,22.2
2024-01-27,12.4
2024-01-28,30.2
2024-01-29,31.0
2024-01-30,16.8
2024-01-31,27.7
2024-02-01,17.6
2024-02-02,21.2
2024-02-03,26.7
2024-02-04,18.1
2024-02-05,27.8
2024-02-06,22.9
2024-02-07,11.4
2024-02-08,20.6
2024-02-09,21.9
2024-02-10,16.6
2024-02-11,18.1
2024-02-12,15.1
2024-02-13,36.8
2024-02-14,10.3
2024-02-15,14.6
2024-02-16,14.0
2024-02-17,38.6
2024-02-18,15.8
2024-02-19,27.5
2024-02-20,30.9
2024-02-21,25.0
2024-02-22,35.0
2024-02-23,38.5
2024-02-24,12.3
2024-02-25,14.3
2024-02-26,24.1
2024-02-27,36.0
2024-02-28,36.0
2024-02-29,35.0
2024-03-01,16.5
2024-03-02,34.7
2024-03-03,14.7
2024-03-04,27.4
2024-03-05,37.5
2024-03-06,19.1
2024-03-07,13.8
2024-03-08,19.9
2024-03-09,23.2
2024-03-10,35.0
2024-03-11,38.5
2024-03-12,35.8
2024-03-13,39.6
2024-03-14,31.1
2024-03-15,17.4
2024-03-16,37.6
2024-03-17,26.5
2024-03-18,22.0
2024-03-19,37.1
2024-03-20,24.8
2024-03-21,39.0
2024-03-22,37.2
2024-03-23,16.5
2024-03-24,35.3
2024-03-25,24.8
2024-03-26,36.9
2024-03-27,37.5
2024-03-28,33.7
2024-03-29,27.9
2024-03-30,36.0
2024-03-31,10.5
2024-04-01,31.2
2024-04-02,12.0
2024-04-03,36.1
2024-04-04,28.5
2024-04-05,10.3
2024-04-06,15.8
2024-04-07,10.3
2024-04-08,27.1
2024-04-09,35.9
2024-04-10,39.6
2024-04-11,10.3
2024-04-12,30.6
2024-04-13,29.7
2024-04-14,27.1
2024-04-15,25.3
2024-04-16,29.0
2024-04-17,30.7
2024-04-18,32.9
2024-04-19,36.4
2024-04-20,13.5
2024-04-21,26.2
2024-04-22,31.2
2024-04-23,10.2
2024-04-24,17.7
2024-04-25,28.7
2024-04-26,33.6
2024-04-27,30.3
2024-04-28,21.9
2024-04-29,15.0
2024-04-30,34.7
2024-05-01,38.7
2024-05-02,20.6
2024-05-03,14.4
2024-05-04,27.9
2024-05-05,12.9
2024-05-06,38.8
2024-05-07,17.7
2024-05-08,29.8
2024-05-09,16.1
2024-05-10,32.9
2024-05-11,26.0
2024-05-12,19.1
2024-05-13,37.4
2024-05-14,16.0
2024-05-15,16.5
2024-05-16,36.5
2024-05-17,34.1
2024-05-18,13.6
2024-05-19,10.9
2024-05-20,21.9
2024-05-21,13.2
2024-05-22,29.8
2024-05-23,29.2
2024-05-24,37.4
2024-05-25,10.7
2024-05-26,22.8
2024-05-27,36.6
2024-05-28,37.3
2024-05-29,37.2
2024-05-30,21.0
2024-05-31,28.4
2024-06-01,17.9
2024-06-02,20.1
2024-06-03,24.0
2024-06-04,29.9
2024-06-05,28.1
2024-06-06,24.6
2024-06-07,20.2
2024-06-08,31.4
2024-06-09,10.0
2024-06-10,18.6
2024-06-11,30.3
2024-06-12,38.0
2024-06-13,23.7
2024-06-14,17.4
2024-06-15,30.8
2024-06-16,13.0
2024-06-17,12.5
2024-06-18,23.9
2024-06-19,23.3
2024-06-20,35.4
2024-06-21,21.2
2024-06-22,33.4
2024-06-23,18.1
2024-06-24,33.2
2024-06-25,17.8
2024-06-26,16.4
2024-06-27,39.7
2024-06-28,32.5
2024-06-29,34.8
2024-06-30,20.1
2024-07-01,26.8
2024-07-02,24.3
2024-07-03,21.3
2024-07-04,26.1
2024-07-05,28.4
2024-07-06,31.1
2024-07-07,38.9
2024-07-08,33.6
2024-07-09,11.2
2024-07-10,27.0
2024-07-11,24.5
2024-07-12,12.7
2024-07-13,32.2
2024-07-14,15.0
2024-07-15,32.2
2024-07-16,11.1
2024-07-17,25.0
2024-07-18,30.5
2024-07-19,14.1
