date,temperature
2023-06-10,10.4
2023-06-11,-1.8
2023-06-12,-4.5
2023-06-13,-11.2
2023-06-14,-6.9
2023-06-15,5.4
2023-06-16,6.1
2023-06-17,-7.8
2023-06-18,10.1
2023-06-19,-4.8
2023-06-20,9.2
2023-06-21,9.4
2023-06-22,7.5
2023-06-23,1.0
2023-06-24,9.3
2023-06-25,0.5
2023-06-26,7.3
2023-06-27,0.3
2023-06-28,18.4
2023-06-29,-15.0
2023-06-30,3.4
2023-07-01,-2.5
2023-07-02,-12.5
2023-07-03,19.1
2023-07-04,6.7
2023-07-05,14.9
2023-07-06,-19.4
2023-07-07,-7.8
2023-07-08,-9.6
2023-07-09,-12.4
2023-07-10,4.7
2023-07-11,-2.7
2023-07-12,-2.0
2023-07-13,9.6
2023-07-14,-4.1
2023-07-15,-7.4
2023-07-16,-11.2
2023-07-17,6.5
2023-07-18,11.9
2023-07-19,17.9
2023-07-20,-19.5
2023-07-21,-12.7
2023-07-22,1.1
2023-07-23,-18.0
2023-07-24,-9.1
2023-07-25,17.5
2023-07-26,17.9
2023-07-27,-15.1
2023-07-28,-15.6
2023-07-29,10.3
2023-07-30,6.6
2023-07-31,1.9
2023-08-01,11.3
2023-08-02,-13.4
2023-08-03,13.2
2023-08-04,-18.9
2023-08-05,-8.4
2023-08-06,-10.3
2023-08-07,-11.3
2023-08-08,-3.5
2023-08-09,-5.0
2023-08-10,-0.2
2023-08-11,12.9
2023-08-12,-11.4
2023-08-13,-15.1
2023-08-14,4.8
2023-08-15,10.7
2023-08-16,-19.2
2023-08-17,0.2
2023-08-18,-16.7
2023-08-19,-8.8
2023-08-20,1.4
2023-08-21,6.3
2023-08-22,-18.3
2023-08-23,13.2
2023-08-24,-6.1
2023-08-25,19.4
2023-08-26,-11.8
2023-08-27,0.6
2023-08-28,10.9
2023-08-29,-19.6
2023-08-30,13.8
2023-08-31,10.6
2023-09-01,14.8
2023-09-02,-5.7
2023-09-03,11.2
2023-09-04,4.1
2023-09-05,-4.4
2023-09-06,0.3
2023-09-07,-17.1
2023-09-08,-19.9
2023-09-09,-0.6
2023-09-10,-10.4
2023-09-11,9.4
2023-09-12,-14.0
2023-09-13,15.4
2023-09-14,-4.1
2023-09-15,12.9
2023-09-16,-13.8
2023-09-17,-14.7
2023-09-18,19.9
2023-09-19,12.0
2023-09-20,-7.1
2023-09-21,-13.7
2023-09-22,18.9
2023-09-23,-8.3
2023-09-24,-15.6
2023-09-25,18.0
2023-09-26,-12.8
2023-09-27,-18.5
2023-09-28,9.5
2023-09-29,17.4
2023-09-30,10.9
2023-10-01,9.0
2023-10-02,-18.3
2023-10-03,7.7
2023-10-04,-7.0
2023-10-05,14.6
2023-10-06,-18.5
2023-10-07,-12.0
2023-10-08,16.8
2023-10-09,-19.8
2023-10-10,-12.7
2023-10-11,17.9
2023-10-12,-7.2
2023-10-13,-6.0
2023-10-14,-11.4
2023-10-15,3.8
2023-10-16,-9.5
2023-10-17,-16.0
2023-10-18,8.1
2023-10-19,12.3
2023-10-20,19.8
2023-10-21,10.6
2023-10-22,-17.4
2023-10-23,14.1
2023-10-24,-8.4
2023-10-25,11.3
2023-10-26,2.9
2023-10-27,15.6
2023-10-28,13.6
2023-10-29,16.6
2023-10-30,4.4
2023-10-31,9.1
2023-11-01,16.9
2023-11-02,-18.7
2023-11-03,-15.5
2023-11-04,18.9
2023-11-05,-1.7
2023-11-06,1.6
2023-11-07,-14.4
2023-11-08,-7.8
2023-11-09,18.8
2023-11-10,6.5
2023-11-11,2.8
2023-11-12,9.5
2023-11-13,-14.7
2023-11-14,10.5
2023-11-15,-0.0
2023-11-16,-7.7
2023-11-17,2.6
2023-11-18,-3.6
2023-11-19,-1.2
2023-11-20,12.0
2023-11-21,-5.2
2023-11-22,10.1
2023-11-23,-1.3
2023-11-24,-12.3
2023-11-25,-8.0
2023-11-26,5.9
2023-11-27,1.9
2023-11-28,-16.8
2023-11-29,-13.0
2023-11-30,12.6
2023-12-01,-2.3
2023-12-02,-10.2
2023-12-03,15.6
2023-12-04,-18.1
2023-12-05,11.4
2023-12-06,11.3
2023-12-07,-13.1
2023-12-08,13.7
2023-12-09,-16.0
2023-12-10,-17.8
2023-12-11,-6.2
2023-12-12,-19.9
2023-12-13,16.8
2023-12-14,-19.8
2023-12-15,2.0
2023-12-16,6.4
2023-12-17,7.9
2023-12-18,-14.0
2023-12-19,-0.4
2023-12-20,-3.9
2023-12-21,19.9
2023-12-22,11.2
2023-12-23,1.0
2023-12-24,-12.6
2023-12-25,-10.3
2023-12-26,15.4
2023-12-27,19.4
2023-12-28,7.9
2023-12-29,2.9
2023-12-30,2.3
2023-12-31,-18.6
2024-01-01,18.7
2024-01-02,-10.9
2024-01-03,-1.0
2024-01-04,14.7
2024-01-05,-1.7
2024-01-06,-0.9
2024-01-07,-4.1
2024-01-08,4.1
2024-01-09,-3.6
2024-01-10,10.7
2024-01-11,-10.8
2024-01-12,9.0
2024-01-13,-4.9
2024-01-14,-2.2
2024-01-15,1.2
2024-01-16,-16.5
2024-01-17,18.4
2024-01-18,-12.7
2024-01-19,-19.2
2024-01-20,12.9
2024-01-21,5.8
2024-01-22,8.5
2024-01-23,-1.8
2024-01-24,12.1
2024-01-25,-10.3
2024-01-26,9.4
2024-01-27,16.8
2024-01-28,-8.5
2024-01-29,-13.4
2024-01-30,-17.9
2024-01-31,1.3
2024-02-01,14.0
2024-02-02,19.0
2024-02-03,-14.6
2024-02-04,3.5
2024-02-05,-15.1
2024-02-06,1.7
2024-02-07,-12.5
2024-02-08,-3.9
2024-02-09,-15.4
2024-02-10,11.3
2024-02-11,0.2
2024-02-12,-17.3
2024-02-13,7.1
2024-02-14,13.0
2024-02-15,-16.4
2024-02-16,7.6
2024-02-17,12.8
2024-02-18,-1.9
2024-02-19,-11.2
2024-02-20,-4.8
2024-02-21,-15.4
2024-02-22,-2.2
2024-02-23,12.5
2024-02-24,2.0
2024-02-25,11.5
2024-02-26,-4.6
2024-02-27,-2.8
2024-02-28,-10.2
2024-02-29,14.8
2024-03-01,7.1
2024-03-02,-18.3
2024-03-03,-0.2
2024-03-04,17.9
2024-03-05,1.0
2024-03-06,14.1
2024-03-07,15.4
2024-03-08,7.9
2024-03-09,-5.7
2024-03-10,15.6
2024-03-11,-4.8
2024-03-12,2.9
2024-03-13,8.6
2024-03-14,-5.4
2024-03-15,-1.2
2024-03-16,-4.2
2024-03-17,-15.6
2024-03-18,-10.0
2024-03-19,12.6
2024-03-20,17.4
2024-03-21,10.6
2024-03-22,1.4
2024-03-23,5.9
2024-03-24,6.4
2024-03-25,-8.1
2024-03-26,4.0
2024-03-27,-19.9
2024-03-28,10.7
2024-03-29,1.8
2024-03-30,-15.9
2024-03-31,5.9
2024-04-01,11.6
2024-04-02,17.8
2024-04-03,6.2
2024-04-04,19.9
2024-04-05,-19.2
2024-04-06,2.1
2024-04-07,18.6
2024-04-08,-1.6
2024-04-09,9.0
2024-04-10,18.7
2024-04-11,2.0
2024-04-12,-0.6
2024-04-13,-12.4
2024-04-14,18.2
2024-04-15,-2.3
2024-04-16,1.2
2024-04-17,8.6
2024-04-18,12.6
2024-04-19,-10.9
2024-04-20,-17.5
2024-04-21,-17.6
2024-04-22,10.6
2024-04-23,-18.1
2024-04-24,-14.2
2024-04-25,6.9
2024-04-26,-8.6
2024-04-27,17.0
2024-04-28,13.0
2024-04-29,11.0
2024-04-30,-11.1
2024-05-01,1.8
2024-05-02,-4.1
2024-05-03,8.0
2024-05-04,-18.7
2024-05-05,-4.2
2024-05-06,-12.0
2024-05-07,8.4
2024-05-08,13.6
2024-05-09,-7.6
2024-05-10,5.9
2024-05-11,-7.9
2024-05-12,-16.6
2024-05-13,17.2
2024-05-14,11.5
2024-05-15,7.1
2024-05-16,15.8
2024-05-17,8.9
2024-05-18,5.2
2024-05-19,4.5
2024-05-20,13.0
2024-05-21,14.5
2024-05-22,5.7
2024-05-23,-12.2
2024-05-24,17.1
2024-05-25,14.4
2024-05-26,10.2
2024-05-27,-15.0
2024-05-28,-10.8
2024-05-29,-15.9
2024-05-30,-7.7
2024-05-31,-4.6
2024-06-01,-6.9
2024-06-02,-4.0
2024-06-03,3.7
2024-06-04,-16.9
2024-06-05,-8.3
2024-06-06,16.5
2024-06-07,-11.6
2024-06-08,16.9
2024-06-09,-8.8
2024-06-10,19.1
2024-06-11,14.9
2024-06-12,0.7
2024-06-13,-5.7
2024-06-14,14.2
2024-06-15,17.1
2024-06-16,4.3
2024-06-17,-14.5
2024-06-18,14.4
2024-06-19,-2.9
2024-06-20,4.4
2024-06-21,-17.3
2024-06-22,-7.0
2024-06-23,5.0
2024-06-24,14.0
2024-06-25,-3.5
2024-06-26,-9.6
2024-06-27,-3.5
2024-06-28,9.7
2024-06-29,6.3
2024-06-30,18.4
2024-07-01,-16.6
2024-07-02,-14.5
2024-07-03,-12.0
2024-07-04,4.4
2024-07-05,-5.5
2024-07-06,10.1
2024-07-07,-14.8
2024-07-08,-14.4
2024-07-09,-14.8
2024-07-10,-6.7
2024-07-11,17.3
2024-07-12,-1.8
2024-07-13,3.1
2024-07-14,10.7
2024-07-15,-3.1
2024-07-16,15.8
2024-07-17,9.7
2024-07-18,-1.0
2024-07-19,-10.3
2024-07-20,-13.0
2024-07-21,-8.8
2024-07-22,9.5
2024-07-23,-13.9
2024-07-24,14.3
2024-07-25,-4.3
2024-07-26,-10.0
2024-07-27,-4.5
2024-07-28,18.5
2024-07-29,14.3
2024-07-30,-18.3
2024-07-31,9.0
2024-08-01,-7.7
2024-08-02,17.5
2024-08-03,1.0
2024-08-04,1.6
2024-08-05,11.3
2024-08-06,-19.9
2024-08-07,2.6
2024-08-08,-14.1
2024-08-09,-4.3
2024-08-10,16.0
2024-08-11,0.7
2024-08-12,18.8
2024-08-13,-8.8
2024-08-14,-10.1
2024-08-15,-10.6
2024-08-16,4.2
2024-08-17,-4.7
2024-08-18,-4.4
2024-08-19,-18.7
2024-08-20,5.9
2024-08-21,-13.0
2024-08-22,5.2
2024-08-23,3.2
2024-08-24,7.9
2024-08-25,7.0
2024-08-26,-0.8
2024-08-27,-7.3
2024-08-28,2.7
2024-08-29,-9.2
2024-08-30,17.6
2024-08-31,-1.1
2024-09-01,-2.8
2024-09-02,1.4
2024-09-03,-9.5
2024-09-04,15.1
2024-09-05,12.1
2024-09-06,8.2
2024-09-07,-17.1
2024-09-08,19.9
2024-09-09,-17.0
2024-09-10,-18.1
2024-09-11,17.9
2024-09-12,-7.7
2024-09-13,-8.5
2024-09-14,2.3
2024-09-15,-12.4
2024-09-16,11.4
2024-09-17,-12.9
2024-09-18,15.3
2024-09-19,-4.5
2024-09-20,0.8
2024-09-21,-17.6
2024-09-22,16.6
2024-09-23,-19.4
2024-09-24,-17.2
2024-09-25,-12.5
2024-09-26,0.3
2024-09-27,10.9
2024-09-28,-6.4
2024-09-29,4.3
2024-09-30,19.5
2024-10-01,-11.8
2024-10-02,-17.1
2024-10-03,-2.3
2024-10-04,1.5
2024-10-05,12.8
2024-10-06,14.4
2024-10-07,11.4
2024-10-08,-5.7
2024-10-09,15.2
2024-10-10,-6.7
2024-10-11,17.8
2024-10-12,17.2
2024-10-13,-19.2
2024-10-14,11.3
2024-10-15,-5.0
2024-10-16,14.6
2024-10-17,-6.6
2024-10-18,18.3
2024-10-19,-15.6
2024-10-20,10.8
2024-10-21,-19.4
2024-10-22,-19.6
2024-10-23,-0.4
2024-10-24,-10.1
2024-10-25,-18.7
2024-10-26,15.3
2024-10-27,4.9
2024-10-28,17.0
2024-10-29,-0.4
2024-10-30,17.8
2024-10-31,11.7
2024-11-01,-15.5
2024-11-02,19.4
2024-11-03,-7.7
2024-11-04,15.0
2024-11-05,-3.7
2024-11-06,-6.3
2024-11-07,-7.8
2024-11-08,-4.9
2024-11-09,-5.6
2024-11-10,14.9
2024-11-11,11.1
2024-11-12,-3.3
2024-11-13,3.3
2024-11-14,2.4
2024-11-15,-16.5
2024-11-16,-8.1
2024-11-17,10.9
2024-11-18,-16.2
2024-11-19,2.7
2024-11-20,12.5
2024-11-21,-7.3
2024-11-22,-9.9
2024-11-23,6.5
2024-11-24,7.9
2024-11-25,-17.0
2024-11-26,16.2
2024-11-27,-17.2
2024-11-28,17.8
2024-11-29,10.2
2024-11-30,-15.4
2024-12-01,-6.7
2024-12-02,-5.8
2024-12-03,-16.1
2024-12-04,-4.9
2024-12-05,-1.2
2024-12-06,-12.2
2024-12-07,-18.0
2024-12-08,10.1
2024-12-09,-17.1
2024-12-10,-5.3
2024-12-11,-4.7
2024-12-12,-8.9
2024-12-13,11.0
2024-12-14,8.4
2024-12-15,-2.9
2024-12-16,13.4
2024-12-17,3.7
2024-12-18,0.0
2024-12-19,-18.0
2024-12-20,6.2
2024-12-21,17.8
2024-12-22,6.6
2024-12-23,19.6
2024-12-24,2.9
2024-12-25,-5.7
2024-12-26,14.1
2024-12-27,2.1
2024-12-28,1.6
2024-12-29,-10.1
2024-12-30,-6.9
2024-12-31,7.6
2025-01-01,17.8
2025-01-02,-8.6
