date,temperature
2023-06-10,19.3
2023-06-11,27.3
2023-06-12,26.5
2023-06-13,24.5
2023-06-14,10.4
2023-06-15,28.6
2023-06-16,26.5
2023-06-17,28.3
2023-06-18,16.1
2023-06-19,29.0
2023-06-20,27.3
2023-06-21,28.0
2023-06-22,15.3
2023-06-23,12.6
2023-06-24,29.4
2023-06-25,14.2
2023-06-26,14.4
2023-06-27,16.8
2023-06-28,14.7
2023-06-29,26.2
2023-06-30,22.1
2023-07-01,11.8
2023-07-02,14.1
2023-07-03,23.7
2023-07-04,27.1
2023-07-05,14.8
2023-07-06,25.7
2023-07-07,23.2
2023-07-08,22.6
2023-07-09,19.7
2023-07-10,19.4
2023-07-11,29.4
2023-07-12,21.6
2023-07-13,17.4
2023-07-14,25.8
2023-07-15,15.1
2023-07-16,19.7
2023-07-17,28.5
2023-07-18,22.7
2023-07-19,16.1
2023-07-20,26.4
2023-07-21,13.4
2023-07-22,22.6
2023-07-23,16.8
2023-07-24,21.0
2023-07-25,21.7
2023-07-26,17.0
2023-07-27,17.3
2023-07-28,21.5
2023-07-29,23.8
2023-07-30,15.8
2023-07-31,22.9
2023-08-01,21.6
2023-08-02,26.5
2023-08-03,21.5
2023-08-04,27.2
2023-08-05,25.9
2023-08-06,23.9
2023-08-07,28.0
2023-08-08,22.4
2023-08-09,17.9
2023-08-10,13.3
2023-08-11,16.0
2023-08-12,16.9
2023-08-13,11.4
2023-08-14,19.9
2023-08-15,21.6
2023-08-16,13.3
2023-08-17,11.1
2023-08-18,28.4
2023-08-19,14.5
2023-08-20,21.7
2023-08-21,14.6
2023-08-22,25.8
2023-08-23,25.1
2023-08-24,21.5
2023-08-25,24.2
2023-08-26,28.5
2023-08-27,23.9
2023-08-28,23.5
2023-08-29,14.9
2023-08-30,26.6
2023-08-31,24.8
2023-09-01,20.0
2023-09-02,11.6
2023-09-03,25.7
2023-09-04,13.5
2023-09-05,26.2
2023-09-06,14.7
2023-09-07,16.9
2023-09-08,10.5
2023-09-09,27.9
2023-09-10,14.7
2023-09-11,19.0
2023-09-12,13.1
2023-09-13,16.1
2023-09-14,21.2
2023-09-15,22.8
2023-09-16,17.0
2023-09-17,19.8
2023-09-18,12.2
2023-09-19,13.1
2023-09-20,28.9
2023-09-21,15.8
2023-09-22,19.8
2023-09-23,17.1
2023-09-24,18.4
2023-09-25,19.1
2023-09-26,28.0
2023-09-27,25.0
2023-09-28,29.3
2023-09-29,14.9
2023-09-30,27.5
2023-10-01,19.7
2023-10-02,29.5
2023-10-03,12.2
2023-10-04,22.1
2023-10-05,24.8
2023-10-06,29.7
2023-10-07,18.4
2023-10-08,19.9
2023-10-09,28.2
2023-10-10,27.0
2023-10-11,15.8
2023-10-12,25.5
2023-10-13,14.9
2023-10-14,17.2
2023-10-15,25.5
2023-10-16,13.6
2023-10-17,19.2
2023-10-18,14.6
2023-10-19,29.2
2023-10-20,28.2
2023-10-21,26.3
2023-10-22,29.5
2023-10-23,29.9
2023-10-24,29.0
2023-10-25,12.2
2023-10-26,17.7
2023-10-27,13.6
2023-10-28,22.9
2023-10-29,29.6
2023-10-30,28.9
2023-10-31,26.3
2023-11-01,14.4
2023-11-02,28.7
2023-11-03,11.1
2023-11-04,12.1
2023-11-05,12.1
2023-11-06,27.0
2023-11-07,17.1
2023-11-08,24.6
2023-11-09,10.9
2023-11-10,19.5
2023-11-11,20.9
2023-11-12,25.3
2023-11-13,20.4
2023-11-14,23.2
2023-11-15,29.4
2023-11-16,26.4
2023-11-17,12.9
2023-11-18,12.4
2023-11-19,29.3
2023-11-20,11.9
2023-11-21,18.0
2023-11-22,10.9
2023-11-23,10.7
2023-11-24,25.1
2023-11-25,18.7
2023-11-26,23.3
2023-11-27,14.2
2023-11-28,16.6
2023-11-29,19.6
2023-11-30,16.6
2023-12-01,23.0
2023-12-02,18.1
2023-12-03,15.9
2023-12-04,13.6
2023-12-05,11.2
2023-12-06,23.1
2023-12-07,22.5
2023-12-08,21.1
2023-12-09,15.7
2023-12-10,25.7
2023-12-11,28.7
2023-12-12,23.1
2023-12-13,10.6
2023-12-14,12.4
2023-12-15,15.6
2023-12-16,25.4
2023-12-17,11.0
2023-12-18,19.9
2023-12-19,13.0
2023-12-20,16.7
2023-12-21,10.3
2023-12-22,22.6
2023-12-23,24.9
2023-12-24,19.9
2023-12-25,10.2
2023-12-26,14.1
2023-12-27,10.4
2023-12-28,19.1
2023-12-29,14.5
2023-12-30,24.2
2023-12-31,10.5
2024-01-01,29.2
2024-01-02,14.4
2024-01-03,21.6
2024-01-04,22.0
2024-01-05,17.7
2024-01-06,10.7
2024-01-07,13.8
2024-01-08,13.3
