date,temperature
2023-06-10,26.4
2023-06-11,28.9
2023-06-12,16.1
2023-06-13,12.0
2023-06-14,23.0
2023-06-15,22.0
2023-06-16,21.2
2023-06-17,23.8
2023-06-18,10.2
2023-06-19,22.3
2023-06-20,18.6
2023-06-21,16.3
2023-06-22,13.8
2023-06-23,15.9
2023-06-24,14.8
2023-06-25,27.0
2023-06-26,10.3
2023-06-27,16.8
2023-06-28,11.1
2023-06-29,17.0
2023-06-30,21.2
2023-07-01,19.2
2023-07-02,29.9
2023-07-03,11.0
2023-07-04,18.5
2023-07-05,23.2
2023-07-06,13.2
2023-07-07,16.3
2023-07-08,23.2
2023-07-09,11.1
2023-07-10,16.7
2023-07-11,21.0
2023-07-12,13.0
2023-07-13,13.6
2023-07-14,13.1
2023-07-15,22.3
2023-07-16,28.5
2023-07-17,23.1
2023-07-18,12.5
2023-07-19,27.7
2023-07-20,17.0
2023-07-21,10.2
2023-07-22,15.6
2023-07-23,11.3
2023-07-24,18.6
2023-07-25,29.1
2023-07-26,21.4
2023-07-27,11.4
2023-07-28,23.3
2023-07-29,25.2
2023-07-30,10.8
2023-07-31,19.0
2023-08-01,24.5
2023-08-02,21.0
2023-08-03,22.0
2023-08-04,10.7
2023-08-05,15.7
2023-08-06,17.5
2023-08-07,18.0
2023-08-08,12.4
2023-08-09,16.1
2023-08-10,17.9
2023-08-11,10.1
2023-08-12,27.0
2023-08-13,23.3
2023-08-14,13.5
2023-08-15,17.5
2023-08-16,26.7
2023-08-17,14.3
2023-08-18,21.6
2023-08-19,23.7
2023-08-20,25.2
2023-08-21,18.3
2023-08-22,12.5
2023-08-23,24.6
2023-08-24,28.3
2023-08-25,21.0
2023-08-26,16.4
2023-08-27,15.5
2023-08-28,28.5
2023-08-29,14.8
2023-08-30,13.2
2023-08-31,10.4
2023-09-01,21.4
2023-09-02,28.0
2023-09-03,29.5
2023-09-04,19.1
2023-09-05,12.2
2023-09-06,12.4
2023-09-07,24.4
2023-09-08,11.8
2023-09-09,21.2
2023-09-10,30.0
2023-09-11,29.7
2023-09-12,20.9
2023-09-13,13.5
2023-09-14,20.7
2023-09-15,12.2
2023-09-16,25.6
2023-09-17,13.9
2023-09-18,13.4
2023-09-19,16.1
2023-09-20,13.4
2023-09-21,21.6
2023-09-22,29.1
2023-09-23,21.0
2023-09-24,25.2
2023-09-25,19.4
2023-09-26,17.2
2023-09-27,28.9
2023-09-28,10.4
2023-09-29,26.3
2023-09-30,28.7
2023-10-01,18.0
2023-10-02,11.9
2023-10-03,22.9
2023-10-04,18.2
2023-10-05,14.7
2023-10-06,13.5
2023-10-07,11.3
2023-10-08,23.7
2023-10-09,20.3
2023-10-10,14.0
2023-10-11,26.5
2023-10-12,24.9
2023-10-13,23.1
2023-10-14,17.4
2023-10-15,18.6
2023-10-16,12.2
2023-10-17,19.5
2023-10-18,19.1
2023-10-19,24.2
2023-10-20,26.0
2023-10-21,28.4
2023-10-22,15.2
2023-10-23,26.5
2023-10-24,26.0
2023-10-25,23.3
2023-10-26,21.9
2023-10-27,25.9
2023-10-28,24.3
2023-10-29,29.9
2023-10-30,25.0
2023-10-31,17.7
2023-11-01,25.6
2023-11-02,13.8
2023-11-03,24.5
2023-11-04,10.5
2023-11-05,23.4
2023-11-06,15.7
2023-11-07,19.4
2023-11-08,28.6
2023-11-09,20.5
2023-11-10,27.5
2023-11-11,28.3
2023-11-12,13.3
2023-11-13,25.0
2023-11-14,17.9
2023-11-15,26.3
2023-11-16,12.9
2023-11-17,19.4
2023-11-18,21.8
2023-11-19,25.6
2023-11-20,24.5
2023-11-21,16.4
2023-11-22,19.2
2023-11-23,18.1
2023-11-24,23.7
2023-11-25,26.0
2023-11-26,11.9
2023-11-27,29.5
2023-11-28,22.6
2023-11-29,21.6
2023-11-30,12.2
2023-12-01,13.5
2023-12-02,18.7
2023-12-03,17.5
2023-12-04,28.3
2023-12-05,26.3
2023-12-06,23.1
2023-12-07,21.3
2023-12-08,22.7
2023-12-09,26.5
2023-12-10,25.8
2023-12-11,12.9
2023-12-12,14.0
2023-12-13,24.4
2023-12-14,27.6
2023-12-15,25.6
2023-12-16,24.5
2023-12-17,14.9
2023-12-18,14.2
2023-12-19,10.2
2023-12-20,10.5
2023-12-21,16.2
2023-12-22,13.3
2023-12-23,16.0
2023-12-24,11.2
2023-12-25,12.0
2023-12-26,16.5
2023-12-27,28.5
2023-12-28,13.3
