date,temperature
2023-06-10,21.2
2023-06-11,25.2
2023-06-12,13.6
2023-06-13,23.3
2023-06-14,24.2
2023-06-15,20.4
2023-06-16,29.6
2023-06-17,13.7
2023-06-18,25.6
2023-06-19,14.3
2023-06-20,24.8
2023-06-21,14.9
2023-06-22,27.7
2023-06-23,14.6
2023-06-24,26.5
2023-06-25,10.7
2023-06-26,19.3
2023-06-27,26.2
2023-06-28,26.3
2023-06-29,25.1
2023-06-30,22.5
2023-07-01,29.2
2023-07-02,29.6
2023-07-03,15.1
2023-07-04,13.5
2023-07-05,26.9
2023-07-06,22.8
2023-07-07,23.5
2023-07-08,25.9
2023-07-09,21.4
2023-07-10,27.6
2023-07-11,26.8
2023-07-12,19.2
2023-07-13,27.1
2023-07-14,20.4
2023-07-15,18.0
2023-07-16,26.5
2023-07-17,29.0
2023-07-18,24.7
2023-07-19,21.8
2023-07-20,29.5
2023-07-21,17.1
2023-07-22,10.7
2023-07-23,20.4
2023-07-24,13.6
2023-07-25,16.8
2023-07-26,10.9
2023-07-27,16.0
2023-07-28,27.8
2023-07-29,28.8
2023-07-30,12.0
2023-07-31,12.1
2023-08-01,18.0
2023-08-02,28.7
2023-08-03,25.3
2023-08-04,21.2
2023-08-05,15.3
2023-08-06,25.4
2023-08-07,26.0
2023-08-08,13.5
2023-08-09,28.1
2023-08-10,22.7
2023-08-11,11.1
2023-08-12,11.9
2023-08-13,18.6
2023-08-14,27.1
2023-08-15,25.9
2023-08-16,11.3
2023-08-17,21.5
2023-08-18,23.3
2023-08-19,27.7
2023-08-20,15.5
2023-08-21,18.2
2023-08-22,19.8
2023-08-23,27.2
2023-08-24,11.4
2023-08-25,17.3
2023-08-26,18.7
2023-08-27,15.9
2023-08-28,13.0
2023-08-29,16.6
2023-08-30,30.0
2023-08-31,20.3
2023-09-01,27.0
2023-09-02,11.6
2023-09-03,25.5
2023-09-04,29.2
2023-09-05,25.4
2023-09-06,18.4
2023-09-07,16.1
2023-09-08,20.3
2023-09-09,18.8
2023-09-10,22.9
2023-09-11,14.9
2023-09-12,24.3
2023-09-13,26.1
2023-09-14,21.9
2023-09-15,26.7
2023-09-16,13.8
2023-09-17,14.1
2023-09-18,11.7
2023-09-19,28.4
2023-09-20,12.5
2023-09-21,29.3
2023-09-22,19.0
2023-09-23,19.6
2023-09-24,23.8
2023-09-25,15.8
2023-09-26,20.7
2023-09-27,14.5
2023-09-28,22.4
2023-09-29,14.4
2023-09-30,22.4
2023-10-01,29.0
2023-10-02,16.9
2023-10-03,15.5
2023-10-04,24.6
2023-10-05,29.7
2023-10-06,13.1
2023-10-07,16.2
2023-10-08,25.0
2023-10-09,16.9
2023-10-10,21.7
2023-10-11,20.5
2023-10-12,29.6
2023-10-13,25.3
2023-10-14,11.8
2023-10-15,25.7
2023-10-16,25.6
2023-10-17,16.9
2023-10-18,23.4
2023-10-19,20.4
2023-10-20,23.0
2023-10-21,12.4
2023-10-22,24.3
2023-10-23,28.5
2023-10-24,25.4
2023-10-25,20.9
2023-10-26,10.6
