date,temperature
2023-06-10,18.6
2023-06-11,33.8
2023-06-12,22.6
2023-06-13,17.4
2023-06-14,30.8
2023-06-15,15.9
2023-06-16,26.5
2023-06-17,34.6
2023-06-18,28.6
2023-06-19,32.9
2023-06-20,17.2
2023-06-21,29.4
2023-06-22,24.0
2023-06-23,31.8
2023-06-24,17.2
2023-06-25,29.9
2023-06-26,32.2
2023-06-27,28.4
2023-06-28,29.8
2023-06-29,24.8
2023-06-30,15.8
2023-07-01,16.4
2023-07-02,21.7
2023-07-03,17.9
2023-07-04,27.3
2023-07-05,24.9
2023-07-06,26.2
2023-07-07,31.1
2023-07-08,16.4
2023-07-09,22.9
2023-07-10,28.0
2023-07-11,20.1
2023-07-12,24.7
2023-07-13,28.1
2023-07-14,16.5
2023-07-15,18.0
2023-07-16,24.6
2023-07-17,34.9
2023-07-18,25.5
2023-07-19,30.4
2023-07-20,20.8
2023-07-21,28.2
2023-07-22,25.8
2023-07-23,22.3
2023-07-24,29.8
2023-07-25,17.5
2023-07-26,29.3
2023-07-27,31.6
2023-07-28,15.9
2023-07-29,32.1
2023-07-30,33.7
2023-07-31,30.5
2023-08-01,32.6
2023-08-02,33.9
2023-08-03,20.8
2023-08-04,32.2
2023-08-05,29.0
2023-08-06,32.0
2023-08-07,34.7
2023-08-08,16.6
2023-08-09,28.2
2023-08-10,31.2
2023-08-11,33.1
2023-08-12,31.3
2023-08-13,18.2
2023-08-14,27.0
2023-08-15,25.9
2023-08-16,33.6
2023-08-17,21.3
2023-08-18,17.3
2023-08-19,31.2
2023-08-20,22.5
2023-08-21,29.2
2023-08-22,25.2
2023-08-23,15.6
2023-08-24,16.6
2023-08-25,26.9
2023-08-26,16.8
2023-08-27,16.4
2023-08-28,26.4
2023-08-29,33.1
2023-08-30,15.4
2023-08-31,31.6
2023-09-01,18.2
2023-09-02,30.9
2023-09-03,34.3
2023-09-04,21.9
2023-09-05,20.2
2023-09-06,33.6
2023-09-07,29.3
2023-09-08,17.4
2023-09-09,30.2
2023-09-10,34.7
2023-09-11,31.2
2023-09-12,23.2
2023-09-13,31.2
2023-09-14,15.6
2023-09-15,32.8
2023-09-16,20.1
2023-09-17,22.7
2023-09-18,25.3
2023-09-19,21.1
2023-09-20,28.0
2023-09-21,16.4
2023-09-22,21.5
2023-09-23,24.7
2023-09-24,30.7
2023-09-25,18.8
2023-09-26,29.5
2023-09-27,21.9
2023-09-28,34.5
2023-09-29,34.8
2023-09-30,26.4
2023-10-01,32.5
2023-10-02,30.9
2023-10-03,28.4
2023-10-04,21.5
2023-10-05,19.2
2023-10-06,28.6
2023-10-07,28.9
2023-10-08,19.6
2023-10-09,20.2
2023-10-10,34.6
2023-10-11,20.2
2023-10-12,18.0
2023-10-13,24.2
2023-10-14,15.2
2023-10-15,29.1
2023-10-16,30.1
2023-10-17,27.8
2023-10-18,32.6
2023-10-19,32.5
2023-10-20,32.6
2023-10-21,26.2
2023-10-22,24.3
2023-10-23,32.1
2023-10-24,15.6
2023-10-25,33.7
2023-10-26,16.0
2023-10-27,23.9
2023-10-28,16.9
2023-10-29,15.9
2023-10-30,20.3
2023-10-31,22.1
2023-11-01,16.4
2023-11-02,27.7
2023-11-03,16.5
2023-11-04,32.5
2023-11-05,17.3
2023-11-06,25.5
2023-11-07,29.4
2023-11-08,18.9
2023-11-09,22.1
2023-11-10,26.8
2023-11-11,25.1
2023-11-12,17.4
2023-11-13,19.9
2023-11-14,18.3
2023-11-15,24.5
2023-11-16,30.8
2023-11-17,30.6
2023-11-18,29.0
2023-11-19,16.9
2023-11-20,25.5
2023-11-21,32.2
2023-11-22,19.9
2023-11-23,29.4
2023-11-24,33.0
2023-11-25,23.9
2023-11-26,34.4
2023-11-27,16.5
2023-11-28,33.0
2023-11-29,27.5
2023-11-30,17.3
2023-12-01,15.5
2023-12-02,34.3
2023-12-03,29.1
2023-12-04,20.4
2023-12-05,18.9
2023-12-06,16.6
2023-12-07,29.0
2023-12-08,20.2
2023-12-09,21.9
2023-12-10,34.8
2023-12-11,20.0
2023-12-12,29.9
2023-12-13,30.6
2023-12-14,23.1
2023-12-15,21.8
2023-12-16,15.8
2023-12-17,31.5
2023-12-18,34.5
2023-12-19,25.6
2023-12-20,34.0
2023-12-21,16.0
2023-12-22,29.9
2023-12-23,29.1
2023-12-24,31.6
2023-12-25,29.7
2023-12-26,21.9
2023-12-27,17.1
2023-12-28,26.7
2023-12-29,15.4
2023-12-30,24.0
2023-12-31,15.7
2024-01-01,32.2
2024-01-02,21.9
2024-01-03,19.6
2024-01-04,28.5
2024-01-05,34.6
2024-01-06,16.4
2024-01-07,24.5
2024-01-08,25.5
2024-01-09,30.2
2024-01-10,24.3
2024-01-11,20.5
2024-01-12,28.2
2024-01-13,30.7
2024-01-14,27.3
2024-01-15,27.9
2024-01-16,27.7
2024-01-17,34.8
2024-01-18,26.5
2024-01-19,28.9
2024-01-20,26.0
2024-01-21,32.2
2024-01-22,16.8
2024-01-23,15.2
2024-01-24,17.7
2024-01-25,17.0
2024-01-26,18.6
2024-01-27,18.8
2024-01-28,26.9
2024-01-29,21.0
2024-01-30,17.6
2024-01-31,28.9
2024-02-01,20.2
2024-02-02,25.0
2024-02-03,22.3
2024-02-04,19.5
2024-02-05,34.1
2024-02-06,30.1
2024-02-07,29.5
2024-02-08,32.9
2024-02-09,29.4
2024-02-10,25.6
2024-02-11,27.8
2024-02-12,18.4
2024-02-13,19.9
2024-02-14,18.8
2024-02-15,24.5
2024-02-16,28.3
2024-02-17,23.6
2024-02-18,32.1
2024-02-19,25.0
2024-02-20,30.2
2024-02-21,33.7
2024-02-22,20.5
2024-02-23,16.9
2024-02-24,22.3
2024-02-25,20.1
2024-02-26,27.7
2024-02-27,26.9
2024-02-28,18.4
2024-02-29,25.9
2024-03-01,16.4
2024-03-02,32.5
2024-03-03,31.0
2024-03-04,23.1
2024-03-05,29.6
2024-03-06,22.7
2024-03-07,30.2
2024-03-08,30.2
2024-03-09,33.2
2024-03-10,27.2
2024-03-11,19.4
2024-03-12,23.2
2024-03-13,18.6
2024-03-14,27.7
2024-03-15,24.3
2024-03-16,20.3
2024-03-17,20.6
2024-03-18,24.1
2024-03-19,30.9
2024-03-20,23.0
2024-03-21,31.1
2024-03-22,15.6
2024-03-23,18.8
2024-03-24,24.5
2024-03-25,28.6
2024-03-26,27.5
2024-03-27,33.0
2024-03-28,19.5
2024-03-29,34.3
2024-03-30,26.6
2024-03-31,19.0
2024-04-01,29.8
2024-04-02,32.9
2024-04-03,31.4
2024-04-04,19.9
2024-04-05,21.0
2024-04-06,25.0
2024-04-07,21.8
2024-04-08,20.9
2024-04-09,29.7
2024-04-10,30.0
2024-04-11,28.7
2024-04-12,16.2
2024-04-13,35.0
2024-04-14,21.4
2024-04-15,28.0
2024-04-16,20.2
2024-04-17,19.1
2024-04-18,21.0
2024-04-19,15.4
2024-04-20,21.1
2024-04-21,21.2
2024-04-22,20.5
2024-04-23,20.9
2024-04-24,33.2
2024-04-25,20.9
2024-04-26,19.0
2024-04-27,29.8
2024-04-28,16.0
2024-04-29,15.1
2024-04-30,25.8
2024-05-01,33.4
2024-05-02,25.1
2024-05-03,27.3
2024-05-04,26.3
2024-05-05,17.8
2024-05-06,15.4
2024-05-07,30.5
2024-05-08,32.6
2024-05-09,22.4
2024-05-10,21.0
2024-05-11,24.9
2024-05-12,26.7
2024-05-13,32.7
2024-05-14,26.9
2024-05-15,34.9
2024-05-16,17.8
2024-05-17,32.9
2024-05-18,16.7
2024-05-19,28.5
2024-05-20,27.3
2024-05-21,26.4
2024-05-22,25.3
2024-05-23,25.6
2024-05-24,16.7
2024-05-25,24.9
2024-05-26,18.1
2024-05-27,22.8
2024-05-28,18.5
2024-05-29,24.6
2024-05-30,34.8
2024-05-31,19.7
2024-06-01,19.5
2024-06-02,16.1
2024-06-03,28.6
2024-06-04,21.4
2024-06-05,15.8
2024-06-06,28.5
2024-06-07,17.6
2024-06-08,19.1
2024-06-09,25.9
2024-06-10,33.2
2024-06-11,23.5
2024-06-12,31.5
2024-06-13,19.4
2024-06-14,22.8
2024-06-15,15.5
2024-06-16,32.0
2024-06-17,29.5
2024-06-18,16.9
2024-06-19,22.7
2024-06-20,27.5
2024-06-21,15.8
2024-06-22,22.6
2024-06-23,29.4
2024-06-24,15.0
2024-06-25,30.0
2024-06-26,33.0
2024-06-27,32.3
2024-06-28,16.4
2024-06-29,23.0
2024-06-30,30.5
2024-07-01,28.3
2024-07-02,30.9
2024-07-03,18.0
2024-07-04,24.3
2024-07-05,32.1
2024-07-06,32.0
2024-07-07,26.2
2024-07-08,21.7
2024-07-09,32.5
2024-07-10,22.5
2024-07-11,29.0
2024-07-12,31.6
2024-07-13,30.3
2024-07-14,23.3
2024-07-15,26.6
2024-07-16,20.0
2024-07-17,32.9
2024-07-18,28.4
2024-07-19,17.4
2024-07-20,28.4
2024-07-21,23.5
2024-07-22,28.7
2024-07-23,34.2
2024-07-24,30.6
2024-07-25,30.0
2024-07-26,21.6
2024-07-27,17.3
2024-07-28,25.0
2024-07-29,28.3
2024-07-30,29.0
2024-07-31,16.2
2024-08-01,25.8
2024-08-02,25.8
2024-08-03,32.4
2024-08-04,29.0
2024-08-05,26.1
2024-08-06,23.9
2024-08-07,32.0
2024-08-08,28.4
2024-08-09,31.1
2024-08-10,33.5
2024-08-11,33.9
2024-08-12,30.0
2024-08-13,33.0
2024-08-14,16.2
2024-08-15,33.6
2024-08-16,25.8
2024-08-17,27.6
2024-08-18,31.6
2024-08-19,16.8
2024-08-20,17.5
2024-08-21,20.6
2024-08-22,16.0
2024-08-23,27.9
2024-08-24,25.6
2024-08-25,16.4
2024-08-26,25.5
2024-08-27,20.8
2024-08-28,22.2
2024-08-29,31.9
2024-08-30,17.7
2024-08-31,23.7
2024-09-01,28.9
2024-09-02,27.9
2024-09-03,27.4
2024-09-04,19.6
2024-09-05,34.3
2024-09-06,30.4
2024-09-07,24.1
2024-09-08,33.3
2024-09-09,24.0
2024-09-10,19.8
2024-09-11,33.8
2024-09-12,23.9
2024-09-13,19.4
2024-09-14,28.7
2024-09-15,33.4
2024-09-16,21.5
2024-09-17,34.0
2024-09-18,28.0
2024-09-19,23.4
2024-09-20,16.4
2024-09-21,19.0
2024-09-22,31.5
2024-09-23,33.1
2024-09-24,22.1
2024-09-25,20.4
2024-09-26,34.7
2024-09-27,27.5
2024-09-28,24.2
2024-09-29,28.5
2024-09-30,16.9
2024-10-01,22.7
2024-10-02,21.7
2024-10-03,19.6
2024-10-04,33.5
2024-10-05,32.4
2024-10-06,15.8
2024-10-07,20.2
2024-10-08,15.7
2024-10-09,34.2
2024-10-10,26.0
2024-10-11,23.7
2024-10-12,26.2
2024-10-13,24.3
2024-10-14,22.4
2024-10-15,16.5
2024-10-16,31.4
2024-10-17,21.3
2024-10-18,32.8
2024-10-19,21.8
2024-10-20,26.1
2024-10-21,24.4
2024-10-22,17.7
2024-10-23,18.2
2024-10-24,21.6
2024-10-25,30.4
2024-10-26,15.7
2024-10-27,23.8
2024-10-28,21.7
2024-10-29,25.1
2024-10-30,18.3
2024-10-31,17.6
2024-11-01,29.4
2024-11-02,34.2
2024-11-03,28.1
2024-11-04,20.3
2024-11-05,22.5
2024-11-06,17.6
2024-11-07,28.1
2024-11-08,23.4
2024-11-09,27.1
2024-11-10,22.5
2024-11-11,20.0
2024-11-12,23.8
2024-11-13,31.8
2024-11-14,31.0
2024-11-15,34.6
2024-11-16,34.7
2024-11-17,31.4
2024-11-18,27.5
2024-11-19,17.5
2024-11-20,15.5
2024-11-21,24.0
2024-11-22,27.4
2024-11-23,23.4
2024-11-24,15.2
2024-11-25,25.0
2024-11-26,18.9
2024-11-27,34.6
2024-11-28,32.7
2024-11-29,22.2
2024-11-30,21.9
2024-12-01,32.6
2024-12-02,30.2
2024-12-03,16.2
2024-12-04,18.0
2024-12-05,21.7
2024-12-06,34.5
2024-12-07,17.4
2024-12-08,23.2
2024-12-09,18.8
2024-12-10,26.7
2024-12-11,25.2
2024-12-12,27.3
2024-12-13,29.0
2024-12-14,23.3
2024-12-15,17.8
2024-12-16,26.4
2024-12-17,24.1
2024-12-18,24.7
2024-12-19,28.0
2024-12-20,32.3
2024-12-21,23.7
2024-12-22,34.6
2024-12-23,34.9
2024-12-24,23.1
2024-12-25,15.8
2024-12-26,19.2
