date,temperature
2023-06-10,3.4
2023-06-11,21.5
2023-06-12,4.4
2023-06-13,5.0
2023-06-14,7.4
2023-06-15,2.3
2023-06-16,18.2
2023-06-17,6.0
2023-06-18,17.7
2023-06-19,14.9
2023-06-20,8.4
2023-06-21,9.4
2023-06-22,29.0
2023-06-23,25.9
2023-06-24,26.8
2023-06-25,13.2
2023-06-26,8.2
2023-06-27,18.4
2023-06-28,22.9
2023-06-29,21.3
2023-06-30,15.0
2023-07-01,15.3
2023-07-02,28.2
2023-07-03,7.1
2023-07-04,3.4
2023-07-05,0.6
2023-07-06,19.1
2023-07-07,21.4
2023-07-08,5.5
2023-07-09,30.0
2023-07-10,13.5
2023-07-11,16.6
2023-07-12,22.7
2023-07-13,24.4
2023-07-14,0.0
2023-07-15,14.4
2023-07-16,10.7
2023-07-17,15.0
2023-07-18,27.8
2023-07-19,20.5
2023-07-20,9.0
2023-07-21,22.1
2023-07-22,0.2
2023-07-23,24.3
2023-07-24,12.5
2023-07-25,16.4
2023-07-26,17.5
2023-07-27,13.6
2023-07-28,12.2
2023-07-29,1.5
2023-07-30,5.7
2023-07-31,8.2
2023-08-01,24.8
2023-08-02,26.7
2023-08-03,3.9
2023-08-04,0.7
2023-08-05,5.4
2023-08-06,6.3
2023-08-07,23.8
2023-08-08,2.3
2023-08-09,5.2
2023-08-10,2.7
2023-08-11,10.9
2023-08-12,23.4
2023-08-13,8.0
2023-08-14,4.7
2023-08-15,19.3
2023-08-16,27.2
2023-08-17,23.3
2023-08-18,20.8
2023-08-19,22.9
2023-08-20,28.7
2023-08-21,9.6
2023-08-22,10.7
2023-08-23,9.9
2023-08-24,7.5
2023-08-25,25.9
2023-08-26,19.4
2023-08-27,23.0
2023-08-28,9.1
2023-08-29,27.7
2023-08-30,4.4
2023-08-31,18.3
2023-09-01,14.4
2023-09-02,3.1
2023-09-03,19.6
2023-09-04,14.4
2023-09-05,12.7
2023-09-06,15.6
2023-09-07,5.8
2023-09-08,22.6
2023-09-09,22.6
2023-09-10,21.8
2023-09-11,3.2
2023-09-12,22.1
2023-09-13,25.5
2023-09-14,6.1
2023-09-15,10.8
2023-09-16,12.4
2023-09-17,6.8
2023-09-18,19.5
2023-09-19,25.2
2023-09-20,12.1
2023-09-21,22.1
2023-09-22,6.7
2023-09-23,11.6
2023-09-24,7.2
2023-09-25,4.6
2023-09-26,15.4
2023-09-27,24.4
2023-09-28,4.8
2023-09-29,11.4
2023-09-30,25.0
2023-10-01,4.5
2023-10-02,8.5
2023-10-03,16.1
2023-10-04,14.5
2023-10-05,15.5
2023-10-06,22.0
2023-10-07,18.3
2023-10-08,25.2
2023-10-09,16.2
2023-10-10,0.7
2023-10-11,3.0
2023-10-12,2.8
2023-10-13,1.7
2023-10-14,12.1
2023-10-15,13.1
2023-10-16,24.0
2023-10-17,28.4
2023-10-18,22.5
2023-10-19,8.7
2023-10-20,11.7
2023-10-21,28.9
2023-10-22,28.1
2023-10-23,1.3
2023-10-24,16.4
2023-10-25,7.9
2023-10-26,16.4
2023-10-27,25.5
2023-10-28,28.6
2023-10-29,10.2
2023-10-30,28.0
2023-10-31,10.5
2023-11-01,22.7
2023-11-02,19.7
2023-11-03,23.5
2023-11-04,20.9
2023-11-05,17.6
2023-11-06,7.5
2023-11-07,15.6
2023-11-08,16.3
2023-11-09,14.4
2023-11-10,1.1
2023-11-11,24.0
2023-11-12,5.4
2023-11-13,21.4
2023-11-14,27.7
2023-11-15,2.1
2023-11-16,20.9
2023-11-17,22.0
2023-11-18,4.5
2023-11-19,14.2
2023-11-20,8.9
2023-11-21,20.5
2023-11-22,20.6
2023-11-23,27.0
2023-11-24,19.5
2023-11-25,4.8
2023-11-26,8.6
2023-11-27,0.5
2023-11-28,9.0
2023-11-29,28.0
2023-11-30,20.2
2023-12-01,6.2
2023-12-02,24.1
2023-12-03,12.9
2023-12-04,14.9
2023-12-05,19.2
2023-12-06,3.0
2023-12-07,26.1
2023-12-08,23.4
2023-12-09,19.7
2023-12-10,17.7
2023-12-11,6.4
2023-12-12,21.5
2023-12-13,28.0
2023-12-14,25.9
2023-12-15,29.3
2023-12-16,3.9
2023-12-17,10.0
2023-12-18,8.3
2023-12-19,21.5
2023-12-20,4.2
2023-12-21,28.6
2023-12-22,21.4
2023-12-23,11.8
2023-12-24,21.2
2023-12-25,6.2
2023-12-26,15.5
2023-12-27,7.7
2023-12-28,20.1
2023-12-29,17.4
2023-12-30,18.2
2023-12-31,6.8
2024-01-01,23.6
2024-01-02,21.3
2024-01-03,17.8
2024-01-04,21.6
2024-01-05,20.6
2024-01-06,10.2
2024-01-07,0.4
2024-01-08,2.1
2024-01-09,12.4
2024-01-10,22.8
2024-01-11,9.0
2024-01-12,28.4
2024-01-13,11.1
2024-01-14,3.3
2024-01-15,21.8
2024-01-16,29.9
2024-01-17,18.2
2024-01-18,5.7
2024-01-19,15.1
2024-01-20,4.7
2024-01-21,10.2
2024-01-22,26.5
2024-01-23,22.5
2024-01-24,12.0
2024-01-25,3.7
2024-01-26,19.3
2024-01-27,8.3
2024-01-28,20.2
2024-01-29,1.5
2024-01-30,24.3
2024-01-31,12.3
2024-02-01,24.4
2024-02-02,5.5
2024-02-03,17.8
2024-02-04,3.1
2024-02-05,13.7
2024-02-06,6.1
2024-02-07,24.1
2024-02-08,11.9
2024-02-09,5.6
2024-02-10,26.6
2024-02-11,22.9
2024-02-12,28.1
2024-02-13,28.6
2024-02-14,2.8
2024-02-15,0.6
2024-02-16,6.7
2024-02-17,26.6
2024-02-18,18.9
2024-02-19,6.1
2024-02-20,20.2
2024-02-21,15.3
2024-02-22,20.0
2024-02-23,0.5
2024-02-24,14.3
2024-02-25,19.5
2024-02-26,7.5
2024-02-27,21.6
2024-02-28,4.5
2024-02-29,23.5
2024-03-01,15.4
2024-03-02,16.3
2024-03-03,1.4
2024-03-04,19.9
2024-03-05,26.6
2024-03-06,0.1
2024-03-07,18.6
2024-03-08,4.5
2024-03-09,5.6
2024-03-10,5.4
2024-03-11,23.1
2024-03-12,29.4
2024-03-13,10.4
2024-03-14,19.6
2024-03-15,8.9
2024-03-16,18.8
2024-03-17,12.2
2024-03-18,14.2
2024-03-19,13.8
2024-03-20,20.2
2024-03-21,15.9
2024-03-22,11.6
2024-03-23,14.8
2024-03-24,16.5
2024-03-25,20.4
2024-03-26,2.4
2024-03-27,2.6
2024-03-28,12.7
2024-03-29,9.0
2024-03-30,4.1
2024-03-31,12.7
2024-04-01,14.4
2024-04-02,12.3
2024-04-03,16.4
2024-04-04,9.4
2024-04-05,23.5
2024-04-06,19.2
2024-04-07,28.8
2024-04-08,1.2
2024-04-09,4.5
2024-04-10,16.4
2024-04-11,22.1
2024-04-12,6.8
2024-04-13,29.3
2024-04-14,1.9
2024-04-15,6.2
2024-04-16,10.6
2024-04-17,9.8
2024-04-18,21.1
2024-04-19,28.4
2024-04-20,11.0
2024-04-21,23.9
2024-04-22,13.9
2024-04-23,10.5
2024-04-24,27.9
2024-04-25,26.5
2024-04-26,15.2
2024-04-27,22.0
2024-04-28,16.1
2024-04-29,19.5
2024-04-30,1.8
2024-05-01,24.5
2024-05-02,17.4
2024-05-03,18.4
2024-05-04,23.2
2024-05-05,7.4
2024-05-06,1.8
2024-05-07,12.4
2024-05-08,1.7
2024-05-09,2.8
2024-05-10,12.3
2024-05-11,24.3
2024-05-12,18.7
2024-05-13,5.3
2024-05-14,8.9
2024-05-15,20.9
2024-05-16,12.7
2024-05-17,6.0
2024-05-18,13.1
2024-05-19,12.7
2024-05-20,1.0
2024-05-21,17.2
2024-05-22,13.5
2024-05-23,14.7
2024-05-24,9.7
2024-05-25,17.0
2024-05-26,25.6
2024-05-27,24.4
2024-05-28,13.0
2024-05-29,24.7
2024-05-30,5.2
2024-05-31,26.2
2024-06-01,5.5
2024-06-02,14.8
2024-06-03,3.4
2024-06-04,9.2
2024-06-05,6.1
2024-06-06,23.5
2024-06-07,22.9
2024-06-08,21.2
2024-06-09,11.6
2024-06-10,10.8
2024-06-11,18.1
2024-06-12,25.8
2024-06-13,7.8
2024-06-14,16.8
2024-06-15,21.2
2024-06-16,26.9
2024-06-17,13.5
2024-06-18,28.5
2024-06-19,25.5
2024-06-20,19.8
2024-06-21,11.7
2024-06-22,26.8
2024-06-23,16.0
2024-06-24,10.9
2024-06-25,22.4
2024-06-26,24.8
2024-06-27,23.7
2024-06-28,13.0
2024-06-29,22.5
2024-06-30,25.2
2024-07-01,8.0
2024-07-02,18.8
2024-07-03,2.2
2024-07-04,29.8
2024-07-05,13.6
2024-07-06,19.5
2024-07-07,21.9
2024-07-08,3.5
2024-07-09,14.6
2024-07-10,25.4
2024-07-11,14.3
2024-07-12,13.7
2024-07-13,23.5
2024-07-14,12.5
2024-07-15,11.4
2024-07-16,4.8
2024-07-17,13.7
2024-07-18,10.5
2024-07-19,20.0
2024-07-20,16.4
2024-07-21,11.9
2024-07-22,3.0
2024-07-23,3.8
2024-07-24,11.0
2024-07-25,29.4
2024-07-26,25.0
2024-07-27,11.5
2024-07-28,22.4
2024-07-29,29.9
2024-07-30,21.9
2024-07-31,1.7
2024-08-01,18.7
2024-08-02,7.6
2024-08-03,0.4
2024-08-04,11.2
2024-08-05,5.2
2024-08-06,16.0
2024-08-07,19.1
2024-08-08,28.7
2024-08-09,8.0
