date,temperature
2023-06-10,22.1
2023-06-11,20.8
2023-06-12,33.2
2023-06-13,18.9
2023-06-14,17.7
2023-06-15,15.8
2023-06-16,29.4
2023-06-17,33.0
2023-06-18,15.1
2023-06-19,15.4
2023-06-20,24.7
2023-06-21,16.9
2023-06-22,17.2
2023-06-23,30.4
2023-06-24,25.6
2023-06-25,21.6
2023-06-26,29.3
2023-06-27,32.9
2023-06-28,21.2
2023-06-29,33.0
2023-06-30,18.1
2023-07-01,23.7
2023-07-02,28.1
2023-07-03,27.3
2023-07-04,16.3
2023-07-05,29.4
2023-07-06,15.6
2023-07-07,20.9
2023-07-08,18.7
2023-07-09,30.8
2023-07-10,29.7
2023-07-11,33.2
2023-07-12,21.2
2023-07-13,22.9
2023-07-14,26.6
2023-07-15,23.2
2023-07-16,15.7
2023-07-17,16.0
2023-07-18,30.2
2023-07-19,16.7
2023-07-20,33.2
2023-07-21,29.5
2023-07-22,18.5
2023-07-23,21.2
2023-07-24,23.5
2023-07-25,33.8
2023-07-26,28.2
2023-07-27,17.1
2023-07-28,31.1
2023-07-29,34.9
2023-07-30,23.2
2023-07-31,18.8
2023-08-01,21.8
2023-08-02,23.6
2023-08-03,23.5
2023-08-04,27.3
2023-08-05,23.4
2023-08-06,33.0
2023-08-07,29.2
2023-08-08,18.7
2023-08-09,19.0
2023-08-10,18.3
2023-08-11,29.6
2023-08-12,30.6
2023-08-13,20.3
2023-08-14,20.6
2023-08-15,20.5
2023-08-16,29.6
2023-08-17,21.6
2023-08-18,31.9
2023-08-19,30.5
2023-08-20,34.8
2023-08-21,17.8
2023-08-22,27.0
2023-08-23,22.2
2023-08-24,17.0
2023-08-25,23.9
2023-08-26,30.6
2023-08-27,34.6
2023-08-28,17.0
2023-08-29,20.7
2023-08-30,25.4
2023-08-31,18.1
2023-09-01,15.3
2023-09-02,15.7
2023-09-03,20.8
2023-09-04,29.0
2023-09-05,30.4
2023-09-06,29.7
2023-09-07,22.3
2023-09-08,23.8
2023-09-09,32.6
2023-09-10,33.6
2023-09-11,22.4
2023-09-12,23.2
2023-09-13,21.7
2023-09-14,24.3
2023-09-15,15.9
2023-09-16,15.6
2023-09-17,15.4
2023-09-18,35.0
2023-09-19,21.2
2023-09-20,33.6
2023-09-21,17.7
2023-09-22,21.4
2023-09-23,28.7
2023-09-24,24.3
2023-09-25,27.3
2023-09-26,16.0
2023-09-27,16.9
2023-09-28,29.7
2023-09-29,23.6
2023-09-30,26.7
2023-10-01,16.7
2023-10-02,32.6
2023-10-03,29.8
2023-10-04,22.7
2023-10-05,33.5
2023-10-06,32.0
2023-10-07,24.7
2023-10-08,20.6
2023-10-09,27.9
2023-10-10,20.4
2023-10-11,24.9
2023-10-12,19.9
2023-10-13,19.7
2023-10-14,31.6
2023-10-15,30.8
2023-10-16,28.8
2023-10-17,33.5
2023-10-18,28.2
2023-10-19,21.7
2023-10-20,31.1
2023-10-21,18.3
2023-10-22,30.3
2023-10-23,18.9
2023-10-24,22.7
2023-10-25,27.9
2023-10-26,15.8
2023-10-27,30.0
2023-10-28,25.0
2023-10-29,32.9
2023-10-30,27.7
2023-10-31,25.2
2023-11-01,28.8
2023-11-02,33.5
2023-11-03,16.3
2023-11-04,34.3
2023-11-05,26.4
2023-11-06,18.7
2023-11-07,28.8
2023-11-08,20.1
2023-11-09,28.3
2023-11-10,18.1
2023-11-11,33.6
2023-11-12,27.3
2023-11-13,29.1
2023-11-14,28.3
2023-11-15,33.9
2023-11-16,17.0
2023-11-17,22.1
2023-11-18,17.3
2023-11-19,26.7
2023-11-20,26.4
2023-11-21,18.4
2023-11-22,32.0
2023-11-23,16.9
2023-11-24,20.1
2023-11-25,18.8
2023-11-26,31.1
2023-11-27,19.6
2023-11-28,20.5
2023-11-29,28.1
2023-11-30,27.9
2023-12-01,20.9
2023-12-02,17.4
2023-12-03,21.5
2023-12-04,28.9
2023-12-05,29.1
2023-12-06,19.5
2023-12-07,16.6
2023-12-08,22.0
2023-12-09,30.9
2023-12-10,17.1
2023-12-11,30.3
2023-12-12,18.8
2023-12-13,27.8
2023-12-14,33.0
2023-12-15,15.6
2023-12-16,16.3
2023-12-17,29.5
2023-12-18,22.8
2023-12-19,29.2
2023-12-20,29.2
2023-12-21,23.6
2023-12-22,22.0
2023-12-23,18.1
2023-12-24,15.3
2023-12-25,27.1
2023-12-26,18.4
2023-12-27,31.8
2023-12-28,28.4
2023-12-29,15.4
2023-12-30,32.1
2023-12-31,28.3
2024-01-01,17.0
2024-01-02,33.6
2024-01-03,25.0
2024-01-04,17.2
2024-01-05,21.8
2024-01-06,30.9
2024-01-07,32.0
2024-01-08,26.4
2024-01-09,22.2
2024-01-10,26.3
2024-01-11,15.8
2024-01-12,19.5
2024-01-13,22.3
2024-01-14,24.6
2024-01-15,21.7
2024-01-16,23.4
2024-01-17,30.7
2024-01-18,30.8
2024-01-19,15.5
2024-01-20,16.8
2024-01-21,30.8
2024-01-22,29.2
2024-01-23,15.9
2024-01-24,26.6
2024-01-25,19.9
2024-01-26,34.1
2024-01-27,32.2
2024-01-28,25.3
2024-01-29,27.3
2024-01-30,33.5
2024-01-31,18.2
2024-02-01,32.7
2024-02-02,35.0
2024-02-03,30.7
2024-02-04,29.2
2024-02-05,29.5
2024-02-06,21.3
2024-02-07,26.2
2024-02-08,20.7
2024-02-09,15.5
2024-02-10,17.4
2024-02-11,22.7
2024-02-12,23.2
2024-02-13,29.3
2024-02-14,16.7
2024-02-15,20.6
2024-02-16,30.8
2024-02-17,30.4
2024-02-18,23.2
2024-02-19,16.5
2024-02-20,23.3
2024-02-21,32.6
2024-02-22,21.0
2024-02-23,20.4
2024-02-24,16.4
2024-02-25,31.4
2024-02-26,22.5
2024-02-27,29.1
2024-02-28,30.3
2024-02-29,17.3
2024-03-01,19.1
2024-03-02,23.9
2024-03-03,33.2
2024-03-04,19.4
2024-03-05,15.8
2024-03-06,17.5
2024-03-07,29.4
2024-03-08,18.9
2024-03-09,19.5
2024-03-10,20.2
2024-03-11,30.0
2024-03-12,23.5
2024-03-13,24.6
2024-03-14,25.1
2024-03-15,17.2
2024-03-16,33.0
2024-03-17,31.6
2024-03-18,21.9
2024-03-19,20.6
2024-03-20,23.4
2024-03-21,19.4
2024-03-22,34.8
2024-03-23,29.4
2024-03-24,25.4
2024-03-25,29.1
2024-03-26,22.0
2024-03-27,23.6
2024-03-28,19.8
2024-03-29,31.7
2024-03-30,21.8
