date,temperature
2023-06-10,39.8
2023-06-11,13.6
2023-06-12,33.0
2023-06-13,20.8
2023-06-14,18.1
2023-06-15,27.8
2023-06-16,33.5
2023-06-17,17.0
2023-06-18,33.0
2023-06-19,20.1
2023-06-20,38.6
2023-06-21,29.0
2023-06-22,11.0
2023-06-23,28.6
2023-06-24,31.3
2023-06-25,22.0
2023-06-26,15.9
2023-06-27,20.2
2023-06-28,24.6
2023-06-29,35.1
2023-06-30,13.0
2023-07-01,32.2
2023-07-02,10.0
2023-07-03,17.1
2023-07-04,18.9
2023-07-05,38.7
2023-07-06,37.2
2023-07-07,13.7
2023-07-08,19.5
2023-07-09,16.1
2023-07-10,28.2
2023-07-11,38.2
2023-07-12,38.8
2023-07-13,34.8
2023-07-14,10.6
2023-07-15,39.1
2023-07-16,19.1
2023-07-17,25.7
2023-07-18,12.1
2023-07-19,27.9
2023-07-20,25.8
2023-07-21,39.0
2023-07-22,17.0
2023-07-23,35.4
2023-07-24,38.2
2023-07-25,15.7
2023-07-26,10.4
2023-07-27,18.1
2023-07-28,38.8
2023-07-29,35.9
2023-07-30,18.6
2023-07-31,27.5
2023-08-01,12.5
2023-08-02,22.2
2023-08-03,12.0
2023-08-04,10.7
2023-08-05,14.8
2023-08-06,19.2
2023-08-07,11.9
2023-08-08,39.3
2023-08-09,10.2
2023-08-10,12.9
2023-08-11,36.5
2023-08-12,36.9
2023-08-13,34.8
2023-08-14,25.3
2023-08-15,24.6
2023-08-16,17.9
2023-08-17,31.1
2023-08-18,10.5
2023-08-19,25.7
2023-08-20,27.2
2023-08-21,34.2
2023-08-22,19.7
2023-08-23,30.8
2023-08-24,28.6
2023-08-25,22.7
2023-08-26,26.3
2023-08-27,34.7
2023-08-28,28.7
2023-08-29,36.4
2023-08-30,13.7
2023-08-31,17.2
2023-09-01,12.0
2023-09-02,36.2
2023-09-03,23.5
2023-09-04,28.7
2023-09-05,18.7
2023-09-06,26.7
2023-09-07,28.3
2023-09-08,32.1
2023-09-09,36.6
2023-09-10,20.5
2023-09-11,17.7
2023-09-12,14.7
2023-09-13,34.8
2023-09-14,37.0
2023-09-15,16.0
2023-09-16,24.9
