date,temperature
2023-06-10,29.4
2023-06-11,11.9
2023-06-12,25.8
2023-06-13,15.2
2023-06-14,26.6
2023-06-15,20.5
2023-06-16,11.9
2023-06-17,28.2
2023-06-18,10.0
2023-06-19,20.4
2023-06-20,20.0
2023-06-21,13.1
2023-06-22,12.9
2023-06-23,27.2
2023-06-24,24.0
2023-06-25,20.1
2023-06-26,24.2
2023-06-27,22.6
2023-06-28,12.0
2023-06-29,23.1
2023-06-30,13.6
2023-07-01,23.2
2023-07-02,24.8
2023-07-03,11.6
2023-07-04,18.3
2023-07-05,22.9
2023-07-06,19.8
2023-07-07,19.7
2023-07-08,16.5
2023-07-09,25.6
2023-07-10,20.0
2023-07-11,20.1
2023-07-12,13.1
2023-07-13,21.1
2023-07-14,21.1
2023-07-15,15.5
2023-07-16,19.4
2023-07-17,19.9
2023-07-18,22.0
2023-07-19,16.0
2023-07-20,13.9
2023-07-21,10.1
2023-07-22,27.6
2023-07-23,15.5
2023-07-24,29.2
2023-07-25,22.2
2023-07-26,13.3
2023-07-27,11.2
2023-07-28,11.1
2023-07-29,18.5
2023-07-30,12.9
2023-07-31,17.0
2023-08-01,18.4
2023-08-02,16.6
2023-08-03,23.0
2023-08-04,29.9
2023-08-05,22.4
2023-08-06,13.0
2023-08-07,28.5
2023-08-08,13.7
2023-08-09,21.4
2023-08-10,16.3
2023-08-11,14.8
2023-08-12,16.8
2023-08-13,24.9
2023-08-14,17.4
2023-08-15,10.5
2023-08-16,15.4
2023-08-17,15.4
2023-08-18,20.1
2023-08-19,29.1
2023-08-20,15.8
2023-08-21,16.1
2023-08-22,18.4
2023-08-23,10.5
2023-08-24,29.4
2023-08-25,12.0
2023-08-26,13.9
2023-08-27,11.1
2023-08-28,19.2
2023-08-29,15.2
2023-08-30,12.3
2023-08-31,11.5
2023-09-01,16.8
2023-09-02,12.5
2023-09-03,22.4
2023-09-04,24.4
2023-09-05,29.6
2023-09-06,25.7
2023-09-07,21.4
2023-09-08,19.6
2023-09-09,18.3
2023-09-10,17.3
2023-09-11,17.7
2023-09-12,14.0
2023-09-13,23.9
2023-09-14,19.2
2023-09-15,15.8
2023-09-16,21.0
2023-09-17,27.2
2023-09-18,11.5
2023-09-19,17.7
2023-09-20,21.3
2023-09-21,24.3
2023-09-22,11.8
2023-09-23,15.5
2023-09-24,28.2
2023-09-25,19.7
2023-09-26,20.5
2023-09-27,10.2
2023-09-28,10.1
2023-09-29,17.2
2023-09-30,21.1
2023-10-01,14.7
2023-10-02,24.7
2023-10-03,18.8
2023-10-04,28.8
2023-10-05,13.3
2023-10-06,27.4
2023-10-07,17.1
2023-10-08,24.8
2023-10-09,25.6
2023-10-10,16.8
2023-10-11,25.0
2023-10-12,26.1
2023-10-13,22.2
2023-10-14,22.6
2023-10-15,24.2
2023-10-16,28.5
2023-10-17,28.3
2023-10-18,28.0
2023-10-19,24.5
2023-10-20,19.1
2023-10-21,14.9
2023-10-22,24.5
2023-10-23,15.0
2023-10-24,25.6
2023-10-25,18.6
2023-10-26,29.9
2023-10-27,21.8
2023-10-28,28.8
2023-10-29,15.3
2023-10-30,12.4
2023-10-31,20.8
2023-11-01,11.8
2023-11-02,24.9
2023-11-03,13.2
2023-11-04,25.3
2023-11-05,28.7
2023-11-06,16.1
2023-11-07,24.5
2023-11-08,20.0
2023-11-09,17.6
2023-11-10,18.6
2023-11-11,22.3
2023-11-12,24.7
2023-11-13,24.3
2023-11-14,27.0
2023-11-15,16.5
2023-11-16,17.3
2023-11-17,18.5
2023-11-18,13.8
2023-11-19,24.6
2023-11-20,23.7
2023-11-21,14.3
2023-11-22,28.3
2023-11-23,18.1
2023-11-24,21.4
2023-11-25,17.4
2023-11-26,12.1
2023-11-27,26.2
2023-11-28,28.1
2023-11-29,16.8
2023-11-30,15.9
2023-12-01,13.6
2023-12-02,19.8
2023-12-03,12.8
2023-12-04,15.3
2023-12-05,20.9
2023-12-06,13.4
2023-12-07,14.4
2023-12-08,16.3
2023-12-09,10.2
2023-12-10,14.0
2023-12-11,19.2
2023-12-12,28.8
2023-12-13,26.3
2023-12-14,17.7
2023-12-15,19.7
2023-12-16,17.0
2023-12-17,18.1
2023-12-18,10.3
2023-12-19,11.0
2023-12-20,22.4
2023-12-21,29.4
2023-12-22,16.6
2023-12-23,11.0
2023-12-24,29.2
2023-12-25,28.5
2023-12-26,27.8
2023-12-27,26.4
2023-12-28,23.1
2023-12-29,11.7
2023-12-30,21.8
2023-12-31,28.5
2024-01-01,15.4
2024-01-02,14.4
2024-01-03,10.0
2024-01-04,10.3
2024-01-05,29.1
2024-01-06,10.7
2024-01-07,10.7
2024-01-08,17.9
2024-01-09,13.8
2024-01-10,17.3
2024-01-11,19.1
2024-01-12,14.9
2024-01-13,28.1
2024-01-14,26.1
2024-01-15,23.0
2024-01-16,21.1
2024-01-17,25.9
2024-01-18,28.2
2024-01-19,26.4
2024-01-20,28.9
2024-01-21,12.1
2024-01-22,23.5
2024-01-23,13.9
2024-01-24,26.9
2024-01-25,22.3
2024-01-26,21.5
2024-01-27,13.9
2024-01-28,19.3
2024-01-29,12.3
2024-01-30,10.0
2024-01-31,19.4
2024-02-01,25.5
2024-02-02,10.4
2024-02-03,18.8
2024-02-04,19.2
2024-02-05,24.0
2024-02-06,18.5
2024-02-07,13.7
2024-02-08,23.6
2024-02-09,23.8
2024-02-10,10.9
2024-02-11,24.9
2024-02-12,12.9
2024-02-13,11.6
2024-02-14,17.5
2024-02-15,22.6
2024-02-16,12.5
2024-02-17,14.5
2024-02-18,26.2
2024-02-19,11.0
2024-02-20,29.3
2024-02-21,27.0
2024-02-22,10.7
2024-02-23,27.5
2024-02-24,21.0
2024-02-25,13.8
2024-02-26,29.5
2024-02-27,23.9
2024-02-28,10.4
2024-02-29,17.9
2024-03-01,18.2
2024-03-02,25.1
2024-03-03,17.7
