date,temperature
2023-06-10,21.8
2023-06-11,27.9
2023-06-12,28.1
2023-06-13,-8.5
2023-06-14,23.2
2023-06-15,7.4
2023-06-16,6.4
2023-06-17,-1.8
2023-06-18,-3.2
2023-06-19,-5.8
2023-06-20,-1.4
2023-06-21,7.1
2023-06-22,0.8
2023-06-23,-5.9
2023-06-24,-8.7
2023-06-25,-4.1
2023-06-26,29.8
2023-06-27,15.0
2023-06-28,-8.7
2023-06-29,18.8
2023-06-30,3.2
2023-07-01,17.6
2023-07-02,-0.3
2023-07-03,-1.2
2023-07-04,25.0
2023-07-05,9.9
2023-07-06,-3.9
2023-07-07,12.4
2023-07-08,7.4
2023-07-09,20.4
2023-07-10,5.3
2023-07-11,10.9
2023-07-12,-5.4
2023-07-13,26.6
2023-07-14,9.4
2023-07-15,12.4
2023-07-16,8.2
2023-07-17,28.8
2023-07-18,10.8
2023-07-19,29.2
2023-07-20,-7.8
2023-07-21,11.7
2023-07-22,9.7
2023-07-23,24.3
2023-07-24,24.3
2023-07-25,12.2
2023-07-26,-8.4
2023-07-27,-6.8
2023-07-28,1.3
2023-07-29,1.5
2023-07-30,6.2
2023-07-31,11.7
2023-08-01,5.7
2023-08-02,-6.3
2023-08-03,-1.2
2023-08-04,-9.0
2023-08-05,1.7
2023-08-06,24.9
2023-08-07,-8.5
2023-08-08,18.6
2023-08-09,-0.2
2023-08-10,-3.2
2023-08-11,-4.4
2023-08-12,12.2
2023-08-13,27.0
2023-08-14,-1.2
2023-08-15,-7.3
2023-08-16,23.9
2023-08-17,15.8
2023-08-18,16.6
2023-08-19,-0.4
2023-08-20,-6.0
2023-08-21,6.1
2023-08-22,12.5
2023-08-23,-3.2
2023-08-24,5.0
2023-08-25,27.0
2023-08-26,-1.0
2023-08-27,22.6
2023-08-28,13.0
2023-08-29,27.5
2023-08-30,-7.7
2023-08-31,6.7
2023-09-01,27.8
2023-09-02,-7.9
2023-09-03,28.4
2023-09-04,2.1
2023-09-05,-4.7
2023-09-06,8.3
2023-09-07,18.2
2023-09-08,20.4
2023-09-09,15.6
2023-09-10,13.4
2023-09-11,20.6
2023-09-12,26.2
2023-09-13,19.6
2023-09-14,11.1
2023-09-15,27.3
2023-09-16,5.4
2023-09-17,3.7
2023-09-18,14.4
2023-09-19,-2.8
2023-09-20,22.3
2023-09-21,-8.3
2023-09-22,1.8
2023-09-23,0.9
2023-09-24,-4.5
2023-09-25,3.1
2023-09-26,26.2
2023-09-27,19.9
2023-09-28,21.8
2023-09-29,17.1
2023-09-30,5.9
2023-10-01,6.7
2023-10-02,13.0
2023-10-03,24.3
2023-10-04,9.7
2023-10-05,15.4
2023-10-06,14.4
2023-10-07,-6.3
2023-10-08,22.8
2023-10-09,18.9
2023-10-10,8.2
2023-10-11,27.8
2023-10-12,0.6
2023-10-13,20.5
2023-10-14,29.0
2023-10-15,8.0
2023-10-16,-9.7
2023-10-17,1.5
2023-10-18,-5.3
2023-10-19,15.5
2023-10-20,-3.9
2023-10-21,10.2
2023-10-22,-6.7
2023-10-23,18.3
2023-10-24,-0.4
2023-10-25,15.9
2023-10-26,12.6
2023-10-27,11.8
2023-10-28,4.0
2023-10-29,6.6
2023-10-30,6.5
2023-10-31,-3.7
2023-11-01,25.6
2023-11-02,27.8
2023-11-03,15.3
2023-11-04,-8.8
2023-11-05,3.3
2023-11-06,26.4
