date,temperature
2023-06-10,15.7
2023-06-11,26.7
2023-06-12,13.5
2023-06-13,18.2
2023-06-14,31.4
2023-06-15,34.0
2023-06-16,16.2
2023-06-17,22.7
2023-06-18,25.5
2023-06-19,10.9
2023-06-20,32.4
2023-06-21,10.0
2023-06-22,22.8
2023-06-23,23.2
2023-06-24,18.9
2023-06-25,24.4
2023-06-26,30.4
2023-06-27,27.3
2023-06-28,24.5
2023-06-29,20.5
2023-06-30,20.7
2023-07-01,15.3
2023-07-02,23.0
2023-07-03,30.6
2023-07-04,26.5
2023-07-05,22.8
2023-07-06,28.8
2023-07-07,26.5
2023-07-08,10.2
2023-07-09,37.1
2023-07-10,10.2
2023-07-11,16.1
2023-07-12,16.9
2023-07-13,34.5
2023-07-14,33.2
2023-07-15,26.0
2023-07-16,20.7
2023-07-17,37.1
2023-07-18,12.4
2023-07-19,39.9
2023-07-20,36.4
2023-07-21,19.5
2023-07-22,37.0
2023-07-23,22.5
2023-07-24,12.3
2023-07-25,25.0
2023-07-26,18.5
2023-07-27,15.7
2023-07-28,12.9
2023-07-29,29.8
2023-07-30,34.9
2023-07-31,31.7
2023-08-01,24.7
2023-08-02,11.7
2023-08-03,33.4
2023-08-04,16.2
2023-08-05,26.1
2023-08-06,15.2
2023-08-07,22.3
2023-08-08,22.6
2023-08-09,25.2
2023-08-10,12.7
2023-08-11,22.0
2023-08-12,16.0
2023-08-13,21.2
2023-08-14,18.7
2023-08-15,19.3
2023-08-16,10.1
2023-08-17,31.0
2023-08-18,38.8
2023-08-19,26.4
2023-08-20,37.2
2023-08-21,16.3
2023-08-22,14.6
2023-08-23,18.4
2023-08-24,16.6
2023-08-25,12.7
2023-08-26,11.1
2023-08-27,12.1
2023-08-28,24.6
2023-08-29,35.5
2023-08-30,23.1
2023-08-31,27.4
2023-09-01,20.2
2023-09-02,35.8
2023-09-03,21.3
2023-09-04,23.7
2023-09-05,10.7
2023-09-06,32.1
2023-09-07,16.2
2023-09-08,16.6
2023-09-09,10.2
2023-09-10,28.5
2023-09-11,28.4
2023-09-12,16.5
2023-09-13,24.9
2023-09-14,32.3
2023-09-15,16.7
2023-09-16,26.8
2023-09-17,13.5
2023-09-18,28.6
2023-09-19,17.3
2023-09-20,10.4
2023-09-21,14.5
2023-09-22,28.3
2023-09-23,20.9
2023-09-24,34.5
2023-09-25,32.3
2023-09-26,10.7
2023-09-27,36.6
2023-09-28,24.7
2023-09-29,27.9
2023-09-30,12.4
2023-10-01,19.2
2023-10-02,32.3
2023-10-03,13.6
2023-10-04,37.6
2023-10-05,14.4
2023-10-06,19.1
2023-10-07,28.4
2023-10-08,34.6
2023-10-09,24.3
2023-10-10,14.7
2023-10-11,15.8
2023-10-12,15.9
2023-10-13,38.9
