date,temperature
2023-06-10,3.4
2023-06-11,5.8
2023-06-12,19.7
2023-06-13,23.2
2023-06-14,14.7
2023-06-15,22.7
2023-06-16,7.3
2023-06-17,3.8
2023-06-18,12.9
2023-06-19,18.6
2023-06-20,3.5
2023-06-21,17.6
2023-06-22,12.3
2023-06-23,7.1
2023-06-24,12.3
2023-06-25,4.3
2023-06-26,20.1
2023-06-27,9.2
2023-06-28,12.3
2023-06-29,15.1
2023-06-30,0.0
2023-07-01,21.4
2023-07-02,19.0
2023-07-03,9.0
2023-07-04,5.9
2023-07-05,0.5
2023-07-06,13.6
2023-07-07,11.3
2023-07-08,16.7
2023-07-09,18.2
2023-07-10,1.0
2023-07-11,3.6
2023-07-12,20.7
2023-07-13,23.9
2023-07-14,3.1
2023-07-15,0.4
2023-07-16,7.6
2023-07-17,21.8
2023-07-18,22.8
2023-07-19,20.0
2023-07-20,1.0
2023-07-21,19.1
2023-07-22,5.9
2023-07-23,19.4
2023-07-24,17.9
2023-07-25,21.2
2023-07-26,10.9
2023-07-27,23.8
2023-07-28,11.6
2023-07-29,20.0
2023-07-30,12.8
2023-07-31,24.0
2023-08-01,22.7
2023-08-02,5.2
2023-08-03,9.4
2023-08-04,8.3
2023-08-05,22.7
2023-08-06,23.7
2023-08-07,24.5
2023-08-08,15.4
2023-08-09,9.8
2023-08-10,3.3
2023-08-11,21.1
2023-08-12,1.2
2023-08-13,21.4
2023-08-14,5.1
2023-08-15,2.5
2023-08-16,20.3
2023-08-17,15.8
2023-08-18,17.6
2023-08-19,5.2
2023-08-20,20.7
2023-08-21,18.1
2023-08-22,23.0
2023-08-23,15.5
2023-08-24,11.2
2023-08-25,7.5
2023-08-26,4.5
2023-08-27,22.2
2023-08-28,17.9
2023-08-29,18.0
2023-08-30,7.6
2023-08-31,2.9
2023-09-01,12.8
2023-09-02,6.0
2023-09-03,0.0
2023-09-04,24.3
2023-09-05,22.4
2023-09-06,7.1
2023-09-07,12.9
2023-09-08,12.1
2023-09-09,9.2
2023-09-10,16.2
2023-09-11,17.4
2023-09-12,2.9
2023-09-13,15.0
2023-09-14,4.4
2023-09-15,4.3
2023-09-16,19.8
2023-09-17,17.7
2023-09-18,21.3
2023-09-19,23.5
2023-09-20,2.1
2023-09-21,11.4
2023-09-22,18.7
2023-09-23,17.2
2023-09-24,8.1
2023-09-25,1.4
2023-09-26,15.3
2023-09-27,5.1
2023-09-28,18.1
2023-09-29,21.2
2023-09-30,9.4
2023-10-01,5.7
2023-10-02,9.0
2023-10-03,7.8
2023-10-04,14.5
