date,temperature
2023-06-10,31.2
2023-06-11,20.5
2023-06-12,37.5
2023-06-13,20.8
2023-06-14,31.7
2023-06-15,37.5
2023-06-16,23.5
2023-06-17,37.3
2023-06-18,34.1
2023-06-19,33.4
2023-06-20,27.7
2023-06-21,18.5
2023-06-22,21.9
2023-06-23,36.2
2023-06-24,20.4
2023-06-25,14.4
2023-06-26,29.2
2023-06-27,31.9
2023-06-28,39.9
2023-06-29,16.2
2023-06-30,26.7
2023-07-01,35.2
2023-07-02,31.8
2023-07-03,15.9
2023-07-04,36.7
2023-07-05,33.2
2023-07-06,38.0
2023-07-07,37.0
2023-07-08,19.8
2023-07-09,10.1
2023-07-10,39.7
2023-07-11,28.3
2023-07-12,36.5
2023-07-13,29.8
2023-07-14,27.3
2023-07-15,14.0
2023-07-16,10.2
2023-07-17,36.7
2023-07-18,14.7
2023-07-19,12.0
2023-07-20,13.4
2023-07-21,29.4
2023-07-22,14.8
2023-07-23,25.3
2023-07-24,36.2
2023-07-25,26.3
2023-07-26,16.4
2023-07-27,30.0
2023-07-28,16.8
2023-07-29,23.3
2023-07-30,28.4
2023-07-31,27.0
2023-08-01,32.7
2023-08-02,18.4
2023-08-03,36.4
2023-08-04,15.2
2023-08-05,30.9
2023-08-06,10.2
2023-08-07,28.5
2023-08-08,16.8
2023-08-09,11.2
2023-08-10,35.4
2023-08-11,19.4
2023-08-12,34.3
2023-08-13,31.9
2023-08-14,12.8
2023-08-15,32.8
2023-08-16,27.0
2023-08-17,15.8
2023-08-18,29.5
2023-08-19,28.7
2023-08-20,36.9
2023-08-21,25.7
2023-08-22,31.4
2023-08-23,19.5
2023-08-24,32.4
2023-08-25,14.7
2023-08-26,22.0
2023-08-27,38.4
2023-08-28,11.6
2023-08-29,34.3
2023-08-30,22.2
2023-08-31,12.7
2023-09-01,23.2
2023-09-02,31.6
2023-09-03,27.0
2023-09-04,14.6
2023-09-05,35.7
2023-09-06,21.5
2023-09-07,29.4
2023-09-08,15.9
2023-09-09,36.4
2023-09-10,11.2
2023-09-11,12.5
2023-09-12,26.2
2023-09-13,22.1
2023-09-14,16.0
2023-09-15,21.9
2023-09-16,23.2
2023-09-17,32.6
2023-09-18,21.9
2023-09-19,37.1
2023-09-20,19.9
2023-09-21,33.6
2023-09-22,36.2
2023-09-23,28.8
2023-09-24,31.6
2023-09-25,26.3
2023-09-26,33.1
2023-09-27,29.7
2023-09-28,20.6
2023-09-29,17.1
2023-09-30,26.1
2023-10-01,39.0
2023-10-02,36.1
2023-10-03,29.2
2023-10-04,23.9
2023-10-05,37.8
2023-10-06,13.8
2023-10-07,30.6
2023-10-08,21.2
2023-10-09,12.7
2023-10-10,22.2
2023-10-11,28.1
2023-10-12,16.7
2023-10-13,23.1
2023-10-14,24.2
2023-10-15,27.4
2023-10-16,37.4
2023-10-17,15.3
2023-10-18,14.9
2023-10-19,27.7
2023-10-20,12.8
2023-10-21,14.8
2023-10-22,29.9
2023-10-23,22.9
2023-10-24,17.2
2023-10-25,32.8
2023-10-26,32.2
2023-10-27,13.6
2023-10-28,37.1
2023-10-29,30.3
2023-10-30,20.5
2023-10-31,10.6
2023-11-01,29.9
2023-11-02,32.5
2023-11-03,37.6
2023-11-04,37.6
2023-11-05,25.9
2023-11-06,33.3
2023-11-07,20.4
2023-11-08,39.3
2023-11-09,21.1
2023-11-10,21.0
2023-11-11,11.3
2023-11-12,23.5
2023-11-13,22.8
2023-11-14,11.6
2023-11-15,16.5
2023-11-16,24.7
2023-11-17,21.6
2023-11-18,17.9
2023-11-19,14.8
2023-11-20,23.0
2023-11-21,33.3
2023-11-22,11.0
2023-11-23,22.6
2023-11-24,22.9
2023-11-25,32.3
2023-11-26,28.2
2023-11-27,10.7
2023-11-28,12.1
2023-11-29,31.2
2023-11-30,21.5
2023-12-01,28.8
2023-12-02,33.0
2023-12-03,33.1
2023-12-04,21.2
2023-12-05,13.2
2023-12-06,30.4
2023-12-07,32.8
2023-12-08,15.0
2023-12-09,24.0
2023-12-10,25.2
2023-12-11,13.3
2023-12-12,22.3
2023-12-13,12.4
2023-12-14,37.9
2023-12-15,18.6
2023-12-16,10.2
2023-12-17,19.8
2023-12-18,33.5
2023-12-19,38.9
2023-12-20,19.2
2023-12-21,37.4
2023-12-22,38.3
2023-12-23,15.9
2023-12-24,27.6
2023-12-25,12.1
2023-12-26,33.6
2023-12-27,16.6
2023-12-28,28.5
2023-12-29,39.5
2023-12-30,28.0
2023-12-31,10.0
2024-01-01,22.2
2024-01-02,30.1
2024-01-03,27.7
2024-01-04,16.4
2024-01-05,38.4
2024-01-06,12.2
2024-01-07,25.6
2024-01-08,13.3
2024-01-09,14.5
2024-01-10,23.6
2024-01-11,34.4
2024-01-12,25.0
2024-01-13,19.1
2024-01-14,36.9
2024-01-15,15.0
2024-01-16,23.7
2024-01-17,15.6
2024-01-18,34.7
2024-01-19,17.7
2024-01-20,10.2
2024-01-21,19.8
2024-01-22,19.5
2024-01-23,32.1
2024-01-24,32.4
2024-01-25,24.3
2024-01-26,32.2
2024-01-27,39.9
2024-01-28,39.9
2024-01-29,13.8
2024-01-30,35.0
2024-01-31,32.4
2024-02-01,27.2
2024-02-02,33.9
2024-02-03,28.3
2024-02-04,19.6
2024-02-05,27.1
2024-02-06,15.2
2024-02-07,10.9
2024-02-08,13.1
2024-02-09,35.1
2024-02-10,31.7
2024-02-11,38.9
2024-02-12,19.5
2024-02-13,16.9
2024-02-14,11.7
2024-02-15,20.0
2024-02-16,10.4
2024-02-17,30.2
2024-02-18,24.7
2024-02-19,33.8
2024-02-20,20.0
2024-02-21,15.2
2024-02-22,23.8
2024-02-23,30.0
2024-02-24,37.7
2024-02-25,19.9
2024-02-26,17.1
2024-02-27,15.8
2024-02-28,11.7
2024-02-29,30.5
2024-03-01,29.8
2024-03-02,39.8
2024-03-03,28.1
2024-03-04,11.9
2024-03-05,10.6
2024-03-06,26.0
2024-03-07,31.0
2024-03-08,30.8
2024-03-09,11.0
2024-03-10,15.3
2024-03-11,33.4
2024-03-12,17.3
2024-03-13,16.6
2024-03-14,14.3
2024-03-15,12.8
2024-03-16,26.5
2024-03-17,18.6
2024-03-18,32.2
2024-03-19,37.1
2024-03-20,34.2
2024-03-21,15.4
2024-03-22,32.2
2024-03-23,37.5
2024-03-24,17.0
2024-03-25,29.1
2024-03-26,17.3
2024-03-27,29.5
2024-03-28,19.6
2024-03-29,15.4
2024-03-30,16.5
2024-03-31,36.7
2024-04-01,35.0
2024-04-02,10.9
2024-04-03,11.1
2024-04-04,23.1
2024-04-05,32.7
2024-04-06,29.9
2024-04-07,33.1
2024-04-08,12.9
2024-04-09,23.3
2024-04-10,18.9
2024-04-11,28.7
2024-04-12,30.1
2024-04-13,17.9
2024-04-14,25.7
2024-04-15,21.9
2024-04-16,35.7
2024-04-17,19.5
2024-04-18,21.8
2024-04-19,23.8
2024-04-20,26.2
2024-04-21,21.1
2024-04-22,37.0
2024-04-23,14.9
2024-04-24,22.7
2024-04-25,31.2
2024-04-26,20.0
2024-04-27,27.7
2024-04-28,22.3
2024-04-29,35.1
2024-04-30,28.6
2024-05-01,21.4
2024-05-02,33.4
2024-05-03,14.0
2024-05-04,24.3
2024-05-05,18.5
2024-05-06,33.3
2024-05-07,15.7
2024-05-08,10.5
2024-05-09,14.3
2024-05-10,18.3
2024-05-11,31.4
2024-05-12,14.7
2024-05-13,25.1
2024-05-14,38.3
2024-05-15,36.4
2024-05-16,21.0
2024-05-17,13.2
2024-05-18,29.3
2024-05-19,20.5
2024-05-20,22.7
2024-05-21,17.6
2024-05-22,39.6
2024-05-23,35.5
2024-05-24,23.2
2024-05-25,13.9
2024-05-26,36.2
2024-05-27,22.6
2024-05-28,32.6
2024-05-29,21.4
2024-05-30,27.4
2024-05-31,22.4
2024-06-01,14.4
2024-06-02,19.3
2024-06-03,27.7
2024-06-04,28.5
2024-06-05,10.7
2024-06-06,32.7
2024-06-07,15.9
2024-06-08,36.4
2024-06-09,30.9
2024-06-10,29.7
2024-06-11,33.5
2024-06-12,22.3
2024-06-13,13.7
2024-06-14,24.5
2024-06-15,19.6
2024-06-16,30.9
2024-06-17,35.6
2024-06-18,21.3
2024-06-19,23.2
2024-06-20,33.0
2024-06-21,24.6
2024-06-22,22.9
2024-06-23,35.4
2024-06-24,27.5
2024-06-25,19.9
2024-06-26,36.4
2024-06-27,27.6
2024-06-28,32.9
2024-06-29,10.8
2024-06-30,20.7
2024-07-01,26.0
2024-07-02,12.8
2024-07-03,29.6
2024-07-04,29.9
2024-07-05,12.6
2024-07-06,17.8
2024-07-07,31.2
2024-07-08,29.2
2024-07-09,19.1
2024-07-10,14.1
2024-07-11,22.3
2024-07-12,25.2
2024-07-13,38.9
2024-07-14,27.5
2024-07-15,38.8
2024-07-16,12.8
2024-07-17,19.7
2024-07-18,22.7
2024-07-19,24.8
2024-07-20,30.3
2024-07-21,15.3
2024-07-22,12.9
2024-07-23,27.6
2024-07-24,23.6
2024-07-25,31.1
2024-07-26,34.1
2024-07-27,28.3
2024-07-28,21.4
2024-07-29,39.1
2024-07-30,11.9
2024-07-31,32.1
2024-08-01,23.5
2024-08-02,10.9
2024-08-03,32.6
2024-08-04,34.5
2024-08-05,10.1
2024-08-06,34.3
2024-08-07,15.9
2024-08-08,12.8
2024-08-09,27.2
2024-08-10,38.2
2024-08-11,38.0
2024-08-12,36.6
2024-08-13,19.4
2024-08-14,15.3
2024-08-15,25.9
2024-08-16,23.6
2024-08-17,39.8
2024-08-18,17.7
2024-08-19,39.1
2024-08-20,33.3
2024-08-21,29.3
2024-08-22,29.7
2024-08-23,12.8
2024-08-24,18.5
2024-08-25,22.3
2024-08-26,31.6
2024-08-27,28.8
2024-08-28,21.8
2024-08-29,28.7
2024-08-30,17.7
2024-08-31,18.4
2024-09-01,30.6
2024-09-02,28.7
2024-09-03,22.7
2024-09-04,19.7
2024-09-05,34.9
2024-09-06,38.0
2024-09-07,31.2
2024-09-08,23.0
2024-09-09,14.0
2024-09-10,35.1
2024-09-11,21.6
2024-09-12,34.9
2024-09-13,19.3
2024-09-14,17.3
2024-09-15,34.7
2024-09-16,15.7
2024-09-17,10.2
2024-09-18,22.2
2024-09-19,16.1
2024-09-20,20.8
2024-09-21,34.9
2024-09-22,27.9
2024-09-23,21.6
2024-09-24,27.2
2024-09-25,21.6
2024-09-26,21.2
2024-09-27,28.0
2024-09-28,35.2
2024-09-29,14.0
2024-09-30,33.8
2024-10-01,27.7
2024-10-02,27.5
2024-10-03,36.7
2024-10-04,12.6
2024-10-05,21.1
2024-10-06,28.6
2024-10-07,25.5
2024-10-08,28.0
2024-10-09,22.6
2024-10-10,13.8
2024-10-11,19.6
2024-10-12,28.6
2024-10-13,37.7
2024-10-14,16.3
2024-10-15,13.5
2024-10-16,15.2
2024-10-17,34.1
2024-10-18,14.6
2024-10-19,25.8
2024-10-20,14.6
2024-10-21,28.6
2024-10-22,29.8
2024-10-23,23.6
2024-10-24,22.1
2024-10-25,21.9
2024-10-26,17.7
2024-10-27,37.6
2024-10-28,24.8
2024-10-29,13.2
2024-10-30,27.2
2024-10-31,14.9
2024-11-01,25.3
2024-11-02,16.3
2024-11-03,19.5
2024-11-04,32.2
2024-11-05,37.0
2024-11-06,17.1
2024-11-07,34.3
2024-11-08,30.9
2024-11-09,15.5
2024-11-10,39.7
2024-11-11,19.7
2024-11-12,33.8
2024-11-13,24.8
2024-11-14,29.8
2024-11-15,10.1
2024-11-16,34.1
2024-11-17,32.1
2024-11-18,30.8
2024-11-19,14.9
2024-11-20,14.0
2024-11-21,22.5
2024-11-22,30.2
2024-11-23,34.4
2024-11-24,37.8
2024-11-25,14.2
2024-11-26,40.0
2024-11-27,35.1
2024-11-28,17.0
2024-11-29,21.0
2024-11-30,20.4
2024-12-01,16.4
2024-12-02,24.9
2024-12-03,28.0
2024-12-04,26.7
2024-12-05,29.7
2024-12-06,23.3
2024-12-07,24.8
2024-12-08,28.6
2024-12-09,32.3
2024-12-10,12.6
2024-12-11,22.0
2024-12-12,17.6
2024-12-13,28.7
2024-12-14,24.7
2024-12-15,22.5
2024-12-16,27.1
2024-12-17,25.7
2024-12-18,37.1
2024-12-19,14.1
2024-12-20,19.2
2024-12-21,17.2
2024-12-22,39.4
2024-12-23,16.0
2024-12-24,33.7
2024-12-25,21.5
2024-12-26,18.0
2024-12-27,14.4
2024-12-28,32.9
2024-12-29,27.2
2024-12-30,29.8
2024-12-31,20.4
2025-01-01,32.7
2025-01-02,23.2
2025-01-03,11.7
2025-01-04,35.6
2025-01-05,10.1
2025-01-06,14.0
2025-01-07,33.1
2025-01-08,14.0
2025-01-09,16.9
2025-01-10,34.2
2025-01-11,12.5
2025-01-12,14.9
2025-01-13,39.1
2025-01-14,29.3
2025-01-15,28.0
2025-01-16,31.1
2025-01-17,22.0
2025-01-18,14.0
2025-01-19,22.4
2025-01-20,30.2
2025-01-21,24.9
2025-01-22,12.9
2025-01-23,38.8
2025-01-24,20.7
2025-01-25,26.9
2025-01-26,21.8
2025-01-27,28.2
2025-01-28,13.1
2025-01-29,18.4
2025-01-30,16.3
2025-01-31,22.3
2025-02-01,33.6
2025-02-02,16.9
2025-02-03,15.1
2025-02-04,12.3
2025-02-05,34.1
2025-02-06,37.4
2025-02-07,29.9
2025-02-08,31.3
2025-02-09,22.5
2025-02-10,10.5
2025-02-11,14.3
2025-02-12,19.7
2025-02-13,29.6
2025-02-14,31.6
2025-02-15,12.4
2025-02-16,27.9
2025-02-17,19.7
2025-02-18,38.3
2025-02-19,39.6
2025-02-20,37.3
2025-02-21,23.4
2025-02-22,23.6
2025-02-23,21.9
2025-02-24,14.0
2025-02-25,35.7
2025-02-26,36.9
2025-02-27,24.7
2025-02-28,26.9
2025-03-01,14.0
2025-03-02,13.1
2025-03-03,38.9
2025-03-04,11.0
2025-03-05,18.7
2025-03-06,20.4
2025-03-07,30.2
2025-03-08,35.4
2025-03-09,38.6
2025-03-10,27.4
2025-03-11,32.7
2025-03-12,10.2
2025-03-13,19.5
2025-03-14,31.6
2025-03-15,33.7
2025-03-16,19.7
2025-03-17,14.0
2025-03-18,24.4
2025-03-19,37.9
2025-03-20,19.0
2025-03-21,21.5
2025-03-22,17.5
2025-03-23,19.3
2025-03-24,21.1
2025-03-25,20.5
2025-03-26,18.7
2025-03-27,39.6
2025-03-28,11.1
2025-03-29,35.0
2025-03-30,27.0
2025-03-31,11.2
2025-04-01,37.7
2025-04-02,37.9
2025-04-03,15.2
2025-04-04,35.3
2025-04-05,38.7
2025-04-06,25.2
2025-04-07,29.8
2025-04-08,23.8
2025-04-09,17.4
2025-04-10,33.8
2025-04-11,17.9
2025-04-12,13.2
2025-04-13,25.9
2025-04-14,35.4
2025-04-15,11.6
2025-04-16,10.3
2025-04-17,31.0
2025-04-18,19.1
2025-04-19,38.0
2025-04-20,15.6
2025-04-21,31.0
2025-04-22,26.2
2025-04-23,24.9
2025-04-24,26.1
2025-04-25,19.3
2025-04-26,32.2
2025-04-27,12.4
2025-04-28,10.9
2025-04-29,13.9
2025-04-30,29.4
2025-05-01,19.9
2025-05-02,32.9
2025-05-03,16.5
2025-05-04,27.1
2025-05-05,30.9
2025-05-06,15.5
2025-05-07,28.5
2025-05-08,29.7
2025-05-09,11.6
2025-05-10,23.7
2025-05-11,18.2
2025-05-12,25.5
2025-05-13,37.1
2025-05-14,10.5
2025-05-15,12.0
2025-05-16,16.9
2025-05-17,23.1
2025-05-18,29.3
2025-05-19,25.7
2025-05-20,20.0
2025-05-21,37.8
2025-05-22,14.0
2025-05-23,16.1
2025-05-24,21.7
2025-05-25,35.0
2025-05-26,25.2
2025-05-27,26.3
2025-05-28,38.6
2025-05-29,37.7
2025-05-30,14.6
2025-05-31,15.6
2025-06-01,10.2
2025-06-02,18.7
2025-06-03,10.1
2025-06-04,12.4
2025-06-05,27.7
2025-06-06,27.3
2025-06-07,12.6
2025-06-08,18.7
