date,temperature
2023-06-10,24.0
2023-06-11,-8.5
2023-06-12,21.2
2023-06-13,-1.1
2023-06-14,-3.1
2023-06-15,26.3
2023-06-16,5.3
2023-06-17,28.8
2023-06-18,11.4
2023-06-19,5.8
2023-06-20,12.9
2023-06-21,28.1
2023-06-22,-3.2
2023-06-23,6.7
2023-06-24,24.8
2023-06-25,13.8
2023-06-26,7.7
2023-06-27,3.0
2023-06-28,-5.8
2023-06-29,1.7
2023-06-30,20.0
2023-07-01,19.2
2023-07-02,24.5
2023-07-03,25.4
2023-07-04,-2.1
2023-07-05,4.5
2023-07-06,-4.6
2023-07-07,-7.6
2023-07-08,2.6
2023-07-09,16.4
2023-07-10,4.3
2023-07-11,5.9
2023-07-12,10.6
2023-07-13,22.5
2023-07-14,22.0
2023-07-15,9.6
2023-07-16,25.9
2023-07-17,-4.4
2023-07-18,14.8
2023-07-19,-4.8
2023-07-20,-7.5
2023-07-21,7.3
2023-07-22,-7.9
2023-07-23,8.7
2023-07-24,-1.5
2023-07-25,23.5
2023-07-26,5.0
2023-07-27,8.3
2023-07-28,4.2
2023-07-29,-2.5
2023-07-30,29.2
2023-07-31,15.4
2023-08-01,-6.3
2023-08-02,8.1
2023-08-03,27.2
2023-08-04,-4.9
2023-08-05,-6.8
2023-08-06,2.5
2023-08-07,4.3
2023-08-08,12.1
2023-08-09,16.9
2023-08-10,26.2
2023-08-11,21.9
2023-08-12,26.5
2023-08-13,-9.1
2023-08-14,-2.8
2023-08-15,16.2
2023-08-16,7.4
2023-08-17,8.3
2023-08-18,2.9
2023-08-19,-4.2
2023-08-20,18.7
2023-08-21,-7.2
2023-08-22,28.1
2023-08-23,9.7
2023-08-24,-8.9
2023-08-25,-0.6
2023-08-26,4.2
2023-08-27,21.8
2023-08-28,7.2
2023-08-29,-10.0
2023-08-30,18.3
2023-08-31,29.8
2023-09-01,19.4
2023-09-02,14.7
2023-09-03,4.0
2023-09-04,26.1
2023-09-05,11.3
2023-09-06,3.9
2023-09-07,28.6
2023-09-08,20.1
2023-09-09,11.5
2023-09-10,1.4
2023-09-11,6.9
2023-09-12,1.4
2023-09-13,14.0
2023-09-14,16.7
2023-09-15,15.3
2023-09-16,-3.9
2023-09-17,22.3
2023-09-18,-2.5
2023-09-19,-6.9
2023-09-20,16.9
2023-09-21,6.4
2023-09-22,22.4
2023-09-23,29.8
2023-09-24,-9.5
2023-09-25,1.8
2023-09-26,24.4
2023-09-27,-8.8
2023-09-28,-2.0
2023-09-29,-7.7
2023-09-30,-5.3
2023-10-01,4.2
2023-10-02,-6.3
2023-10-03,2.9
2023-10-04,28.2
2023-10-05,9.0
2023-10-06,13.2
2023-10-07,-1.4
2023-10-08,21.3
2023-10-09,26.4
2023-10-10,1.6
2023-10-11,6.3
2023-10-12,10.0
2023-10-13,-8.0
2023-10-14,17.8
2023-10-15,-7.5
2023-10-16,16.1
2023-10-17,17.0
2023-10-18,14.4
2023-10-19,22.4
2023-10-20,16.1
2023-10-21,16.8
2023-10-22,-5.3
2023-10-23,21.7
2023-10-24,0.0
2023-10-25,2.6
2023-10-26,-7.2
2023-10-27,15.7
2023-10-28,-0.6
2023-10-29,0.3
2023-10-30,-2.1
2023-10-31,8.2
2023-11-01,6.4
2023-11-02,16.7
2023-11-03,2.0
2023-11-04,-5.0
2023-11-05,-9.6
2023-11-06,14.3
2023-11-07,-4.7
2023-11-08,16.6
2023-11-09,3.4
2023-11-10,20.5
2023-11-11,25.1
2023-11-12,-9.0
2023-11-13,22.9
2023-11-14,14.7
2023-11-15,16.5
2023-11-16,-9.8
2023-11-17,-4.5
2023-11-18,28.3
2023-11-19,-4.1
2023-11-20,-1.2
2023-11-21,2.2
2023-11-22,9.8
2023-11-23,24.3
2023-11-24,-2.1
2023-11-25,7.9
2023-11-26,10.1
2023-11-27,24.9
2023-11-28,4.7
2023-11-29,29.0
2023-11-30,23.0
2023-12-01,25.9
2023-12-02,22.4
2023-12-03,26.6
2023-12-04,26.0
2023-12-05,6.7
2023-12-06,27.2
2023-12-07,9.9
2023-12-08,8.0
2023-12-09,-8.3
2023-12-10,-8.7
2023-12-11,10.4
2023-12-12,23.9
2023-12-13,11.0
2023-12-14,23.2
2023-12-15,-4.2
2023-12-16,23.0
2023-12-17,-5.5
2023-12-18,19.8
2023-12-19,15.6
2023-12-20,-3.1
2023-12-21,14.3
2023-12-22,13.4
2023-12-23,1.8
2023-12-24,-4.3
2023-12-25,19.5
2023-12-26,-7.7
2023-12-27,26.0
2023-12-28,26.0
2023-12-29,24.5
2023-12-30,19.9
2023-12-31,11.0
2024-01-01,10.3
2024-01-02,17.5
2024-01-03,-2.3
2024-01-04,29.9
2024-01-05,14.9
2024-01-06,13.6
2024-01-07,-8.4
2024-01-08,2.2
2024-01-09,2.0
2024-01-10,-0.6
2024-01-11,7.6
2024-01-12,4.1
2024-01-13,21.7
2024-01-14,26.8
2024-01-15,-5.6
2024-01-16,3.1
2024-01-17,9.9
2024-01-18,-6.0
2024-01-19,10.3
2024-01-20,-3.5
2024-01-21,15.2
2024-01-22,26.7
2024-01-23,-3.1
2024-01-24,26.5
2024-01-25,21.0
2024-01-26,8.5
2024-01-27,17.4
2024-01-28,19.1
2024-01-29,23.5
2024-01-30,-2.5
2024-01-31,12.6
2024-02-01,25.2
2024-02-02,-7.2
2024-02-03,24.3
2024-02-04,6.7
2024-02-05,-3.3
2024-02-06,5.8
2024-02-07,25.7
2024-02-08,8.0
2024-02-09,-8.7
2024-02-10,-7.0
2024-02-11,-7.7
2024-02-12,11.8
2024-02-13,22.7
2024-02-14,-3.7
2024-02-15,10.6
2024-02-16,-3.7
2024-02-17,-0.6
2024-02-18,-3.2
2024-02-19,27.5
2024-02-20,16.3
2024-02-21,1.0
2024-02-22,-3.0
2024-02-23,27.3
2024-02-24,-1.8
2024-02-25,20.0
2024-02-26,4.1
2024-02-27,23.1
2024-02-28,23.7
2024-02-29,29.2
2024-03-01,21.7
2024-03-02,11.7
2024-03-03,18.4
2024-03-04,1.1
2024-03-05,1.0
2024-03-06,21.0
2024-03-07,4.4
2024-03-08,-1.5
2024-03-09,11.5
2024-03-10,17.2
