date,temperature
2023-06-10,26.2
2023-06-11,19.3
2023-06-12,13.4
2023-06-13,28.7
2023-06-14,16.4
2023-06-15,16.6
2023-06-16,10.3
2023-06-17,17.1
2023-06-18,23.4
2023-06-19,28.5
2023-06-20,11.3
2023-06-21,10.5
2023-06-22,17.8
2023-06-23,22.5
2023-06-24,23.4
2023-06-25,12.7
2023-06-26,14.0
2023-06-27,12.0
2023-06-28,26.2
2023-06-29,15.2
2023-06-30,12.3
2023-07-01,20.0
2023-07-02,23.8
2023-07-03,14.4
2023-07-04,15.0
2023-07-05,28.7
2023-07-06,22.6
2023-07-07,24.2
2023-07-08,22.8
2023-07-09,12.6
2023-07-10,17.7
2023-07-11,12.0
2023-07-12,18.0
2023-07-13,15.4
2023-07-14,17.1
2023-07-15,20.9
2023-07-16,18.7
2023-07-17,24.1
2023-07-18,20.4
2023-07-19,28.1
2023-07-20,25.0
2023-07-21,23.1
2023-07-22,12.5
2023-07-23,12.4
2023-07-24,29.5
2023-07-25,18.9
2023-07-26,28.1
2023-07-27,11.8
2023-07-28,13.5
2023-07-29,17.1
2023-07-30,10.4
2023-07-31,17.9
2023-08-01,10.5
2023-08-02,22.3
2023-08-03,24.4
2023-08-04,29.9
2023-08-05,14.7
2023-08-06,13.2
2023-08-07,29.7
2023-08-08,10.7
2023-08-09,29.8
2023-08-10,10.9
2023-08-11,18.9
2023-08-12,27.5
2023-08-13,21.6
2023-08-14,24.6
2023-08-15,26.8
2023-08-16,12.7
2023-08-17,18.5
2023-08-18,28.5
2023-08-19,18.6
2023-08-20,15.6
2023-08-21,28.0
2023-08-22,25.7
2023-08-23,24.0
2023-08-24,10.1
2023-08-25,28.3
2023-08-26,23.1
2023-08-27,21.4
2023-08-28,20.3
2023-08-29,20.3
2023-08-30,23.6
2023-08-31,24.2
2023-09-01,21.6
2023-09-02,10.1
2023-09-03,13.3
2023-09-04,15.4
2023-09-05,28.9
2023-09-06,10.2
2023-09-07,21.0
2023-09-08,13.4
2023-09-09,24.0
2023-09-10,10.3
2023-09-11,29.1
2023-09-12,12.1
2023-09-13,18.7
2023-09-14,22.5
2023-09-15,16.4
2023-09-16,10.6
2023-09-17,22.5
2023-09-18,14.4
2023-09-19,23.1
2023-09-20,15.3
2023-09-21,25.3
2023-09-22,26.6
2023-09-23,15.9
2023-09-24,28.6
2023-09-25,15.1
2023-09-26,18.6
2023-09-27,11.4
2023-09-28,25.8
2023-09-29,14.2
2023-09-30,22.6
2023-10-01,17.5
2023-10-02,28.6
2023-10-03,17.0
2023-10-04,18.1
2023-10-05,20.5
2023-10-06,11.9
2023-10-07,23.0
2023-10-08,12.2
2023-10-09,13.1
2023-10-10,28.7
2023-10-11,24.1
2023-10-12,10.7
2023-10-13,23.2
2023-10-14,25.2
2023-10-15,18.0
2023-10-16,26.7
2023-10-17,24.5
2023-10-18,22.9
2023-10-19,11.2
2023-10-20,15.8
2023-10-21,23.0
2023-10-22,25.5
2023-10-23,18.7
2023-10-24,11.1
2023-10-25,22.2
2023-10-26,28.7
2023-10-27,29.0
2023-10-28,22.1
2023-10-29,19.9
2023-10-30,15.5
2023-10-31,25.9
2023-11-01,29.3
2023-11-02,27.5
2023-11-03,25.1
2023-11-04,21.4
2023-11-05,22.5
2023-11-06,17.1
2023-11-07,14.6
2023-11-08,12.2
2023-11-09,21.4
2023-11-10,23.4
2023-11-11,27.5
2023-11-12,12.7
2023-11-13,13.4
2023-11-14,16.7
2023-11-15,17.5
2023-11-16,12.7
2023-11-17,24.1
2023-11-18,21.9
2023-11-19,18.8
2023-11-20,22.2
2023-11-21,21.7
2023-11-22,24.7
2023-11-23,10.6
2023-11-24,24.3
2023-11-25,20.5
2023-11-26,18.6
2023-11-27,13.3
2023-11-28,11.8
2023-11-29,24.6
2023-11-30,16.6
2023-12-01,21.6
2023-12-02,10.6
2023-12-03,27.5
2023-12-04,16.3
2023-12-05,25.5
2023-12-06,16.6
2023-12-07,20.3
2023-12-08,22.6
2023-12-09,16.4
2023-12-10,21.9
2023-12-11,24.4
2023-12-12,18.1
2023-12-13,14.8
2023-12-14,24.6
2023-12-15,24.4
2023-12-16,24.9
2023-12-17,10.4
2023-12-18,22.4
2023-12-19,17.4
2023-12-20,15.5
2023-12-21,21.9
2023-12-22,19.4
2023-12-23,21.3
2023-12-24,19.6
2023-12-25,10.5
2023-12-26,15.3
2023-12-27,24.2
2023-12-28,25.3
2023-12-29,11.1
2023-12-30,17.7
2023-12-31,15.7
2024-01-01,13.7
2024-01-02,11.6
2024-01-03,19.4
2024-01-04,28.9
2024-01-05,20.5
2024-01-06,12.3
2024-01-07,11.1
2024-01-08,14.7
2024-01-09,27.6
2024-01-10,13.1
2024-01-11,29.9
2024-01-12,12.9
2024-01-13,21.9
2024-01-14,25.8
2024-01-15,17.4
2024-01-16,22.5
2024-01-17,25.5
2024-01-18,12.2
2024-01-19,21.6
2024-01-20,15.9
2024-01-21,15.0
2024-01-22,10.8
2024-01-23,20.0
2024-01-24,18.2
2024-01-25,15.6
2024-01-26,19.6
2024-01-27,24.6
2024-01-28,11.3
2024-01-29,21.4
2024-01-30,12.6
2024-01-31,27.7
2024-02-01,13.8
2024-02-02,16.8
2024-02-03,19.8
2024-02-04,23.8
2024-02-05,19.8
2024-02-06,17.1
2024-02-07,12.9
2024-02-08,11.1
2024-02-09,22.3
2024-02-10,26.8
2024-02-11,18.7
2024-02-12,12.4
2024-02-13,18.2
2024-02-14,27.2
2024-02-15,15.9
2024-02-16,16.4
2024-02-17,15.7
2024-02-18,12.4
2024-02-19,13.9
2024-02-20,27.6
2024-02-21,20.0
2024-02-22,19.0
2024-02-23,29.2
2024-02-24,27.4
2024-02-25,24.3
2024-02-26,27.0
2024-02-27,16.5
2024-02-28,11.9
2024-02-29,25.9
2024-03-01,14.7
2024-03-02,22.9
2024-03-03,13.8
2024-03-04,21.7
2024-03-05,29.7
2024-03-06,23.6
2024-03-07,26.7
2024-03-08,26.1
2024-03-09,23.3
2024-03-10,19.0
2024-03-11,16.7
2024-03-12,21.2
2024-03-13,24.8
2024-03-14,22.5
2024-03-15,15.9
2024-03-16,28.0
2024-03-17,17.8
2024-03-18,20.8
2024-03-19,28.3
2024-03-20,16.8
2024-03-21,18.9
2024-03-22,22.7
2024-03-23,20.4
2024-03-24,30.0
2024-03-25,25.9
2024-03-26,13.6
2024-03-27,23.0
2024-03-28,28.8
2024-03-29,24.6
2024-03-30,23.5
2024-03-31,24.3
2024-04-01,16.8
2024-04-02,19.5
2024-04-03,29.9
2024-04-04,17.0
2024-04-05,15.7
2024-04-06,29.4
2024-04-07,12.9
2024-04-08,25.6
2024-04-09,23.6
2024-04-10,11.5
2024-04-11,18.4
2024-04-12,21.5
2024-04-13,24.1
2024-04-14,17.7
2024-04-15,12.6
2024-04-16,21.3
2024-04-17,24.3
2024-04-18,15.7
2024-04-19,21.6
2024-04-20,16.4
2024-04-21,18.2
2024-04-22,19.9
2024-04-23,13.9
2024-04-24,14.1
2024-04-25,25.8
2024-04-26,16.1
2024-04-27,17.7
2024-04-28,11.3
2024-04-29,15.7
2024-04-30,27.5
2024-05-01,13.6
2024-05-02,10.6
2024-05-03,13.2
2024-05-04,20.9
2024-05-05,27.1
2024-05-06,29.2
2024-05-07,10.3
2024-05-08,22.9
2024-05-09,24.0
2024-05-10,16.4
2024-05-11,23.8
2024-05-12,29.9
2024-05-13,14.3
2024-05-14,13.3
2024-05-15,24.0
2024-05-16,18.3
2024-05-17,24.3
2024-05-18,28.6
2024-05-19,22.2
2024-05-20,14.7
2024-05-21,17.7
2024-05-22,10.8
2024-05-23,15.8
2024-05-24,26.0
2024-05-25,26.4
2024-05-26,16.0
2024-05-27,15.9
2024-05-28,17.0
2024-05-29,20.0
2024-05-30,23.3
2024-05-31,17.2
2024-06-01,21.8
2024-06-02,21.0
2024-06-03,23.7
2024-06-04,16.4
2024-06-05,10.9
2024-06-06,20.1
2024-06-07,27.4
2024-06-08,25.8
2024-06-09,18.2
2024-06-10,14.5
2024-06-11,11.7
2024-06-12,16.4
2024-06-13,21.0
2024-06-14,11.9
2024-06-15,29.3
2024-06-16,27.6
2024-06-17,14.4
2024-06-18,18.5
2024-06-19,26.2
2024-06-20,23.2
2024-06-21,20.7
2024-06-22,18.9
2024-06-23,24.6
2024-06-24,27.5
2024-06-25,23.5
2024-06-26,14.9
2024-06-27,13.0
2024-06-28,28.6
2024-06-29,26.8
2024-06-30,27.3
2024-07-01,28.8
2024-07-02,21.4
2024-07-03,17.3
2024-07-04,16.5
2024-07-05,28.8
2024-07-06,15.6
2024-07-07,19.0
2024-07-08,20.0
2024-07-09,26.9
2024-07-10,22.0
2024-07-11,11.4
2024-07-12,13.4
2024-07-13,13.3
2024-07-14,25.4
2024-07-15,13.6
2024-07-16,24.4
2024-07-17,13.8
2024-07-18,24.1
2024-07-19,24.2
2024-07-20,23.9
2024-07-21,26.2
2024-07-22,21.4
2024-07-23,24.5
2024-07-24,18.2
2024-07-25,14.5
2024-07-26,26.1
2024-07-27,22.2
2024-07-28,12.0
2024-07-29,17.8
2024-07-30,26.5
2024-07-31,16.0
2024-08-01,28.1
2024-08-02,29.6
2024-08-03,14.3
2024-08-04,19.1
2024-08-05,26.8
2024-08-06,26.4
2024-08-07,21.1
2024-08-08,29.3
2024-08-09,10.4
2024-08-10,18.1
2024-08-11,29.1
2024-08-12,19.3
2024-08-13,10.8
2024-08-14,26.9
2024-08-15,16.8
2024-08-16,25.7
2024-08-17,28.2
2024-08-18,24.9
2024-08-19,21.2
2024-08-20,21.3
2024-08-21,29.2
2024-08-22,25.1
2024-08-23,20.9
2024-08-24,28.7
2024-08-25,27.9
2024-08-26,21.3
2024-08-27,11.6
2024-08-28,16.5
2024-08-29,14.6
2024-08-30,14.7
2024-08-31,20.1
2024-09-01,21.6
2024-09-02,27.4
2024-09-03,18.0
2024-09-04,22.8
2024-09-05,26.3
2024-09-06,22.1
2024-09-07,16.0
2024-09-08,28.0
2024-09-09,16.9
2024-09-10,25.3
2024-09-11,29.7
2024-09-12,28.7
2024-09-13,18.1
2024-09-14,18.5
2024-09-15,27.2
2024-09-16,26.2
2024-09-17,17.5
2024-09-18,17.0
2024-09-19,29.4
2024-09-20,24.8
2024-09-21,15.9
2024-09-22,19.4
2024-09-23,10.1
2024-09-24,11.7
2024-09-25,21.2
2024-09-26,22.2
2024-09-27,29.1
2024-09-28,26.9
2024-09-29,20.6
2024-09-30,16.3
2024-10-01,28.2
2024-10-02,28.5
2024-10-03,13.1
2024-10-04,14.1
2024-10-05,19.4
2024-10-06,11.1
2024-10-07,10.6
2024-10-08,17.2
2024-10-09,29.5
2024-10-10,18.8
2024-10-11,12.3
2024-10-12,20.6
2024-10-13,10.2
2024-10-14,28.4
2024-10-15,11.2
2024-10-16,24.7
2024-10-17,17.6
2024-10-18,25.7
2024-10-19,10.3
2024-10-20,20.4
2024-10-21,25.4
2024-10-22,22.2
2024-10-23,15.5
2024-10-24,25.5
2024-10-25,25.3
2024-10-26,25.4
2024-10-27,29.4
2024-10-28,12.2
2024-10-29,26.0
2024-10-30,18.5
2024-10-31,10.4
2024-11-01,17.5
2024-11-02,13.7
2024-11-03,13.2
2024-11-04,28.8
2024-11-05,29.9
2024-11-06,22.2
2024-11-07,28.3
2024-11-08,21.5
2024-11-09,16.0
2024-11-10,25.2
2024-11-11,10.1
2024-11-12,26.4
2024-11-13,10.0
2024-11-14,19.6
2024-11-15,21.0
2024-11-16,20.7
2024-11-17,16.4
2024-11-18,12.7
2024-11-19,11.5
2024-11-20,24.9
2024-11-21,21.5
2024-11-22,19.5
2024-11-23,21.1
2024-11-24,27.6
2024-11-25,16.3
2024-11-26,12.7
2024-11-27,12.8
2024-11-28,25.7
2024-11-29,26.8
2024-11-30,13.4
2024-12-01,29.9
2024-12-02,18.6
2024-12-03,24.2
2024-12-04,29.3
2024-12-05,29.1
2024-12-06,25.7
2024-12-07,19.4
2024-12-08,25.9
2024-12-09,14.9
