date,temperature
2023-06-10,18.1
2023-06-11,25.7
2023-06-12,17.2
2023-06-13,16.5
2023-06-14,16.9
2023-06-15,11.5
2023-06-16,21.8
2023-06-17,15.2
2023-06-18,10.4
2023-06-19,18.2
2023-06-20,29.6
2023-06-21,29.7
2023-06-22,13.0
2023-06-23,25.8
2023-06-24,23.4
2023-06-25,18.0
2023-06-26,25.8
2023-06-27,11.3
2023-06-28,13.2
2023-06-29,19.6
2023-06-30,21.7
2023-07-01,26.4
2023-07-02,18.5
2023-07-03,11.8
2023-07-04,30.0
2023-07-05,12.4
2023-07-06,26.0
2023-07-07,28.1
2023-07-08,26.1
2023-07-09,13.8
2023-07-10,19.9
2023-07-11,23.4
2023-07-12,21.7
2023-07-13,26.1
2023-07-14,17.0
2023-07-15,10.7
2023-07-16,24.5
2023-07-17,11.4
2023-07-18,17.4
2023-07-19,17.0
2023-07-20,29.5
2023-07-21,20.1
2023-07-22,29.4
2023-07-23,19.7
2023-07-24,21.3
2023-07-25,11.1
2023-07-26,25.2
2023-07-27,10.9
2023-07-28,10.1
2023-07-29,25.8
2023-07-30,17.2
2023-07-31,28.6
2023-08-01,17.0
2023-08-02,12.6
2023-08-03,13.2
2023-08-04,14.0
2023-08-05,20.8
2023-08-06,12.6
2023-08-07,28.3
2023-08-08,14.9
2023-08-09,24.6
2023-08-10,19.6
2023-08-11,24.2
2023-08-12,28.3
2023-08-13,26.2
2023-08-14,23.1
2023-08-15,28.1
2023-08-16,14.1
2023-08-17,12.4
2023-08-18,21.9
2023-08-19,25.4
2023-08-20,22.2
2023-08-21,26.2
2023-08-22,20.7
2023-08-23,21.0
2023-08-24,24.2
2023-08-25,24.4
2023-08-26,14.4
2023-08-27,18.2
2023-08-28,27.2
2023-08-29,17.1
2023-08-30,22.8
2023-08-31,11.5
2023-09-01,14.4
2023-09-02,26.9
2023-09-03,27.9
2023-09-04,10.6
2023-09-05,17.5
2023-09-06,23.9
2023-09-07,24.0
2023-09-08,21.3
2023-09-09,15.2
2023-09-10,16.0
2023-09-11,11.9
2023-09-12,27.7
2023-09-13,26.2
2023-09-14,19.4
2023-09-15,26.0
2023-09-16,21.1
2023-09-17,11.7
2023-09-18,12.5
2023-09-19,29.9
2023-09-20,16.2
2023-09-21,12.8
2023-09-22,21.1
2023-09-23,17.5
2023-09-24,29.2
2023-09-25,12.9
2023-09-26,21.0
2023-09-27,25.3
2023-09-28,28.8
2023-09-29,28.8
2023-09-30,22.7
2023-10-01,14.1
2023-10-02,17.6
2023-10-03,12.4
2023-10-04,19.6
2023-10-05,20.9
2023-10-06,19.0
2023-10-07,12.1
2023-10-08,27.1
2023-10-09,14.5
2023-10-10,24.6
2023-10-11,24.6
2023-10-12,27.6
2023-10-13,29.9
2023-10-14,20.5
2023-10-15,29.4
2023-10-16,19.2
2023-10-17,16.0
2023-10-18,22.4
2023-10-19,26.9
2023-10-20,18.3
2023-10-21,19.1
2023-10-22,29.1
2023-10-23,20.0
2023-10-24,28.1
2023-10-25,20.8
2023-10-26,23.4
2023-10-27,16.0
2023-10-28,24.2
2023-10-29,21.0
2023-10-30,14.2
2023-10-31,29.9
2023-11-01,23.5
2023-11-02,27.2
2023-11-03,13.1
2023-11-04,26.1
2023-11-05,26.6
2023-11-06,15.7
2023-11-07,19.9
2023-11-08,12.0
2023-11-09,23.0
2023-11-10,15.2
2023-11-11,20.9
2023-11-12,18.4
2023-11-13,24.3
2023-11-14,25.1
