date,temperature
2023-06-10,-0.3
2023-06-11,-3.0
2023-06-12,12.4
2023-06-13,20.7
2023-06-14,28.6
2023-06-15,9.7
2023-06-16,24.1
2023-06-17,21.7
2023-06-18,27.1
2023-06-19,9.5
2023-06-20,24.7
2023-06-21,16.2
2023-06-22,-3.8
2023-06-23,1.4
2023-06-24,24.2
2023-06-25,11.0
2023-06-26,0.8
2023-06-27,-0.1
2023-06-28,3.4
2023-06-29,28.8
2023-06-30,-2.8
2023-07-01,13.7
2023-07-02,4.0
2023-07-03,-4.5
2023-07-04,27.6
2023-07-05,-3.2
2023-07-06,26.8
2023-07-07,7.4
2023-07-08,12.9
2023-07-09,-4.6
2023-07-10,12.6
2023-07-11,-3.8
2023-07-12,18.7
2023-07-13,28.2
2023-07-14,0.9
2023-07-15,13.4
2023-07-16,12.7
2023-07-17,20.4
2023-07-18,21.8
2023-07-19,23.9
2023-07-20,10.4
2023-07-21,22.9
2023-07-22,14.2
2023-07-23,4.4
2023-07-24,23.4
2023-07-25,15.2
2023-07-26,19.3
2023-07-27,25.6
2023-07-28,8.2
2023-07-29,7.4
2023-07-30,3.0
2023-07-31,26.6
2023-08-01,8.3
2023-08-02,17.2
2023-08-03,17.7
2023-08-04,-3.0
2023-08-05,1.5
2023-08-06,17.8
2023-08-07,1.3
2023-08-08,29.9
2023-08-09,11.8
2023-08-10,0.6
2023-08-11,5.7
2023-08-12,0.7
2023-08-13,14.4
2023-08-14,-2.3
2023-08-15,3.3
2023-08-16,-2.5
2023-08-17,4.1
2023-08-18,27.5
2023-08-19,1.1
2023-08-20,22.4
2023-08-21,19.5
2023-08-22,8.5
2023-08-23,8.4
2023-08-24,6.2
2023-08-25,0.3
2023-08-26,13.0
2023-08-27,23.0
2023-08-28,4.7
2023-08-29,8.5
2023-08-30,25.3
2023-08-31,23.3
2023-09-01,9.6
2023-09-02,-4.6
2023-09-03,-0.3
2023-09-04,6.5
2023-09-05,24.0
2023-09-06,26.3
2023-09-07,20.1
2023-09-08,13.9
2023-09-09,8.9
2023-09-10,26.8
2023-09-11,29.0
2023-09-12,11.5
2023-09-13,25.6
2023-09-14,26.4
2023-09-15,20.4
2023-09-16,11.3
2023-09-17,-4.7
2023-09-18,5.5
2023-09-19,18.1
2023-09-20,12.3
2023-09-21,12.7
2023-09-22,20.3
2023-09-23,15.3
2023-09-24,16.4
2023-09-25,6.2
2023-09-26,8.4
2023-09-27,7.7
2023-09-28,11.5
2023-09-29,-3.0
2023-09-30,15.0
2023-10-01,9.9
2023-10-02,4.3
2023-10-03,15.5
2023-10-04,20.3
2023-10-05,11.6
2023-10-06,-4.8
2023-10-07,-2.5
2023-10-08,18.9
2023-10-09,-4.0
2023-10-10,20.4
2023-10-11,12.8
2023-10-12,17.2
2023-10-13,23.3
2023-10-14,27.1
2023-10-15,24.6
2023-10-16,14.9
2023-10-17,2.9
2023-10-18,21.6
2023-10-19,23.6
2023-10-20,4.1
2023-10-21,14.8
2023-10-22,26.8
2023-10-23,8.9
2023-10-24,4.9
2023-10-25,-4.7
2023-10-26,17.4
2023-10-27,7.8
2023-10-28,14.5
2023-10-29,3.7
2023-10-30,10.7
2023-10-31,18.3
2023-11-01,-1.7
2023-11-02,25.3
2023-11-03,21.0
2023-11-04,1.4
2023-11-05,20.6
2023-11-06,28.5
2023-11-07,8.6
2023-11-08,27.0
2023-11-09,15.0
2023-11-10,21.3
2023-11-11,-0.8
2023-11-12,12.1
2023-11-13,14.9
2023-11-14,9.5
2023-11-15,10.4
2023-11-16,12.5
2023-11-17,24.1
2023-11-18,13.3
2023-11-19,-2.4
2023-11-20,-0.6
2023-11-21,-3.8
2023-11-22,9.1
2023-11-23,11.7
2023-11-24,6.7
2023-11-25,29.1
2023-11-26,25.9
2023-11-27,-0.2
2023-11-28,17.5
2023-11-29,20.6
2023-11-30,5.6
2023-12-01,16.6
2023-12-02,27.3
2023-12-03,21.2
2023-12-04,13.7
2023-12-05,8.9
2023-12-06,6.3
2023-12-07,5.3
2023-12-08,5.8
2023-12-09,24.1
2023-12-10,15.9
2023-12-11,-3.1
2023-12-12,-2.7
2023-12-13,7.7
2023-12-14,25.3
2023-12-15,21.1
2023-12-16,15.2
2023-12-17,18.2
2023-12-18,20.0
2023-12-19,16.4
2023-12-20,14.8
2023-12-21,24.1
2023-12-22,23.8
2023-12-23,14.3
2023-12-24,26.0
2023-12-25,-3.9
2023-12-26,1.9
2023-12-27,23.5
2023-12-28,5.1
2023-12-29,-4.0
2023-12-30,-3.1
2023-12-31,19.8
2024-01-01,22.2
2024-01-02,19.7
2024-01-03,16.1
2024-01-04,-0.6
2024-01-05,0.5
2024-01-06,19.1
2024-01-07,29.2
2024-01-08,28.6
