date,temperature
2023-06-10,24.7
2023-06-11,10.4
2023-06-12,25.8
2023-06-13,29.6
2023-06-14,17.7
2023-06-15,29.4
2023-06-16,23.3
2023-06-17,22.0
2023-06-18,22.2
2023-06-19,36.2
2023-06-20,19.5
2023-06-21,16.0
2023-06-22,19.9
2023-06-23,19.9
2023-06-24,28.1
2023-06-25,39.4
2023-06-26,11.3
2023-06-27,26.7
2023-06-28,19.3
2023-06-29,34.7
2023-06-30,24.9
2023-07-01,13.6
2023-07-02,22.9
2023-07-03,22.3
2023-07-04,38.9
2023-07-05,30.8
2023-07-06,31.5
2023-07-07,39.6
2023-07-08,34.8
2023-07-09,23.7
2023-07-10,18.5
2023-07-11,31.5
2023-07-12,39.8
2023-07-13,23.3
2023-07-14,15.2
2023-07-15,21.7
2023-07-16,29.4
2023-07-17,25.0
2023-07-18,33.8
2023-07-19,25.9
2023-07-20,28.8
2023-07-21,24.6
2023-07-22,17.2
2023-07-23,25.2
2023-07-24,28.6
2023-07-25,25.1
2023-07-26,17.7
2023-07-27,39.8
2023-07-28,14.2
2023-07-29,33.4
2023-07-30,28.8
2023-07-31,36.4
2023-08-01,27.7
2023-08-02,25.5
2023-08-03,23.7
2023-08-04,37.0
2023-08-05,20.8
2023-08-06,34.2
2023-08-07,36.2
2023-08-08,22.3
2023-08-09,31.9
2023-08-10,35.9
2023-08-11,10.6
2023-08-12,30.2
2023-08-13,30.3
2023-08-14,39.8
2023-08-15,21.0
2023-08-16,22.9
2023-08-17,10.1
2023-08-18,26.4
2023-08-19,15.3
2023-08-20,33.8
2023-08-21,20.7
2023-08-22,15.9
2023-08-23,33.4
2023-08-24,15.6
2023-08-25,27.9
2023-08-26,15.6
2023-08-27,34.7
2023-08-28,33.7
2023-08-29,11.5
2023-08-30,13.2
2023-08-31,25.3
2023-09-01,10.2
2023-09-02,38.5
2023-09-03,39.1
2023-09-04,17.6
2023-09-05,30.0
2023-09-06,38.8
2023-09-07,20.2
2023-09-08,22.9
2023-09-09,16.6
2023-09-10,23.4
2023-09-11,26.7
2023-09-12,27.4
2023-09-13,14.6
2023-09-14,18.5
2023-09-15,31.4
2023-09-16,11.1
2023-09-17,34.5
2023-09-18,38.7
2023-09-19,34.2
2023-09-20,25.8
2023-09-21,32.2
2023-09-22,38.9
2023-09-23,32.4
2023-09-24,12.2
2023-09-25,10.0
2023-09-26,11.0
2023-09-27,21.6
2023-09-28,32.4
2023-09-29,35.6
2023-09-30,39.1
2023-10-01,15.8
2023-10-02,15.0
2023-10-03,10.2
2023-10-04,38.6
2023-10-05,33.4
2023-10-06,24.1
2023-10-07,17.4
2023-10-08,26.9
2023-10-09,30.7
2023-10-10,36.9
2023-10-11,22.6
2023-10-12,27.6
2023-10-13,18.8
2023-10-14,32.5
2023-10-15,16.7
2023-10-16,32.8
2023-10-17,10.9
2023-10-18,11.1
2023-10-19,32.9
2023-10-20,38.5
2023-10-21,14.7
2023-10-22,30.7
2023-10-23,39.7
2023-10-24,10.5
2023-10-25,17.3
2023-10-26,21.7
2023-10-27,15.8
2023-10-28,25.1
2023-10-29,13.4
2023-10-30,23.9
2023-10-31,34.4
2023-11-01,23.4
2023-11-02,37.8
2023-11-03,39.0
2023-11-04,26.8
2023-11-05,30.3
2023-11-06,23.9
2023-11-07,20.8
2023-11-08,38.1
2023-11-09,24.8
2023-11-10,16.9
2023-11-11,16.5
2023-11-12,12.3
2023-11-13,18.4
2023-11-14,31.6
