date,temperature
2023-06-10,21.6
2023-06-11,17.9
2023-06-12,5.9
2023-06-13,20.2
2023-06-14,8.4
2023-06-15,14.7
2023-06-16,34.2
2023-06-17,13.7
2023-06-18,29.6
2023-06-19,19.2
2023-06-20,13.3
2023-06-21,5.2
2023-06-22,27.6
2023-06-23,11.6
2023-06-24,7.8
2023-06-25,22.1
2023-06-26,29.4
2023-06-27,20.3
2023-06-28,22.5
2023-06-29,33.6
2023-06-30,20.5
2023-07-01,33.5
2023-07-02,23.5
2023-07-03,31.5
2023-07-04,24.6
2023-07-05,33.3
2023-07-06,8.5
2023-07-07,23.9
2023-07-08,5.3
2023-07-09,13.5
2023-07-10,15.9
2023-07-11,26.0
2023-07-12,9.6
2023-07-13,25.8
2023-07-14,21.1
2023-07-15,20.9
2023-07-16,8.2
2023-07-17,18.8
2023-07-18,24.5
2023-07-19,24.3
2023-07-20,6.7
2023-07-21,31.0
2023-07-22,27.9
2023-07-23,14.9
2023-07-24,21.0
2023-07-25,34.7
2023-07-26,34.0
2023-07-27,8.3
2023-07-28,8.6
2023-07-29,7.4
2023-07-30,15.9
2023-07-31,16.3
2023-08-01,28.3
2023-08-02,33.4
2023-08-03,28.5
2023-08-04,20.6
2023-08-05,21.8
2023-08-06,9.6
2023-08-07,25.0
2023-08-08,32.8
2023-08-09,32.3
2023-08-10,26.1
2023-08-11,32.5
2023-08-12,34.0
2023-08-13,17.9
2023-08-14,6.2
2023-08-15,7.9
2023-08-16,14.7
2023-08-17,20.4
2023-08-18,32.7
2023-08-19,15.8
2023-08-20,10.4
2023-08-21,29.9
2023-08-22,34.7
2023-08-23,15.7
2023-08-24,19.6
2023-08-25,29.7
2023-08-26,5.5
2023-08-27,34.3
2023-08-28,18.4
2023-08-29,17.4
2023-08-30,17.0
2023-08-31,23.2
2023-09-01,6.8
2023-09-02,25.1
2023-09-03,13.4
2023-09-04,5.4
2023-09-05,18.1
2023-09-06,27.6
2023-09-07,10.1
2023-09-08,24.9
2023-09-09,16.0
2023-09-10,16.3
2023-09-11,12.0
2023-09-12,9.6
2023-09-13,10.6
2023-09-14,22.5
2023-09-15,5.6
2023-09-16,16.2
2023-09-17,22.5
2023-09-18,19.0
2023-09-19,26.1
2023-09-20,32.2
2023-09-21,34.9
2023-09-22,27.6
2023-09-23,16.7
2023-09-24,9.2
2023-09-25,32.9
2023-09-26,32.6
2023-09-27,27.2
2023-09-28,31.2
2023-09-29,23.1
2023-09-30,28.4
2023-10-01,6.1
2023-10-02,28.0
2023-10-03,32.6
2023-10-04,12.7
2023-10-05,21.2
2023-10-06,5.3
2023-10-07,14.5
2023-10-08,34.6
2023-10-09,18.8
2023-10-10,5.0
2023-10-11,20.6
2023-10-12,26.1
2023-10-13,31.2
2023-10-14,16.6
2023-10-15,8.5
2023-10-16,14.3
2023-10-17,30.9
2023-10-18,30.4
2023-10-19,26.7
2023-10-20,18.1
2023-10-21,7.6
2023-10-22,12.8
2023-10-23,23.1
2023-10-24,20.5
2023-10-25,19.8
2023-10-26,12.4
2023-10-27,27.5
2023-10-28,28.7
2023-10-29,7.3
2023-10-30,6.5
2023-10-31,24.3
2023-11-01,9.2
2023-11-02,32.8
2023-11-03,15.3
2023-11-04,24.0
2023-11-05,5.1
2023-11-06,11.0
2023-11-07,22.2
2023-11-08,15.6
2023-11-09,33.4
2023-11-10,15.9
2023-11-11,21.6
2023-11-12,14.2
2023-11-13,13.5
2023-11-14,27.6
2023-11-15,22.1
2023-11-16,15.8
2023-11-17,21.1
2023-11-18,21.1
2023-11-19,17.9
2023-11-20,31.2
2023-11-21,12.6
2023-11-22,11.1
2023-11-23,9.7
2023-11-24,32.2
2023-11-25,29.1
2023-11-26,25.4
2023-11-27,33.2
2023-11-28,6.1
2023-11-29,8.6
2023-11-30,5.3
2023-12-01,29.3
2023-12-02,18.8
2023-12-03,19.6
2023-12-04,14.1
2023-12-05,24.9
2023-12-06,10.0
2023-12-07,13.7
2023-12-08,32.3
2023-12-09,32.5
2023-12-10,19.5
2023-12-11,5.6
2023-12-12,9.2
2023-12-13,25.9
2023-12-14,5.2
2023-12-15,11.8
2023-12-16,30.6
2023-12-17,27.9
2023-12-18,34.0
2023-12-19,11.8
2023-12-20,25.7
2023-12-21,8.0
2023-12-22,8.5
2023-12-23,10.7
2023-12-24,7.6
2023-12-25,12.9
2023-12-26,32.7
2023-12-27,5.1
2023-12-28,7.7
2023-12-29,26.2
2023-12-30,33.4
2023-12-31,31.3
2024-01-01,10.6
2024-01-02,24.3
2024-01-03,5.3
2024-01-04,26.4
2024-01-05,31.2
2024-01-06,6.7
2024-01-07,5.5
2024-01-08,19.5
2024-01-09,34.0
2024-01-10,28.6
2024-01-11,17.4
2024-01-12,28.3
2024-01-13,9.0
2024-01-14,25.5
2024-01-15,12.1
2024-01-16,30.4
2024-01-17,13.8
2024-01-18,29.3
2024-01-19,31.1
2024-01-20,19.0
2024-01-21,12.3
2024-01-22,27.1
2024-01-23,28.1
2024-01-24,12.3
2024-01-25,33.9
2024-01-26,20.5
2024-01-27,30.7
2024-01-28,31.7
2024-01-29,33.1
2024-01-30,15.1
2024-01-31,19.6
2024-02-01,20.2
2024-02-02,11.7
2024-02-03,30.2
2024-02-04,28.2
2024-02-05,18.0
2024-02-06,21.7
2024-02-07,34.4
2024-02-08,14.4
2024-02-09,13.4
2024-02-10,19.6
2024-02-11,34.6
2024-02-12,13.6
2024-02-13,18.5
2024-02-14,6.2
2024-02-15,10.1
2024-02-16,21.4
2024-02-17,20.2
2024-02-18,31.0
2024-02-19,11.2
2024-02-20,10.8
2024-02-21,29.1
2024-02-22,31.4
2024-02-23,23.4
2024-02-24,17.1
2024-02-25,23.6
2024-02-26,10.9
2024-02-27,13.5
2024-02-28,17.1
2024-02-29,6.8
2024-03-01,10.0
2024-03-02,9.1
2024-03-03,31.5
2024-03-04,21.3
2024-03-05,7.2
2024-03-06,13.3
2024-03-07,20.7
2024-03-08,10.8
2024-03-09,24.2
2024-03-10,6.5
2024-03-11,29.9
2024-03-12,20.8
2024-03-13,23.9
2024-03-14,20.7
2024-03-15,15.8
2024-03-16,14.9
2024-03-17,17.0
2024-03-18,17.3
2024-03-19,14.5
2024-03-20,23.5
2024-03-21,28.5
2024-03-22,20.7
2024-03-23,33.5
2024-03-24,28.8
2024-03-25,12.0
2024-03-26,28.4
2024-03-27,7.1
2024-03-28,8.4
2024-03-29,17.4
2024-03-30,25.6
2024-03-31,24.7
2024-04-01,8.7
2024-04-02,23.7
2024-04-03,11.4
2024-04-04,26.2
2024-04-05,16.3
2024-04-06,24.1
2024-04-07,17.8
2024-04-08,7.9
2024-04-09,32.2
2024-04-10,11.5
2024-04-11,25.6
2024-04-12,11.0
2024-04-13,29.7
2024-04-14,8.1
2024-04-15,17.4
2024-04-16,33.0
2024-04-17,34.7
2024-04-18,19.4
2024-04-19,21.4
2024-04-20,28.2
2024-04-21,10.2
2024-04-22,23.2
2024-04-23,10.1
2024-04-24,7.5
2024-04-25,13.2
2024-04-26,34.2
2024-04-27,25.6
2024-04-28,32.0
2024-04-29,9.2
2024-04-30,10.0
2024-05-01,31.7
2024-05-02,31.9
2024-05-03,9.1
2024-05-04,25.4
2024-05-05,12.2
2024-05-06,9.6
2024-05-07,22.0
2024-05-08,13.4
2024-05-09,26.9
2024-05-10,16.7
2024-05-11,33.9
2024-05-12,11.1
2024-05-13,26.3
2024-05-14,24.9
2024-05-15,8.0
2024-05-16,24.4
2024-05-17,24.5
2024-05-18,31.0
2024-05-19,6.2
2024-05-20,26.7
2024-05-21,25.0
2024-05-22,34.2
2024-05-23,8.8
2024-05-24,29.0
2024-05-25,21.6
2024-05-26,34.9
2024-05-27,31.7
2024-05-28,17.1
2024-05-29,11.9
2024-05-30,20.3
2024-05-31,24.4
2024-06-01,14.2
2024-06-02,24.9
2024-06-03,14.3
2024-06-04,26.9
2024-06-05,14.5
2024-06-06,31.4
2024-06-07,16.0
2024-06-08,26.8
2024-06-09,6.1
2024-06-10,12.2
2024-06-11,8.5
2024-06-12,13.3
2024-06-13,27.2
2024-06-14,29.3
2024-06-15,5.9
2024-06-16,10.4
2024-06-17,28.6
2024-06-18,24.4
2024-06-19,32.3
2024-06-20,9.5
2024-06-21,11.2
2024-06-22,34.8
2024-06-23,9.1
2024-06-24,30.8
2024-06-25,29.5
2024-06-26,24.4
2024-06-27,33.8
2024-06-28,16.0
2024-06-29,34.2
2024-06-30,15.1
2024-07-01,22.5
2024-07-02,28.4
2024-07-03,9.9
2024-07-04,34.6
2024-07-05,16.4
2024-07-06,18.6
2024-07-07,15.7
2024-07-08,30.2
2024-07-09,21.0
2024-07-10,18.9
2024-07-11,30.9
2024-07-12,29.5
2024-07-13,33.1
2024-07-14,34.4
2024-07-15,23.6
2024-07-16,20.4
2024-07-17,8.5
2024-07-18,27.7
2024-07-19,18.8
2024-07-20,32.7
2024-07-21,20.8
2024-07-22,8.9
2024-07-23,23.7
2024-07-24,16.6
2024-07-25,34.1
2024-07-26,28.7
2024-07-27,30.3
2024-07-28,8.7
2024-07-29,25.6
2024-07-30,29.9
2024-07-31,25.8
2024-08-01,10.9
2024-08-02,30.9
2024-08-03,10.1
2024-08-04,26.7
2024-08-05,24.9
2024-08-06,24.5
2024-08-07,28.8
2024-08-08,22.0
2024-08-09,14.6
2024-08-10,32.0
2024-08-11,34.1
2024-08-12,18.0
2024-08-13,30.4
2024-08-14,9.7
2024-08-15,9.0
2024-08-16,12.9
2024-08-17,13.4
2024-08-18,24.2
2024-08-19,32.7
2024-08-20,33.9
2024-08-21,34.2
2024-08-22,5.9
2024-08-23,17.0
2024-08-24,6.3
2024-08-25,10.9
2024-08-26,31.4
2024-08-27,33.3
2024-08-28,31.0
2024-08-29,8.8
2024-08-30,27.7
2024-08-31,30.0
2024-09-01,25.4
2024-09-02,11.6
2024-09-03,33.6
2024-09-04,6.3
2024-09-05,34.4
2024-09-06,13.7
2024-09-07,27.0
2024-09-08,31.7
2024-09-09,11.1
2024-09-10,29.2
2024-09-11,15.5
2024-09-12,15.2
2024-09-13,13.6
2024-09-14,10.7
2024-09-15,29.9
2024-09-16,26.5
2024-09-17,7.5
2024-09-18,8.1
2024-09-19,5.3
2024-09-20,13.8
2024-09-21,8.6
2024-09-22,14.6
2024-09-23,24.4
2024-09-24,29.9
2024-09-25,14.8
2024-09-26,23.5
2024-09-27,18.1
2024-09-28,20.9
2024-09-29,9.8
2024-09-30,27.0
2024-10-01,31.4
2024-10-02,5.7
2024-10-03,18.4
2024-10-04,7.3
2024-10-05,5.8
2024-10-06,18.0
2024-10-07,15.0
2024-10-08,14.2
2024-10-09,18.6
2024-10-10,28.8
2024-10-11,29.9
2024-10-12,20.8
2024-10-13,28.5
2024-10-14,26.8
2024-10-15,10.9
2024-10-16,13.8
2024-10-17,8.5
2024-10-18,13.9
2024-10-19,28.4
2024-10-20,9.3
2024-10-21,29.2
2024-10-22,28.6
2024-10-23,6.5
2024-10-24,6.5
2024-10-25,30.1
2024-10-26,11.0
2024-10-27,31.4
2024-10-28,9.7
2024-10-29,29.8
2024-10-30,6.8
2024-10-31,31.0
2024-11-01,7.6
2024-11-02,15.6
2024-11-03,18.5
2024-11-04,6.9
2024-11-05,32.4
2024-11-06,21.3
2024-11-07,26.4
2024-11-08,8.7
2024-11-09,28.8
2024-11-10,21.6
2024-11-11,12.4
2024-11-12,33.8
2024-11-13,17.5
2024-11-14,18.1
2024-11-15,10.7
2024-11-16,20.9
2024-11-17,25.1
2024-11-18,15.4
2024-11-19,16.0
2024-11-20,25.3
2024-11-21,27.8
2024-11-22,22.6
2024-11-23,20.1
2024-11-24,24.5
2024-11-25,21.0
2024-11-26,13.8
2024-11-27,5.6
2024-11-28,9.4
2024-11-29,11.5
2024-11-30,23.7
2024-12-01,25.3
2024-12-02,14.0
2024-12-03,30.2
2024-12-04,10.9
2024-12-05,10.5
2024-12-06,5.7
2024-12-07,17.5
2024-12-08,20.1
2024-12-09,17.8
2024-12-10,25.8
2024-12-11,21.6
2024-12-12,20.2
2024-12-13,24.9
2024-12-14,13.0
2024-12-15,9.2
2024-12-16,30.8
2024-12-17,23.2
2024-12-18,30.9
2024-12-19,30.6
2024-12-20,13.4
2024-12-21,34.5
2024-12-22,30.2
2024-12-23,5.9
2024-12-24,22.3
2024-12-25,26.8
2024-12-26,21.0
2024-12-27,17.5
2024-12-28,22.9
2024-12-29,28.1
2024-12-30,17.5
2024-12-31,15.7
2025-01-01,9.3
2025-01-02,6.8
2025-01-03,18.4
2025-01-04,15.3
2025-01-05,30.9
2025-01-06,8.2
2025-01-07,33.6
2025-01-08,9.9
2025-01-09,20.4
2025-01-10,15.3
2025-01-11,12.3
2025-01-12,23.9
2025-01-13,26.2
2025-01-14,30.6
2025-01-15,33.7
2025-01-16,30.7
2025-01-17,6.8
2025-01-18,12.9
2025-01-19,12.4
2025-01-20,26.9
2025-01-21,9.8
2025-01-22,9.2
2025-01-23,7.7
2025-01-24,23.9
