date,temperature
2023-06-10,2.7
2023-06-11,4.5
2023-06-12,23.9
2023-06-13,22.7
2023-06-14,13.5
2023-06-15,22.2
2023-06-16,14.7
2023-06-17,17.3
2023-06-18,12.0
2023-06-19,21.4
2023-06-20,9.6
2023-06-21,1.7
2023-06-22,13.0
2023-06-23,3.0
2023-06-24,13.6
2023-06-25,14.0
2023-06-26,17.4
2023-06-27,24.0
2023-06-28,28.6
2023-06-29,21.5
2023-06-30,6.2
2023-07-01,6.9
2023-07-02,1.0
2023-07-03,25.2
2023-07-04,2.0
2023-07-05,0.3
2023-07-06,23.5
2023-07-07,29.3
2023-07-08,13.0
2023-07-09,18.7
2023-07-10,0.6
2023-07-11,2.2
2023-07-12,20.5
2023-07-13,15.5
2023-07-14,27.4
2023-07-15,12.7
2023-07-16,7.7
2023-07-17,1.7
2023-07-18,11.5
2023-07-19,2.1
2023-07-20,14.8
2023-07-21,11.8
2023-07-22,16.4
2023-07-23,9.6
2023-07-24,5.2
2023-07-25,23.4
2023-07-26,14.2
2023-07-27,25.0
2023-07-28,13.1
2023-07-29,15.6
2023-07-30,10.2
2023-07-31,1.4
2023-08-01,22.0
2023-08-02,22.1
2023-08-03,0.0
2023-08-04,8.1
2023-08-05,20.2
2023-08-06,20.7
2023-08-07,10.9
2023-08-08,28.8
2023-08-09,5.9
2023-08-10,8.7
2023-08-11,5.3
2023-08-12,3.1
2023-08-13,25.3
2023-08-14,0.4
2023-08-15,18.4
2023-08-16,6.9
2023-08-17,11.0
2023-08-18,26.3
2023-08-19,3.2
2023-08-20,9.5
2023-08-21,5.7
2023-08-22,5.7
2023-08-23,11.7
2023-08-24,12.2
2023-08-25,8.4
2023-08-26,26.4
2023-08-27,12.1
2023-08-28,13.9
2023-08-29,27.7
2023-08-30,27.7
2023-08-31,16.5
2023-09-01,16.1
2023-09-02,29.3
2023-09-03,25.6
2023-09-04,5.2
2023-09-05,21.6
2023-09-06,1.9
2023-09-07,16.5
2023-09-08,20.9
2023-09-09,10.0
2023-09-10,22.0
2023-09-11,28.1
2023-09-12,17.6
2023-09-13,23.3
2023-09-14,18.9
2023-09-15,29.2
2023-09-16,29.0
2023-09-17,2.2
2023-09-18,9.0
2023-09-19,22.1
2023-09-20,17.3
2023-09-21,14.0
2023-09-22,2.0
2023-09-23,6.3
2023-09-24,9.6
2023-09-25,22.7
2023-09-26,10.3
2023-09-27,9.2
2023-09-28,10.4
2023-09-29,9.7
2023-09-30,16.3
2023-10-01,19.4
2023-10-02,2.0
2023-10-03,6.5
2023-10-04,17.5
2023-10-05,8.9
2023-10-06,17.1
2023-10-07,23.9
2023-10-08,21.1
2023-10-09,14.3
2023-10-10,5.9
2023-10-11,22.6
2023-10-12,28.9
2023-10-13,20.4
2023-10-14,11.5
2023-10-15,20.0
2023-10-16,14.1
2023-10-17,5.7
2023-10-18,22.9
2023-10-19,11.7
2023-10-20,4.9
2023-10-21,6.6
2023-10-22,24.5
2023-10-23,13.5
2023-10-24,9.0
2023-10-25,25.4
2023-10-26,6.0
2023-10-27,26.5
2023-10-28,25.7
2023-10-29,17.8
2023-10-30,26.1
2023-10-31,0.6
2023-11-01,24.1
2023-11-02,23.0
2023-11-03,3.3
2023-11-04,13.4
2023-11-05,12.5
2023-11-06,21.6
2023-11-07,22.8
2023-11-08,15.6
2023-11-09,12.3
2023-11-10,15.0
2023-11-11,6.9
2023-11-12,3.2
2023-11-13,1.9
2023-11-14,1.3
2023-11-15,11.3
2023-11-16,1.0
2023-11-17,5.6
2023-11-18,24.9
2023-11-19,8.4
2023-11-20,16.5
2023-11-21,2.9
2023-11-22,20.8
2023-11-23,7.4
2023-11-24,23.0
2023-11-25,20.6
2023-11-26,24.0
2023-11-27,28.4
2023-11-28,24.8
2023-11-29,29.9
2023-11-30,17.6
2023-12-01,23.7
2023-12-02,20.6
2023-12-03,19.5
2023-12-04,24.5
2023-12-05,11.0
2023-12-06,12.4
2023-12-07,1.0
2023-12-08,1.0
2023-12-09,10.5
2023-12-10,18.9
2023-12-11,14.3
2023-12-12,5.6
2023-12-13,17.4
2023-12-14,5.8
2023-12-15,4.4
2023-12-16,4.5
2023-12-17,3.0
2023-12-18,1.5
2023-12-19,4.8
2023-12-20,11.2
2023-12-21,28.7
2023-12-22,3.7
2023-12-23,4.7
2023-12-24,25.5
2023-12-25,28.7
2023-12-26,13.8
2023-12-27,7.8
2023-12-28,25.3
2023-12-29,9.8
2023-12-30,23.6
2023-12-31,18.3
2024-01-01,28.8
2024-01-02,23.5
2024-01-03,24.6
2024-01-04,12.3
2024-01-05,3.4
2024-01-06,9.7
2024-01-07,1.7
2024-01-08,25.3
2024-01-09,7.2
2024-01-10,27.2
2024-01-11,2.1
2024-01-12,5.0
2024-01-13,6.9
2024-01-14,26.3
2024-01-15,9.7
2024-01-16,7.4
2024-01-17,5.9
2024-01-18,23.0
2024-01-19,26.5
2024-01-20,22.5
2024-01-21,7.9
2024-01-22,17.5
2024-01-23,2.3
2024-01-24,7.7
2024-01-25,3.6
2024-01-26,5.4
2024-01-27,19.0
2024-01-28,16.7
2024-01-29,13.5
2024-01-30,3.2
2024-01-31,25.8
2024-02-01,6.6
2024-02-02,18.8
2024-02-03,29.7
2024-02-04,4.3
2024-02-05,15.5
2024-02-06,1.5
2024-02-07,3.6
2024-02-08,27.2
2024-02-09,9.0
2024-02-10,12.5
2024-02-11,23.5
2024-02-12,10.7
2024-02-13,0.8
2024-02-14,2.4
2024-02-15,1.9
2024-02-16,7.8
2024-02-17,25.5
2024-02-18,26.3
2024-02-19,3.6
2024-02-20,0.5
2024-02-21,11.5
2024-02-22,25.1
2024-02-23,27.6
2024-02-24,18.5
2024-02-25,25.6
2024-02-26,17.5
2024-02-27,15.6
2024-02-28,25.5
2024-02-29,10.4
2024-03-01,29.4
2024-03-02,27.5
2024-03-03,4.4
2024-03-04,23.7
2024-03-05,2.1
2024-03-06,4.6
2024-03-07,17.3
2024-03-08,29.5
2024-03-09,1.4
2024-03-10,9.0
2024-03-11,23.0
2024-03-12,2.9
2024-03-13,24.0
2024-03-14,18.0
2024-03-15,16.4
2024-03-16,25.4
2024-03-17,12.7
2024-03-18,22.3
2024-03-19,28.2
2024-03-20,13.2
2024-03-21,18.7
2024-03-22,4.8
2024-03-23,7.7
2024-03-24,1.2
2024-03-25,12.8
2024-03-26,5.8
2024-03-27,9.2
2024-03-28,25.8
2024-03-29,13.4
2024-03-30,18.2
2024-03-31,1.2
2024-04-01,9.0
2024-04-02,22.1
2024-04-03,26.1
2024-04-04,20.6
2024-04-05,2.8
2024-04-06,7.6
2024-04-07,26.6
2024-04-08,27.8
2024-04-09,16.5
2024-04-10,7.2
2024-04-11,24.6
2024-04-12,4.8
2024-04-13,6.4
2024-04-14,4.6
2024-04-15,22.3
2024-04-16,20.8
2024-04-17,6.4
2024-04-18,16.8
2024-04-19,8.3
2024-04-20,7.2
2024-04-21,9.5
2024-04-22,17.1
2024-04-23,20.5
2024-04-24,6.7
2024-04-25,22.9
2024-04-26,2.8
2024-04-27,15.2
2024-04-28,17.8
2024-04-29,7.7
2024-04-30,3.8
2024-05-01,24.0
2024-05-02,24.0
2024-05-03,28.5
2024-05-04,7.0
2024-05-05,13.8
2024-05-06,24.1
2024-05-07,24.1
2024-05-08,24.0
2024-05-09,18.2
2024-05-10,12.5
2024-05-11,3.9
2024-05-12,28.6
2024-05-13,13.9
2024-05-14,16.5
2024-05-15,13.2
2024-05-16,4.9
2024-05-17,5.8
2024-05-18,1.8
2024-05-19,19.3
2024-05-20,13.8
2024-05-21,11.3
2024-05-22,20.1
2024-05-23,23.7
2024-05-24,6.3
2024-05-25,23.5
2024-05-26,16.6
2024-05-27,12.4
2024-05-28,15.6
2024-05-29,10.8
2024-05-30,25.9
2024-05-31,4.7
2024-06-01,7.2
2024-06-02,8.7
2024-06-03,19.5
2024-06-04,7.0
2024-06-05,18.2
2024-06-06,12.5
2024-06-07,0.3
2024-06-08,25.2
2024-06-09,24.5
2024-06-10,8.2
2024-06-11,12.9
2024-06-12,24.5
2024-06-13,1.5
2024-06-14,2.6
2024-06-15,2.5
2024-06-16,13.4
2024-06-17,5.2
2024-06-18,17.8
2024-06-19,9.1
2024-06-20,18.5
2024-06-21,21.5
2024-06-22,26.9
2024-06-23,29.0
2024-06-24,15.7
2024-06-25,12.0
2024-06-26,11.1
2024-06-27,10.4
2024-06-28,27.8
2024-06-29,4.5
2024-06-30,18.0
2024-07-01,25.4
2024-07-02,26.5
2024-07-03,17.0
2024-07-04,7.5
2024-07-05,8.0
2024-07-06,20.3
2024-07-07,26.2
2024-07-08,26.1
2024-07-09,11.1
2024-07-10,21.6
2024-07-11,20.0
2024-07-12,6.2
2024-07-13,5.4
2024-07-14,28.6
2024-07-15,19.8
2024-07-16,22.3
2024-07-17,12.7
2024-07-18,7.6
2024-07-19,7.3
2024-07-20,20.6
2024-07-21,29.2
2024-07-22,6.9
2024-07-23,22.8
2024-07-24,1.3
2024-07-25,23.5
2024-07-26,9.2
2024-07-27,9.6
2024-07-28,22.2
2024-07-29,25.3
2024-07-30,5.6
2024-07-31,1.0
2024-08-01,5.1
2024-08-02,26.1
2024-08-03,23.3
2024-08-04,0.9
2024-08-05,25.4
2024-08-06,18.6
2024-08-07,8.4
2024-08-08,19.8
2024-08-09,14.2
2024-08-10,21.7
2024-08-11,9.0
2024-08-12,25.3
2024-08-13,13.8
2024-08-14,7.3
2024-08-15,20.8
2024-08-16,25.5
2024-08-17,26.4
2024-08-18,28.0
2024-08-19,8.5
2024-08-20,2.1
2024-08-21,17.2
2024-08-22,23.4
2024-08-23,14.5
2024-08-24,23.4
2024-08-25,27.4
2024-08-26,20.0
2024-08-27,7.5
2024-08-28,20.6
2024-08-29,11.2
2024-08-30,4.8
2024-08-31,19.3
2024-09-01,15.6
2024-09-02,11.7
2024-09-03,6.3
2024-09-04,19.1
2024-09-05,26.6
2024-09-06,11.0
2024-09-07,14.3
2024-09-08,19.8
2024-09-09,5.8
2024-09-10,2.6
2024-09-11,19.1
2024-09-12,0.7
2024-09-13,17.0
2024-09-14,17.1
2024-09-15,19.2
2024-09-16,4.3
2024-09-17,1.8
2024-09-18,19.3
2024-09-19,4.3
2024-09-20,6.1
2024-09-21,18.8
2024-09-22,26.8
2024-09-23,7.4
2024-09-24,22.9
2024-09-25,18.0
2024-09-26,11.1
2024-09-27,26.0
2024-09-28,29.9
2024-09-29,3.1
2024-09-30,19.4
2024-10-01,5.8
2024-10-02,22.8
2024-10-03,24.4
2024-10-04,28.3
2024-10-05,24.7
2024-10-06,16.3
2024-10-07,4.4
2024-10-08,13.9
2024-10-09,18.7
2024-10-10,10.4
2024-10-11,2.4
2024-10-12,5.5
2024-10-13,19.9
2024-10-14,14.9
2024-10-15,28.0
2024-10-16,18.3
2024-10-17,29.0
2024-10-18,13.9
2024-10-19,25.2
2024-10-20,5.5
2024-10-21,2.1
2024-10-22,24.8
2024-10-23,0.8
2024-10-24,13.3
2024-10-25,8.9
2024-10-26,2.9
2024-10-27,29.3
2024-10-28,29.0
2024-10-29,21.4
2024-10-30,23.5
2024-10-31,28.5
2024-11-01,10.0
2024-11-02,10.0
2024-11-03,13.0
2024-11-04,0.6
2024-11-05,29.9
2024-11-06,17.4
2024-11-07,27.4
2024-11-08,26.6
2024-11-09,11.7
2024-11-10,19.4
2024-11-11,15.9
2024-11-12,8.2
2024-11-13,2.9
2024-11-14,6.9
2024-11-15,19.6
2024-11-16,17.7
2024-11-17,11.7
2024-11-18,23.5
2024-11-19,16.5
2024-11-20,5.5
2024-11-21,16.6
2024-11-22,12.3
2024-11-23,10.8
2024-11-24,10.8
2024-11-25,7.8
2024-11-26,24.4
2024-11-27,22.5
2024-11-28,20.2
2024-11-29,19.1
2024-11-30,18.1
2024-12-01,27.6
2024-12-02,28.9
2024-12-03,5.6
2024-12-04,26.6
2024-12-05,24.2
2024-12-06,23.2
2024-12-07,16.6
2024-12-08,22.3
2024-12-09,17.5
2024-12-10,21.7
2024-12-11,23.0
2024-12-12,20.1
2024-12-13,20.1
2024-12-14,2.1
2024-12-15,10.2
2024-12-16,26.8
2024-12-17,6.3
2024-12-18,18.5
2024-12-19,24.2
2024-12-20,1.2
2024-12-21,5.5
2024-12-22,0.9
2024-12-23,20.8
2024-12-24,20.6
2024-12-25,3.1
2024-12-26,19.5
2024-12-27,18.6
2024-12-28,8.6
2024-12-29,11.7
2024-12-30,14.2
2024-12-31,29.1
2025-01-01,21.7
2025-01-02,11.3
2025-01-03,12.5
2025-01-04,5.4
2025-01-05,14.2
2025-01-06,28.9
2025-01-07,6.8
2025-01-08,18.1
2025-01-09,11.5
2025-01-10,10.2
2025-01-11,27.4
2025-01-12,16.4
2025-01-13,29.1
2025-01-14,11.7
2025-01-15,16.2
2025-01-16,3.8
2025-01-17,29.2
2025-01-18,8.2
2025-01-19,13.2
2025-01-20,23.2
2025-01-21,13.7
2025-01-22,17.2
2025-01-23,25.5
2025-01-24,9.1
2025-01-25,22.5
2025-01-26,3.6
2025-01-27,29.2
2025-01-28,4.7
2025-01-29,10.4
2025-01-30,24.6
2025-01-31,8.7
2025-02-01,20.2
2025-02-02,20.0
2025-02-03,19.1
2025-02-04,0.7
