date,temperature
2023-06-10,0.5
2023-06-11,22.2
2023-06-12,21.6
2023-06-13,5.9
2023-06-14,5.4
2023-06-15,1.3
2023-06-16,2.7
2023-06-17,14.9
2023-06-18,23.0
2023-06-19,13.4
2023-06-20,21.1
2023-06-21,19.6
2023-06-22,6.6
2023-06-23,1.3
2023-06-24,22.4
2023-06-25,2.6
2023-06-26,9.7
2023-06-27,13.1
2023-06-28,13.1
2023-06-29,5.1
2023-06-30,7.8
2023-07-01,24.0
2023-07-02,7.8
2023-07-03,13.0
2023-07-04,19.3
2023-07-05,16.5
2023-07-06,9.0
2023-07-07,18.5
2023-07-08,20.5
2023-07-09,6.6
2023-07-10,17.3
2023-07-11,13.7
2023-07-12,4.1
2023-07-13,1.5
2023-07-14,5.8
2023-07-15,8.3
2023-07-16,20.5
2023-07-17,10.1
2023-07-18,23.1
2023-07-19,19.5
2023-07-20,0.7
2023-07-21,10.2
2023-07-22,0.6
2023-07-23,3.5
2023-07-24,9.7
2023-07-25,24.9
2023-07-26,10.1
2023-07-27,5.9
2023-07-28,6.0
2023-07-29,8.1
2023-07-30,21.2
2023-07-31,11.3
2023-08-01,3.5
2023-08-02,14.7
2023-08-03,8.2
2023-08-04,0.0
2023-08-05,8.5
2023-08-06,7.1
2023-08-07,5.0
2023-08-08,1.5
2023-08-09,13.7
2023-08-10,6.4
2023-08-11,19.9
2023-08-12,18.3
2023-08-13,8.5
2023-08-14,11.1
2023-08-15,1.1
2023-08-16,23.1
2023-08-17,11.2
2023-08-18,6.8
2023-08-19,20.2
2023-08-20,18.8
2023-08-21,10.7
2023-08-22,17.6
2023-08-23,17.0
2023-08-24,20.3
2023-08-25,15.2
2023-08-26,15.4
2023-08-27,5.8
2023-08-28,23.3
2023-08-29,21.0
2023-08-30,2.7
2023-08-31,11.1
2023-09-01,18.4
2023-09-02,1.0
2023-09-03,21.5
2023-09-04,18.5
2023-09-05,1.1
2023-09-06,11.9
2023-09-07,2.1
2023-09-08,18.2
2023-09-09,11.7
2023-09-10,9.4
2023-09-11,9.5
2023-09-12,2.4
2023-09-13,7.7
2023-09-14,4.4
2023-09-15,3.9
2023-09-16,11.8
2023-09-17,5.7
2023-09-18,7.5
2023-09-19,15.1
2023-09-20,17.9
2023-09-21,6.7
2023-09-22,11.2
2023-09-23,15.8
2023-09-24,20.5
2023-09-25,10.0
2023-09-26,15.8
2023-09-27,13.2
