date,temperature
2023-06-10,18.9
2023-06-11,34.1
2023-06-12,35.3
2023-06-13,23.8
2023-06-14,21.9
2023-06-15,31.7
2023-06-16,20.1
2023-06-17,32.8
2023-06-18,38.7
2023-06-19,27.6
2023-06-20,16.2
2023-06-21,10.5
2023-06-22,27.8
2023-06-23,11.4
2023-06-24,22.7
2023-06-25,14.5
2023-06-26,26.9
2023-06-27,22.5
2023-06-28,30.0
2023-06-29,13.5
2023-06-30,30.3
2023-07-01,30.3
2023-07-02,38.5
2023-07-03,13.8
2023-07-04,12.1
2023-07-05,32.6
2023-07-06,16.9
2023-07-07,15.6
2023-07-08,14.2
2023-07-09,13.4
2023-07-10,27.4
2023-07-11,27.2
2023-07-12,34.5
2023-07-13,32.2
2023-07-14,15.0
2023-07-15,32.9
2023-07-16,17.1
2023-07-17,24.0
2023-07-18,19.3
2023-07-19,30.4
2023-07-20,31.3
2023-07-21,10.1
2023-07-22,29.3
2023-07-23,19.9
2023-07-24,23.8
2023-07-25,13.7
2023-07-26,15.6
2023-07-27,12.3
2023-07-28,34.5
2023-07-29,27.4
2023-07-30,10.5
2023-07-31,14.3
2023-08-01,14.3
2023-08-02,11.3
2023-08-03,14.7
2023-08-04,13.9
2023-08-05,33.2
2023-08-06,16.6
2023-08-07,12.8
2023-08-08,32.2
2023-08-09,16.9
2023-08-10,37.6
2023-08-11,27.6
2023-08-12,11.9
2023-08-13,28.5
2023-08-14,11.6
2023-08-15,22.0
2023-08-16,26.2
2023-08-17,22.6
2023-08-18,33.0
2023-08-19,14.9
2023-08-20,24.9
2023-08-21,31.9
2023-08-22,33.1
2023-08-23,13.3
2023-08-24,29.9
2023-08-25,35.8
2023-08-26,15.5
2023-08-27,20.5
2023-08-28,21.1
2023-08-29,28.8
2023-08-30,22.1
2023-08-31,23.6
2023-09-01,22.7
2023-09-02,11.5
2023-09-03,14.5
2023-09-04,13.0
2023-09-05,17.7
2023-09-06,23.7
2023-09-07,14.4
2023-09-08,24.1
2023-09-09,12.0
2023-09-10,35.0
2023-09-11,37.9
2023-09-12,39.2
2023-09-13,17.4
2023-09-14,32.7
2023-09-15,21.2
2023-09-16,15.2
2023-09-17,17.3
2023-09-18,16.3
2023-09-19,34.5
2023-09-20,39.6
2023-09-21,28.3
2023-09-22,10.4
2023-09-23,30.7
2023-09-24,17.9
2023-09-25,19.7
2023-09-26,27.4
2023-09-27,22.4
2023-09-28,36.4
2023-09-29,19.1
2023-09-30,39.4
2023-10-01,23.9
2023-10-02,29.7
2023-10-03,24.9
2023-10-04,32.2
2023-10-05,21.9
2023-10-06,23.7
2023-10-07,34.8
2023-10-08,16.3
2023-10-09,39.9
2023-10-10,10.1
2023-10-11,31.5
2023-10-12,39.1
2023-10-13,37.1
2023-10-14,32.7
2023-10-15,10.1
2023-10-16,15.6
2023-10-17,20.2
2023-10-18,27.0
2023-10-19,23.1
2023-10-20,13.9
2023-10-21,39.9
2023-10-22,22.6
2023-10-23,37.5
2023-10-24,13.8
2023-10-25,27.2
2023-10-26,38.8
2023-10-27,38.4
2023-10-28,20.6
2023-10-29,34.3
2023-10-30,37.6
2023-10-31,18.0
2023-11-01,33.3
2023-11-02,35.7
2023-11-03,24.1
2023-11-04,16.0
2023-11-05,21.1
2023-11-06,16.7
2023-11-07,39.5
2023-11-08,14.7
2023-11-09,10.6
2023-11-10,34.8
2023-11-11,31.9
2023-11-12,24.5
2023-11-13,25.9
2023-11-14,30.2
2023-11-15,38.4
2023-11-16,15.6
2023-11-17,19.6
2023-11-18,32.0
2023-11-19,30.9
2023-11-20,38.7
2023-11-21,13.5
2023-11-22,38.9
2023-11-23,21.8
2023-11-24,17.3
2023-11-25,31.5
2023-11-26,28.2
2023-11-27,38.4
2023-11-28,36.8
2023-11-29,34.0
2023-11-30,22.7
2023-12-01,35.9
2023-12-02,25.8
2023-12-03,22.6
2023-12-04,10.4
2023-12-05,12.0
2023-12-06,20.5
2023-12-07,21.5
2023-12-08,21.1
2023-12-09,35.2
2023-12-10,18.0
2023-12-11,15.0
2023-12-12,16.1
2023-12-13,29.3
2023-12-14,31.9
2023-12-15,21.4
2023-12-16,38.3
2023-12-17,19.7
2023-12-18,26.8
2023-12-19,13.4
2023-12-20,19.0
2023-12-21,30.4
2023-12-22,11.8
2023-12-23,13.5
2023-12-24,26.5
2023-12-25,16.9
2023-12-26,18.1
2023-12-27,18.1
2023-12-28,33.5
2023-12-29,17.2
2023-12-30,29.8
2023-12-31,33.4
2024-01-01,15.2
2024-01-02,10.8
2024-01-03,16.6
2024-01-04,28.5
2024-01-05,31.3
