date,temperature
2023-06-10,20.2
2023-06-11,6.0
2023-06-12,20.9
2023-06-13,14.8
2023-06-14,5.4
2023-06-15,20.1
2023-06-16,4.0
2023-06-17,0.8
2023-06-18,28.1
2023-06-19,15.6
2023-06-20,21.8
2023-06-21,21.7
2023-06-22,24.1
2023-06-23,-4.0
2023-06-24,-3.0
2023-06-25,11.4
2023-06-26,18.4
2023-06-27,-8.3
2023-06-28,0.9
2023-06-29,-7.7
2023-06-30,13.1
2023-07-01,-8.1
2023-07-02,29.0
2023-07-03,-2.6
2023-07-04,22.9
2023-07-05,5.7
2023-07-06,-1.9
2023-07-07,-2.4
2023-07-08,4.5
2023-07-09,17.8
2023-07-10,25.1
2023-07-11,-3.7
2023-07-12,0.0
2023-07-13,16.5
2023-07-14,6.3
2023-07-15,-5.1
2023-07-16,16.0
2023-07-17,15.7
2023-07-18,15.9
2023-07-19,11.0
2023-07-20,10.5
2023-07-21,15.7
2023-07-22,6.3
2023-07-23,28.4
2023-07-24,7.1
2023-07-25,29.1
2023-07-26,23.2
2023-07-27,26.6
2023-07-28,2.0
2023-07-29,-7.4
2023-07-30,28.2
2023-07-31,6.2
2023-08-01,20.3
2023-08-02,-1.6
2023-08-03,6.9
2023-08-04,-0.4
2023-08-05,9.8
2023-08-06,6.7
2023-08-07,-7.5
2023-08-08,10.8
2023-08-09,-7.4
2023-08-10,-5.2
2023-08-11,-5.0
2023-08-12,13.8
2023-08-13,11.4
2023-08-14,26.8
2023-08-15,10.7
2023-08-16,25.2
2023-08-17,7.1
2023-08-18,14.1
2023-08-19,9.9
2023-08-20,3.4
2023-08-21,-1.4
2023-08-22,-3.0
2023-08-23,22.5
2023-08-24,-5.4
2023-08-25,-0.7
2023-08-26,15.2
2023-08-27,18.1
2023-08-28,-6.9
2023-08-29,5.0
2023-08-30,-1.4
2023-08-31,18.1
2023-09-01,-5.1
2023-09-02,21.3
2023-09-03,-2.2
2023-09-04,9.0
2023-09-05,11.6
2023-09-06,21.5
2023-09-07,25.9
2023-09-08,13.9
2023-09-09,26.3
2023-09-10,3.7
2023-09-11,-4.9
2023-09-12,29.6
2023-09-13,8.3
2023-09-14,-3.3
2023-09-15,6.4
2023-09-16,11.6
2023-09-17,3.6
2023-09-18,15.4
2023-09-19,23.4
2023-09-20,27.0
2023-09-21,20.4
2023-09-22,29.4
2023-09-23,-4.0
2023-09-24,28.3
2023-09-25,-9.6
2023-09-26,10.0
2023-09-27,27.8
2023-09-28,7.1
2023-09-29,23.8
2023-09-30,14.6
2023-10-01,-4.9
2023-10-02,9.5
2023-10-03,13.5
2023-10-04,20.0
2023-10-05,14.0
2023-10-06,-0.0
2023-10-07,2.7
2023-10-08,22.0
2023-10-09,6.4
2023-10-10,17.4
2023-10-11,16.8
2023-10-12,20.2
2023-10-13,-3.0
2023-10-14,-9.9
2023-10-15,17.0
2023-10-16,16.3
2023-10-17,27.3
2023-10-18,7.4
2023-10-19,4.0
2023-10-20,0.8
2023-10-21,16.7
2023-10-22,-6.3
2023-10-23,25.0
2023-10-24,22.7
2023-10-25,23.6
2023-10-26,3.4
2023-10-27,-9.1
2023-10-28,15.5
2023-10-29,20.7
2023-10-30,12.1
2023-10-31,19.4
2023-11-01,14.3
2023-11-02,21.8
2023-11-03,23.3
2023-11-04,24.3
2023-11-05,25.8
2023-11-06,12.2
2023-11-07,27.3
2023-11-08,21.8
2023-11-09,-4.4
2023-11-10,24.1
2023-11-11,23.6
2023-11-12,-3.7
2023-11-13,28.5
2023-11-14,2.6
2023-11-15,11.3
2023-11-16,6.6
2023-11-17,28.0
2023-11-18,-0.8
2023-11-19,24.2
2023-11-20,16.0
2023-11-21,13.7
2023-11-22,12.1
2023-11-23,19.9
2023-11-24,5.7
2023-11-25,-8.5
2023-11-26,29.1
2023-11-27,10.2
2023-11-28,2.6
2023-11-29,24.9
2023-11-30,19.0
2023-12-01,-9.7
2023-12-02,-6.8
2023-12-03,19.9
2023-12-04,17.6
2023-12-05,20.0
2023-12-06,20.5
2023-12-07,14.8
2023-12-08,14.8
2023-12-09,20.7
2023-12-10,-2.4
2023-12-11,19.6
2023-12-12,21.6
2023-12-13,4.8
2023-12-14,1.7
2023-12-15,3.1
2023-12-16,-2.5
2023-12-17,0.9
2023-12-18,18.4
2023-12-19,-1.2
2023-12-20,14.9
2023-12-21,6.6
2023-12-22,26.2
2023-12-23,3.8
2023-12-24,5.9
2023-12-25,2.7
2023-12-26,-1.9
2023-12-27,-3.8
2023-12-28,-3.0
2023-12-29,15.6
2023-12-30,21.6
2023-12-31,14.6
2024-01-01,8.9
2024-01-02,-1.1
2024-01-03,0.5
2024-01-04,3.7
2024-01-05,11.9
2024-01-06,2.6
2024-01-07,25.0
2024-01-08,-3.3
2024-01-09,-4.6
2024-01-10,1.6
2024-01-11,2.1
2024-01-12,-7.9
2024-01-13,-9.5
2024-01-14,10.3
2024-01-15,21.0
2024-01-16,-9.0
2024-01-17,-3.9
2024-01-18,4.0
2024-01-19,-2.2
2024-01-20,1.8
2024-01-21,18.2
2024-01-22,28.7
2024-01-23,-9.6
2024-01-24,22.3
2024-01-25,-3.9
2024-01-26,28.8
2024-01-27,12.6
2024-01-28,-9.8
2024-01-29,24.7
2024-01-30,-3.5
2024-01-31,-3.3
2024-02-01,0.8
2024-02-02,28.3
2024-02-03,21.2
2024-02-04,14.1
2024-02-05,-4.4
2024-02-06,7.5
2024-02-07,-9.7
2024-02-08,26.9
2024-02-09,-4.5
2024-02-10,26.9
2024-02-11,25.0
2024-02-12,-7.6
2024-02-13,-6.5
2024-02-14,18.2
2024-02-15,19.2
2024-02-16,-10.0
2024-02-17,-7.8
2024-02-18,-3.5
2024-02-19,-4.1
2024-02-20,7.8
2024-02-21,-0.9
2024-02-22,24.0
2024-02-23,3.5
2024-02-24,-8.9
2024-02-25,22.7
2024-02-26,22.7
2024-02-27,24.2
2024-02-28,8.3
2024-02-29,20.1
2024-03-01,-6.8
2024-03-02,26.3
2024-03-03,29.5
2024-03-04,6.5
2024-03-05,-6.9
2024-03-06,20.0
2024-03-07,0.8
2024-03-08,13.0
2024-03-09,3.2
2024-03-10,13.1
