date,temperature
2023-06-10,19.2
2023-06-11,20.8
2023-06-12,18.5
2023-06-13,16.1
2023-06-14,31.7
2023-06-15,18.1
2023-06-16,31.3
2023-06-17,23.1
2023-06-18,33.9
2023-06-19,15.1
2023-06-20,22.9
2023-06-21,33.6
2023-06-22,29.4
2023-06-23,34.2
2023-06-24,21.3
2023-06-25,34.7
2023-06-26,17.3
2023-06-27,18.4
2023-06-28,30.5
2023-06-29,25.5
2023-06-30,29.3
2023-07-01,29.6
2023-07-02,32.6
2023-07-03,20.3
2023-07-04,17.8
2023-07-05,23.3
2023-07-06,18.8
2023-07-07,31.4
2023-07-08,19.5
2023-07-09,24.7
2023-07-10,15.7
2023-07-11,18.3
2023-07-12,21.3
2023-07-13,21.6
2023-07-14,35.0
2023-07-15,20.8
2023-07-16,28.8
2023-07-17,28.0
2023-07-18,21.2
2023-07-19,30.4
2023-07-20,26.7
2023-07-21,26.9
2023-07-22,16.1
2023-07-23,20.7
2023-07-24,26.5
2023-07-25,34.1
2023-07-26,32.0
2023-07-27,29.3
2023-07-28,18.3
2023-07-29,29.7
2023-07-30,30.9
2023-07-31,27.2
2023-08-01,20.2
2023-08-02,16.3
2023-08-03,33.5
2023-08-04,18.0
2023-08-05,27.0
2023-08-06,25.3
2023-08-07,34.6
2023-08-08,17.8
2023-08-09,17.0
2023-08-10,34.6
2023-08-11,18.6
2023-08-12,15.0
2023-08-13,34.0
2023-08-14,18.4
2023-08-15,30.9
2023-08-16,29.0
2023-08-17,29.8
2023-08-18,28.2
2023-08-19,16.4
2023-08-20,26.2
2023-08-21,30.7
2023-08-22,25.9
2023-08-23,19.3
2023-08-24,31.8
2023-08-25,25.5
2023-08-26,25.8
2023-08-27,30.9
2023-08-28,28.4
2023-08-29,30.0
2023-08-30,23.0
2023-08-31,18.1
2023-09-01,33.8
2023-09-02,16.2
2023-09-03,16.3
2023-09-04,22.5
2023-09-05,25.0
2023-09-06,31.3
2023-09-07,18.9
2023-09-08,32.1
2023-09-09,16.0
2023-09-10,20.8
2023-09-11,32.0
2023-09-12,34.8
2023-09-13,33.5
2023-09-14,16.9
2023-09-15,26.8
2023-09-16,30.1
2023-09-17,27.9
2023-09-18,26.7
2023-09-19,16.0
2023-09-20,34.9
2023-09-21,24.4
2023-09-22,27.0
2023-09-23,21.9
2023-09-24,17.3
2023-09-25,27.6
2023-09-26,16.7
2023-09-27,29.5
2023-09-28,23.7
