date,temperature
2023-06-10,15.8
2023-06-11,14.4
2023-06-12,39.1
2023-06-13,15.1
2023-06-14,20.0
2023-06-15,39.6
2023-06-16,30.5
2023-06-17,35.5
2023-06-18,26.3
2023-06-19,10.6
2023-06-20,35.9
2023-06-21,14.9
2023-06-22,24.1
2023-06-23,14.7
2023-06-24,19.7
2023-06-25,31.6
2023-06-26,34.6
2023-06-27,13.5
2023-06-28,12.7
2023-06-29,10.9
2023-06-30,25.5
2023-07-01,19.6
2023-07-02,12.7
2023-07-03,27.2
2023-07-04,13.8
2023-07-05,36.6
2023-07-06,23.8
2023-07-07,21.9
2023-07-08,11.7
2023-07-09,33.5
2023-07-10,21.1
2023-07-11,13.0
2023-07-12,24.2
2023-07-13,31.6
2023-07-14,30.6
2023-07-15,21.5
2023-07-16,17.4
2023-07-17,23.0
2023-07-18,21.2
2023-07-19,37.9
2023-07-20,24.5
2023-07-21,33.3
2023-07-22,29.4
2023-07-23,18.3
2023-07-24,10.6
2023-07-25,15.4
2023-07-26,29.1
2023-07-27,20.0
2023-07-28,31.7
2023-07-29,10.2
2023-07-30,33.6
2023-07-31,31.2
2023-08-01,31.1
2023-08-02,31.3
2023-08-03,29.9
2023-08-04,32.0
2023-08-05,35.0
2023-08-06,25.2
2023-08-07,16.9
2023-08-08,26.0
2023-08-09,35.7
2023-08-10,37.6
2023-08-11,38.3
2023-08-12,24.9
2023-08-13,25.4
2023-08-14,30.1
2023-08-15,39.8
2023-08-16,25.2
2023-08-17,13.9
2023-08-18,12.4
2023-08-19,15.6
2023-08-20,16.9
2023-08-21,15.7
2023-08-22,20.1
2023-08-23,10.2
2023-08-24,32.6
2023-08-25,13.9
2023-08-26,27.4
2023-08-27,24.5
2023-08-28,10.6
2023-08-29,37.6
2023-08-30,17.4
2023-08-31,34.3
2023-09-01,30.1
2023-09-02,27.8
2023-09-03,13.8
2023-09-04,36.4
2023-09-05,26.4
2023-09-06,38.9
2023-09-07,26.7
2023-09-08,19.5
