date,temperature
2023-06-10,9.7
2023-06-11,21.1
2023-06-12,22.9
2023-06-13,6.9
2023-06-14,14.9
2023-06-15,16.3
2023-06-16,19.8
2023-06-17,17.7
2023-06-18,15.6
2023-06-19,5.9
2023-06-20,29.7
2023-06-21,21.1
2023-06-22,30.4
2023-06-23,5.6
2023-06-24,6.2
2023-06-25,6.7
2023-06-26,14.4
2023-06-27,8.9
2023-06-28,9.0
2023-06-29,29.9
2023-06-30,13.5
2023-07-01,24.9
2023-07-02,8.3
2023-07-03,24.6
2023-07-04,21.4
2023-07-05,15.4
2023-07-06,5.6
2023-07-07,14.6
2023-07-08,26.4
2023-07-09,33.1
2023-07-10,33.5
2023-07-11,24.1
2023-07-12,9.3
2023-07-13,28.2
2023-07-14,31.7
2023-07-15,23.2
2023-07-16,8.3
2023-07-17,18.2
2023-07-18,29.6
2023-07-19,16.3
2023-07-20,19.9
2023-07-21,6.2
2023-07-22,19.8
2023-07-23,21.7
2023-07-24,11.3
2023-07-25,11.7
2023-07-26,34.3
2023-07-27,12.8
2023-07-28,24.7
2023-07-29,13.2
2023-07-30,28.9
2023-07-31,33.1
2023-08-01,21.0
2023-08-02,21.1
2023-08-03,20.5
2023-08-04,30.4
2023-08-05,9.4
2023-08-06,21.9
2023-08-07,19.1
2023-08-08,7.2
2023-08-09,34.7
2023-08-10,11.2
2023-08-11,23.2
2023-08-12,9.6
2023-08-13,19.4
2023-08-14,19.0
2023-08-15,8.6
2023-08-16,24.4
2023-08-17,7.7
2023-08-18,29.6
2023-08-19,29.0
2023-08-20,21.5
2023-08-21,17.7
2023-08-22,17.5
2023-08-23,9.2
2023-08-24,15.4
2023-08-25,20.3
2023-08-26,30.9
2023-08-27,10.7
2023-08-28,22.8
2023-08-29,9.4
2023-08-30,24.1
2023-08-31,12.8
2023-09-01,12.0
2023-09-02,11.5
2023-09-03,31.9
2023-09-04,17.8
2023-09-05,30.3
2023-09-06,24.2
2023-09-07,6.9
2023-09-08,10.2
2023-09-09,5.2
2023-09-10,19.4
2023-09-11,18.7
2023-09-12,29.8
2023-09-13,14.0
2023-09-14,34.6
2023-09-15,15.8
2023-09-16,20.4
2023-09-17,27.1
2023-09-18,21.0
2023-09-19,19.2
2023-09-20,32.4
2023-09-21,19.1
2023-09-22,13.7
2023-09-23,22.5
2023-09-24,24.9
2023-09-25,33.2
2023-09-26,5.6
2023-09-27,12.1
2023-09-28,19.3
2023-09-29,22.0
2023-09-30,20.8
2023-10-01,21.5
2023-10-02,26.0
2023-10-03,11.7
2023-10-04,8.0
2023-10-05,18.8
2023-10-06,21.3
2023-10-07,31.5
2023-10-08,18.5
2023-10-09,23.7
2023-10-10,12.9
2023-10-11,10.3
2023-10-12,32.5
2023-10-13,18.1
2023-10-14,18.0
2023-10-15,13.4
2023-10-16,8.8
2023-10-17,11.5
2023-10-18,21.2
2023-10-19,8.1
2023-10-20,24.6
2023-10-21,28.4
2023-10-22,21.4
2023-10-23,26.4
2023-10-24,7.9
2023-10-25,11.4
2023-10-26,19.3
2023-10-27,34.5
2023-10-28,27.6
2023-10-29,7.6
2023-10-30,14.9
2023-10-31,34.5
2023-11-01,13.1
2023-11-02,29.0
2023-11-03,24.6
2023-11-04,24.2
2023-11-05,28.3
2023-11-06,34.8
2023-11-07,14.9
2023-11-08,7.3
2023-11-09,9.4
2023-11-10,21.4
2023-11-11,8.8
2023-11-12,22.7
2023-11-13,27.4
2023-11-14,33.1
2023-11-15,10.0
2023-11-16,18.5
2023-11-17,20.9
2023-11-18,25.0
2023-11-19,20.2
2023-11-20,21.8
2023-11-21,20.5
2023-11-22,5.9
2023-11-23,33.5
2023-11-24,30.1
2023-11-25,29.8
2023-11-26,9.8
2023-11-27,23.1
2023-11-28,15.5
2023-11-29,18.9
2023-11-30,7.0
2023-12-01,22.7
2023-12-02,12.4
2023-12-03,25.1
2023-12-04,17.0
2023-12-05,12.6
2023-12-06,31.0
2023-12-07,7.9
2023-12-08,10.3
2023-12-09,9.9
2023-12-10,8.7
2023-12-11,17.0
2023-12-12,25.3
2023-12-13,25.9
2023-12-14,28.9
2023-12-15,19.8
2023-12-16,14.3
2023-12-17,28.5
2023-12-18,32.5
2023-12-19,13.3
2023-12-20,28.5
2023-12-21,16.8
2023-12-22,17.1
2023-12-23,31.0
2023-12-24,34.9
2023-12-25,33.3
2023-12-26,25.2
2023-12-27,14.3
2023-12-28,22.8
2023-12-29,18.0
2023-12-30,19.7
2023-12-31,35.0
2024-01-01,34.5
2024-01-02,30.8
2024-01-03,17.9
2024-01-04,19.8
2024-01-05,7.0
2024-01-06,5.6
2024-01-07,6.3
2024-01-08,31.8
2024-01-09,17.5
2024-01-10,24.6
2024-01-11,34.4
2024-01-12,26.6
2024-01-13,22.5
2024-01-14,26.5
2024-01-15,33.8
2024-01-16,33.6
2024-01-17,32.7
2024-01-18,16.1
2024-01-19,24.0
2024-01-20,32.8
2024-01-21,11.7
2024-01-22,22.7
2024-01-23,16.1
2024-01-24,25.2
2024-01-25,30.6
2024-01-26,26.3
2024-01-27,19.0
2024-01-28,22.0
2024-01-29,9.2
2024-01-30,33.2
2024-01-31,33.3
2024-02-01,11.6
2024-02-02,23.7
2024-02-03,6.8
2024-02-04,25.4
2024-02-05,9.3
2024-02-06,20.8
2024-02-07,31.2
2024-02-08,17.6
2024-02-09,29.8
2024-02-10,21.4
2024-02-11,17.4
2024-02-12,22.5
2024-02-13,24.6
2024-02-14,23.7
2024-02-15,8.4
2024-02-16,29.4
2024-02-17,16.1
2024-02-18,34.2
2024-02-19,19.0
2024-02-20,28.3
2024-02-21,8.7
2024-02-22,30.0
2024-02-23,22.0
2024-02-24,12.9
2024-02-25,27.4
2024-02-26,17.7
2024-02-27,12.4
2024-02-28,6.0
2024-02-29,7.9
2024-03-01,13.8
2024-03-02,29.9
2024-03-03,18.0
2024-03-04,22.0
2024-03-05,14.5
2024-03-06,15.4
2024-03-07,12.4
2024-03-08,10.5
2024-03-09,9.3
2024-03-10,8.7
2024-03-11,23.5
2024-03-12,11.6
2024-03-13,14.3
2024-03-14,32.2
2024-03-15,20.5
2024-03-16,7.2
2024-03-17,34.6
2024-03-18,18.2
2024-03-19,28.3
2024-03-20,30.0
2024-03-21,31.3
2024-03-22,20.5
2024-03-23,16.5
2024-03-24,29.4
2024-03-25,31.1
2024-03-26,17.5
2024-03-27,16.1
2024-03-28,31.9
2024-03-29,25.9
2024-03-30,27.9
2024-03-31,20.6
2024-04-01,6.8
2024-04-02,13.7
2024-04-03,17.2
2024-04-04,22.2
2024-04-05,26.8
2024-04-06,27.1
2024-04-07,14.2
2024-04-08,9.2
2024-04-09,16.0
2024-04-10,31.2
2024-04-11,16.5
2024-04-12,32.2
2024-04-13,21.4
2024-04-14,13.5
2024-04-15,13.3
2024-04-16,18.8
2024-04-17,7.0
2024-04-18,16.0
2024-04-19,14.3
2024-04-20,11.9
2024-04-21,6.7
2024-04-22,28.3
2024-04-23,12.8
2024-04-24,19.6
2024-04-25,16.8
2024-04-26,30.9
2024-04-27,28.0
2024-04-28,15.7
2024-04-29,5.7
2024-04-30,16.7
2024-05-01,15.7
2024-05-02,29.1
2024-05-03,8.9
2024-05-04,29.1
2024-05-05,7.0
2024-05-06,12.4
2024-05-07,14.9
2024-05-08,5.6
2024-05-09,28.6
2024-05-10,21.9
2024-05-11,9.0
2024-05-12,25.0
