date,temperature
2023-06-10,24.6
2023-06-11,25.0
2023-06-12,32.4
2023-06-13,32.0
2023-06-14,30.8
2023-06-15,34.5
2023-06-16,25.1
2023-06-17,39.4
2023-06-18,17.8
2023-06-19,19.8
2023-06-20,18.0
2023-06-21,28.2
2023-06-22,23.9
2023-06-23,29.0
2023-06-24,11.6
2023-06-25,31.1
2023-06-26,13.0
2023-06-27,22.1
2023-06-28,27.8
2023-06-29,33.2
2023-06-30,39.7
2023-07-01,20.6
2023-07-02,23.2
2023-07-03,14.2
2023-07-04,26.3
2023-07-05,13.3
2023-07-06,30.4
2023-07-07,28.3
2023-07-08,12.7
2023-07-09,13.6
2023-07-10,37.0
2023-07-11,18.8
2023-07-12,13.0
2023-07-13,24.1
2023-07-14,14.2
2023-07-15,12.3
2023-07-16,39.1
2023-07-17,24.0
2023-07-18,36.2
2023-07-19,31.3
2023-07-20,33.2
2023-07-21,21.1
2023-07-22,13.9
2023-07-23,11.5
2023-07-24,14.0
2023-07-25,18.0
2023-07-26,16.9
2023-07-27,32.3
2023-07-28,19.1
2023-07-29,29.5
2023-07-30,21.3
2023-07-31,27.2
2023-08-01,11.2
2023-08-02,32.2
2023-08-03,17.3
2023-08-04,37.9
2023-08-05,19.0
2023-08-06,24.5
2023-08-07,21.7
2023-08-08,22.0
2023-08-09,37.6
2023-08-10,39.9
2023-08-11,36.2
2023-08-12,21.1
2023-08-13,18.7
2023-08-14,36.7
2023-08-15,31.7
2023-08-16,27.8
2023-08-17,35.5
2023-08-18,28.9
2023-08-19,18.5
2023-08-20,22.3
2023-08-21,24.7
2023-08-22,23.3
2023-08-23,16.3
2023-08-24,27.1
2023-08-25,17.1
2023-08-26,23.8
2023-08-27,11.1
2023-08-28,11.2
2023-08-29,15.8
2023-08-30,33.9
2023-08-31,21.6
2023-09-01,14.3
2023-09-02,13.0
2023-09-03,20.5
2023-09-04,20.8
2023-09-05,28.0
2023-09-06,24.6
2023-09-07,15.0
2023-09-08,12.5
2023-09-09,32.9
2023-09-10,16.0
2023-09-11,26.8
2023-09-12,13.3
2023-09-13,39.9
2023-09-14,36.5
2023-09-15,26.1
2023-09-16,17.8
2023-09-17,19.2
2023-09-18,22.0
2023-09-19,38.3
2023-09-20,24.6
2023-09-21,31.2
2023-09-22,31.4
2023-09-23,14.3
2023-09-24,32.4
2023-09-25,24.1
2023-09-26,23.2
2023-09-27,33.9
2023-09-28,15.1
2023-09-29,29.3
2023-09-30,15.2
2023-10-01,30.6
2023-10-02,30.4
2023-10-03,25.9
2023-10-04,20.2
2023-10-05,10.2
2023-10-06,33.8
2023-10-07,26.9
2023-10-08,36.2
2023-10-09,27.8
2023-10-10,38.3
2023-10-11,32.1
2023-10-12,24.4
2023-10-13,25.1
2023-10-14,31.2
2023-10-15,38.3
2023-10-16,33.3
2023-10-17,12.4
2023-10-18,21.4
2023-10-19,11.4
2023-10-20,38.5
2023-10-21,35.3
2023-10-22,28.4
2023-10-23,22.5
2023-10-24,24.5
2023-10-25,13.3
2023-10-26,12.7
2023-10-27,25.9
2023-10-28,25.4
2023-10-29,38.6
2023-10-30,22.5
2023-10-31,29.0
2023-11-01,10.7
2023-11-02,23.7
2023-11-03,39.6
2023-11-04,36.6
2023-11-05,24.3
2023-11-06,31.5
2023-11-07,17.9
2023-11-08,39.4
2023-11-09,14.2
2023-11-10,11.9
2023-11-11,33.3
2023-11-12,33.5
2023-11-13,36.2
2023-11-14,27.1
2023-11-15,29.3
2023-11-16,21.6
2023-11-17,14.5
2023-11-18,27.9
2023-11-19,28.3
2023-11-20,17.7
2023-11-21,36.0
2023-11-22,38.4
2023-11-23,20.1
2023-11-24,16.2
2023-11-25,19.6
2023-11-26,29.8
2023-11-27,34.3
2023-11-28,27.2
2023-11-29,18.0
2023-11-30,24.7
2023-12-01,32.2
2023-12-02,23.4
2023-12-03,21.4
2023-12-04,24.0
2023-12-05,25.4
2023-12-06,32.8
2023-12-07,16.7
2023-12-08,11.5
2023-12-09,17.6
2023-12-10,27.0
2023-12-11,28.8
2023-12-12,30.9
2023-12-13,34.8
2023-12-14,24.5
2023-12-15,21.5
2023-12-16,17.1
2023-12-17,10.4
2023-12-18,24.0
2023-12-19,13.8
2023-12-20,22.5
2023-12-21,25.1
2023-12-22,33.6
2023-12-23,33.0
2023-12-24,19.0
2023-12-25,13.2
2023-12-26,34.3
2023-12-27,15.7
2023-12-28,35.2
2023-12-29,19.0
2023-12-30,16.8
2023-12-31,15.2
2024-01-01,12.6
2024-01-02,25.8
2024-01-03,15.1
2024-01-04,18.4
2024-01-05,33.6
2024-01-06,12.3
2024-01-07,23.6
2024-01-08,20.1
2024-01-09,26.0
2024-01-10,38.2
2024-01-11,17.9
2024-01-12,15.9
2024-01-13,11.2
2024-01-14,12.7
2024-01-15,30.0
2024-01-16,12.1
2024-01-17,21.1
2024-01-18,14.8
2024-01-19,10.6
2024-01-20,20.4
2024-01-21,13.8
2024-01-22,16.7
2024-01-23,19.9
2024-01-24,31.1
2024-01-25,22.6
2024-01-26,26.5
2024-01-27,19.3
2024-01-28,13.4
2024-01-29,23.3
2024-01-30,17.6
2024-01-31,11.2
2024-02-01,38.7
2024-02-02,33.5
2024-02-03,30.7
2024-02-04,29.7
2024-02-05,22.3
2024-02-06,28.1
2024-02-07,38.3
2024-02-08,12.1
2024-02-09,24.3
2024-02-10,22.8
2024-02-11,13.6
2024-02-12,35.0
2024-02-13,33.4
2024-02-14,26.8
2024-02-15,10.9
2024-02-16,12.1
2024-02-17,30.8
2024-02-18,20.6
2024-02-19,34.8
2024-02-20,15.8
2024-02-21,11.2
2024-02-22,16.5
2024-02-23,20.5
2024-02-24,17.5
2024-02-25,18.6
2024-02-26,32.8
2024-02-27,30.4
2024-02-28,25.3
2024-02-29,38.0
2024-03-01,34.5
2024-03-02,26.1
2024-03-03,16.5
2024-03-04,36.7
2024-03-05,38.0
2024-03-06,32.0
2024-03-07,39.9
2024-03-08,13.9
2024-03-09,31.5
2024-03-10,23.1
2024-03-11,17.8
2024-03-12,19.8
2024-03-13,22.4
2024-03-14,35.5
2024-03-15,23.3
2024-03-16,33.3
2024-03-17,12.8
2024-03-18,20.7
2024-03-19,21.2
2024-03-20,19.4
2024-03-21,36.1
2024-03-22,27.0
2024-03-23,19.5
2024-03-24,28.7
2024-03-25,33.4
2024-03-26,22.0
2024-03-27,22.0
2024-03-28,18.8
2024-03-29,14.1
2024-03-30,34.4
2024-03-31,38.3
2024-04-01,25.4
2024-04-02,11.2
2024-04-03,14.2
2024-04-04,39.9
2024-04-05,23.4
2024-04-06,27.6
2024-04-07,13.5
2024-04-08,34.3
2024-04-09,30.8
2024-04-10,32.8
2024-04-11,32.4
2024-04-12,19.9
2024-04-13,39.7
2024-04-14,11.0
2024-04-15,35.1
2024-04-16,33.4
2024-04-17,31.2
2024-04-18,36.4
2024-04-19,10.3
2024-04-20,35.8
2024-04-21,14.2
2024-04-22,14.6
2024-04-23,17.8
2024-04-24,24.9
2024-04-25,38.6
2024-04-26,14.6
2024-04-27,31.9
2024-04-28,17.2
2024-04-29,18.9
2024-04-30,39.5
2024-05-01,26.4
2024-05-02,13.6
2024-05-03,35.6
2024-05-04,16.2
2024-05-05,22.7
2024-05-06,25.0
2024-05-07,14.5
2024-05-08,25.0
2024-05-09,39.3
2024-05-10,20.2
2024-05-11,20.4
2024-05-12,26.7
2024-05-13,11.7
2024-05-14,27.6
2024-05-15,19.9
2024-05-16,19.2
2024-05-17,12.1
2024-05-18,12.4
2024-05-19,22.0
2024-05-20,29.9
2024-05-21,19.1
2024-05-22,26.3
2024-05-23,24.2
2024-05-24,13.7
2024-05-25,33.5
2024-05-26,35.8
2024-05-27,21.6
2024-05-28,17.3
2024-05-29,37.1
2024-05-30,36.3
2024-05-31,24.0
2024-06-01,20.8
2024-06-02,15.4
2024-06-03,13.2
2024-06-04,20.2
2024-06-05,13.9
2024-06-06,33.5
2024-06-07,19.9
2024-06-08,39.9
2024-06-09,22.1
2024-06-10,18.1
2024-06-11,18.6
2024-06-12,12.7
2024-06-13,31.2
2024-06-14,34.4
2024-06-15,34.8
2024-06-16,33.7
2024-06-17,12.1
2024-06-18,27.4
2024-06-19,32.7
2024-06-20,19.3
2024-06-21,29.0
2024-06-22,17.9
2024-06-23,23.1
2024-06-24,33.7
2024-06-25,20.8
2024-06-26,32.5
2024-06-27,31.9
2024-06-28,27.8
2024-06-29,20.7
2024-06-30,29.2
2024-07-01,32.2
2024-07-02,12.4
2024-07-03,29.2
2024-07-04,39.0
2024-07-05,36.1
2024-07-06,24.2
2024-07-07,15.0
2024-07-08,27.7
2024-07-09,35.5
2024-07-10,10.4
2024-07-11,34.6
2024-07-12,34.2
2024-07-13,24.2
2024-07-14,26.1
2024-07-15,26.7
2024-07-16,10.9
2024-07-17,26.1
2024-07-18,13.4
2024-07-19,11.0
2024-07-20,16.7
2024-07-21,18.7
2024-07-22,24.6
2024-07-23,34.8
2024-07-24,28.5
2024-07-25,27.9
2024-07-26,30.3
2024-07-27,30.3
2024-07-28,30.3
2024-07-29,28.9
2024-07-30,36.0
2024-07-31,10.4
2024-08-01,40.0
2024-08-02,15.9
2024-08-03,26.3
2024-08-04,22.9
2024-08-05,11.7
2024-08-06,26.0
2024-08-07,26.6
2024-08-08,16.9
2024-08-09,25.4
2024-08-10,18.1
2024-08-11,10.7
2024-08-12,15.4
2024-08-13,24.2
2024-08-14,30.3
2024-08-15,21.0
2024-08-16,22.5
2024-08-17,38.9
2024-08-18,27.3
2024-08-19,32.0
2024-08-20,39.1
2024-08-21,14.5
2024-08-22,37.5
2024-08-23,30.3
2024-08-24,36.1
2024-08-25,33.9
2024-08-26,34.2
2024-08-27,12.0
2024-08-28,14.8
2024-08-29,31.9
2024-08-30,39.7
2024-08-31,13.9
2024-09-01,34.8
2024-09-02,19.4
2024-09-03,24.8
2024-09-04,13.7
2024-09-05,19.0
2024-09-06,11.5
2024-09-07,28.6
2024-09-08,18.3
2024-09-09,31.7
2024-09-10,10.2
2024-09-11,37.3
2024-09-12,38.5
2024-09-13,34.7
2024-09-14,24.5
2024-09-15,30.0
2024-09-16,14.0
2024-09-17,28.1
2024-09-18,15.9
2024-09-19,37.2
2024-09-20,21.6
2024-09-21,30.3
2024-09-22,18.4
2024-09-23,11.2
2024-09-24,19.9
2024-09-25,32.2
2024-09-26,16.7
2024-09-27,38.8
2024-09-28,32.0
2024-09-29,38.9
2024-09-30,13.2
2024-10-01,35.0
2024-10-02,14.3
2024-10-03,37.0
2024-10-04,24.3
2024-10-05,24.1
2024-10-06,14.0
2024-10-07,11.2
2024-10-08,17.5
2024-10-09,28.1
2024-10-10,18.2
2024-10-11,22.6
2024-10-12,21.7
2024-10-13,18.4
2024-10-14,12.9
2024-10-15,14.1
2024-10-16,19.2
2024-10-17,39.1
2024-10-18,31.9
2024-10-19,13.9
2024-10-20,13.5
2024-10-21,13.7
2024-10-22,17.5
2024-10-23,12.0
2024-10-24,34.6
2024-10-25,23.8
2024-10-26,39.9
2024-10-27,35.3
2024-10-28,10.8
2024-10-29,31.0
2024-10-30,15.8
2024-10-31,30.9
2024-11-01,23.5
2024-11-02,11.3
2024-11-03,22.6
2024-11-04,14.5
2024-11-05,18.5
2024-11-06,39.1
2024-11-07,28.8
2024-11-08,11.4
2024-11-09,15.8
2024-11-10,30.0
2024-11-11,15.2
2024-11-12,35.5
2024-11-13,15.7
2024-11-14,20.6
2024-11-15,29.6
2024-11-16,28.2
2024-11-17,31.7
2024-11-18,26.1
2024-11-19,30.3
