date,temperature
2023-06-10,10.0
2023-06-11,11.8
2023-06-12,10.3
2023-06-13,9.3
2023-06-14,19.1
2023-06-15,16.1
2023-06-16,20.3
2023-06-17,29.3
2023-06-18,17.8
2023-06-19,29.3
2023-06-20,-1.6
2023-06-21,-4.8
2023-06-22,10.0
2023-06-23,19.6
2023-06-24,-2.6
2023-06-25,15.4
2023-06-26,1.1
2023-06-27,7.8
2023-06-28,27.4
2023-06-29,18.6
2023-06-30,17.9
2023-07-01,26.7
2023-07-02,9.7
2023-07-03,18.8
2023-07-04,-5.3
2023-07-05,16.1
2023-07-06,8.9
2023-07-07,21.8
2023-07-08,5.6
2023-07-09,23.8
2023-07-10,12.6
2023-07-11,12.0
2023-07-12,-2.5
2023-07-13,28.0
2023-07-14,0.3
2023-07-15,14.9
2023-07-16,29.4
2023-07-17,26.5
2023-07-18,7.8
2023-07-19,21.4
2023-07-20,24.0
2023-07-21,28.4
2023-07-22,-8.3
2023-07-23,-1.1
2023-07-24,17.9
2023-07-25,14.7
2023-07-26,-5.4
2023-07-27,-8.3
2023-07-28,-3.9
2023-07-29,19.7
2023-07-30,1.1
2023-07-31,10.5
2023-08-01,-1.9
2023-08-02,-1.1
2023-08-03,-6.5
2023-08-04,28.5
2023-08-05,11.0
2023-08-06,2.4
2023-08-07,-8.3
2023-08-08,29.2
2023-08-09,22.0
2023-08-10,-2.6
2023-08-11,25.0
2023-08-12,-3.0
2023-08-13,17.7
2023-08-14,25.9
2023-08-15,21.4
2023-08-16,15.3
2023-08-17,-3.3
2023-08-18,13.5
2023-08-19,15.4
2023-08-20,18.9
2023-08-21,-1.0
2023-08-22,18.5
2023-08-23,18.3
2023-08-24,3.2
2023-08-25,-9.0
2023-08-26,14.2
2023-08-27,18.1
2023-08-28,-8.9
2023-08-29,11.0
2023-08-30,13.7
2023-08-31,29.2
2023-09-01,9.6
2023-09-02,5.0
2023-09-03,23.5
2023-09-04,10.8
2023-09-05,20.4
2023-09-06,3.3
2023-09-07,-5.2
2023-09-08,14.4
2023-09-09,-9.5
2023-09-10,25.5
2023-09-11,25.4
2023-09-12,11.7
2023-09-13,1.9
2023-09-14,4.5
2023-09-15,-1.1
2023-09-16,-6.9
2023-09-17,16.7
2023-09-18,0.2
2023-09-19,-8.5
2023-09-20,6.1
2023-09-21,-0.9
2023-09-22,15.4
2023-09-23,-5.2
2023-09-24,21.6
2023-09-25,19.8
2023-09-26,2.5
2023-09-27,-6.0
2023-09-28,3.5
2023-09-29,23.0
2023-09-30,24.9
2023-10-01,14.0
2023-10-02,29.5
2023-10-03,15.4
2023-10-04,0.4
2023-10-05,9.2
2023-10-06,10.1
2023-10-07,3.3
2023-10-08,21.6
2023-10-09,2.2
2023-10-10,13.1
2023-10-11,29.8
2023-10-12,7.5
2023-10-13,-8.9
2023-10-14,14.6
2023-10-15,23.6
2023-10-16,16.6
2023-10-17,-3.8
2023-10-18,-8.0
2023-10-19,13.3
2023-10-20,17.3
2023-10-21,27.8
2023-10-22,4.5
2023-10-23,-0.4
2023-10-24,4.3
2023-10-25,19.8
2023-10-26,6.0
2023-10-27,27.8
2023-10-28,8.6
2023-10-29,-8.1
2023-10-30,28.6
2023-10-31,15.2
2023-11-01,5.1
2023-11-02,20.0
2023-11-03,8.9
2023-11-04,20.5
2023-11-05,-6.2
2023-11-06,17.3
2023-11-07,-8.3
2023-11-08,20.5
2023-11-09,3.6
2023-11-10,-3.3
2023-11-11,23.9
2023-11-12,5.7
2023-11-13,10.8
2023-11-14,-2.1
2023-11-15,23.1
2023-11-16,10.7
2023-11-17,20.9
2023-11-18,-1.7
2023-11-19,27.6
2023-11-20,17.9
2023-11-21,29.8
2023-11-22,-1.8
2023-11-23,2.7
2023-11-24,0.4
2023-11-25,10.2
2023-11-26,17.1
2023-11-27,29.9
2023-11-28,22.7
2023-11-29,3.0
2023-11-30,24.0
2023-12-01,17.1
2023-12-02,7.9
2023-12-03,1.6
2023-12-04,1.6
2023-12-05,7.4
2023-12-06,-2.6
2023-12-07,-3.6
2023-12-08,14.4
2023-12-09,11.6
2023-12-10,11.3
2023-12-11,8.2
2023-12-12,18.9
2023-12-13,26.2
2023-12-14,17.9
2023-12-15,28.0
2023-12-16,7.9
2023-12-17,-1.8
2023-12-18,-8.7
2023-12-19,17.1
2023-12-20,25.3
2023-12-21,19.0
2023-12-22,-2.1
2023-12-23,-6.1
2023-12-24,15.1
2023-12-25,22.2
2023-12-26,27.7
2023-12-27,24.0
2023-12-28,-7.8
2023-12-29,19.9
2023-12-30,23.6
2023-12-31,17.1
2024-01-01,27.9
2024-01-02,14.5
2024-01-03,0.6
2024-01-04,-8.4
2024-01-05,-3.8
2024-01-06,3.7
2024-01-07,5.9
2024-01-08,26.1
2024-01-09,19.7
2024-01-10,5.5
2024-01-11,14.5
2024-01-12,-4.2
2024-01-13,26.2
2024-01-14,12.2
2024-01-15,-1.3
2024-01-16,26.8
2024-01-17,-1.7
2024-01-18,27.5
2024-01-19,24.6
2024-01-20,16.2
2024-01-21,27.1
2024-01-22,11.5
2024-01-23,9.3
2024-01-24,3.8
2024-01-25,-5.3
2024-01-26,5.7
2024-01-27,3.5
2024-01-28,1.4
2024-01-29,-2.8
2024-01-30,22.3
2024-01-31,11.4
2024-02-01,5.7
2024-02-02,11.3
2024-02-03,3.7
2024-02-04,-9.5
2024-02-05,10.7
2024-02-06,28.1
2024-02-07,16.7
2024-02-08,8.1
2024-02-09,4.0
2024-02-10,18.4
2024-02-11,0.6
2024-02-12,-8.3
2024-02-13,26.5
2024-02-14,5.2
2024-02-15,6.1
2024-02-16,19.8
2024-02-17,21.8
2024-02-18,27.4
2024-02-19,13.0
2024-02-20,-3.1
2024-02-21,1.2
2024-02-22,29.8
2024-02-23,29.6
2024-02-24,20.6
2024-02-25,0.9
2024-02-26,18.2
2024-02-27,20.0
2024-02-28,-8.7
2024-02-29,5.3
2024-03-01,3.7
2024-03-02,-4.9
2024-03-03,1.1
2024-03-04,2.5
2024-03-05,-6.5
2024-03-06,12.5
2024-03-07,1.0
2024-03-08,0.3
2024-03-09,-2.0
2024-03-10,16.3
2024-03-11,7.8
2024-03-12,20.2
2024-03-13,18.9
2024-03-14,7.2
2024-03-15,20.5
2024-03-16,-8.1
2024-03-17,20.6
2024-03-18,8.2
2024-03-19,18.8
2024-03-20,15.7
2024-03-21,7.4
2024-03-22,26.0
2024-03-23,-6.6
2024-03-24,-7.0
2024-03-25,18.1
2024-03-26,-8.3
2024-03-27,2.8
2024-03-28,-1.9
2024-03-29,24.0
2024-03-30,8.4
2024-03-31,23.3
2024-04-01,16.5
2024-04-02,8.6
2024-04-03,22.3
2024-04-04,24.7
2024-04-05,-0.2
2024-04-06,12.6
2024-04-07,-2.1
2024-04-08,23.5
2024-04-09,20.1
2024-04-10,-2.3
2024-04-11,10.8
2024-04-12,26.3
2024-04-13,8.8
2024-04-14,5.6
2024-04-15,26.8
2024-04-16,20.1
2024-04-17,-8.1
2024-04-18,-6.1
2024-04-19,15.0
2024-04-20,0.2
2024-04-21,14.5
2024-04-22,-9.0
2024-04-23,-7.4
2024-04-24,15.5
2024-04-25,19.7
2024-04-26,2.7
2024-04-27,15.7
2024-04-28,6.9
2024-04-29,1.3
2024-04-30,-6.5
2024-05-01,-7.9
2024-05-02,11.9
2024-05-03,18.4
2024-05-04,11.6
2024-05-05,0.0
2024-05-06,17.8
2024-05-07,12.8
2024-05-08,6.4
2024-05-09,26.5
2024-05-10,23.0
2024-05-11,27.0
2024-05-12,7.9
2024-05-13,18.4
2024-05-14,-5.4
2024-05-15,-2.9
2024-05-16,-7.2
2024-05-17,17.6
2024-05-18,7.9
2024-05-19,-4.5
2024-05-20,-9.6
2024-05-21,15.3
2024-05-22,-7.4
2024-05-23,17.7
2024-05-24,17.7
2024-05-25,2.3
2024-05-26,-0.2
2024-05-27,10.7
2024-05-28,-9.0
2024-05-29,25.9
2024-05-30,19.8
2024-05-31,8.9
2024-06-01,16.0
2024-06-02,10.0
2024-06-03,3.5
2024-06-04,21.4
2024-06-05,11.2
2024-06-06,-6.4
2024-06-07,0.8
2024-06-08,6.9
2024-06-09,12.4
2024-06-10,19.6
2024-06-11,20.4
2024-06-12,-0.0
2024-06-13,26.1
2024-06-14,-9.3
2024-06-15,-9.9
2024-06-16,17.2
