date,temperature
2023-06-10,18.4
2023-06-11,12.0
2023-06-12,32.3
2023-06-13,22.5
2023-06-14,5.8
2023-06-15,20.8
2023-06-16,27.5
2023-06-17,25.2
2023-06-18,8.5
2023-06-19,31.0
2023-06-20,17.1
2023-06-21,30.4
2023-06-22,20.7
2023-06-23,6.7
2023-06-24,24.1
2023-06-25,31.3
2023-06-26,32.7
2023-06-27,5.3
2023-06-28,8.5
2023-06-29,14.9
2023-06-30,19.2
2023-07-01,12.7
2023-07-02,12.5
2023-07-03,12.4
2023-07-04,5.1
2023-07-05,9.0
2023-07-06,21.5
2023-07-07,17.6
2023-07-08,16.1
2023-07-09,5.4
2023-07-10,28.7
2023-07-11,12.4
2023-07-12,32.6
2023-07-13,13.5
2023-07-14,30.6
2023-07-15,11.6
2023-07-16,30.5
2023-07-17,17.2
2023-07-18,30.5
2023-07-19,10.0
2023-07-20,24.3
2023-07-21,34.3
2023-07-22,7.4
2023-07-23,18.1
2023-07-24,11.9
2023-07-25,9.5
2023-07-26,14.9
2023-07-27,22.8
2023-07-28,27.8
2023-07-29,16.1
2023-07-30,24.3
2023-07-31,19.4
2023-08-01,10.4
2023-08-02,13.5
2023-08-03,17.8
2023-08-04,30.9
2023-08-05,14.4
2023-08-06,22.9
2023-08-07,25.2
2023-08-08,33.0
2023-08-09,29.5
2023-08-10,13.3
2023-08-11,26.8
2023-08-12,17.0
2023-08-13,17.4
2023-08-14,15.5
2023-08-15,28.5
2023-08-16,16.6
2023-08-17,17.4
2023-08-18,10.0
2023-08-19,25.1
2023-08-20,14.8
2023-08-21,29.7
2023-08-22,23.9
2023-08-23,22.1
2023-08-24,23.5
2023-08-25,7.4
2023-08-26,14.0
2023-08-27,25.0
2023-08-28,29.9
2023-08-29,17.7
2023-08-30,28.0
2023-08-31,22.9
2023-09-01,14.1
2023-09-02,20.9
2023-09-03,16.3
2023-09-04,8.0
2023-09-05,28.2
2023-09-06,16.6
2023-09-07,7.3
2023-09-08,16.2
2023-09-09,9.4
2023-09-10,16.1
2023-09-11,7.8
2023-09-12,7.5
2023-09-13,32.6
2023-09-14,13.9
2023-09-15,17.7
2023-09-16,8.9
2023-09-17,24.5
2023-09-18,33.9
2023-09-19,23.4
2023-09-20,5.8
2023-09-21,12.0
2023-09-22,9.8
2023-09-23,27.9
2023-09-24,18.2
2023-09-25,24.8
2023-09-26,9.4
2023-09-27,8.1
2023-09-28,6.4
2023-09-29,7.4
2023-09-30,24.5
2023-10-01,10.2
2023-10-02,16.6
2023-10-03,12.6
2023-10-04,25.0
2023-10-05,32.5
2023-10-06,33.0
2023-10-07,10.8
2023-10-08,12.2
2023-10-09,25.2
2023-10-10,33.6
2023-10-11,31.3
2023-10-12,11.7
2023-10-13,34.0
2023-10-14,7.7
2023-10-15,12.4
2023-10-16,12.8
2023-10-17,30.4
2023-10-18,17.1
2023-10-19,21.4
2023-10-20,26.9
2023-10-21,24.8
2023-10-22,12.8
2023-10-23,28.4
2023-10-24,10.2
2023-10-25,24.3
2023-10-26,30.0
2023-10-27,15.8
2023-10-28,30.8
2023-10-29,32.2
2023-10-30,10.1
2023-10-31,16.0
2023-11-01,12.9
2023-11-02,23.9
2023-11-03,10.1
2023-11-04,21.4
2023-11-05,13.2
2023-11-06,29.6
2023-11-07,31.7
2023-11-08,34.1
2023-11-09,33.5
2023-11-10,23.4
2023-11-11,29.0
2023-11-12,22.3
2023-11-13,12.5
2023-11-14,30.1
2023-11-15,15.0
2023-11-16,18.0
2023-11-17,15.4
2023-11-18,22.2
2023-11-19,7.4
2023-11-20,18.9
2023-11-21,12.9
2023-11-22,22.2
2023-11-23,19.7
2023-11-24,10.3
2023-11-25,12.5
