date,temperature
2023-06-10,22.5
2023-06-11,18.1
2023-06-12,13.9
2023-06-13,15.7
2023-06-14,12.1
2023-06-15,15.6
2023-06-16,19.3
2023-06-17,17.6
2023-06-18,26.4
2023-06-19,12.5
2023-06-20,15.6
2023-06-21,29.3
2023-06-22,27.1
2023-06-23,27.5
2023-06-24,27.8
2023-06-25,21.2
2023-06-26,16.3
2023-06-27,10.9
2023-06-28,10.1
2023-06-29,16.0
2023-06-30,16.6
2023-07-01,16.9
2023-07-02,18.5
2023-07-03,27.7
2023-07-04,15.1
2023-07-05,20.5
2023-07-06,13.4
2023-07-07,16.3
2023-07-08,19.8
2023-07-09,20.8
2023-07-10,29.0
2023-07-11,18.0
2023-07-12,21.5
2023-07-13,26.5
2023-07-14,10.3
2023-07-15,18.3
2023-07-16,21.8
2023-07-17,29.8
2023-07-18,27.6
2023-07-19,15.0
2023-07-20,22.1
2023-07-21,20.8
2023-07-22,12.4
2023-07-23,24.9
2023-07-24,17.4
2023-07-25,28.1
2023-07-26,28.5
2023-07-27,13.5
2023-07-28,11.3
2023-07-29,27.6
2023-07-30,11.8
2023-07-31,26.3
2023-08-01,27.6
2023-08-02,23.4
2023-08-03,19.5
2023-08-04,11.8
2023-08-05,25.4
2023-08-06,21.0
2023-08-07,26.1
2023-08-08,18.5
2023-08-09,27.0
2023-08-10,27.3
2023-08-11,24.5
2023-08-12,19.1
2023-08-13,23.9
2023-08-14,23.4
2023-08-15,27.5
2023-08-16,24.3
2023-08-17,28.2
2023-08-18,24.0
2023-08-19,22.4
2023-08-20,29.7
2023-08-21,24.1
2023-08-22,28.2
2023-08-23,15.8
2023-08-24,18.7
2023-08-25,24.1
2023-08-26,10.7
2023-08-27,16.9
2023-08-28,26.7
2023-08-29,14.8
2023-08-30,17.9
2023-08-31,10.6
2023-09-01,16.1
2023-09-02,19.3
2023-09-03,20.2
2023-09-04,23.1
2023-09-05,23.9
2023-09-06,17.1
2023-09-07,25.0
2023-09-08,23.7
2023-09-09,19.2
2023-09-10,22.2
2023-09-11,24.2
2023-09-12,28.4
2023-09-13,10.4
2023-09-14,14.3
2023-09-15,18.4
2023-09-16,15.7
2023-09-17,24.0
2023-09-18,21.1
2023-09-19,22.4
2023-09-20,16.2
2023-09-21,25.7
2023-09-22,15.8
2023-09-23,12.7
2023-09-24,22.3
2023-09-25,27.4
2023-09-26,15.8
2023-09-27,19.9
2023-09-28,10.8
2023-09-29,27.9
2023-09-30,28.8
2023-10-01,27.7
2023-10-02,16.0
2023-10-03,20.3
2023-10-04,28.0
2023-10-05,14.9
2023-10-06,15.9
2023-10-07,21.4
2023-10-08,22.0
2023-10-09,19.3
2023-10-10,13.2
2023-10-11,17.7
2023-10-12,10.4
2023-10-13,26.3
2023-10-14,22.7
2023-10-15,14.1
2023-10-16,13.9
2023-10-17,23.2
2023-10-18,12.9
2023-10-19,20.2
2023-10-20,24.6
2023-10-21,16.9
2023-10-22,16.6
2023-10-23,17.0
2023-10-24,18.4
2023-10-25,25.2
2023-10-26,14.8
2023-10-27,17.8
2023-10-28,28.4
2023-10-29,19.8
2023-10-30,13.4
2023-10-31,15.2
2023-11-01,13.4
2023-11-02,17.8
2023-11-03,14.5
2023-11-04,10.1
2023-11-05,15.3
2023-11-06,26.9
2023-11-07,21.7
2023-11-08,25.3
2023-11-09,24.9
2023-11-10,11.6
2023-11-11,29.3
2023-11-12,26.1
2023-11-13,20.8
2023-11-14,13.6
2023-11-15,28.7
2023-11-16,16.3
2023-11-17,15.1
2023-11-18,27.9
2023-11-19,12.2
2023-11-20,12.9
2023-11-21,15.0
2023-11-22,26.5
2023-11-23,25.9
2023-11-24,21.4
2023-11-25,16.6
2023-11-26,19.0
2023-11-27,13.6
2023-11-28,14.6
2023-11-29,19.8
2023-11-30,25.5
2023-12-01,19.0
2023-12-02,23.3
2023-12-03,21.0
2023-12-04,23.6
2023-12-05,15.6
2023-12-06,29.4
2023-12-07,27.9
2023-12-08,16.6
2023-12-09,11.5
2023-12-10,17.3
2023-12-11,23.2
2023-12-12,14.3
2023-12-13,14.3
2023-12-14,17.3
2023-12-15,13.8
2023-12-16,12.4
2023-12-17,22.2
2023-12-18,27.9
2023-12-19,16.9
2023-12-20,24.8
2023-12-21,23.0
2023-12-22,26.1
2023-12-23,25.4
2023-12-24,20.6
2023-12-25,25.5
2023-12-26,12.6
2023-12-27,14.0
2023-12-28,29.8
2023-12-29,11.2
2023-12-30,13.0
2023-12-31,30.0
2024-01-01,28.9
2024-01-02,23.1
2024-01-03,28.8
2024-01-04,23.1
2024-01-05,17.8
2024-01-06,25.4
2024-01-07,20.9
2024-01-08,10.5
2024-01-09,19.7
2024-01-10,22.7
2024-01-11,28.1
