date,temperature
2023-06-10,16.5
2023-06-11,11.2
2023-06-12,1.0
2023-06-13,9.4
2023-06-14,20.6
2023-06-15,7.4
2023-06-16,19.3
2023-06-17,19.4
2023-06-18,15.2
2023-06-19,22.1
2023-06-20,13.8
2023-06-21,5.9
2023-06-22,18.3
2023-06-23,19.9
2023-06-24,12.0
2023-06-25,23.1
2023-06-26,3.8
2023-06-27,24.2
2023-06-28,12.0
2023-06-29,7.0
2023-06-30,10.4
2023-07-01,20.4
2023-07-02,11.6
2023-07-03,18.4
2023-07-04,7.2
2023-07-05,9.8
2023-07-06,21.9
2023-07-07,19.0
2023-07-08,12.5
2023-07-09,23.2
2023-07-10,9.2
2023-07-11,9.8
2023-07-12,10.1
2023-07-13,2.0
2023-07-14,10.7
2023-07-15,6.7
2023-07-16,17.0
2023-07-17,20.1
2023-07-18,24.6
2023-07-19,7.9
2023-07-20,23.4
2023-07-21,9.7
2023-07-22,18.0
2023-07-23,14.5
2023-07-24,1.5
2023-07-25,12.3
2023-07-26,14.2
2023-07-27,1.9
2023-07-28,16.9
2023-07-29,15.9
2023-07-30,12.9
2023-07-31,19.2
2023-08-01,13.7
2023-08-02,4.1
2023-08-03,6.7
2023-08-04,7.1
2023-08-05,8.8
2023-08-06,20.9
2023-08-07,19.5
2023-08-08,24.0
2023-08-09,3.5
2023-08-10,3.1
2023-08-11,14.4
2023-08-12,14.6
2023-08-13,0.3
2023-08-14,18.0
2023-08-15,6.0
2023-08-16,20.4
2023-08-17,23.4
2023-08-18,8.6
2023-08-19,21.5
2023-08-20,9.7
2023-08-21,22.1
2023-08-22,4.0
2023-08-23,3.1
2023-08-24,9.0
2023-08-25,14.1
2023-08-26,4.5
2023-08-27,0.7
2023-08-28,20.2
2023-08-29,9.3
2023-08-30,18.1
2023-08-31,22.3
2023-09-01,19.8
2023-09-02,19.5
2023-09-03,5.7
2023-09-04,10.7
2023-09-05,18.3
2023-09-06,17.3
2023-09-07,21.3
2023-09-08,8.6
2023-09-09,15.0
2023-09-10,18.3
2023-09-11,8.5
2023-09-12,23.1
2023-09-13,4.6
2023-09-14,23.3
2023-09-15,21.5
2023-09-16,7.0
2023-09-17,15.9
2023-09-18,11.2
2023-09-19,0.3
2023-09-20,14.2
2023-09-21,4.6
2023-09-22,18.5
2023-09-23,8.9
2023-09-24,1.2
2023-09-25,22.6
2023-09-26,9.8
2023-09-27,6.0
2023-09-28,21.7
2023-09-29,23.8
2023-09-30,4.8
2023-10-01,1.5
2023-10-02,5.1
2023-10-03,6.5
2023-10-04,6.1
2023-10-05,6.5
2023-10-06,12.7
2023-10-07,4.7
2023-10-08,22.5
2023-10-09,22.1
2023-10-10,7.5
2023-10-11,6.6
2023-10-12,8.3
2023-10-13,4.5
2023-10-14,19.8
2023-10-15,11.2
2023-10-16,3.2
2023-10-17,18.4
2023-10-18,15.3
2023-10-19,19.0
2023-10-20,0.4
2023-10-21,22.2
2023-10-22,2.6
2023-10-23,9.9
2023-10-24,19.4
2023-10-25,5.9
2023-10-26,23.7
2023-10-27,20.4
2023-10-28,11.4
2023-10-29,21.9
2023-10-30,14.3
2023-10-31,14.4
2023-11-01,15.6
2023-11-02,6.1
2023-11-03,9.9
2023-11-04,5.4
2023-11-05,9.0
2023-11-06,18.0
2023-11-07,14.9
2023-11-08,7.6
2023-11-09,7.2
2023-11-10,0.8
2023-11-11,11.7
2023-11-12,5.9
2023-11-13,1.1
2023-11-14,10.6
2023-11-15,4.3
2023-11-16,20.5
2023-11-17,22.0
2023-11-18,7.4
2023-11-19,2.1
2023-11-20,9.1
2023-11-21,22.1
2023-11-22,21.8
2023-11-23,21.7
2023-11-24,4.6
2023-11-25,23.9
2023-11-26,9.0
2023-11-27,15.9
2023-11-28,22.7
2023-11-29,21.7
2023-11-30,24.8
2023-12-01,24.0
2023-12-02,3.8
2023-12-03,0.1
2023-12-04,17.9
2023-12-05,14.7
2023-12-06,6.2
2023-12-07,23.0
2023-12-08,13.7
2023-12-09,4.3
2023-12-10,9.3
2023-12-11,24.5
2023-12-12,9.9
2023-12-13,23.6
2023-12-14,4.2
2023-12-15,6.3
2023-12-16,9.7
2023-12-17,1.7
2023-12-18,16.7
2023-12-19,18.7
2023-12-20,4.2
2023-12-21,4.4
2023-12-22,10.7
2023-12-23,4.3
2023-12-24,14.4
2023-12-25,4.1
2023-12-26,6.3
2023-12-27,15.0
2023-12-28,5.8
2023-12-29,7.6
2023-12-30,0.3
2023-12-31,3.6
2024-01-01,6.3
2024-01-02,7.7
2024-01-03,8.6
2024-01-04,10.7
2024-01-05,15.7
2024-01-06,11.1
2024-01-07,0.0
2024-01-08,13.4
2024-01-09,18.5
2024-01-10,1.5
2024-01-11,16.2
2024-01-12,13.2
2024-01-13,21.8
2024-01-14,14.1
2024-01-15,24.9
2024-01-16,16.1
2024-01-17,6.5
2024-01-18,6.6
2024-01-19,16.5
2024-01-20,3.3
2024-01-21,2.9
2024-01-22,14.0
2024-01-23,21.0
2024-01-24,17.7
2024-01-25,11.2
2024-01-26,24.8
2024-01-27,8.6
2024-01-28,9.5
2024-01-29,5.1
2024-01-30,0.8
2024-01-31,16.1
2024-02-01,22.4
2024-02-02,24.6
2024-02-03,12.3
2024-02-04,11.6
2024-02-05,16.4
2024-02-06,12.3
2024-02-07,8.9
2024-02-08,14.3
2024-02-09,2.1
2024-02-10,17.0
2024-02-11,17.8
2024-02-12,0.6
2024-02-13,11.7
2024-02-14,4.6
2024-02-15,8.1
2024-02-16,4.1
2024-02-17,1.1
2024-02-18,18.3
2024-02-19,12.8
2024-02-20,10.9
2024-02-21,3.1
2024-02-22,12.4
2024-02-23,7.0
2024-02-24,12.9
2024-02-25,22.1
2024-02-26,10.7
2024-02-27,2.4
2024-02-28,16.6
2024-02-29,20.8
2024-03-01,12.3
2024-03-02,6.2
2024-03-03,23.1
2024-03-04,5.7
2024-03-05,16.3
2024-03-06,9.8
2024-03-07,22.1
2024-03-08,7.6
2024-03-09,23.9
2024-03-10,4.9
2024-03-11,10.1
2024-03-12,21.8
2024-03-13,13.1
2024-03-14,17.1
2024-03-15,7.1
2024-03-16,0.2
2024-03-17,16.0
2024-03-18,4.3
2024-03-19,10.4
2024-03-20,8.2
2024-03-21,15.1
2024-03-22,4.6
2024-03-23,21.6
2024-03-24,4.1
2024-03-25,4.5
2024-03-26,16.3
2024-03-27,23.5
2024-03-28,16.6
2024-03-29,10.5
2024-03-30,9.4
2024-03-31,16.1
2024-04-01,17.4
2024-04-02,10.2
2024-04-03,3.9
2024-04-04,17.6
2024-04-05,24.8
2024-04-06,5.1
2024-04-07,10.2
2024-04-08,12.5
2024-04-09,13.8
2024-04-10,6.6
2024-04-11,3.0
2024-04-12,2.5
2024-04-13,21.5
2024-04-14,13.5
2024-04-15,20.1
2024-04-16,10.1
2024-04-17,22.8
2024-04-18,2.2
2024-04-19,11.4
2024-04-20,20.4
2024-04-21,15.4
2024-04-22,23.6
2024-04-23,8.2
2024-04-24,18.7
2024-04-25,20.9
2024-04-26,20.1
2024-04-27,0.5
2024-04-28,23.1
2024-04-29,17.5
2024-04-30,22.8
2024-05-01,20.7
2024-05-02,6.1
2024-05-03,5.5
2024-05-04,16.6
2024-05-05,17.2
2024-05-06,1.7
2024-05-07,12.2
2024-05-08,10.1
2024-05-09,16.7
2024-05-10,20.1
2024-05-11,6.2
2024-05-12,13.4
2024-05-13,1.6
2024-05-14,15.6
2024-05-15,10.3
2024-05-16,0.5
2024-05-17,12.7
2024-05-18,4.3
2024-05-19,0.1
2024-05-20,9.5
2024-05-21,13.5
2024-05-22,24.4
2024-05-23,12.0
2024-05-24,7.6
2024-05-25,19.9
2024-05-26,4.6
2024-05-27,22.6
2024-05-28,4.5
2024-05-29,24.9
2024-05-30,20.8
2024-05-31,4.6
2024-06-01,3.4
2024-06-02,15.0
2024-06-03,4.8
2024-06-04,17.6
2024-06-05,22.8
2024-06-06,21.8
2024-06-07,14.6
2024-06-08,8.7
2024-06-09,2.7
2024-06-10,5.4
2024-06-11,11.1
2024-06-12,19.1
2024-06-13,0.2
2024-06-14,10.9
2024-06-15,24.6
2024-06-16,24.0
2024-06-17,20.1
2024-06-18,18.7
2024-06-19,24.4
2024-06-20,9.5
2024-06-21,20.5
2024-06-22,1.5
2024-06-23,8.5
2024-06-24,9.0
2024-06-25,6.5
2024-06-26,7.9
2024-06-27,7.7
2024-06-28,4.1
2024-06-29,12.6
2024-06-30,0.5
2024-07-01,2.3
2024-07-02,21.1
2024-07-03,9.0
2024-07-04,20.1
2024-07-05,0.7
2024-07-06,24.2
2024-07-07,22.6
2024-07-08,1.7
2024-07-09,2.7
2024-07-10,3.7
2024-07-11,19.4
2024-07-12,12.9
2024-07-13,22.3
2024-07-14,2.9
2024-07-15,19.7
2024-07-16,23.0
2024-07-17,10.4
2024-07-18,22.7
2024-07-19,18.2
2024-07-20,4.5
2024-07-21,24.7
2024-07-22,18.7
2024-07-23,21.5
2024-07-24,20.0
2024-07-25,15.2
2024-07-26,6.1
2024-07-27,21.3
2024-07-28,5.8
2024-07-29,9.3
2024-07-30,5.2
2024-07-31,21.8
2024-08-01,4.9
2024-08-02,1.0
2024-08-03,23.2
2024-08-04,9.2
2024-08-05,12.3
2024-08-06,3.0
2024-08-07,21.8
2024-08-08,17.1
2024-08-09,9.9
2024-08-10,1.5
2024-08-11,23.6
2024-08-12,3.9
2024-08-13,11.7
2024-08-14,0.0
2024-08-15,12.4
2024-08-16,20.5
2024-08-17,13.7
2024-08-18,16.5
2024-08-19,2.3
2024-08-20,0.5
2024-08-21,21.6
2024-08-22,16.3
2024-08-23,5.0
2024-08-24,0.6
2024-08-25,4.9
2024-08-26,14.1
2024-08-27,2.3
2024-08-28,3.3
2024-08-29,17.0
2024-08-30,22.7
2024-08-31,1.6
2024-09-01,15.0
2024-09-02,4.3
2024-09-03,24.9
2024-09-04,16.0
2024-09-05,1.0
2024-09-06,3.7
2024-09-07,2.8
2024-09-08,11.2
2024-09-09,21.7
2024-09-10,6.3
2024-09-11,23.8
2024-09-12,24.9
2024-09-13,10.2
2024-09-14,1.0
2024-09-15,12.8
2024-09-16,23.8
2024-09-17,3.5
2024-09-18,13.5
2024-09-19,7.8
2024-09-20,0.6
2024-09-21,21.4
2024-09-22,18.1
2024-09-23,9.5
2024-09-24,2.6
2024-09-25,2.7
2024-09-26,10.0
2024-09-27,19.5
2024-09-28,11.7
2024-09-29,5.9
2024-09-30,9.6
2024-10-01,20.5
2024-10-02,2.8
2024-10-03,19.7
2024-10-04,5.3
2024-10-05,3.8
2024-10-06,4.1
2024-10-07,17.6
2024-10-08,3.8
2024-10-09,21.6
2024-10-10,5.9
2024-10-11,5.0
2024-10-12,16.7
2024-10-13,10.2
2024-10-14,16.0
2024-10-15,12.5
2024-10-16,22.8
2024-10-17,21.9
2024-10-18,6.6
2024-10-19,6.0
2024-10-20,22.8
2024-10-21,19.9
2024-10-22,15.5
2024-10-23,10.7
2024-10-24,10.0
2024-10-25,21.4
2024-10-26,9.5
2024-10-27,13.7
2024-10-28,2.2
2024-10-29,12.7
2024-10-30,5.0
2024-10-31,11.7
2024-11-01,0.7
2024-11-02,23.7
2024-11-03,19.6
2024-11-04,5.2
2024-11-05,9.1
2024-11-06,2.7
2024-11-07,11.8
2024-11-08,10.9
2024-11-09,8.6
2024-11-10,22.8
2024-11-11,6.3
2024-11-12,8.3
2024-11-13,12.2
2024-11-14,9.0
2024-11-15,7.3
2024-11-16,21.4
2024-11-17,23.0
2024-11-18,12.0
2024-11-19,13.6
2024-11-20,7.0
2024-11-21,11.7
2024-11-22,5.3
2024-11-23,7.7
2024-11-24,24.1
2024-11-25,20.9
2024-11-26,20.2
2024-11-27,20.0
2024-11-28,0.1
2024-11-29,19.6
2024-11-30,8.5
2024-12-01,18.9
2024-12-02,15.7
2024-12-03,13.0
2024-12-04,23.2
2024-12-05,6.3
2024-12-06,7.6
2024-12-07,7.0
2024-12-08,16.2
2024-12-09,11.0
2024-12-10,23.0
2024-12-11,23.4
2024-12-12,18.7
2024-12-13,22.1
2024-12-14,0.7
2024-12-15,18.0
2024-12-16,7.2
2024-12-17,8.4
2024-12-18,6.4
2024-12-19,19.8
2024-12-20,7.2
2024-12-21,20.6
2024-12-22,18.2
2024-12-23,8.6
2024-12-24,21.3
2024-12-25,18.4
2024-12-26,14.2
2024-12-27,10.0
2024-12-28,12.4
2024-12-29,0.5
2024-12-30,3.5
2024-12-31,17.6
2025-01-01,10.1
2025-01-02,2.1
2025-01-03,9.5
2025-01-04,8.5
2025-01-05,20.5
2025-01-06,11.3
2025-01-07,1.5
2025-01-08,18.0
2025-01-09,3.9
2025-01-10,22.3
2025-01-11,17.5
2025-01-12,18.1
2025-01-13,7.6
2025-01-14,17.2
2025-01-15,10.8
2025-01-16,2.8
2025-01-17,18.9
2025-01-18,23.8
2025-01-19,22.2
2025-01-20,17.1
2025-01-21,18.7
2025-01-22,10.8
2025-01-23,21.0
2025-01-24,5.4
2025-01-25,23.6
2025-01-26,15.3
2025-01-27,6.9
2025-01-28,8.7
2025-01-29,2.1
2025-01-30,2.8
2025-01-31,15.0
2025-02-01,21.7
2025-02-02,13.5
2025-02-03,21.5
2025-02-04,24.5
2025-02-05,6.9
2025-02-06,0.3
2025-02-07,8.7
2025-02-08,10.8
2025-02-09,14.9
2025-02-10,12.7
2025-02-11,9.7
2025-02-12,13.0
2025-02-13,0.2
2025-02-14,11.7
2025-02-15,4.8
2025-02-16,12.3
2025-02-17,18.1
2025-02-18,5.3
2025-02-19,5.1
2025-02-20,11.5
2025-02-21,12.4
2025-02-22,15.9
2025-02-23,10.3
2025-02-24,12.4
2025-02-25,5.7
2025-02-26,3.5
2025-02-27,11.5
2025-02-28,3.2
2025-03-01,14.5
2025-03-02,7.8
2025-03-03,12.2
2025-03-04,9.2
2025-03-05,5.8
2025-03-06,8.4
2025-03-07,15.6
2025-03-08,9.8
2025-03-09,10.9
2025-03-10,3.0
2025-03-11,10.2
2025-03-12,14.4
2025-03-13,16.7
2025-03-14,18.6
2025-03-15,0.3
2025-03-16,21.9
2025-03-17,20.0
2025-03-18,0.9
2025-03-19,0.4
2025-03-20,21.8
2025-03-21,3.9
2025-03-22,14.2
2025-03-23,7.5
2025-03-24,23.5
2025-03-25,1.9
2025-03-26,24.6
2025-03-27,2.4
2025-03-28,1.3
2025-03-29,13.2
2025-03-30,17.8
2025-03-31,7.6
2025-04-01,8.2
2025-04-02,10.1
2025-04-03,9.6
2025-04-04,2.2
2025-04-05,8.1
2025-04-06,13.2
2025-04-07,15.2
2025-04-08,17.8
2025-04-09,2.6
2025-04-10,13.5
2025-04-11,8.1
2025-04-12,2.5
2025-04-13,16.9
2025-04-14,22.6
2025-04-15,2.2
2025-04-16,6.5
2025-04-17,20.4
2025-04-18,24.7
2025-04-19,3.6
2025-04-20,8.6
2025-04-21,15.0
2025-04-22,7.5
2025-04-23,2.9
2025-04-24,21.6
2025-04-25,8.2
2025-04-26,15.6
2025-04-27,4.5
2025-04-28,8.9
2025-04-29,15.0
2025-04-30,2.4
2025-05-01,8.6
2025-05-02,9.7
2025-05-03,24.9
2025-05-04,13.8
2025-05-05,5.6
2025-05-06,17.9
2025-05-07,15.4
2025-05-08,12.1
2025-05-09,6.4
2025-05-10,22.7
2025-05-11,21.6
2025-05-12,14.4
2025-05-13,8.9
2025-05-14,0.2
2025-05-15,9.9
2025-05-16,7.4
2025-05-17,14.3
2025-05-18,2.5
2025-05-19,16.6
2025-05-20,6.8
2025-05-21,8.0
2025-05-22,5.2
2025-05-23,19.5
2025-05-24,4.2
2025-05-25,3.0
2025-05-26,18.3
2025-05-27,10.5
2025-05-28,8.8
2025-05-29,5.0
2025-05-30,22.9
2025-05-31,19.5
2025-06-01,4.6
2025-06-02,8.1
2025-06-03,13.3
2025-06-04,10.8
2025-06-05,5.9
2025-06-06,16.5
2025-06-07,21.3
2025-06-08,13.7
