date,temperature
2023-06-10,10.3
2023-06-11,9.8
2023-06-12,13.9
2023-06-13,14.2
2023-06-14,19.2
2023-06-15,13.9
2023-06-16,6.1
2023-06-17,9.4
2023-06-18,13.8
2023-06-19,25.5
2023-06-20,0.7
2023-06-21,4.8
2023-06-22,12.1
2023-06-23,7.4
2023-06-24,18.4
2023-06-25,5.8
2023-06-26,14.1
2023-06-27,20.8
2023-06-28,1.9
2023-06-29,25.5
2023-06-30,1.2
2023-07-01,20.7
2023-07-02,22.7
2023-07-03,6.2
2023-07-04,13.8
2023-07-05,5.8
2023-07-06,11.0
2023-07-07,1.0
2023-07-08,18.8
2023-07-09,1.0
2023-07-10,19.2
2023-07-11,19.6
2023-07-12,1.1
2023-07-13,15.3
2023-07-14,23.6
2023-07-15,17.5
2023-07-16,12.7
2023-07-17,26.8
2023-07-18,9.4
2023-07-19,6.9
2023-07-20,6.3
2023-07-21,1.8
2023-07-22,18.3
2023-07-23,29.9
2023-07-24,24.1
2023-07-25,27.0
2023-07-26,16.7
2023-07-27,7.3
2023-07-28,28.7
2023-07-29,4.4
2023-07-30,27.1
2023-07-31,0.5
2023-08-01,24.4
2023-08-02,3.9
2023-08-03,18.6
2023-08-04,5.9
2023-08-05,12.6
2023-08-06,24.5
2023-08-07,24.8
2023-08-08,9.5
2023-08-09,27.9
2023-08-10,27.9
2023-08-11,28.0
2023-08-12,15.6
2023-08-13,3.7
2023-08-14,3.9
2023-08-15,23.5
2023-08-16,28.3
2023-08-17,3.0
2023-08-18,28.8
2023-08-19,1.6
2023-08-20,3.9
2023-08-21,5.9
2023-08-22,21.8
2023-08-23,17.8
2023-08-24,23.6
2023-08-25,11.0
2023-08-26,13.9
2023-08-27,16.5
2023-08-28,23.4
2023-08-29,9.1
2023-08-30,17.9
2023-08-31,12.3
2023-09-01,16.3
2023-09-02,0.8
2023-09-03,23.3
2023-09-04,7.6
2023-09-05,5.6
2023-09-06,9.2
2023-09-07,21.1
2023-09-08,24.5
2023-09-09,21.5
2023-09-10,19.5
2023-09-11,29.9
2023-09-12,12.7
2023-09-13,0.7
2023-09-14,17.7
2023-09-15,0.9
2023-09-16,15.7
2023-09-17,12.6
2023-09-18,24.6
2023-09-19,17.2
2023-09-20,9.8
2023-09-21,15.0
2023-09-22,23.6
2023-09-23,7.6
2023-09-24,20.9
2023-09-25,21.9
2023-09-26,19.2
2023-09-27,17.2
2023-09-28,11.3
2023-09-29,13.1
2023-09-30,0.7
2023-10-01,16.6
2023-10-02,9.3
2023-10-03,17.3
2023-10-04,21.4
2023-10-05,6.4
2023-10-06,7.8
2023-10-07,9.8
2023-10-08,23.8
2023-10-09,28.7
2023-10-10,10.5
2023-10-11,4.8
2023-10-12,10.6
2023-10-13,28.3
2023-10-14,28.7
2023-10-15,12.6
2023-10-16,18.8
2023-10-17,6.4
2023-10-18,3.3
2023-10-19,2.4
2023-10-20,2.4
2023-10-21,11.0
2023-10-22,3.2
2023-10-23,5.7
2023-10-24,0.1
2023-10-25,13.5
2023-10-26,7.0
2023-10-27,7.9
2023-10-28,5.0
2023-10-29,12.2
2023-10-30,25.1
2023-10-31,21.9
2023-11-01,26.8
2023-11-02,18.0
2023-11-03,14.3
2023-11-04,6.8
2023-11-05,26.7
2023-11-06,15.7
2023-11-07,7.9
2023-11-08,11.4
2023-11-09,21.7
2023-11-10,28.4
2023-11-11,16.2
2023-11-12,16.3
2023-11-13,16.6
2023-11-14,8.9
2023-11-15,2.2
2023-11-16,1.5
2023-11-17,1.0
2023-11-18,14.6
2023-11-19,23.3
2023-11-20,8.7
2023-11-21,15.3
2023-11-22,19.5
2023-11-23,12.8
2023-11-24,12.6
2023-11-25,11.5
2023-11-26,21.0
2023-11-27,25.8
2023-11-28,27.2
2023-11-29,4.6
2023-11-30,23.4
2023-12-01,14.6
2023-12-02,1.5
2023-12-03,21.1
2023-12-04,15.2
2023-12-05,13.1
2023-12-06,4.6
2023-12-07,13.4
2023-12-08,25.6
2023-12-09,10.6
2023-12-10,2.3
2023-12-11,12.5
2023-12-12,16.3
2023-12-13,16.1
2023-12-14,18.4
2023-12-15,14.6
2023-12-16,4.5
2023-12-17,5.1
2023-12-18,22.0
2023-12-19,10.8
2023-12-20,6.8
2023-12-21,3.5
2023-12-22,15.6
2023-12-23,18.7
2023-12-24,4.8
2023-12-25,6.3
2023-12-26,24.9
2023-12-27,12.2
2023-12-28,8.4
2023-12-29,9.6
2023-12-30,3.4
2023-12-31,3.3
2024-01-01,11.3
2024-01-02,8.5
2024-01-03,29.6
2024-01-04,21.7
2024-01-05,25.2
2024-01-06,3.8
2024-01-07,8.2
2024-01-08,15.7
2024-01-09,1.7
2024-01-10,9.6
2024-01-11,12.9
2024-01-12,6.4
2024-01-13,20.8
2024-01-14,23.9
2024-01-15,20.0
2024-01-16,14.2
2024-01-17,8.5
2024-01-18,12.4
2024-01-19,6.3
2024-01-20,28.8
2024-01-21,0.2
2024-01-22,18.2
2024-01-23,7.9
2024-01-24,13.6
2024-01-25,24.1
2024-01-26,24.9
2024-01-27,7.8
2024-01-28,1.3
2024-01-29,3.7
2024-01-30,14.6
2024-01-31,22.9
2024-02-01,1.1
2024-02-02,1.8
2024-02-03,13.3
2024-02-04,26.7
2024-02-05,25.0
2024-02-06,10.8
2024-02-07,23.8
2024-02-08,23.6
2024-02-09,28.5
2024-02-10,27.7
2024-02-11,27.1
2024-02-12,28.6
2024-02-13,8.0
2024-02-14,0.1
2024-02-15,4.8
2024-02-16,0.6
2024-02-17,10.4
2024-02-18,18.8
2024-02-19,3.9
2024-02-20,5.5
2024-02-21,25.4
2024-02-22,21.3
2024-02-23,1.1
2024-02-24,28.3
2024-02-25,14.7
2024-02-26,1.6
2024-02-27,13.2
2024-02-28,24.1
2024-02-29,8.5
2024-03-01,1.7
2024-03-02,3.3
2024-03-03,25.0
2024-03-04,7.1
2024-03-05,6.7
2024-03-06,26.6
2024-03-07,9.3
2024-03-08,16.1
2024-03-09,13.5
2024-03-10,2.3
2024-03-11,8.5
2024-03-12,26.8
2024-03-13,14.6
2024-03-14,5.8
2024-03-15,9.7
2024-03-16,17.1
2024-03-17,23.4
2024-03-18,24.3
2024-03-19,23.2
2024-03-20,24.7
2024-03-21,8.7
2024-03-22,18.6
2024-03-23,17.5
2024-03-24,24.8
2024-03-25,2.0
2024-03-26,29.0
2024-03-27,18.5
2024-03-28,23.3
2024-03-29,19.8
2024-03-30,15.4
2024-03-31,17.5
2024-04-01,9.5
2024-04-02,21.3
2024-04-03,15.2
2024-04-04,15.6
2024-04-05,2.4
2024-04-06,28.9
2024-04-07,5.2
2024-04-08,16.1
2024-04-09,20.5
2024-04-10,28.3
2024-04-11,15.8
2024-04-12,29.2
2024-04-13,27.6
2024-04-14,2.2
2024-04-15,8.7
2024-04-16,7.2
2024-04-17,26.5
2024-04-18,2.4
2024-04-19,19.4
2024-04-20,16.8
2024-04-21,4.3
2024-04-22,3.5
2024-04-23,25.5
2024-04-24,23.0
2024-04-25,23.0
2024-04-26,17.2
2024-04-27,7.3
2024-04-28,14.3
2024-04-29,14.0
2024-04-30,0.6
2024-05-01,19.0
2024-05-02,21.6
2024-05-03,6.0
2024-05-04,5.8
2024-05-05,7.8
2024-05-06,13.5
2024-05-07,26.1
2024-05-08,13.9
2024-05-09,0.8
2024-05-10,3.6
2024-05-11,0.3
2024-05-12,11.9
2024-05-13,7.5
2024-05-14,23.5
2024-05-15,13.9
2024-05-16,12.6
2024-05-17,28.4
2024-05-18,14.4
2024-05-19,25.7
2024-05-20,20.2
2024-05-21,20.6
2024-05-22,29.0
2024-05-23,1.9
2024-05-24,4.8
2024-05-25,3.3
2024-05-26,6.0
2024-05-27,25.8
2024-05-28,3.3
2024-05-29,15.3
2024-05-30,25.8
2024-05-31,3.0
2024-06-01,6.4
2024-06-02,27.2
2024-06-03,8.1
2024-06-04,5.7
2024-06-05,4.2
2024-06-06,18.9
2024-06-07,18.4
2024-06-08,20.3
2024-06-09,21.8
2024-06-10,7.9
2024-06-11,9.1
2024-06-12,28.9
2024-06-13,5.3
2024-06-14,19.1
2024-06-15,17.2
2024-06-16,5.4
2024-06-17,8.9
2024-06-18,15.9
2024-06-19,13.6
2024-06-20,20.3
2024-06-21,28.3
2024-06-22,11.3
2024-06-23,16.7
2024-06-24,7.8
2024-06-25,9.7
2024-06-26,23.6
2024-06-27,27.6
2024-06-28,16.9
2024-06-29,10.5
2024-06-30,27.1
2024-07-01,25.0
2024-07-02,4.5
2024-07-03,24.8
2024-07-04,22.6
2024-07-05,14.3
2024-07-06,2.0
2024-07-07,15.5
2024-07-08,25.2
2024-07-09,24.0
2024-07-10,28.4
2024-07-11,13.6
2024-07-12,19.7
2024-07-13,18.7
2024-07-14,17.2
2024-07-15,23.4
2024-07-16,15.7
2024-07-17,22.1
2024-07-18,3.3
2024-07-19,19.6
2024-07-20,0.0
2024-07-21,22.6
2024-07-22,1.1
2024-07-23,15.6
