date,temperature
2023-06-10,34.0
2023-06-11,25.4
2023-06-12,35.3
2023-06-13,10.4
2023-06-14,30.7
2023-06-15,30.0
2023-06-16,18.1
2023-06-17,24.3
2023-06-18,28.6
2023-06-19,33.4
2023-06-20,30.4
2023-06-21,25.1
2023-06-22,16.3
2023-06-23,12.6
2023-06-24,12.3
2023-06-25,14.0
2023-06-26,27.7
2023-06-27,39.0
2023-06-28,35.8
2023-06-29,39.2
2023-06-30,12.6
2023-07-01,23.5
2023-07-02,33.4
2023-07-03,23.5
2023-07-04,36.4
2023-07-05,14.2
2023-07-06,34.7
2023-07-07,11.4
2023-07-08,14.5
2023-07-09,31.3
2023-07-10,13.0
2023-07-11,18.0
2023-07-12,28.8
2023-07-13,30.1
2023-07-14,16.5
2023-07-15,32.9
2023-07-16,38.9
2023-07-17,33.9
2023-07-18,15.2
2023-07-19,15.6
2023-07-20,14.4
2023-07-21,32.7
2023-07-22,18.0
2023-07-23,10.2
2023-07-24,29.3
2023-07-25,21.4
2023-07-26,15.5
2023-07-27,24.0
2023-07-28,26.8
2023-07-29,14.0
2023-07-30,18.7
2023-07-31,26.2
2023-08-01,21.0
2023-08-02,36.5
2023-08-03,20.5
2023-08-04,31.6
2023-08-05,14.3
2023-08-06,38.4
2023-08-07,35.4
2023-08-08,36.7
2023-08-09,16.5
2023-08-10,23.8
2023-08-11,23.8
2023-08-12,22.4
2023-08-13,39.5
2023-08-14,18.7
2023-08-15,19.2
2023-08-16,38.1
2023-08-17,22.4
2023-08-18,30.8
2023-08-19,14.5
2023-08-20,28.7
2023-08-21,15.6
2023-08-22,13.3
2023-08-23,36.4
2023-08-24,13.3
2023-08-25,18.2
2023-08-26,22.1
2023-08-27,16.1
2023-08-28,16.5
2023-08-29,28.0
2023-08-30,34.1
2023-08-31,28.8
2023-09-01,20.0
2023-09-02,21.1
2023-09-03,35.6
2023-09-04,28.0
2023-09-05,12.5
2023-09-06,36.6
2023-09-07,18.8
2023-09-08,17.6
2023-09-09,21.9
2023-09-10,25.4
2023-09-11,25.3
2023-09-12,30.6
2023-09-13,10.7
2023-09-14,28.2
2023-09-15,36.7
2023-09-16,23.3
2023-09-17,14.0
2023-09-18,39.3
2023-09-19,38.2
2023-09-20,21.3
2023-09-21,19.4
2023-09-22,11.3
2023-09-23,35.3
2023-09-24,29.0
2023-09-25,35.3
2023-09-26,15.7
2023-09-27,17.6
2023-09-28,18.8
2023-09-29,38.3
2023-09-30,25.8
2023-10-01,16.6
2023-10-02,37.6
2023-10-03,15.4
2023-10-04,27.1
2023-10-05,39.6
2023-10-06,11.8
2023-10-07,29.6
2023-10-08,35.2
2023-10-09,26.7
2023-10-10,36.2
2023-10-11,12.4
2023-10-12,21.8
2023-10-13,30.6
2023-10-14,37.6
2023-10-15,10.6
2023-10-16,23.2
2023-10-17,34.6
2023-10-18,23.4
2023-10-19,28.6
2023-10-20,27.4
2023-10-21,29.2
2023-10-22,32.5
2023-10-23,12.1
2023-10-24,34.2
2023-10-25,33.4
2023-10-26,31.9
2023-10-27,27.8
2023-10-28,38.7
2023-10-29,32.5
2023-10-30,19.7
2023-10-31,38.5
2023-11-01,35.1
2023-11-02,16.7
2023-11-03,24.1
2023-11-04,11.4
2023-11-05,10.3
2023-11-06,19.1
2023-11-07,16.9
2023-11-08,32.0
2023-11-09,19.9
2023-11-10,18.6
2023-11-11,37.4
2023-11-12,21.7
2023-11-13,28.4
2023-11-14,26.4
2023-11-15,21.5
2023-11-16,39.9
2023-11-17,23.6
2023-11-18,20.6
2023-11-19,25.8
2023-11-20,25.3
2023-11-21,26.1
2023-11-22,22.0
2023-11-23,25.7
2023-11-24,27.8
2023-11-25,11.4
2023-11-26,27.7
2023-11-27,27.4
2023-11-28,17.5
2023-11-29,29.9
2023-11-30,14.9
2023-12-01,32.8
