date,temperature
2023-06-10,33.3
2023-06-11,25.1
2023-06-12,19.8
2023-06-13,34.8
2023-06-14,18.1
2023-06-15,32.4
2023-06-16,15.8
2023-06-17,34.9
2023-06-18,24.1
2023-06-19,16.3
2023-06-20,30.8
2023-06-21,22.5
2023-06-22,34.2
2023-06-23,30.5
2023-06-24,26.7
2023-06-25,15.4
2023-06-26,24.9
2023-06-27,28.9
2023-06-28,15.7
2023-06-29,22.4
2023-06-30,19.7
2023-07-01,33.6
2023-07-02,25.6
2023-07-03,18.7
2023-07-04,16.0
2023-07-05,24.2
2023-07-06,15.9
2023-07-07,16.7
2023-07-08,34.8
2023-07-09,20.3
2023-07-10,30.7
2023-07-11,15.6
2023-07-12,23.0
2023-07-13,34.8
2023-07-14,23.1
2023-07-15,27.9
2023-07-16,27.3
2023-07-17,29.2
2023-07-18,33.3
2023-07-19,17.8
2023-07-20,33.2
2023-07-21,23.8
2023-07-22,31.3
2023-07-23,20.6
2023-07-24,22.8
2023-07-25,25.3
2023-07-26,19.1
2023-07-27,26.0
2023-07-28,19.6
2023-07-29,22.8
2023-07-30,16.3
2023-07-31,29.8
2023-08-01,27.0
2023-08-02,23.5
2023-08-03,33.6
2023-08-04,32.3
2023-08-05,28.3
2023-08-06,34.5
2023-08-07,26.3
2023-08-08,28.3
2023-08-09,24.5
2023-08-10,16.9
2023-08-11,23.9
2023-08-12,29.9
2023-08-13,27.9
2023-08-14,19.0
2023-08-15,22.0
2023-08-16,20.4
2023-08-17,28.0
2023-08-18,22.7
2023-08-19,29.2
2023-08-20,33.6
2023-08-21,24.7
2023-08-22,27.0
2023-08-23,26.5
2023-08-24,20.0
2023-08-25,20.1
2023-08-26,24.6
2023-08-27,15.6
2023-08-28,20.5
2023-08-29,28.8
2023-08-30,18.0
2023-08-31,19.4
2023-09-01,17.7
2023-09-02,19.6
2023-09-03,21.8
2023-09-04,26.6
2023-09-05,33.5
2023-09-06,16.1
2023-09-07,35.0
2023-09-08,27.8
2023-09-09,34.5
2023-09-10,25.2
2023-09-11,28.1
2023-09-12,34.9
2023-09-13,22.2
2023-09-14,17.3
2023-09-15,19.0
2023-09-16,25.7
2023-09-17,28.2
2023-09-18,20.6
2023-09-19,25.6
2023-09-20,29.0
2023-09-21,18.5
2023-09-22,23.9
2023-09-23,21.5
2023-09-24,20.4
2023-09-25,18.8
2023-09-26,30.3
2023-09-27,23.8
2023-09-28,26.6
2023-09-29,23.4
2023-09-30,22.6
2023-10-01,31.4
2023-10-02,30.4
2023-10-03,32.1
2023-10-04,24.4
2023-10-05,30.0
2023-10-06,18.1
2023-10-07,20.8
2023-10-08,25.4
2023-10-09,31.8
2023-10-10,24.3
2023-10-11,28.5
2023-10-12,18.9
2023-10-13,16.8
2023-10-14,15.2
2023-10-15,32.2
2023-10-16,16.6
2023-10-17,24.6
2023-10-18,31.6
2023-10-19,15.3
2023-10-20,24.1
2023-10-21,31.7
2023-10-22,15.2
2023-10-23,28.9
2023-10-24,15.8
2023-10-25,34.4
2023-10-26,27.6
2023-10-27,33.4
2023-10-28,30.5
2023-10-29,35.0
2023-10-30,30.2
2023-10-31,17.0
2023-11-01,30.7
2023-11-02,30.2
2023-11-03,30.9
2023-11-04,20.7
2023-11-05,27.9
2023-11-06,15.4
2023-11-07,17.5
2023-11-08,32.9
2023-11-09,18.9
2023-11-10,16.8
2023-11-11,29.0
2023-11-12,25.5
2023-11-13,16.4
2023-11-14,21.1
2023-11-15,26.6
2023-11-16,15.2
2023-11-17,19.6
2023-11-18,29.0
2023-11-19,23.6
2023-11-20,25.5
2023-11-21,19.8
2023-11-22,33.0
2023-11-23,32.6
2023-11-24,25.7
2023-11-25,22.6
2023-11-26,17.3
2023-11-27,31.5
2023-11-28,34.4
2023-11-29,19.2
2023-11-30,25.9
2023-12-01,22.9
2023-12-02,28.5
2023-12-03,19.0
2023-12-04,31.4
2023-12-05,21.8
2023-12-06,28.8
2023-12-07,15.8
2023-12-08,16.5
2023-12-09,32.5
2023-12-10,20.2
2023-12-11,29.2
2023-12-12,20.7
2023-12-13,26.0
2023-12-14,16.4
2023-12-15,16.0
2023-12-16,16.0
2023-12-17,22.5
2023-12-18,24.6
2023-12-19,16.2
2023-12-20,20.6
2023-12-21,27.4
2023-12-22,22.1
2023-12-23,29.7
2023-12-24,34.1
2023-12-25,29.6
2023-12-26,30.1
2023-12-27,16.1
2023-12-28,29.2
2023-12-29,26.3
2023-12-30,24.4
2023-12-31,34.3
2024-01-01,28.8
2024-01-02,20.5
2024-01-03,18.2
2024-01-04,25.1
2024-01-05,29.0
2024-01-06,15.7
2024-01-07,32.8
2024-01-08,29.0
2024-01-09,26.8
2024-01-10,22.4
2024-01-11,24.0
2024-01-12,16.0
2024-01-13,27.7
2024-01-14,25.1
2024-01-15,15.3
2024-01-16,24.8
2024-01-17,22.6
2024-01-18,34.7
2024-01-19,18.0
2024-01-20,33.7
2024-01-21,20.5
2024-01-22,24.6
2024-01-23,20.9
2024-01-24,17.8
2024-01-25,27.4
2024-01-26,21.8
2024-01-27,30.2
2024-01-28,21.9
2024-01-29,30.3
2024-01-30,18.6
2024-01-31,29.4
2024-02-01,33.4
2024-02-02,30.7
2024-02-03,33.8
2024-02-04,19.0
2024-02-05,22.2
2024-02-06,18.3
2024-02-07,21.6
2024-02-08,35.0
2024-02-09,31.3
2024-02-10,19.7
2024-02-11,29.2
2024-02-12,17.4
2024-02-13,28.9
2024-02-14,16.3
2024-02-15,35.0
2024-02-16,26.5
2024-02-17,21.4
2024-02-18,27.1
2024-02-19,32.2
2024-02-20,29.8
2024-02-21,28.3
2024-02-22,19.1
2024-02-23,28.0
2024-02-24,26.4
2024-02-25,19.7
2024-02-26,28.6
2024-02-27,15.2
2024-02-28,32.4
