date,temperature
2023-06-10,17.5
2023-06-11,10.5
2023-06-12,12.7
2023-06-13,15.9
2023-06-14,31.3
2023-06-15,13.7
2023-06-16,29.7
2023-06-17,10.9
2023-06-18,30.5
2023-06-19,15.0
2023-06-20,16.9
2023-06-21,32.8
2023-06-22,22.3
2023-06-23,24.4
2023-06-24,19.5
2023-06-25,13.9
2023-06-26,16.3
2023-06-27,10.2
2023-06-28,23.6
2023-06-29,9.0
2023-06-30,23.2
2023-07-01,34.6
2023-07-02,15.8
2023-07-03,17.2
2023-07-04,9.1
2023-07-05,17.7
2023-07-06,9.0
2023-07-07,18.4
2023-07-08,6.1
2023-07-09,20.7
2023-07-10,17.5
2023-07-11,11.3
2023-07-12,5.5
2023-07-13,20.5
2023-07-14,27.3
2023-07-15,12.9
2023-07-16,11.0
2023-07-17,31.2
2023-07-18,7.3
2023-07-19,33.0
2023-07-20,6.8
2023-07-21,6.2
2023-07-22,29.8
2023-07-23,33.7
2023-07-24,16.0
2023-07-25,23.5
2023-07-26,15.4
2023-07-27,16.8
2023-07-28,14.4
2023-07-29,32.1
2023-07-30,34.1
2023-07-31,16.4
2023-08-01,16.3
2023-08-02,15.6
2023-08-03,32.2
2023-08-04,35.0
2023-08-05,25.9
2023-08-06,8.5
2023-08-07,35.0
2023-08-08,7.6
2023-08-09,7.1
2023-08-10,24.5
2023-08-11,30.9
2023-08-12,28.9
2023-08-13,28.5
2023-08-14,17.7
2023-08-15,20.4
2023-08-16,6.1
2023-08-17,8.6
2023-08-18,17.4
2023-08-19,18.3
2023-08-20,16.9
2023-08-21,5.1
2023-08-22,24.8
2023-08-23,27.9
2023-08-24,8.0
2023-08-25,33.2
2023-08-26,30.4
2023-08-27,21.6
2023-08-28,26.6
2023-08-29,20.5
2023-08-30,25.6
2023-08-31,8.0
2023-09-01,7.3
2023-09-02,28.9
2023-09-03,32.1
2023-09-04,28.8
2023-09-05,17.3
2023-09-06,18.7
2023-09-07,15.8
2023-09-08,28.0
2023-09-09,32.2
2023-09-10,33.1
2023-09-11,20.7
2023-09-12,19.6
2023-09-13,8.4
2023-09-14,18.2
2023-09-15,8.5
2023-09-16,32.8
2023-09-17,13.5
2023-09-18,21.1
2023-09-19,28.7
2023-09-20,22.3
2023-09-21,14.3
2023-09-22,6.0
2023-09-23,18.2
2023-09-24,22.6
2023-09-25,14.6
2023-09-26,10.3
2023-09-27,6.9
2023-09-28,30.1
2023-09-29,27.0
2023-09-30,34.9
2023-10-01,22.4
2023-10-02,6.5
2023-10-03,8.7
2023-10-04,9.2
2023-10-05,9.4
2023-10-06,28.9
2023-10-07,23.2
2023-10-08,14.0
2023-10-09,24.9
2023-10-10,7.3
2023-10-11,20.1
2023-10-12,32.1
2023-10-13,23.4
2023-10-14,13.8
2023-10-15,16.2
2023-10-16,15.5
2023-10-17,13.3
2023-10-18,12.1
2023-10-19,16.9
2023-10-20,15.5
2023-10-21,7.6
2023-10-22,10.5
2023-10-23,14.4
2023-10-24,34.8
2023-10-25,34.0
2023-10-26,13.6
2023-10-27,13.7
2023-10-28,26.3
2023-10-29,19.2
2023-10-30,23.9
2023-10-31,21.6
2023-11-01,24.8
2023-11-02,19.7
2023-11-03,28.0
2023-11-04,12.6
2023-11-05,24.6
2023-11-06,32.6
2023-11-07,30.9
2023-11-08,18.1
2023-11-09,10.4
2023-11-10,25.9
2023-11-11,29.4
2023-11-12,13.5
2023-11-13,6.1
2023-11-14,16.4
2023-11-15,17.6
2023-11-16,25.2
2023-11-17,20.6
2023-11-18,33.7
2023-11-19,11.5
2023-11-20,28.9
2023-11-21,27.5
2023-11-22,8.9
2023-11-23,31.6
2023-11-24,25.7
2023-11-25,25.8
2023-11-26,13.4
2023-11-27,22.2
2023-11-28,23.1
2023-11-29,12.3
2023-11-30,23.7
2023-12-01,28.7
2023-12-02,20.1
2023-12-03,10.9
2023-12-04,33.9
2023-12-05,5.1
2023-12-06,11.5
2023-12-07,32.3
2023-12-08,23.6
2023-12-09,12.6
2023-12-10,34.9
2023-12-11,32.7
2023-12-12,12.1
2023-12-13,5.7
2023-12-14,20.3
2023-12-15,6.6
2023-12-16,9.4
2023-12-17,32.5
2023-12-18,34.9
2023-12-19,18.3
2023-12-20,11.1
2023-12-21,33.6
2023-12-22,26.6
2023-12-23,22.7
2023-12-24,21.4
2023-12-25,9.2
2023-12-26,24.6
2023-12-27,34.6
2023-12-28,33.3
2023-12-29,6.4
2023-12-30,21.4
2023-12-31,31.4
2024-01-01,27.1
2024-01-02,7.7
2024-01-03,28.3
2024-01-04,11.8
2024-01-05,32.6
2024-01-06,29.7
2024-01-07,24.2
2024-01-08,25.3
2024-01-09,10.0
2024-01-10,21.5
2024-01-11,24.2
2024-01-12,8.9
2024-01-13,5.3
2024-01-14,11.9
2024-01-15,21.3
2024-01-16,34.3
2024-01-17,18.9
2024-01-18,32.2
2024-01-19,34.8
2024-01-20,8.4
2024-01-21,34.9
2024-01-22,9.6
2024-01-23,31.4
2024-01-24,21.5
2024-01-25,22.4
2024-01-26,6.9
2024-01-27,24.7
2024-01-28,21.6
2024-01-29,19.5
2024-01-30,8.6
2024-01-31,12.8
2024-02-01,31.8
2024-02-02,26.0
2024-02-03,27.9
2024-02-04,23.2
2024-02-05,10.7
2024-02-06,11.4
2024-02-07,26.2
2024-02-08,20.1
2024-02-09,14.4
2024-02-10,27.6
2024-02-11,18.7
2024-02-12,10.7
2024-02-13,33.9
2024-02-14,32.9
2024-02-15,18.0
2024-02-16,23.3
2024-02-17,25.7
2024-02-18,26.0
2024-02-19,7.7
2024-02-20,12.8
2024-02-21,18.4
2024-02-22,21.4
2024-02-23,15.4
2024-02-24,33.3
2024-02-25,14.9
2024-02-26,20.5
2024-02-27,35.0
2024-02-28,11.6
2024-02-29,18.4
2024-03-01,33.1
2024-03-02,19.9
2024-03-03,29.4
2024-03-04,29.6
2024-03-05,29.3
2024-03-06,10.5
2024-03-07,18.3
2024-03-08,12.7
2024-03-09,17.3
2024-03-10,20.1
2024-03-11,20.5
2024-03-12,9.2
2024-03-13,7.2
2024-03-14,13.7
2024-03-15,28.9
2024-03-16,27.3
2024-03-17,16.9
2024-03-18,6.2
2024-03-19,33.8
2024-03-20,28.5
2024-03-21,8.9
2024-03-22,33.1
2024-03-23,18.1
2024-03-24,21.8
2024-03-25,29.2
2024-03-26,13.3
2024-03-27,17.9
2024-03-28,16.2
2024-03-29,5.1
2024-03-30,21.7
2024-03-31,26.8
2024-04-01,18.4
2024-04-02,33.8
2024-04-03,27.3
2024-04-04,16.2
2024-04-05,7.1
2024-04-06,7.2
2024-04-07,8.9
2024-04-08,31.9
2024-04-09,31.8
2024-04-10,5.6
2024-04-11,19.7
2024-04-12,16.1
2024-04-13,26.5
2024-04-14,10.5
2024-04-15,9.0
2024-04-16,20.0
2024-04-17,33.1
2024-04-18,16.4
2024-04-19,24.1
2024-04-20,8.9
2024-04-21,33.0
2024-04-22,10.6
2024-04-23,21.8
2024-04-24,7.3
2024-04-25,10.4
2024-04-26,27.0
2024-04-27,14.0
2024-04-28,16.7
2024-04-29,22.0
2024-04-30,34.4
2024-05-01,8.6
2024-05-02,13.9
2024-05-03,24.1
2024-05-04,5.4
2024-05-05,7.8
2024-05-06,5.8
2024-05-07,34.3
2024-05-08,5.9
2024-05-09,22.0
2024-05-10,30.0
2024-05-11,10.4
2024-05-12,28.5
2024-05-13,20.3
2024-05-14,8.9
2024-05-15,19.7
2024-05-16,7.6
2024-05-17,22.4
2024-05-18,13.5
2024-05-19,19.1
2024-05-20,13.1
2024-05-21,19.9
2024-05-22,23.2
2024-05-23,14.1
2024-05-24,6.2
2024-05-25,28.2
2024-05-26,34.0
2024-05-27,27.0
2024-05-28,12.0
2024-05-29,11.6
2024-05-30,19.4
2024-05-31,10.1
2024-06-01,27.2
2024-06-02,34.5
2024-06-03,15.3
2024-06-04,19.7
2024-06-05,15.2
2024-06-06,23.4
2024-06-07,25.5
2024-06-08,7.1
2024-06-09,25.0
2024-06-10,10.8
2024-06-11,5.1
2024-06-12,19.2
2024-06-13,15.4
2024-06-14,31.4
2024-06-15,11.4
2024-06-16,14.8
2024-06-17,24.8
2024-06-18,27.9
2024-06-19,9.6
2024-06-20,13.1
2024-06-21,7.2
2024-06-22,27.4
2024-06-23,6.9
2024-06-24,29.1
2024-06-25,11.0
2024-06-26,14.9
2024-06-27,25.3
2024-06-28,5.6
2024-06-29,8.8
2024-06-30,13.8
2024-07-01,12.6
2024-07-02,10.6
2024-07-03,25.0
2024-07-04,5.8
2024-07-05,33.1
2024-07-06,27.7
2024-07-07,7.1
2024-07-08,14.6
2024-07-09,23.6
2024-07-10,31.9
2024-07-11,14.9
2024-07-12,8.5
2024-07-13,20.5
2024-07-14,6.7
2024-07-15,23.4
2024-07-16,30.3
2024-07-17,30.3
2024-07-18,26.0
2024-07-19,28.6
2024-07-20,9.1
2024-07-21,17.1
2024-07-22,9.7
2024-07-23,16.8
2024-07-24,27.6
2024-07-25,32.0
2024-07-26,15.5
2024-07-27,32.0
2024-07-28,30.3
2024-07-29,21.9
2024-07-30,31.7
2024-07-31,16.3
2024-08-01,21.1
2024-08-02,24.9
2024-08-03,18.7
2024-08-04,18.3
2024-08-05,28.6
2024-08-06,29.4
2024-08-07,32.4
2024-08-08,9.9
2024-08-09,6.7
