date,temperature
2023-06-10,27.2
2023-06-11,19.1
2023-06-12,10.5
2023-06-13,0.6
2023-06-14,19.0
2023-06-15,29.3
2023-06-16,-4.5
2023-06-17,10.8
2023-06-18,26.9
2023-06-19,23.9
2023-06-20,20.7
2023-06-21,23.4
2023-06-22,2.9
2023-06-23,-4.4
2023-06-24,-9.1
2023-06-25,20.1
2023-06-26,4.5
2023-06-27,22.2
2023-06-28,27.8
2023-06-29,11.6
2023-06-30,-3.3
2023-07-01,23.1
2023-07-02,27.8
2023-07-03,26.2
2023-07-04,29.0
2023-07-05,28.8
2023-07-06,17.6
2023-07-07,20.5
2023-07-08,6.4
2023-07-09,17.5
2023-07-10,-9.7
2023-07-11,-2.2
2023-07-12,8.9
2023-07-13,23.0
2023-07-14,-3.6
2023-07-15,1.8
2023-07-16,-3.7
2023-07-17,5.8
2023-07-18,1.7
2023-07-19,22.0
2023-07-20,17.5
2023-07-21,-0.5
2023-07-22,11.4
2023-07-23,25.2
2023-07-24,0.2
2023-07-25,14.0
2023-07-26,11.8
2023-07-27,20.5
2023-07-28,28.4
2023-07-29,29.2
2023-07-30,0.5
2023-07-31,20.1
2023-08-01,-2.1
2023-08-02,21.8
2023-08-03,6.5
2023-08-04,19.6
2023-08-05,-1.3
2023-08-06,-6.4
2023-08-07,19.0
2023-08-08,-6.1
2023-08-09,6.0
2023-08-10,-3.8
2023-08-11,11.9
2023-08-12,8.3
2023-08-13,-0.7
2023-08-14,29.2
2023-08-15,-3.9
2023-08-16,20.2
2023-08-17,28.9
2023-08-18,23.5
2023-08-19,22.3
2023-08-20,2.1
2023-08-21,7.4
2023-08-22,5.7
2023-08-23,-3.9
2023-08-24,13.4
2023-08-25,9.5
2023-08-26,15.1
2023-08-27,16.3
2023-08-28,-2.4
2023-08-29,0.1
2023-08-30,21.6
2023-08-31,15.4
2023-09-01,17.3
2023-09-02,-0.9
2023-09-03,4.2
2023-09-04,12.4
2023-09-05,7.4
2023-09-06,12.9
2023-09-07,16.4
2023-09-08,22.9
2023-09-09,-9.3
2023-09-10,16.5
2023-09-11,-7.8
2023-09-12,22.4
2023-09-13,-5.8
2023-09-14,25.8
2023-09-15,18.8
2023-09-16,18.8
2023-09-17,10.2
2023-09-18,-9.3
2023-09-19,20.8
2023-09-20,5.8
2023-09-21,20.8
2023-09-22,-9.9
2023-09-23,12.5
2023-09-24,11.4
2023-09-25,12.0
2023-09-26,19.6
2023-09-27,6.1
2023-09-28,0.5
2023-09-29,-2.1
2023-09-30,23.4
2023-10-01,-4.6
2023-10-02,-3.4
2023-10-03,10.5
