date,temperature
2023-06-10,22.9
2023-06-11,13.1
2023-06-12,10.7
2023-06-13,10.6
2023-06-14,27.1
2023-06-15,8.2
2023-06-16,18.3
2023-06-17,8.5
2023-06-18,24.4
2023-06-19,27.7
2023-06-20,23.9
2023-06-21,16.3
2023-06-22,11.3
2023-06-23,6.0
2023-06-24,25.8
2023-06-25,25.7
2023-06-26,29.5
2023-06-27,28.5
2023-06-28,16.0
2023-06-29,2.9
2023-06-30,11.9
2023-07-01,10.0
2023-07-02,12.4
2023-07-03,11.2
2023-07-04,2.2
2023-07-05,5.4
2023-07-06,3.2
2023-07-07,11.9
2023-07-08,15.2
2023-07-09,12.3
2023-07-10,16.2
2023-07-11,7.0
2023-07-12,20.5
2023-07-13,21.2
2023-07-14,17.0
2023-07-15,15.9
2023-07-16,25.9
2023-07-17,26.4
2023-07-18,19.2
2023-07-19,16.4
2023-07-20,0.9
2023-07-21,26.2
2023-07-22,7.1
2023-07-23,28.1
2023-07-24,22.8
2023-07-25,10.6
2023-07-26,13.9
2023-07-27,19.8
2023-07-28,24.7
2023-07-29,21.5
2023-07-30,26.6
2023-07-31,21.6
2023-08-01,25.6
2023-08-02,28.7
2023-08-03,26.6
2023-08-04,23.6
2023-08-05,0.8
2023-08-06,23.1
2023-08-07,28.9
2023-08-08,5.2
2023-08-09,24.5
2023-08-10,11.7
2023-08-11,13.6
2023-08-12,3.9
2023-08-13,25.8
2023-08-14,6.7
2023-08-15,8.5
2023-08-16,0.8
2023-08-17,4.9
2023-08-18,11.9
2023-08-19,18.8
2023-08-20,13.2
2023-08-21,5.1
2023-08-22,15.0
2023-08-23,4.6
2023-08-24,10.1
2023-08-25,21.1
2023-08-26,11.7
2023-08-27,20.5
2023-08-28,6.0
2023-08-29,11.2
2023-08-30,11.0
2023-08-31,13.8
2023-09-01,8.7
2023-09-02,25.7
2023-09-03,25.1
2023-09-04,19.2
2023-09-05,8.4
2023-09-06,13.0
2023-09-07,26.5
2023-09-08,20.9
2023-09-09,9.0
2023-09-10,19.3
2023-09-11,1.6
2023-09-12,21.5
2023-09-13,0.4
2023-09-14,21.2
2023-09-15,29.1
2023-09-16,21.0
2023-09-17,11.3
2023-09-18,7.4
2023-09-19,10.0
2023-09-20,3.7
2023-09-21,8.2
2023-09-22,26.2
2023-09-23,8.3
2023-09-24,10.9
