date,temperature
2023-06-10,11.4
2023-06-11,22.7
2023-06-12,27.7
2023-06-13,22.0
2023-06-14,14.2
2023-06-15,28.2
2023-06-16,30.0
2023-06-17,18.1
2023-06-18,21.3
2023-06-19,17.5
2023-06-20,18.7
2023-06-21,26.2
2023-06-22,24.9
2023-06-23,11.5
2023-06-24,21.8
2023-06-25,25.5
2023-06-26,16.1
2023-06-27,20.0
2023-06-28,19.2
2023-06-29,19.4
2023-06-30,12.9
2023-07-01,10.3
2023-07-02,28.6
2023-07-03,16.2
2023-07-04,19.1
2023-07-05,14.1
2023-07-06,28.7
2023-07-07,22.2
2023-07-08,11.8
2023-07-09,12.5
2023-07-10,29.2
2023-07-11,10.3
2023-07-12,15.8
2023-07-13,25.3
2023-07-14,16.0
2023-07-15,10.3
2023-07-16,13.2
2023-07-17,14.5
2023-07-18,28.0
2023-07-19,17.8
2023-07-20,24.9
2023-07-21,23.7
2023-07-22,10.9
2023-07-23,10.9
2023-07-24,30.0
2023-07-25,13.6
2023-07-26,15.9
2023-07-27,10.5
2023-07-28,21.3
2023-07-29,24.0
2023-07-30,20.4
2023-07-31,22.4
2023-08-01,11.8
2023-08-02,10.4
2023-08-03,13.0
2023-08-04,12.1
2023-08-05,14.8
2023-08-06,16.5
2023-08-07,21.3
2023-08-08,20.5
2023-08-09,17.3
2023-08-10,25.9
2023-08-11,14.2
2023-08-12,18.8
2023-08-13,19.6
2023-08-14,28.6
2023-08-15,10.6
2023-08-16,26.4
2023-08-17,16.9
2023-08-18,13.0
2023-08-19,27.2
2023-08-20,12.8
2023-08-21,19.6
2023-08-22,12.2
2023-08-23,13.2
2023-08-24,25.0
2023-08-25,23.0
2023-08-26,25.1
2023-08-27,21.7
2023-08-28,22.1
2023-08-29,22.9
2023-08-30,23.5
2023-08-31,10.8
2023-09-01,22.2
2023-09-02,12.9
2023-09-03,18.2
2023-09-04,12.0
2023-09-05,26.3
2023-09-06,24.7
2023-09-07,17.0
2023-09-08,25.6
2023-09-09,17.6
2023-09-10,26.9
2023-09-11,10.3
2023-09-12,15.7
2023-09-13,16.8
2023-09-14,21.8
2023-09-15,14.3
2023-09-16,28.7
2023-09-17,22.6
2023-09-18,25.5
2023-09-19,10.5
2023-09-20,28.5
2023-09-21,11.5
2023-09-22,25.6
2023-09-23,18.8
2023-09-24,15.8
2023-09-25,16.0
2023-09-26,21.9
2023-09-27,25.8
2023-09-28,27.6
2023-09-29,21.7
2023-09-30,10.7
2023-10-01,27.4
2023-10-02,12.1
2023-10-03,21.8
2023-10-04,17.0
2023-10-05,25.9
2023-10-06,10.9
2023-10-07,17.6
2023-10-08,12.4
2023-10-09,24.7
2023-10-10,24.1
2023-10-11,16.8
2023-10-12,11.5
2023-10-13,26.4
2023-10-14,17.8
2023-10-15,21.0
2023-10-16,23.8
2023-10-17,22.5
2023-10-18,20.3
2023-10-19,22.8
2023-10-20,24.4
2023-10-21,14.8
2023-10-22,17.5
2023-10-23,23.3
2023-10-24,22.7
2023-10-25,19.1
2023-10-26,13.8
2023-10-27,10.7
2023-10-28,17.2
2023-10-29,23.5
2023-10-30,14.4
2023-10-31,25.1
2023-11-01,19.0
2023-11-02,24.8
2023-11-03,19.4
2023-11-04,19.5
2023-11-05,10.6
2023-11-06,22.7
2023-11-07,14.0
2023-11-08,29.4
2023-11-09,18.9
2023-11-10,18.7
2023-11-11,28.2
2023-11-12,28.3
2023-11-13,24.0
2023-11-14,27.9
2023-11-15,29.6
2023-11-16,27.1
2023-11-17,23.0
2023-11-18,24.1
2023-11-19,11.4
2023-11-20,19.9
2023-11-21,23.9
2023-11-22,16.2
2023-11-23,12.0
2023-11-24,22.7
2023-11-25,12.7
2023-11-26,17.0
2023-11-27,28.1
2023-11-28,28.1
2023-11-29,11.3
2023-11-30,18.6
2023-12-01,20.0
2023-12-02,20.9
2023-12-03,18.1
2023-12-04,21.5
2023-12-05,23.5
2023-12-06,12.2
2023-12-07,29.5
2023-12-08,28.3
2023-12-09,19.9
2023-12-10,21.5
2023-12-11,21.9
2023-12-12,21.5
2023-12-13,12.4
2023-12-14,10.4
2023-12-15,14.3
2023-12-16,19.7
2023-12-17,17.7
2023-12-18,14.9
2023-12-19,22.2
2023-12-20,28.2
2023-12-21,13.6
2023-12-22,13.6
2023-12-23,23.4
2023-12-24,19.3
2023-12-25,15.4
2023-12-26,12.6
2023-12-27,24.3
2023-12-28,15.2
2023-12-29,28.0
2023-12-30,25.3
2023-12-31,20.4
2024-01-01,20.1
2024-01-02,28.9
2024-01-03,20.7
2024-01-04,10.7
2024-01-05,23.9
2024-01-06,23.2
