date,temperature
2023-06-10,24.7
2023-06-11,24.7
2023-06-12,25.9
2023-06-13,15.4
2023-06-14,20.8
2023-06-15,28.7
2023-06-16,25.9
2023-06-17,37.9
2023-06-18,22.5
2023-06-19,15.5
2023-06-20,27.6
2023-06-21,28.8
2023-06-22,13.1
2023-06-23,25.5
2023-06-24,31.4
2023-06-25,38.8
2023-06-26,35.7
2023-06-27,28.9
2023-06-28,37.5
2023-06-29,18.2
2023-06-30,39.3
2023-07-01,27.0
2023-07-02,14.0
2023-07-03,21.2
2023-07-04,30.3
2023-07-05,26.9
2023-07-06,15.8
2023-07-07,13.6
2023-07-08,32.1
2023-07-09,37.0
2023-07-10,33.9
2023-07-11,37.8
2023-07-12,12.4
2023-07-13,16.1
2023-07-14,24.8
2023-07-15,39.1
2023-07-16,29.8
2023-07-17,11.5
2023-07-18,22.4
2023-07-19,37.5
2023-07-20,11.4
2023-07-21,15.7
2023-07-22,37.0
2023-07-23,28.4
2023-07-24,15.7
2023-07-25,32.0
2023-07-26,36.4
2023-07-27,16.1
2023-07-28,36.1
2023-07-29,14.5
2023-07-30,33.5
2023-07-31,26.5
2023-08-01,14.2
2023-08-02,35.0
2023-08-03,20.9
2023-08-04,10.5
2023-08-05,10.7
2023-08-06,39.4
2023-08-07,34.8
2023-08-08,32.7
2023-08-09,35.4
2023-08-10,31.7
2023-08-11,30.6
2023-08-12,37.1
2023-08-13,23.4
2023-08-14,20.2
2023-08-15,39.2
2023-08-16,17.7
2023-08-17,24.9
2023-08-18,16.6
2023-08-19,38.5
2023-08-20,16.6
2023-08-21,35.9
2023-08-22,26.7
2023-08-23,31.3
2023-08-24,17.4
2023-08-25,18.4
2023-08-26,18.1
2023-08-27,10.7
2023-08-28,29.5
2023-08-29,22.5
2023-08-30,26.0
2023-08-31,20.1
2023-09-01,20.2
2023-09-02,15.9
2023-09-03,22.0
2023-09-04,17.9
2023-09-05,21.8
2023-09-06,22.4
2023-09-07,15.4
2023-09-08,17.9
2023-09-09,39.6
2023-09-10,15.8
2023-09-11,30.7
2023-09-12,32.1
2023-09-13,13.3
2023-09-14,12.2
2023-09-15,29.5
2023-09-16,15.9
2023-09-17,33.8
2023-09-18,27.8
2023-09-19,26.4
2023-09-20,28.5
2023-09-21,16.8
2023-09-22,10.0
2023-09-23,22.2
2023-09-24,16.4
2023-09-25,14.8
2023-09-26,10.4
2023-09-27,34.1
2023-09-28,38.7
2023-09-29,29.2
2023-09-30,29.2
2023-10-01,35.9
2023-10-02,27.3
2023-10-03,19.9
2023-10-04,31.0
2023-10-05,39.6
2023-10-06,11.2
2023-10-07,18.6
2023-10-08,13.8
2023-10-09,38.1
2023-10-10,18.0
2023-10-11,22.6
2023-10-12,30.1
2023-10-13,16.5
2023-10-14,32.1
2023-10-15,18.7
2023-10-16,32.3
2023-10-17,10.6
2023-10-18,21.2
2023-10-19,10.9
2023-10-20,39.1
2023-10-21,35.6
2023-10-22,10.0
2023-10-23,38.8
2023-10-24,34.2
2023-10-25,38.3
2023-10-26,32.9
2023-10-27,17.2
2023-10-28,13.3
2023-10-29,34.5
2023-10-30,18.0
2023-10-31,32.5
2023-11-01,17.1
2023-11-02,35.6
2023-11-03,31.0
2023-11-04,39.7
2023-11-05,16.9
2023-11-06,35.2
2023-11-07,31.5
2023-11-08,14.7
2023-11-09,37.4
2023-11-10,39.6
2023-11-11,33.3
2023-11-12,16.1
2023-11-13,18.4
2023-11-14,21.9
2023-11-15,26.4
2023-11-16,33.8
2023-11-17,10.0
2023-11-18,29.5
2023-11-19,21.1
2023-11-20,24.5
2023-11-21,27.7
2023-11-22,26.4
2023-11-23,27.8
2023-11-24,16.3
2023-11-25,39.2
2023-11-26,34.8
2023-11-27,27.2
2023-11-28,16.5
2023-11-29,23.5
2023-11-30,10.7
2023-12-01,21.9
2023-12-02,11.9
2023-12-03,16.3
2023-12-04,39.5
2023-12-05,31.8
2023-12-06,28.8
2023-12-07,21.4
2023-12-08,35.3
2023-12-09,34.6
2023-12-10,29.9
2023-12-11,27.4
2023-12-12,30.8
2023-12-13,18.8
2023-12-14,12.5
2023-12-15,18.7
2023-12-16,33.7
2023-12-17,32.6
2023-12-18,26.4
2023-12-19,27.9
2023-12-20,11.8
2023-12-21,29.5
2023-12-22,31.1
2023-12-23,18.5
2023-12-24,20.5
2023-12-25,15.6
2023-12-26,12.4
2023-12-27,36.1
2023-12-28,39.0
2023-12-29,17.9
2023-12-30,31.4
2023-12-31,26.3
2024-01-01,37.5
2024-01-02,36.1
2024-01-03,25.9
2024-01-04,19.6
2024-01-05,28.7
2024-01-06,34.4
2024-01-07,35.1
2024-01-08,31.5
