date,temperature
2023-06-10,15.2
2023-06-11,30.0
2023-06-12,13.8
2023-06-13,20.0
2023-06-14,-3.7
2023-06-15,21.2
2023-06-16,3.0
2023-06-17,2.4
2023-06-18,25.7
2023-06-19,27.8
2023-06-20,28.7
2023-06-21,8.6
2023-06-22,16.3
2023-06-23,12.6
2023-06-24,24.3
2023-06-25,23.2
2023-06-26,4.4
2023-06-27,-1.3
2023-06-28,16.0
2023-06-29,18.8
2023-06-30,14.0
2023-07-01,0.9
2023-07-02,25.2
2023-07-03,14.3
2023-07-04,10.2
2023-07-05,19.9
2023-07-06,28.4
2023-07-07,-2.7
2023-07-08,17.7
2023-07-09,-3.5
2023-07-10,22.1
2023-07-11,5.1
2023-07-12,26.3
2023-07-13,25.2
2023-07-14,2.7
2023-07-15,12.4
2023-07-16,7.5
2023-07-17,9.6
2023-07-18,26.2
2023-07-19,-0.2
2023-07-20,17.6
2023-07-21,7.7
2023-07-22,18.8
2023-07-23,20.1
2023-07-24,19.5
2023-07-25,7.0
2023-07-26,22.0
2023-07-27,14.9
2023-07-28,4.7
2023-07-29,8.3
2023-07-30,8.5
2023-07-31,29.3
2023-08-01,18.1
2023-08-02,5.2
2023-08-03,27.3
2023-08-04,4.4
2023-08-05,5.0
2023-08-06,17.2
2023-08-07,22.9
2023-08-08,17.1
2023-08-09,4.7
2023-08-10,2.0
2023-08-11,22.3
2023-08-12,12.7
2023-08-13,28.4
2023-08-14,28.2
2023-08-15,1.3
2023-08-16,21.4
2023-08-17,10.7
2023-08-18,0.1
2023-08-19,11.7
2023-08-20,15.9
2023-08-21,15.7
2023-08-22,13.3
2023-08-23,28.1
2023-08-24,1.4
2023-08-25,1.9
2023-08-26,6.9
2023-08-27,14.0
2023-08-28,24.3
2023-08-29,-0.3
2023-08-30,20.8
2023-08-31,18.1
2023-09-01,24.3
2023-09-02,17.9
2023-09-03,6.6
2023-09-04,5.1
2023-09-05,16.5
2023-09-06,15.0
2023-09-07,3.5
2023-09-08,24.5
2023-09-09,28.2
2023-09-10,15.7
2023-09-11,-1.1
2023-09-12,8.4
2023-09-13,5.4
2023-09-14,21.9
2023-09-15,9.1
2023-09-16,13.1
2023-09-17,23.7
2023-09-18,12.8
2023-09-19,11.6
2023-09-20,2.6
2023-09-21,15.4
2023-09-22,-1.6
2023-09-23,21.8
2023-09-24,-2.2
2023-09-25,9.1
2023-09-26,1.9
2023-09-27,22.2
2023-09-28,24.8
2023-09-29,14.5
2023-09-30,5.5
2023-10-01,-2.0
2023-10-02,7.4
