date,temperature
2023-06-10,27.8
2023-06-11,8.9
2023-06-12,0.2
2023-06-13,6.2
2023-06-14,-2.2
2023-06-15,29.4
2023-06-16,26.5
2023-06-17,4.3
2023-06-18,8.3
2023-06-19,-0.1
2023-06-20,-3.2
2023-06-21,0.2
2023-06-22,5.6
2023-06-23,6.6
2023-06-24,-4.1
2023-06-25,26.2
2023-06-26,2.4
2023-06-27,18.9
2023-06-28,17.2
2023-06-29,22.0
2023-06-30,-2.2
2023-07-01,5.1
2023-07-02,24.7
2023-07-03,4.1
2023-07-04,9.1
2023-07-05,27.7
2023-07-06,14.4
2023-07-07,-4.7
2023-07-08,16.8
2023-07-09,-3.5
2023-07-10,25.2
2023-07-11,7.7
2023-07-12,1.5
2023-07-13,27.2
2023-07-14,0.5
2023-07-15,13.8
2023-07-16,27.9
2023-07-17,13.1
2023-07-18,8.1
2023-07-19,15.5
2023-07-20,23.7
2023-07-21,16.2
2023-07-22,19.6
2023-07-23,11.0
2023-07-24,-2.1
2023-07-25,2.4
2023-07-26,-4.1
2023-07-27,-3.3
2023-07-28,20.9
2023-07-29,6.4
2023-07-30,6.2
2023-07-31,3.6
2023-08-01,18.2
2023-08-02,7.9
2023-08-03,15.3
2023-08-04,16.1
2023-08-05,13.2
2023-08-06,17.1
2023-08-07,11.9
2023-08-08,16.8
2023-08-09,12.7
2023-08-10,2.4
2023-08-11,0.7
2023-08-12,18.0
2023-08-13,10.9
2023-08-14,15.1
2023-08-15,2.6
2023-08-16,13.4
2023-08-17,0.6
2023-08-18,24.5
2023-08-19,29.6
2023-08-20,5.3
2023-08-21,29.9
2023-08-22,22.4
2023-08-23,2.8
2023-08-24,17.8
2023-08-25,23.1
2023-08-26,4.7
2023-08-27,6.7
2023-08-28,26.5
2023-08-29,-3.7
2023-08-30,5.2
2023-08-31,26.7
2023-09-01,12.8
2023-09-02,26.0
2023-09-03,25.1
2023-09-04,19.0
2023-09-05,23.7
2023-09-06,8.7
2023-09-07,23.4
2023-09-08,15.7
2023-09-09,14.0
2023-09-10,21.3
2023-09-11,-0.5
2023-09-12,-0.4
2023-09-13,1.7
2023-09-14,17.9
2023-09-15,26.8
2023-09-16,0.5
2023-09-17,14.0
2023-09-18,18.5
2023-09-19,25.0
2023-09-20,6.8
2023-09-21,20.0
2023-09-22,5.8
2023-09-23,13.2
2023-09-24,23.7
2023-09-25,7.0
2023-09-26,13.6
2023-09-27,6.6
2023-09-28,24.4
2023-09-29,19.5
2023-09-30,28.0
2023-10-01,22.0
2023-10-02,16.3
2023-10-03,8.0
2023-10-04,8.5
2023-10-05,15.2
2023-10-06,6.6
2023-10-07,26.2
2023-10-08,22.2
2023-10-09,2.1
2023-10-10,-1.4
2023-10-11,-4.5
2023-10-12,22.8
2023-10-13,8.5
2023-10-14,4.1
2023-10-15,29.2
2023-10-16,29.4
2023-10-17,21.3
2023-10-18,6.4
2023-10-19,18.3
2023-10-20,18.4
2023-10-21,15.8
2023-10-22,-1.7
2023-10-23,0.0
2023-10-24,-3.5
2023-10-25,29.8
2023-10-26,29.6
2023-10-27,11.7
2023-10-28,12.3
2023-10-29,21.4
2023-10-30,14.3
2023-10-31,25.8
2023-11-01,21.6
2023-11-02,0.0
2023-11-03,1.1
2023-11-04,15.3
2023-11-05,21.1
2023-11-06,18.1
2023-11-07,29.4
2023-11-08,9.5
2023-11-09,-2.7
2023-11-10,15.4
2023-11-11,-0.0
2023-11-12,9.8
2023-11-13,4.1
2023-11-14,14.8
2023-11-15,0.2
2023-11-16,21.4
2023-11-17,23.3
2023-11-18,26.8
2023-11-19,-0.3
2023-11-20,-2.8
2023-11-21,10.5
2023-11-22,7.4
2023-11-23,8.3
