date,temperature
2023-06-10,17.9
2023-06-11,22.3
2023-06-12,4.8
2023-06-13,14.4
2023-06-14,0.6
2023-06-15,21.6
2023-06-16,24.6
2023-06-17,19.0
2023-06-18,7.0
2023-06-19,5.0
2023-06-20,5.8
2023-06-21,23.1
2023-06-22,14.7
2023-06-23,20.6
2023-06-24,1.9
2023-06-25,10.6
2023-06-26,23.2
2023-06-27,22.6
2023-06-28,16.4
2023-06-29,16.9
2023-06-30,17.6
2023-07-01,7.1
2023-07-02,11.8
2023-07-03,5.7
2023-07-04,17.7
2023-07-05,11.8
2023-07-06,16.7
2023-07-07,14.3
2023-07-08,24.2
2023-07-09,4.6
2023-07-10,10.4
2023-07-11,21.3
2023-07-12,16.4
2023-07-13,6.7
2023-07-14,20.7
2023-07-15,12.4
2023-07-16,0.2
2023-07-17,19.3
2023-07-18,5.8
2023-07-19,15.7
2023-07-20,4.7
2023-07-21,21.5
2023-07-22,4.2
2023-07-23,2.7
2023-07-24,4.3
2023-07-25,14.2
2023-07-26,7.5
2023-07-27,19.5
2023-07-28,14.1
2023-07-29,24.0
2023-07-30,18.8
2023-07-31,16.8
2023-08-01,1.2
2023-08-02,24.0
2023-08-03,17.4
2023-08-04,10.8
2023-08-05,4.0
2023-08-06,22.9
2023-08-07,11.1
2023-08-08,5.5
2023-08-09,20.9
2023-08-10,5.8
2023-08-11,8.7
2023-08-12,17.1
2023-08-13,24.2
2023-08-14,18.9
2023-08-15,10.9
2023-08-16,21.7
2023-08-17,12.3
2023-08-18,11.4
2023-08-19,7.5
2023-08-20,23.9
2023-08-21,1.6
2023-08-22,19.9
2023-08-23,12.9
2023-08-24,15.7
2023-08-25,14.8
2023-08-26,7.7
2023-08-27,19.8
2023-08-28,13.6
2023-08-29,13.3
2023-08-30,9.0
2023-08-31,5.3
2023-09-01,22.8
2023-09-02,7.8
2023-09-03,8.0
2023-09-04,13.6
2023-09-05,0.9
2023-09-06,9.0
2023-09-07,7.4
2023-09-08,8.3
2023-09-09,7.7
2023-09-10,24.8
2023-09-11,7.5
2023-09-12,21.4
2023-09-13,12.0
2023-09-14,21.2
2023-09-15,12.2
2023-09-16,15.7
2023-09-17,15.0
2023-09-18,4.1
2023-09-19,20.5
2023-09-20,15.9
2023-09-21,5.7
2023-09-22,1.5
2023-09-23,14.2
2023-09-24,15.8
2023-09-25,5.7
2023-09-26,19.4
2023-09-27,19.5
2023-09-28,4.7
2023-09-29,5.1
2023-09-30,21.3
2023-10-01,12.1
2023-10-02,10.5
