date,temperature
2023-06-10,22.5
2023-06-11,4.0
2023-06-12,25.5
2023-06-13,8.6
2023-06-14,14.4
2023-06-15,20.5
2023-06-16,25.5
2023-06-17,5.6
2023-06-18,8.1
2023-06-19,17.7
2023-06-20,5.2
2023-06-21,27.2
2023-06-22,4.8
2023-06-23,2.5
2023-06-24,11.7
2023-06-25,9.5
2023-06-26,19.8
2023-06-27,13.0
2023-06-28,1.5
2023-06-29,1.2
2023-06-30,4.9
2023-07-01,18.4
2023-07-02,26.2
2023-07-03,7.5
2023-07-04,21.6
2023-07-05,24.9
2023-07-06,0.4
2023-07-07,4.8
2023-07-08,26.5
2023-07-09,20.2
2023-07-10,12.6
2023-07-11,20.4
2023-07-12,12.4
2023-07-13,17.1
2023-07-14,10.0
2023-07-15,19.0
2023-07-16,13.5
2023-07-17,29.8
2023-07-18,5.1
2023-07-19,7.0
2023-07-20,26.7
2023-07-21,15.6
2023-07-22,17.0
2023-07-23,8.0
2023-07-24,12.4
2023-07-25,1.6
2023-07-26,28.2
2023-07-27,27.7
2023-07-28,19.8
2023-07-29,1.7
2023-07-30,7.3
2023-07-31,12.3
2023-08-01,2.9
2023-08-02,20.7
2023-08-03,5.6
2023-08-04,0.9
2023-08-05,15.5
2023-08-06,29.9
2023-08-07,28.6
2023-08-08,12.5
2023-08-09,2.1
2023-08-10,1.2
2023-08-11,8.8
2023-08-12,11.5
2023-08-13,9.9
2023-08-14,24.1
2023-08-15,22.1
2023-08-16,8.1
2023-08-17,29.8
2023-08-18,27.6
2023-08-19,21.8
2023-08-20,15.0
2023-08-21,5.3
2023-08-22,20.1
2023-08-23,11.2
2023-08-24,21.1
2023-08-25,7.4
2023-08-26,14.1
2023-08-27,1.1
2023-08-28,1.1
2023-08-29,29.1
2023-08-30,16.8
2023-08-31,1.2
2023-09-01,16.9
2023-09-02,24.6
2023-09-03,13.2
2023-09-04,23.8
2023-09-05,7.7
2023-09-06,18.6
2023-09-07,18.0
2023-09-08,9.4
2023-09-09,6.9
2023-09-10,25.6
2023-09-11,3.0
2023-09-12,13.2
2023-09-13,28.1
2023-09-14,26.7
2023-09-15,3.7
2023-09-16,1.2
2023-09-17,12.5
2023-09-18,10.8
2023-09-19,17.2
2023-09-20,0.0
2023-09-21,25.7
2023-09-22,21.3
2023-09-23,0.8
2023-09-24,22.1
2023-09-25,25.8
2023-09-26,4.9
2023-09-27,1.2
2023-09-28,29.8
2023-09-29,13.7
2023-09-30,15.0
2023-10-01,7.8
2023-10-02,12.6
2023-10-03,2.6
2023-10-04,4.3
2023-10-05,25.9
2023-10-06,9.4
2023-10-07,0.8
2023-10-08,29.2
2023-10-09,24.1
2023-10-10,18.7
2023-10-11,17.0
2023-10-12,15.9
2023-10-13,25.7
2023-10-14,16.9
2023-10-15,13.8
2023-10-16,9.2
2023-10-17,25.7
2023-10-18,9.6
2023-10-19,5.9
2023-10-20,15.3
2023-10-21,1.1
2023-10-22,16.6
2023-10-23,27.6
2023-10-24,6.4
2023-10-25,3.5
2023-10-26,27.6
2023-10-27,4.7
2023-10-28,1.0
2023-10-29,11.3
2023-10-30,21.0
2023-10-31,14.8
2023-11-01,16.5
2023-11-02,10.0
2023-11-03,9.4
2023-11-04,3.2
2023-11-05,21.1
2023-11-06,24.4
2023-11-07,14.4
2023-11-08,26.0
2023-11-09,3.2
2023-11-10,23.2
2023-11-11,25.9
2023-11-12,10.1
2023-11-13,10.8
2023-11-14,10.7
2023-11-15,16.2
2023-11-16,15.6
2023-11-17,22.9
2023-11-18,29.1
2023-11-19,9.8
2023-11-20,17.4
2023-11-21,22.7
2023-11-22,7.0
2023-11-23,16.0
2023-11-24,25.2
2023-11-25,17.8
2023-11-26,29.4
2023-11-27,4.7
2023-11-28,11.4
2023-11-29,17.2
2023-11-30,14.1
2023-12-01,0.5
2023-12-02,1.3
2023-12-03,13.3
2023-12-04,10.1
2023-12-05,15.7
2023-12-06,3.5
2023-12-07,22.7
2023-12-08,29.8
2023-12-09,8.8
2023-12-10,27.9
2023-12-11,19.3
2023-12-12,24.5
2023-12-13,14.6
2023-12-14,26.2
2023-12-15,7.0
2023-12-16,20.4
2023-12-17,6.5
2023-12-18,17.9
2023-12-19,17.2
2023-12-20,13.1
2023-12-21,26.2
2023-12-22,25.6
2023-12-23,2.1
2023-12-24,23.5
2023-12-25,13.7
2023-12-26,18.4
2023-12-27,21.6
