date,temperature
2023-06-10,9.1
2023-06-11,13.9
2023-06-12,10.1
2023-06-13,23.3
2023-06-14,11.8
2023-06-15,5.6
2023-06-16,19.3
2023-06-17,-0.0
2023-06-18,10.9
2023-06-19,24.0
2023-06-20,14.7
2023-06-21,12.2
2023-06-22,27.1
2023-06-23,5.6
2023-06-24,-0.9
2023-06-25,-4.4
2023-06-26,13.3
2023-06-27,30.0
2023-06-28,-3.9
2023-06-29,-0.7
2023-06-30,13.0
2023-07-01,1.8
2023-07-02,14.4
2023-07-03,20.0
2023-07-04,1.9
2023-07-05,-0.1
2023-07-06,21.9
2023-07-07,16.0
2023-07-08,28.6
2023-07-09,-4.7
2023-07-10,18.5
2023-07-11,-4.5
2023-07-12,5.6
2023-07-13,5.1
2023-07-14,21.1
2023-07-15,13.0
2023-07-16,-0.3
2023-07-17,22.5
2023-07-18,19.8
2023-07-19,12.7
2023-07-20,15.8
2023-07-21,11.0
2023-07-22,28.7
2023-07-23,-3.2
2023-07-24,-4.6
2023-07-25,12.0
2023-07-26,19.9
2023-07-27,13.7
2023-07-28,5.3
2023-07-29,21.8
2023-07-30,13.9
2023-07-31,24.0
2023-08-01,7.9
2023-08-02,26.6
2023-08-03,20.5
2023-08-04,8.6
2023-08-05,13.3
2023-08-06,26.9
2023-08-07,25.3
2023-08-08,25.1
2023-08-09,1.1
2023-08-10,2.6
2023-08-11,9.7
2023-08-12,23.8
2023-08-13,16.5
2023-08-14,-1.6
2023-08-15,25.9
2023-08-16,-1.8
2023-08-17,20.9
2023-08-18,4.1
2023-08-19,13.5
2023-08-20,3.9
2023-08-21,25.8
2023-08-22,16.9
2023-08-23,15.4
2023-08-24,1.3
2023-08-25,1.5
2023-08-26,20.9
2023-08-27,19.6
2023-08-28,23.4
2023-08-29,20.7
2023-08-30,-3.2
2023-08-31,7.3
2023-09-01,14.0
2023-09-02,8.9
2023-09-03,27.8
2023-09-04,3.4
2023-09-05,-4.5
2023-09-06,28.6
2023-09-07,7.3
2023-09-08,30.0
2023-09-09,12.7
