date,temperature
2023-06-10,6.4
2023-06-11,12.7
2023-06-12,13.2
2023-06-13,7.8
2023-06-14,4.3
2023-06-15,17.1
2023-06-16,11.7
2023-06-17,17.4
2023-06-18,6.8
2023-06-19,5.9
2023-06-20,3.8
2023-06-21,19.6
2023-06-22,15.6
2023-06-23,6.2
2023-06-24,7.0
2023-06-25,19.1
2023-06-26,21.1
2023-06-27,16.5
2023-06-28,25.0
2023-06-29,24.6
2023-06-30,18.0
2023-07-01,16.0
2023-07-02,21.4
2023-07-03,0.0
2023-07-04,2.2
2023-07-05,21.2
2023-07-06,1.4
2023-07-07,12.6
2023-07-08,0.8
2023-07-09,24.8
2023-07-10,1.2
2023-07-11,23.0
2023-07-12,3.1
2023-07-13,22.9
2023-07-14,2.1
2023-07-15,14.7
2023-07-16,21.2
2023-07-17,21.2
2023-07-18,16.9
2023-07-19,1.1
2023-07-20,22.0
2023-07-21,5.4
2023-07-22,5.7
2023-07-23,13.4
2023-07-24,11.2
2023-07-25,18.1
2023-07-26,2.9
2023-07-27,17.6
2023-07-28,8.8
2023-07-29,18.5
2023-07-30,1.6
2023-07-31,6.5
2023-08-01,21.1
2023-08-02,1.9
2023-08-03,17.9
2023-08-04,4.1
2023-08-05,7.8
2023-08-06,4.9
2023-08-07,16.9
2023-08-08,19.9
2023-08-09,23.6
2023-08-10,10.8
2023-08-11,4.5
2023-08-12,15.2
2023-08-13,11.4
2023-08-14,21.9
2023-08-15,23.4
2023-08-16,8.3
2023-08-17,4.4
2023-08-18,13.2
2023-08-19,20.2
2023-08-20,1.9
2023-08-21,1.8
2023-08-22,6.9
2023-08-23,23.9
2023-08-24,8.3
2023-08-25,1.3
2023-08-26,8.3
2023-08-27,10.5
2023-08-28,5.0
2023-08-29,6.6
2023-08-30,24.2
2023-08-31,2.9
2023-09-01,14.1
2023-09-02,16.4
2023-09-03,7.4
2023-09-04,3.8
2023-09-05,11.2
2023-09-06,16.2
2023-09-07,3.9
2023-09-08,0.1
2023-09-09,24.1
2023-09-10,16.8
2023-09-11,5.9
2023-09-12,5.5
2023-09-13,8.3
2023-09-14,19.5
2023-09-15,23.7
2023-09-16,5.0
2023-09-17,9.6
2023-09-18,11.8
2023-09-19,13.0
2023-09-20,18.6
2023-09-21,22.4
2023-09-22,23.7
2023-09-23,6.5
2023-09-24,17.6
2023-09-25,6.0
2023-09-26,21.5
2023-09-27,17.6
2023-09-28,14.6
2023-09-29,24.5
2023-09-30,21.6
2023-10-01,5.8
2023-10-02,11.9
2023-10-03,19.7
2023-10-04,22.1
2023-10-05,10.0
2023-10-06,7.9
