date,temperature
2023-06-10,8.2
2023-06-11,7.6
2023-06-12,4.1
2023-06-13,21.4
2023-06-14,1.8
2023-06-15,12.7
2023-06-16,5.6
2023-06-17,4.1
2023-06-18,22.0
2023-06-19,2.7
2023-06-20,5.3
2023-06-21,6.0
2023-06-22,26.6
2023-06-23,18.6
2023-06-24,1.3
2023-06-25,22.1
2023-06-26,21.8
2023-06-27,27.6
2023-06-28,14.8
2023-06-29,5.8
2023-06-30,21.5
2023-07-01,27.5
2023-07-02,10.1
2023-07-03,1.5
2023-07-04,4.1
2023-07-05,18.5
2023-07-06,3.4
2023-07-07,14.0
2023-07-08,18.0
2023-07-09,27.6
2023-07-10,11.0
2023-07-11,6.8
2023-07-12,5.6
2023-07-13,19.9
2023-07-14,0.7
2023-07-15,3.7
2023-07-16,11.9
2023-07-17,14.0
2023-07-18,23.0
2023-07-19,0.9
2023-07-20,20.1
2023-07-21,9.8
2023-07-22,29.4
2023-07-23,19.4
2023-07-24,21.6
2023-07-25,3.8
2023-07-26,3.0
2023-07-27,14.4
2023-07-28,21.5
2023-07-29,14.9
2023-07-30,17.9
2023-07-31,16.4
2023-08-01,8.5
2023-08-02,23.7
2023-08-03,3.2
2023-08-04,12.3
2023-08-05,27.5
2023-08-06,2.4
2023-08-07,10.7
2023-08-08,26.0
2023-08-09,3.8
2023-08-10,14.6
2023-08-11,3.5
2023-08-12,23.0
2023-08-13,12.6
2023-08-14,26.1
2023-08-15,14.3
2023-08-16,25.3
2023-08-17,1.6
2023-08-18,18.2
2023-08-19,2.1
2023-08-20,7.2
2023-08-21,18.7
2023-08-22,28.9
2023-08-23,8.9
2023-08-24,24.6
2023-08-25,28.3
2023-08-26,24.6
2023-08-27,23.1
2023-08-28,16.8
2023-08-29,9.0
2023-08-30,5.4
2023-08-31,21.5
2023-09-01,0.3
2023-09-02,14.5
2023-09-03,4.7
2023-09-04,25.2
2023-09-05,22.5
2023-09-06,17.6
2023-09-07,19.2
2023-09-08,27.4
2023-09-09,22.7
2023-09-10,14.8
2023-09-11,3.1
2023-09-12,21.6
2023-09-13,0.5
2023-09-14,7.0
2023-09-15,3.2
2023-09-16,25.9
2023-09-17,15.9
2023-09-18,28.2
2023-09-19,6.7
2023-09-20,11.9
2023-09-21,1.2
2023-09-22,15.4
2023-09-23,6.8
2023-09-24,2.8
2023-09-25,9.8
2023-09-26,24.0
2023-09-27,27.1
2023-09-28,25.2
2023-09-29,26.2
2023-09-30,24.0
2023-10-01,7.4
2023-10-02,22.8
2023-10-03,7.7
2023-10-04,3.9
2023-10-05,12.8
2023-10-06,14.9
2023-10-07,13.1
2023-10-08,23.9
2023-10-09,17.1
2023-10-10,0.5
2023-10-11,16.3
2023-10-12,3.1
2023-10-13,21.7
2023-10-14,0.3
2023-10-15,1.9
2023-10-16,20.8
2023-10-17,17.1
2023-10-18,11.5
2023-10-19,9.1
2023-10-20,4.9
2023-10-21,9.0
2023-10-22,5.8
2023-10-23,22.3
2023-10-24,15.1
2023-10-25,0.6
2023-10-26,17.0
2023-10-27,25.1
2023-10-28,16.2
2023-10-29,23.3
2023-10-30,18.9
2023-10-31,17.1
2023-11-01,16.5
2023-11-02,1.8
2023-11-03,4.0
2023-11-04,10.7
2023-11-05,22.0
2023-11-06,29.6
2023-11-07,28.5
2023-11-08,17.6
2023-11-09,28.8
2023-11-10,28.3
2023-11-11,12.6
2023-11-12,5.4
2023-11-13,24.4
2023-11-14,5.9
2023-11-15,12.7
2023-11-16,24.1
2023-11-17,26.9
2023-11-18,22.9
2023-11-19,3.2
2023-11-20,15.8
2023-11-21,19.3
2023-11-22,8.2
2023-11-23,25.9
2023-11-24,0.9
2023-11-25,29.5
2023-11-26,5.1
2023-11-27,24.8
2023-11-28,21.6
2023-11-29,3.3
2023-11-30,28.4
2023-12-01,21.6
2023-12-02,5.2
2023-12-03,25.6
2023-12-04,7.0
2023-12-05,19.7
2023-12-06,8.9
2023-12-07,27.1
2023-12-08,15.1
2023-12-09,1.7
2023-12-10,1.3
2023-12-11,13.6
2023-12-12,2.2
2023-12-13,23.5
2023-12-14,27.5
2023-12-15,22.5
2023-12-16,7.7
2023-12-17,21.0
2023-12-18,5.8
2023-12-19,7.0
2023-12-20,23.1
2023-12-21,9.3
2023-12-22,0.8
2023-12-23,20.3
2023-12-24,27.0
2023-12-25,1.3
2023-12-26,26.9
2023-12-27,11.5
2023-12-28,17.8
2023-12-29,26.0
2023-12-30,9.7
2023-12-31,12.0
2024-01-01,15.9
2024-01-02,1.2
2024-01-03,25.0
2024-01-04,15.7
2024-01-05,11.7
2024-01-06,9.4
2024-01-07,13.8
2024-01-08,22.8
2024-01-09,13.1
2024-01-10,12.8
2024-01-11,6.3
2024-01-12,24.0
2024-01-13,29.6
2024-01-14,27.8
2024-01-15,25.7
2024-01-16,17.8
2024-01-17,27.9
2024-01-18,0.5
2024-01-19,7.5
2024-01-20,26.8
2024-01-21,10.5
2024-01-22,14.2
2024-01-23,17.0
2024-01-24,2.6
2024-01-25,26.9
2024-01-26,1.2
2024-01-27,6.0
2024-01-28,11.5
2024-01-29,14.6
2024-01-30,12.8
2024-01-31,16.2
2024-02-01,18.2
2024-02-02,26.8
2024-02-03,5.4
2024-02-04,29.1
2024-02-05,17.1
2024-02-06,17.7
2024-02-07,18.3
2024-02-08,21.8
2024-02-09,0.7
2024-02-10,20.2
2024-02-11,26.5
2024-02-12,6.9
2024-02-13,18.1
2024-02-14,23.3
2024-02-15,5.1
2024-02-16,8.1
2024-02-17,6.5
2024-02-18,13.0
2024-02-19,18.9
2024-02-20,21.5
2024-02-21,13.6
2024-02-22,10.4
2024-02-23,9.4
2024-02-24,8.6
2024-02-25,3.6
2024-02-26,14.0
2024-02-27,18.3
2024-02-28,2.0
2024-02-29,26.5
2024-03-01,15.1
2024-03-02,15.0
2024-03-03,18.1
2024-03-04,8.0
2024-03-05,24.4
2024-03-06,20.8
2024-03-07,14.3
2024-03-08,13.1
2024-03-09,5.4
2024-03-10,21.1
2024-03-11,10.1
2024-03-12,29.8
2024-03-13,3.0
2024-03-14,25.5
2024-03-15,2.9
2024-03-16,19.9
2024-03-17,18.0
2024-03-18,5.5
2024-03-19,27.0
2024-03-20,26.1
2024-03-21,5.8
2024-03-22,25.6
2024-03-23,29.1
2024-03-24,7.9
2024-03-25,11.1
2024-03-26,20.3
2024-03-27,2.1
2024-03-28,11.4
2024-03-29,6.9
2024-03-30,24.3
2024-03-31,28.9
2024-04-01,17.2
2024-04-02,7.6
2024-04-03,1.1
2024-04-04,13.3
2024-04-05,5.8
2024-04-06,14.3
2024-04-07,4.9
2024-04-08,1.0
