date,temperature
2023-06-10,24.7
2023-06-11,13.6
2023-06-12,20.5
2023-06-13,22.5
2023-06-14,1.5
2023-06-15,2.6
2023-06-16,17.9
2023-06-17,4.1
2023-06-18,8.3
2023-06-19,1.4
2023-06-20,8.9
2023-06-21,5.3
2023-06-22,4.0
2023-06-23,20.8
2023-06-24,22.6
2023-06-25,5.1
2023-06-26,17.6
2023-06-27,24.0
2023-06-28,17.2
2023-06-29,10.0
2023-06-30,7.8
2023-07-01,24.1
2023-07-02,17.7
2023-07-03,13.4
2023-07-04,3.9
2023-07-05,9.4
2023-07-06,5.5
2023-07-07,1.7
2023-07-08,10.3
2023-07-09,14.2
2023-07-10,14.7
2023-07-11,19.5
2023-07-12,23.2
2023-07-13,11.6
2023-07-14,24.4
2023-07-15,8.6
2023-07-16,11.2
2023-07-17,23.8
2023-07-18,10.6
2023-07-19,14.0
2023-07-20,17.1
2023-07-21,15.0
2023-07-22,14.5
2023-07-23,9.1
2023-07-24,2.2
2023-07-25,18.9
2023-07-26,1.5
2023-07-27,22.7
2023-07-28,18.7
2023-07-29,19.2
2023-07-30,10.4
2023-07-31,9.2
2023-08-01,18.3
2023-08-02,18.9
2023-08-03,23.0
2023-08-04,11.3
2023-08-05,1.3
2023-08-06,19.0
2023-08-07,17.6
2023-08-08,23.7
2023-08-09,25.0
2023-08-10,11.3
2023-08-11,9.8
2023-08-12,15.3
2023-08-13,13.3
2023-08-14,12.2
2023-08-15,5.4
2023-08-16,15.5
2023-08-17,9.9
2023-08-18,17.0
2023-08-19,12.5
2023-08-20,12.3
2023-08-21,22.1
2023-08-22,16.1
2023-08-23,13.8
2023-08-24,9.0
2023-08-25,17.4
2023-08-26,3.1
2023-08-27,22.5
2023-08-28,24.3
2023-08-29,7.6
2023-08-30,22.2
2023-08-31,21.2
2023-09-01,7.8
2023-09-02,23.8
2023-09-03,7.0
2023-09-04,15.1
2023-09-05,15.9
2023-09-06,12.9
2023-09-07,21.1
2023-09-08,9.3
2023-09-09,6.9
2023-09-10,18.1
2023-09-11,19.9
2023-09-12,13.6
2023-09-13,5.0
2023-09-14,12.6
2023-09-15,1.2
2023-09-16,3.8
2023-09-17,9.2
2023-09-18,16.2
2023-09-19,18.6
2023-09-20,23.3
2023-09-21,12.7
2023-09-22,2.7
2023-09-23,8.8
2023-09-24,24.3
2023-09-25,23.5
2023-09-26,21.3
2023-09-27,16.3
2023-09-28,23.0
2023-09-29,9.8
2023-09-30,1.7
2023-10-01,1.4
2023-10-02,6.2
2023-10-03,23.6
2023-10-04,12.9
2023-10-05,11.5
2023-10-06,2.5
2023-10-07,23.5
2023-10-08,24.6
2023-10-09,0.8
2023-10-10,11.1
2023-10-11,0.8
2023-10-12,18.7
2023-10-13,0.8
2023-10-14,7.2
2023-10-15,17.5
2023-10-16,2.6
2023-10-17,1.7
2023-10-18,24.7
2023-10-19,14.2
2023-10-20,8.2
2023-10-21,5.3
2023-10-22,24.8
2023-10-23,2.0
2023-10-24,23.9
2023-10-25,21.0
2023-10-26,7.1
2023-10-27,23.3
2023-10-28,14.1
2023-10-29,0.2
2023-10-30,17.6
2023-10-31,18.9
2023-11-01,24.7
2023-11-02,1.2
2023-11-03,14.1
2023-11-04,1.8
2023-11-05,24.2
2023-11-06,10.6
2023-11-07,6.0
2023-11-08,8.2
2023-11-09,4.4
2023-11-10,19.7
2023-11-11,2.1
2023-11-12,15.8
2023-11-13,13.9
2023-11-14,10.5
2023-11-15,17.4
2023-11-16,15.7
2023-11-17,3.8
2023-11-18,0.4
2023-11-19,5.5
2023-11-20,13.0
2023-11-21,20.7
2023-11-22,25.0
2023-11-23,10.8
2023-11-24,9.3
2023-11-25,6.0
2023-11-26,1.4
2023-11-27,6.9
2023-11-28,21.4
2023-11-29,12.3
2023-11-30,5.9
2023-12-01,23.2
2023-12-02,2.1
2023-12-03,6.2
2023-12-04,11.1
2023-12-05,19.0
2023-12-06,7.9
2023-12-07,12.9
2023-12-08,13.8
2023-12-09,23.4
2023-12-10,2.3
2023-12-11,21.7
2023-12-12,5.9
2023-12-13,15.5
2023-12-14,23.8
2023-12-15,8.2
2023-12-16,21.1
2023-12-17,16.5
2023-12-18,17.4
2023-12-19,6.7
2023-12-20,12.6
2023-12-21,24.0
2023-12-22,12.5
2023-12-23,4.4
2023-12-24,13.9
2023-12-25,23.6
2023-12-26,8.8
2023-12-27,16.9
2023-12-28,14.2
2023-12-29,14.8
2023-12-30,15.8
2023-12-31,7.1
2024-01-01,10.8
2024-01-02,7.3
2024-01-03,11.3
2024-01-04,2.2
