date,temperature
2023-06-10,21.9
2023-06-11,20.3
2023-06-12,-1.2
2023-06-13,-5.1
2023-06-14,20.1
2023-06-15,-3.8
2023-06-16,-7.1
2023-06-17,23.2
2023-06-18,-5.3
2023-06-19,8.9
2023-06-20,-15.0
2023-06-21,15.6
2023-06-22,-11.9
2023-06-23,-4.5
2023-06-24,-6.6
2023-06-25,1.4
2023-06-26,1.5
2023-06-27,8.0
2023-06-28,15.9
2023-06-29,-8.4
2023-06-30,-10.1
2023-07-01,1.9
2023-07-02,-0.8
2023-07-03,-12.3
2023-07-04,8.0
2023-07-05,1.9
2023-07-06,14.5
2023-07-07,11.4
2023-07-08,14.4
2023-07-09,-6.1
2023-07-10,-5.9
2023-07-11,22.6
2023-07-12,21.7
2023-07-13,2.5
2023-07-14,20.4
2023-07-15,-4.0
2023-07-16,-9.6
2023-07-17,10.5
2023-07-18,10.7
2023-07-19,6.8
2023-07-20,-0.5
2023-07-21,22.7
2023-07-22,0.1
2023-07-23,-3.8
2023-07-24,19.9
2023-07-25,-11.8
2023-07-26,-1.2
2023-07-27,-13.9
2023-07-28,21.2
2023-07-29,23.2
2023-07-30,17.7
2023-07-31,9.3
2023-08-01,-4.1
2023-08-02,-13.5
2023-08-03,10.1
2023-08-04,8.8
2023-08-05,-7.3
2023-08-06,6.2
2023-08-07,12.0
2023-08-08,17.2
2023-08-09,5.6
2023-08-10,5.7
2023-08-11,-12.3
2023-08-12,-1.1
2023-08-13,2.2
2023-08-14,9.7
2023-08-15,23.9
2023-08-16,6.8
2023-08-17,24.2
2023-08-18,12.3
2023-08-19,14.3
2023-08-20,23.1
2023-08-21,17.1
2023-08-22,-13.0
2023-08-23,19.9
2023-08-24,17.0
2023-08-25,-10.3
2023-08-26,-12.9
2023-08-27,-12.3
2023-08-28,-12.2
2023-08-29,-12.4
2023-08-30,5.3
2023-08-31,3.0
2023-09-01,11.9
2023-09-02,-12.0
2023-09-03,-8.1
2023-09-04,-14.8
2023-09-05,19.7
2023-09-06,-12.3
2023-09-07,4.5
2023-09-08,5.8
2023-09-09,1.9
2023-09-10,11.1
2023-09-11,2.7
2023-09-12,-12.5
2023-09-13,6.7
2023-09-14,13.8
2023-09-15,23.2
2023-09-16,10.4
2023-09-17,11.9
2023-09-18,-3.3
2023-09-19,-5.4
2023-09-20,19.1
2023-09-21,20.0
2023-09-22,7.8
2023-09-23,5.9
2023-09-24,5.9
2023-09-25,9.1
2023-09-26,-9.1
2023-09-27,4.5
2023-09-28,-0.3
2023-09-29,-10.1
2023-09-30,-0.0
2023-10-01,24.8
2023-10-02,18.5
2023-10-03,3.3
2023-10-04,0.9
2023-10-05,20.3
2023-10-06,-12.9
2023-10-07,4.1
2023-10-08,15.5
2023-10-09,4.1
2023-10-10,7.5
2023-10-11,-10.8
2023-10-12,2.2
2023-10-13,-12.9
2023-10-14,-7.4
2023-10-15,-2.2
2023-10-16,6.4
2023-10-17,-0.1
2023-10-18,-2.6
2023-10-19,15.4
2023-10-20,-7.7
2023-10-21,9.4
2023-10-22,4.3
2023-10-23,3.9
2023-10-24,-6.3
2023-10-25,5.7
2023-10-26,1.1
2023-10-27,6.5
2023-10-28,-0.8
2023-10-29,16.8
2023-10-30,8.9
2023-10-31,-11.8
2023-11-01,16.5
2023-11-02,20.4
2023-11-03,18.1
2023-11-04,-5.4
2023-11-05,22.0
2023-11-06,7.5
2023-11-07,23.3
2023-11-08,-7.6
2023-11-09,-3.7
2023-11-10,-6.5
2023-11-11,14.0
2023-11-12,9.5
2023-11-13,14.8
2023-11-14,0.4
2023-11-15,2.0
2023-11-16,9.9
2023-11-17,5.8
2023-11-18,4.2
2023-11-19,24.8
2023-11-20,-9.5
2023-11-21,22.4
2023-11-22,8.7
2023-11-23,5.1
2023-11-24,8.8
2023-11-25,9.2
2023-11-26,19.6
2023-11-27,-9.1
2023-11-28,-14.4
2023-11-29,10.3
2023-11-30,-2.1
2023-12-01,24.6
2023-12-02,16.2
2023-12-03,13.8
2023-12-04,-11.5
2023-12-05,2.3
2023-12-06,10.2
2023-12-07,-14.5
2023-12-08,9.9
2023-12-09,-10.3
2023-12-10,5.2
2023-12-11,-12.7
2023-12-12,13.9
2023-12-13,-9.1
2023-12-14,12.5
2023-12-15,8.7
2023-12-16,-8.3
2023-12-17,24.3
2023-12-18,9.7
2023-12-19,-5.7
2023-12-20,-2.3
2023-12-21,2.5
2023-12-22,19.1
2023-12-23,-3.9
2023-12-24,2.3
2023-12-25,18.3
2023-12-26,-10.6
2023-12-27,22.8
2023-12-28,13.4
2023-12-29,-6.6
2023-12-30,-6.7
2023-12-31,20.7
2024-01-01,0.9
2024-01-02,-11.0
2024-01-03,11.2
2024-01-04,-13.0
2024-01-05,19.1
2024-01-06,16.5
2024-01-07,-5.7
2024-01-08,-12.7
2024-01-09,17.1
2024-01-10,-7.3
2024-01-11,4.6
2024-01-12,22.2
2024-01-13,24.3
2024-01-14,16.0
