date,temperature
2023-06-10,8.3
2023-06-11,9.3
2023-06-12,16.5
2023-06-13,10.0
2023-06-14,29.6
2023-06-15,14.8
2023-06-16,16.8
2023-06-17,2.4
2023-06-18,23.8
2023-06-19,12.6
2023-06-20,14.0
2023-06-21,2.5
2023-06-22,16.5
2023-06-23,4.5
2023-06-24,13.1
2023-06-25,9.6
2023-06-26,15.5
2023-06-27,15.1
2023-06-28,27.9
2023-06-29,23.5
2023-06-30,4.8
2023-07-01,12.1
2023-07-02,5.5
2023-07-03,10.0
2023-07-04,5.4
2023-07-05,27.2
2023-07-06,1.5
2023-07-07,16.9
2023-07-08,22.8
2023-07-09,8.9
2023-07-10,19.9
2023-07-11,29.5
2023-07-12,29.1
2023-07-13,12.9
2023-07-14,1.2
2023-07-15,21.0
2023-07-16,11.7
2023-07-17,4.6
2023-07-18,12.2
2023-07-19,10.1
2023-07-20,27.6
2023-07-21,23.2
2023-07-22,1.6
2023-07-23,2.6
2023-07-24,11.5
2023-07-25,6.5
2023-07-26,4.3
2023-07-27,19.0
2023-07-28,0.3
2023-07-29,6.6
2023-07-30,29.9
2023-07-31,8.9
2023-08-01,11.1
2023-08-02,21.1
2023-08-03,23.8
2023-08-04,11.8
2023-08-05,15.7
2023-08-06,4.4
2023-08-07,5.7
2023-08-08,24.1
2023-08-09,20.9
2023-08-10,22.6
2023-08-11,29.8
2023-08-12,28.7
2023-08-13,18.7
2023-08-14,10.6
2023-08-15,20.0
2023-08-16,5.6
2023-08-17,24.2
2023-08-18,7.7
2023-08-19,15.4
2023-08-20,23.7
2023-08-21,21.2
2023-08-22,13.7
2023-08-23,17.5
2023-08-24,27.9
2023-08-25,12.9
2023-08-26,12.4
2023-08-27,21.1
2023-08-28,17.5
2023-08-29,25.6
2023-08-30,14.7
2023-08-31,3.5
2023-09-01,17.5
2023-09-02,2.6
2023-09-03,23.9
2023-09-04,18.9
2023-09-05,18.2
2023-09-06,5.7
2023-09-07,15.2
2023-09-08,4.3
2023-09-09,7.0
2023-09-10,21.6
2023-09-11,12.6
2023-09-12,19.3
2023-09-13,15.4
2023-09-14,12.9
2023-09-15,11.3
2023-09-16,25.2
2023-09-17,28.0
2023-09-18,4.9
2023-09-19,5.4
2023-09-20,2.4
2023-09-21,2.6
2023-09-22,11.4
2023-09-23,12.2
2023-09-24,29.6
2023-09-25,14.3
2023-09-26,7.0
2023-09-27,13.9
2023-09-28,14.4
2023-09-29,25.2
2023-09-30,23.8
2023-10-01,1.0
2023-10-02,26.1
2023-10-03,14.9
2023-10-04,19.4
2023-10-05,21.4
2023-10-06,19.1
2023-10-07,28.0
2023-10-08,7.0
2023-10-09,7.4
2023-10-10,14.9
2023-10-11,8.8
2023-10-12,18.8
2023-10-13,12.6
2023-10-14,2.1
2023-10-15,7.7
2023-10-16,21.0
2023-10-17,17.5
2023-10-18,25.8
2023-10-19,13.4
2023-10-20,20.7
2023-10-21,23.3
2023-10-22,11.7
2023-10-23,22.4
2023-10-24,5.2
2023-10-25,27.0
2023-10-26,0.8
2023-10-27,14.2
2023-10-28,15.7
2023-10-29,5.2
2023-10-30,23.5
2023-10-31,15.9
2023-11-01,16.2
2023-11-02,23.9
