date,temperature
2023-06-10,27.8
2023-06-11,28.8
2023-06-12,26.0
2023-06-13,29.6
2023-06-14,8.5
2023-06-15,34.7
2023-06-16,13.7
2023-06-17,5.5
2023-06-18,19.8
2023-06-19,19.3
2023-06-20,25.0
2023-06-21,12.7
2023-06-22,18.1
2023-06-23,10.1
2023-06-24,34.3
2023-06-25,9.0
2023-06-26,14.2
2023-06-27,6.8
2023-06-28,29.2
2023-06-29,9.0
2023-06-30,5.8
2023-07-01,26.4
2023-07-02,24.5
2023-07-03,13.3
2023-07-04,30.1
2023-07-05,28.3
2023-07-06,32.2
2023-07-07,17.0
2023-07-08,17.2
2023-07-09,24.2
2023-07-10,31.3
2023-07-11,29.1
2023-07-12,29.3
2023-07-13,22.2
2023-07-14,19.4
2023-07-15,34.6
2023-07-16,19.5
2023-07-17,5.6
2023-07-18,9.2
2023-07-19,32.3
2023-07-20,29.6
2023-07-21,6.0
2023-07-22,34.0
2023-07-23,22.4
2023-07-24,13.2
2023-07-25,11.4
2023-07-26,8.5
2023-07-27,12.9
2023-07-28,26.5
2023-07-29,23.6
2023-07-30,6.5
2023-07-31,20.9
2023-08-01,13.7
2023-08-02,15.8
2023-08-03,24.5
2023-08-04,14.7
2023-08-05,28.6
2023-08-06,13.8
2023-08-07,26.9
2023-08-08,17.7
2023-08-09,20.8
2023-08-10,8.9
2023-08-11,14.8
2023-08-12,28.9
2023-08-13,32.6
2023-08-14,25.8
2023-08-15,21.8
2023-08-16,17.1
2023-08-17,33.7
2023-08-18,16.2
2023-08-19,11.4
2023-08-20,9.1
2023-08-21,9.0
2023-08-22,29.7
2023-08-23,21.3
2023-08-24,13.8
2023-08-25,6.3
2023-08-26,8.7
2023-08-27,19.9
2023-08-28,10.1
2023-08-29,21.1
2023-08-30,25.8
2023-08-31,21.3
2023-09-01,8.4
2023-09-02,21.3
2023-09-03,23.8
2023-09-04,29.0
2023-09-05,21.8
2023-09-06,30.3
2023-09-07,6.2
2023-09-08,11.6
2023-09-09,21.4
2023-09-10,5.0
2023-09-11,26.0
2023-09-12,20.7
2023-09-13,16.6
2023-09-14,27.2
2023-09-15,16.2
2023-09-16,22.6
2023-09-17,17.5
2023-09-18,32.7
2023-09-19,20.3
2023-09-20,24.1
2023-09-21,34.2
2023-09-22,20.4
2023-09-23,24.7
2023-09-24,21.4
2023-09-25,8.9
2023-09-26,16.9
2023-09-27,18.7
2023-09-28,23.7
2023-09-29,22.9
2023-09-30,18.7
2023-10-01,24.3
2023-10-02,31.3
2023-10-03,31.4
2023-10-04,9.0
2023-10-05,32.7
2023-10-06,9.0
2023-10-07,34.6
2023-10-08,21.3
2023-10-09,26.3
2023-10-10,8.8
2023-10-11,9.9
2023-10-12,31.0
2023-10-13,25.1
2023-10-14,13.7
2023-10-15,10.4
2023-10-16,25.0
2023-10-17,10.1
2023-10-18,26.8
2023-10-19,33.5
2023-10-20,14.0
2023-10-21,14.8
2023-10-22,32.0
2023-10-23,13.8
2023-10-24,15.6
2023-10-25,8.5
2023-10-26,23.9
2023-10-27,29.1
2023-10-28,9.9
2023-10-29,30.9
2023-10-30,7.6
2023-10-31,11.7
2023-11-01,18.3
2023-11-02,30.4
2023-11-03,18.6
2023-11-04,15.5
2023-11-05,24.6
2023-11-06,20.3
2023-11-07,26.8
2023-11-08,6.9
2023-11-09,31.7
2023-11-10,25.6
2023-11-11,23.2
2023-11-12,14.5
2023-11-13,16.3
2023-11-14,9.5
2023-11-15,32.8
2023-11-16,10.9
2023-11-17,14.4
2023-11-18,24.2
2023-11-19,16.2
2023-11-20,16.0
2023-11-21,12.2
2023-11-22,28.6
2023-11-23,34.2
2023-11-24,34.7
2023-11-25,11.4
2023-11-26,20.1
2023-11-27,10.5
2023-11-28,10.5
2023-11-29,8.6
2023-11-30,19.0
2023-12-01,25.1
2023-12-02,21.8
2023-12-03,6.5
2023-12-04,14.1
2023-12-05,29.9
2023-12-06,20.7
2023-12-07,5.2
2023-12-08,11.7
2023-12-09,30.6
2023-12-10,33.3
2023-12-11,28.5
2023-12-12,31.3
2023-12-13,31.3
2023-12-14,20.9
2023-12-15,15.1
2023-12-16,24.3
2023-12-17,32.3
2023-12-18,32.1
2023-12-19,29.1
2023-12-20,23.8
2023-12-21,7.8
2023-12-22,13.0
2023-12-23,8.1
2023-12-24,30.9
2023-12-25,17.4
2023-12-26,34.0
2023-12-27,23.6
2023-12-28,14.5
2023-12-29,24.2
2023-12-30,14.1
2023-12-31,20.7
2024-01-01,31.6
2024-01-02,8.8
2024-01-03,26.9
2024-01-04,22.4
2024-01-05,7.4
2024-01-06,29.8
2024-01-07,13.7
2024-01-08,14.5
2024-01-09,22.4
2024-01-10,29.1
2024-01-11,12.0
2024-01-12,9.7
2024-01-13,18.0
2024-01-14,30.6
2024-01-15,12.2
2024-01-16,26.4
2024-01-17,30.2
2024-01-18,12.2
2024-01-19,27.8
2024-01-20,6.7
2024-01-21,24.8
2024-01-22,16.9
2024-01-23,28.3
2024-01-24,30.7
2024-01-25,33.7
2024-01-26,28.9
2024-01-27,27.2
2024-01-28,26.6
2024-01-29,5.3
2024-01-30,5.2
2024-01-31,15.9
2024-02-01,12.5
2024-02-02,8.7
2024-02-03,21.3
2024-02-04,30.0
2024-02-05,26.3
2024-02-06,32.8
2024-02-07,6.1
2024-02-08,20.9
2024-02-09,27.0
2024-02-10,31.4
2024-02-11,33.7
2024-02-12,28.5
2024-02-13,20.4
2024-02-14,28.2
2024-02-15,7.4
2024-02-16,5.5
2024-02-17,33.8
2024-02-18,11.3
2024-02-19,11.8
2024-02-20,6.2
2024-02-21,19.5
2024-02-22,26.4
2024-02-23,31.6
2024-02-24,26.4
2024-02-25,8.4
2024-02-26,25.9
