date,temperature
2023-06-10,34.2
2023-06-11,8.2
2023-06-12,7.1
2023-06-13,6.4
2023-06-14,7.3
2023-06-15,27.0
2023-06-16,27.4
2023-06-17,13.0
2023-06-18,19.1
2023-06-19,13.1
2023-06-20,24.9
2023-06-21,29.0
2023-06-22,10.3
2023-06-23,28.8
2023-06-24,27.9
2023-06-25,22.8
2023-06-26,12.2
2023-06-27,10.5
2023-06-28,18.6
2023-06-29,26.1
2023-06-30,25.7
2023-07-01,23.4
2023-07-02,6.6
2023-07-03,11.0
2023-07-04,33.6
2023-07-05,8.3
2023-07-06,29.0
2023-07-07,21.8
2023-07-08,30.8
2023-07-09,28.0
2023-07-10,29.2
2023-07-11,34.0
2023-07-12,9.8
2023-07-13,6.2
2023-07-14,19.6
2023-07-15,26.3
2023-07-16,18.5
2023-07-17,10.8
2023-07-18,28.5
2023-07-19,10.6
2023-07-20,21.4
2023-07-21,14.7
2023-07-22,34.6
2023-07-23,13.8
2023-07-24,23.9
2023-07-25,16.7
2023-07-26,19.1
2023-07-27,33.0
2023-07-28,27.6
2023-07-29,31.1
2023-07-30,33.4
2023-07-31,21.2
2023-08-01,23.4
2023-08-02,32.1
2023-08-03,17.1
2023-08-04,16.9
2023-08-05,7.1
2023-08-06,14.8
2023-08-07,28.5
2023-08-08,21.7
2023-08-09,30.0
2023-08-10,26.9
2023-08-11,34.4
2023-08-12,11.2
2023-08-13,24.5
2023-08-14,15.7
2023-08-15,28.9
2023-08-16,30.6
2023-08-17,24.9
2023-08-18,33.0
2023-08-19,27.4
2023-08-20,25.6
2023-08-21,6.8
2023-08-22,27.3
2023-08-23,27.3
2023-08-24,30.2
2023-08-25,17.7
2023-08-26,14.3
2023-08-27,8.2
2023-08-28,19.2
2023-08-29,12.6
2023-08-30,14.5
2023-08-31,5.8
2023-09-01,18.4
2023-09-02,15.9
2023-09-03,23.9
2023-09-04,20.3
2023-09-05,13.8
2023-09-06,32.0
2023-09-07,12.6
2023-09-08,28.6
2023-09-09,15.1
2023-09-10,21.8
2023-09-11,32.6
2023-09-12,5.6
2023-09-13,32.8
2023-09-14,5.5
2023-09-15,13.9
2023-09-16,8.7
2023-09-17,16.3
2023-09-18,26.5
2023-09-19,24.4
2023-09-20,29.0
2023-09-21,17.2
2023-09-22,16.0
2023-09-23,13.3
2023-09-24,5.2
2023-09-25,31.0
2023-09-26,28.9
2023-09-27,7.6
2023-09-28,16.2
2023-09-29,14.1
