date,temperature
2023-06-10,25.4
2023-06-11,23.1
2023-06-12,19.0
2023-06-13,6.7
2023-06-14,13.5
2023-06-15,20.2
2023-06-16,0.9
2023-06-17,10.1
2023-06-18,22.1
2023-06-19,14.8
2023-06-20,17.3
2023-06-21,13.0
2023-06-22,8.8
2023-06-23,7.9
2023-06-24,8.0
2023-06-25,12.7
2023-06-26,17.0
2023-06-27,12.0
2023-06-28,17.7
2023-06-29,20.9
2023-06-30,27.3
2023-07-01,29.3
2023-07-02,24.2
2023-07-03,20.1
2023-07-04,4.4
2023-07-05,2.4
2023-07-06,23.2
2023-07-07,25.6
2023-07-08,3.2
2023-07-09,15.9
2023-07-10,27.8
2023-07-11,17.8
2023-07-12,22.6
2023-07-13,25.4
2023-07-14,19.2
2023-07-15,26.4
2023-07-16,27.8
2023-07-17,0.2
2023-07-18,16.0
2023-07-19,23.7
2023-07-20,19.9
2023-07-21,14.3
2023-07-22,12.3
2023-07-23,20.8
2023-07-24,11.7
2023-07-25,10.8
2023-07-26,21.5
2023-07-27,3.8
2023-07-28,25.9
2023-07-29,29.7
2023-07-30,13.0
2023-07-31,20.5
2023-08-01,24.0
2023-08-02,9.8
2023-08-03,8.6
2023-08-04,7.0
2023-08-05,19.5
2023-08-06,11.5
2023-08-07,17.9
2023-08-08,13.6
2023-08-09,27.5
2023-08-10,12.6
2023-08-11,20.9
2023-08-12,28.5
2023-08-13,16.2
2023-08-14,11.8
2023-08-15,7.2
2023-08-16,11.9
2023-08-17,4.9
2023-08-18,21.7
2023-08-19,11.5
2023-08-20,26.9
2023-08-21,2.7
2023-08-22,0.7
2023-08-23,13.1
2023-08-24,16.9
2023-08-25,27.5
2023-08-26,25.1
2023-08-27,20.3
2023-08-28,2.3
2023-08-29,13.7
2023-08-30,13.4
2023-08-31,25.0
2023-09-01,6.5
2023-09-02,28.1
2023-09-03,26.5
2023-09-04,14.5
2023-09-05,10.9
2023-09-06,13.6
2023-09-07,16.5
2023-09-08,16.7
2023-09-09,11.1
2023-09-10,11.8
2023-09-11,11.5
2023-09-12,13.0
2023-09-13,20.5
2023-09-14,0.6
2023-09-15,6.1
2023-09-16,29.3
2023-09-17,12.2
2023-09-18,15.3
2023-09-19,11.7
2023-09-20,6.7
2023-09-21,19.9
2023-09-22,5.9
2023-09-23,24.7
2023-09-24,7.8
2023-09-25,26.0
2023-09-26,22.5
2023-09-27,3.2
2023-09-28,12.7
2023-09-29,0.0
2023-09-30,22.2
2023-10-01,18.4
2023-10-02,6.6
2023-10-03,11.0
2023-10-04,20.6
2023-10-05,21.3
2023-10-06,18.2
2023-10-07,17.6
2023-10-08,28.9
2023-10-09,23.6
2023-10-10,26.7
2023-10-11,28.1
2023-10-12,24.2
2023-10-13,7.3
2023-10-14,13.1
2023-10-15,29.7
2023-10-16,2.4
2023-10-17,7.6
2023-10-18,12.2
2023-10-19,18.8
2023-10-20,21.8
2023-10-21,4.8
2023-10-22,20.1
2023-10-23,16.3
2023-10-24,27.5
2023-10-25,13.6
2023-10-26,5.7
2023-10-27,24.3
2023-10-28,23.0
2023-10-29,13.1
2023-10-30,2.8
2023-10-31,16.6
2023-11-01,18.5
2023-11-02,19.9
2023-11-03,1.1
2023-11-04,26.9
2023-11-05,3.1
2023-11-06,25.6
2023-11-07,0.5
2023-11-08,29.4
2023-11-09,4.1
2023-11-10,22.1
2023-11-11,15.0
2023-11-12,6.1
2023-11-13,21.3
2023-11-14,20.3
2023-11-15,9.2
2023-11-16,23.8
2023-11-17,23.9
2023-11-18,13.9
2023-11-19,2.8
2023-11-20,11.4
2023-11-21,12.9
2023-11-22,15.3
2023-11-23,3.6
2023-11-24,28.9
2023-11-25,7.5
2023-11-26,4.7
2023-11-27,10.2
2023-11-28,18.2
2023-11-29,12.3
2023-11-30,23.8
2023-12-01,20.8
2023-12-02,4.8
2023-12-03,6.3
2023-12-04,26.9
2023-12-05,28.4
2023-12-06,5.5
2023-12-07,0.5
2023-12-08,27.1
2023-12-09,24.1
2023-12-10,9.3
2023-12-11,8.4
2023-12-12,14.4
2023-12-13,21.3
2023-12-14,26.8
2023-12-15,21.3
2023-12-16,27.3
2023-12-17,25.2
2023-12-18,14.2
2023-12-19,7.0
2023-12-20,14.5
2023-12-21,15.1
2023-12-22,22.4
2023-12-23,16.6
2023-12-24,17.3
2023-12-25,19.2
2023-12-26,17.3
2023-12-27,18.6
2023-12-28,18.0
2023-12-29,1.9
2023-12-30,18.2
2023-12-31,19.9
2024-01-01,10.0
2024-01-02,8.6
2024-01-03,7.2
2024-01-04,23.3
2024-01-05,28.0
2024-01-06,2.4
2024-01-07,20.6
2024-01-08,22.4
2024-01-09,27.1
2024-01-10,10.1
2024-01-11,9.1
2024-01-12,21.0
2024-01-13,9.1
2024-01-14,17.0
2024-01-15,7.0
2024-01-16,20.4
2024-01-17,20.3
2024-01-18,5.8
2024-01-19,15.8
2024-01-20,10.6
2024-01-21,22.3
2024-01-22,4.6
2024-01-23,14.6
2024-01-24,27.6
2024-01-25,0.2
2024-01-26,13.3
2024-01-27,14.3
2024-01-28,28.0
2024-01-29,19.7
2024-01-30,28.7
2024-01-31,27.0
2024-02-01,11.9
2024-02-02,19.7
2024-02-03,1.1
2024-02-04,21.9
2024-02-05,18.1
2024-02-06,22.3
2024-02-07,0.7
2024-02-08,6.8
2024-02-09,11.5
2024-02-10,18.8
2024-02-11,28.4
2024-02-12,29.2
2024-02-13,21.0
2024-02-14,16.0
2024-02-15,13.6
2024-02-16,17.5
2024-02-17,16.6
2024-02-18,12.0
2024-02-19,16.8
2024-02-20,4.3
2024-02-21,0.1
2024-02-22,8.6
2024-02-23,22.9
2024-02-24,22.6
2024-02-25,24.4
2024-02-26,12.0
2024-02-27,22.3
2024-02-28,26.6
2024-02-29,13.5
2024-03-01,19.0
2024-03-02,24.3
2024-03-03,20.7
2024-03-04,7.4
2024-03-05,16.1
2024-03-06,3.2
2024-03-07,15.3
2024-03-08,21.4
2024-03-09,26.0
2024-03-10,20.8
2024-03-11,10.1
2024-03-12,11.0
2024-03-13,19.2
2024-03-14,14.5
2024-03-15,25.3
2024-03-16,9.4
2024-03-17,11.2
2024-03-18,6.8
2024-03-19,26.7
2024-03-20,29.9
2024-03-21,13.3
2024-03-22,6.2
2024-03-23,11.7
2024-03-24,7.7
2024-03-25,28.9
2024-03-26,3.1
2024-03-27,24.8
2024-03-28,5.4
2024-03-29,20.6
2024-03-30,24.6
2024-03-31,29.4
2024-04-01,25.2
2024-04-02,17.2
2024-04-03,6.9
2024-04-04,29.6
2024-04-05,3.1
2024-04-06,18.7
2024-04-07,13.5
2024-04-08,28.7
2024-04-09,28.8
2024-04-10,4.9
2024-04-11,25.5
2024-04-12,26.2
2024-04-13,2.7
2024-04-14,22.0
2024-04-15,5.5
2024-04-16,20.1
2024-04-17,1.9
2024-04-18,24.7
2024-04-19,11.9
2024-04-20,0.4
2024-04-21,26.5
2024-04-22,14.4
2024-04-23,18.3
2024-04-24,24.0
2024-04-25,18.2
2024-04-26,26.0
2024-04-27,2.1
2024-04-28,3.1
2024-04-29,14.6
2024-04-30,0.8
2024-05-01,28.9
2024-05-02,6.8
2024-05-03,23.4
2024-05-04,8.6
2024-05-05,12.5
2024-05-06,0.9
2024-05-07,8.3
2024-05-08,16.9
2024-05-09,20.2
2024-05-10,7.1
2024-05-11,17.1
2024-05-12,17.2
2024-05-13,12.7
2024-05-14,1.5
2024-05-15,17.8
2024-05-16,10.6
2024-05-17,4.4
2024-05-18,29.1
2024-05-19,19.0
2024-05-20,11.6
2024-05-21,8.3
2024-05-22,23.4
2024-05-23,24.9
2024-05-24,2.2
2024-05-25,16.3
2024-05-26,2.0
2024-05-27,5.1
2024-05-28,28.0
2024-05-29,9.5
2024-05-30,8.1
2024-05-31,26.1
2024-06-01,27.0
2024-06-02,12.9
2024-06-03,11.9
2024-06-04,21.6
2024-06-05,10.7
2024-06-06,28.5
2024-06-07,21.4
2024-06-08,7.0
2024-06-09,25.1
2024-06-10,25.9
2024-06-11,13.1
2024-06-12,8.3
2024-06-13,14.5
2024-06-14,14.1
2024-06-15,1.7
2024-06-16,2.1
2024-06-17,8.6
2024-06-18,7.8
2024-06-19,26.7
2024-06-20,11.8
2024-06-21,20.7
2024-06-22,5.3
2024-06-23,26.6
2024-06-24,28.5
2024-06-25,23.7
2024-06-26,21.8
2024-06-27,11.5
2024-06-28,27.4
2024-06-29,22.1
2024-06-30,14.9
2024-07-01,21.1
2024-07-02,1.8
2024-07-03,0.3
2024-07-04,19.4
2024-07-05,19.9
2024-07-06,11.0
2024-07-07,27.4
2024-07-08,8.0
2024-07-09,12.5
2024-07-10,18.2
2024-07-11,1.1
2024-07-12,19.0
2024-07-13,25.3
2024-07-14,13.3
2024-07-15,18.2
2024-07-16,20.2
2024-07-17,11.7
2024-07-18,10.2
2024-07-19,9.0
2024-07-20,16.6
2024-07-21,3.9
2024-07-22,21.1
2024-07-23,29.7
2024-07-24,23.9
2024-07-25,1.5
2024-07-26,19.5
2024-07-27,28.8
2024-07-28,11.1
2024-07-29,0.3
2024-07-30,6.1
2024-07-31,21.2
2024-08-01,27.8
2024-08-02,17.2
2024-08-03,16.1
2024-08-04,18.6
2024-08-05,22.5
2024-08-06,2.0
2024-08-07,13.6
2024-08-08,17.3
2024-08-09,7.1
2024-08-10,4.4
2024-08-11,29.1
2024-08-12,18.8
2024-08-13,25.3
2024-08-14,23.4
2024-08-15,2.1
2024-08-16,9.9
2024-08-17,0.6
2024-08-18,26.1
2024-08-19,3.9
2024-08-20,17.8
2024-08-21,17.7
2024-08-22,22.0
2024-08-23,7.1
2024-08-24,17.5
2024-08-25,18.0
2024-08-26,18.0
2024-08-27,13.4
2024-08-28,29.6
2024-08-29,16.6
2024-08-30,16.1
2024-08-31,29.7
2024-09-01,28.1
2024-09-02,9.8
2024-09-03,22.4
2024-09-04,11.7
2024-09-05,20.6
2024-09-06,17.7
2024-09-07,3.9
2024-09-08,15.7
2024-09-09,13.0
2024-09-10,17.0
2024-09-11,17.2
2024-09-12,14.9
2024-09-13,14.4
2024-09-14,12.1
2024-09-15,6.1
2024-09-16,17.1
2024-09-17,12.5
2024-09-18,10.3
2024-09-19,25.1
2024-09-20,25.0
2024-09-21,7.6
2024-09-22,26.2
2024-09-23,25.4
2024-09-24,5.2
2024-09-25,0.3
2024-09-26,24.7
2024-09-27,18.1
2024-09-28,26.6
2024-09-29,10.9
2024-09-30,24.5
2024-10-01,21.4
2024-10-02,6.3
2024-10-03,25.0
2024-10-04,25.2
2024-10-05,10.4
2024-10-06,1.3
2024-10-07,0.1
2024-10-08,14.6
2024-10-09,12.3
2024-10-10,13.3
2024-10-11,18.8
2024-10-12,8.2
2024-10-13,7.3
2024-10-14,16.2
2024-10-15,15.6
2024-10-16,16.7
2024-10-17,5.0
2024-10-18,13.3
2024-10-19,13.1
2024-10-20,20.1
2024-10-21,1.4
2024-10-22,12.9
2024-10-23,12.4
2024-10-24,11.2
2024-10-25,21.7
2024-10-26,3.4
2024-10-27,29.3
2024-10-28,17.2
2024-10-29,6.1
2024-10-30,29.2
2024-10-31,25.5
2024-11-01,27.7
2024-11-02,4.8
2024-11-03,22.5
2024-11-04,26.0
2024-11-05,12.3
2024-11-06,1.4
2024-11-07,5.5
2024-11-08,5.3
2024-11-09,27.7
2024-11-10,12.2
2024-11-11,17.2
2024-11-12,27.5
2024-11-13,15.1
2024-11-14,25.3
2024-11-15,27.4
2024-11-16,12.2
2024-11-17,24.4
2024-11-18,4.8
2024-11-19,19.9
2024-11-20,8.4
2024-11-21,0.1
2024-11-22,25.9
2024-11-23,21.3
2024-11-24,20.8
2024-11-25,15.9
2024-11-26,25.0
2024-11-27,29.9
2024-11-28,24.9
2024-11-29,23.4
2024-11-30,21.2
2024-12-01,8.9
2024-12-02,3.6
2024-12-03,10.2
2024-12-04,16.8
2024-12-05,29.4
2024-12-06,3.0
2024-12-07,9.1
2024-12-08,11.0
2024-12-09,13.1
2024-12-10,18.2
2024-12-11,27.5
2024-12-12,10.2
2024-12-13,26.0
2024-12-14,7.5
2024-12-15,15.0
2024-12-16,15.1
2024-12-17,11.9
2024-12-18,9.0
2024-12-19,23.4
2024-12-20,3.5
2024-12-21,4.7
2024-12-22,4.8
2024-12-23,19.8
2024-12-24,15.5
2024-12-25,10.7
2024-12-26,6.3
2024-12-27,10.4
2024-12-28,22.4
2024-12-29,3.7
2024-12-30,25.4
2024-12-31,29.8
2025-01-01,21.8
2025-01-02,27.1
2025-01-03,5.9
2025-01-04,14.0
2025-01-05,17.0
2025-01-06,30.0
2025-01-07,28.4
2025-01-08,26.3
2025-01-09,5.3
2025-01-10,28.6
2025-01-11,12.2
2025-01-12,15.5
2025-01-13,12.2
2025-01-14,29.7
2025-01-15,23.7
2025-01-16,16.8
2025-01-17,5.1
2025-01-18,4.1
2025-01-19,13.0
2025-01-20,9.7
2025-01-21,6.3
2025-01-22,22.1
2025-01-23,27.3
2025-01-24,5.4
2025-01-25,24.3
2025-01-26,1.8
2025-01-27,18.7
2025-01-28,4.7
2025-01-29,3.8
2025-01-30,13.4
2025-01-31,21.6
2025-02-01,29.2
2025-02-02,12.0
2025-02-03,28.7
2025-02-04,26.4
2025-02-05,22.8
2025-02-06,6.1
2025-02-07,10.7
2025-02-08,26.8
2025-02-09,6.6
2025-02-10,7.3
2025-02-11,3.4
2025-02-12,17.4
2025-02-13,18.7
2025-02-14,24.5
2025-02-15,18.3
2025-02-16,6.2
2025-02-17,24.7
2025-02-18,12.9
2025-02-19,28.5
2025-02-20,5.6
2025-02-21,12.7
2025-02-22,25.0
2025-02-23,23.1
2025-02-24,10.5
2025-02-25,14.1
2025-02-26,11.5
2025-02-27,20.8
2025-02-28,25.7
2025-03-01,7.0
2025-03-02,18.4
2025-03-03,23.6
2025-03-04,25.7
2025-03-05,0.1
2025-03-06,16.5
2025-03-07,30.0
2025-03-08,25.1
2025-03-09,22.7
2025-03-10,7.8
2025-03-11,23.9
2025-03-12,8.7
2025-03-13,9.5
2025-03-14,24.6
2025-03-15,19.3
2025-03-16,18.2
2025-03-17,16.4
2025-03-18,9.4
2025-03-19,0.9
2025-03-20,15.1
2025-03-21,16.1
2025-03-22,27.7
2025-03-23,11.5
2025-03-24,1.3
2025-03-25,29.5
2025-03-26,15.1
2025-03-27,21.6
2025-03-28,29.3
2025-03-29,2.2
2025-03-30,13.9
2025-03-31,20.6
2025-04-01,26.3
2025-04-02,10.6
2025-04-03,4.2
2025-04-04,11.1
2025-04-05,21.8
2025-04-06,23.5
2025-04-07,2.3
2025-04-08,22.9
2025-04-09,26.2
2025-04-10,20.1
2025-04-11,21.9
2025-04-12,0.0
2025-04-13,18.5
2025-04-14,12.1
2025-04-15,7.6
2025-04-16,6.7
2025-04-17,13.4
2025-04-18,17.4
2025-04-19,5.2
2025-04-20,14.0
2025-04-21,3.1
2025-04-22,28.0
