date,temperature
2023-06-10,29.8
2023-06-11,37.9
2023-06-12,16.9
2023-06-13,20.9
2023-06-14,11.1
2023-06-15,26.8
2023-06-16,21.5
2023-06-17,36.5
2023-06-18,39.5
2023-06-19,30.3
2023-06-20,10.9
2023-06-21,19.3
2023-06-22,35.3
2023-06-23,26.0
2023-06-24,36.3
2023-06-25,22.5
2023-06-26,29.2
2023-06-27,32.8
2023-06-28,28.6
2023-06-29,30.3
2023-06-30,29.6
2023-07-01,28.9
2023-07-02,31.9
2023-07-03,38.7
2023-07-04,35.0
2023-07-05,17.5
2023-07-06,12.4
2023-07-07,20.9
2023-07-08,25.4
2023-07-09,32.7
2023-07-10,15.6
2023-07-11,10.6
2023-07-12,19.4
2023-07-13,26.0
2023-07-14,23.0
2023-07-15,10.9
2023-07-16,22.1
2023-07-17,30.2
2023-07-18,31.7
2023-07-19,33.1
2023-07-20,31.8
2023-07-21,15.2
2023-07-22,16.9
2023-07-23,24.5
2023-07-24,29.7
2023-07-25,14.5
2023-07-26,11.5
2023-07-27,36.4
2023-07-28,37.1
2023-07-29,25.1
2023-07-30,36.4
2023-07-31,22.7
2023-08-01,37.6
2023-08-02,36.0
2023-08-03,22.6
2023-08-04,31.5
2023-08-05,37.6
2023-08-06,20.1
2023-08-07,21.2
2023-08-08,12.1
2023-08-09,25.7
2023-08-10,39.0
2023-08-11,15.7
2023-08-12,25.3
2023-08-13,35.7
2023-08-14,23.0
2023-08-15,16.1
2023-08-16,35.8
2023-08-17,23.2
2023-08-18,35.4
2023-08-19,22.6
2023-08-20,16.6
2023-08-21,22.0
2023-08-22,11.9
2023-08-23,33.1
2023-08-24,32.2
2023-08-25,39.8
2023-08-26,16.7
2023-08-27,25.2
2023-08-28,19.1
2023-08-29,23.6
2023-08-30,20.1
2023-08-31,24.4
2023-09-01,22.5
2023-09-02,17.1
2023-09-03,26.5
2023-09-04,19.9
2023-09-05,23.8
2023-09-06,22.7
2023-09-07,22.5
2023-09-08,11.5
2023-09-09,17.8
2023-09-10,39.6
2023-09-11,26.8
2023-09-12,11.9
2023-09-13,28.9
2023-09-14,31.6
2023-09-15,13.7
2023-09-16,30.6
2023-09-17,38.0
2023-09-18,23.6
2023-09-19,38.5
2023-09-20,14.2
2023-09-21,33.3
2023-09-22,38.6
2023-09-23,35.9
2023-09-24,17.4
2023-09-25,20.3
2023-09-26,15.7
2023-09-27,24.2
2023-09-28,39.6
2023-09-29,31.3
2023-09-30,31.4
2023-10-01,11.0
2023-10-02,28.7
2023-10-03,22.6
2023-10-04,25.3
2023-10-05,18.2
2023-10-06,20.3
2023-10-07,28.2
2023-10-08,10.0
2023-10-09,19.8
2023-10-10,22.8
2023-10-11,25.0
2023-10-12,38.6
2023-10-13,32.6
2023-10-14,15.5
2023-10-15,22.5
2023-10-16,23.1
2023-10-17,17.7
2023-10-18,36.2
2023-10-19,36.5
2023-10-20,22.0
2023-10-21,37.0
2023-10-22,29.7
2023-10-23,31.4
2023-10-24,16.7
2023-10-25,12.8
2023-10-26,36.4
2023-10-27,16.3
2023-10-28,28.1
2023-10-29,15.7
2023-10-30,25.3
2023-10-31,14.2
2023-11-01,12.4
2023-11-02,14.9
2023-11-03,24.8
2023-11-04,17.5
2023-11-05,14.7
2023-11-06,34.7
2023-11-07,36.6
2023-11-08,25.4
2023-11-09,40.0
2023-11-10,25.9
2023-11-11,23.0
2023-11-12,32.6
2023-11-13,11.4
2023-11-14,38.6
2023-11-15,12.3
2023-11-16,13.8
2023-11-17,33.3
2023-11-18,12.3
2023-11-19,22.7
2023-11-20,30.2
2023-11-21,15.7
2023-11-22,38.6
2023-11-23,38.6
2023-11-24,36.2
2023-11-25,31.5
2023-11-26,19.1
2023-11-27,17.6
2023-11-28,29.7
2023-11-29,28.3
2023-11-30,29.7
2023-12-01,14.2
2023-12-02,10.3
2023-12-03,33.6
2023-12-04,36.8
2023-12-05,37.5
2023-12-06,37.9
2023-12-07,25.6
2023-12-08,28.3
2023-12-09,18.9
2023-12-10,39.2
