date,temperature
2023-06-10,23.5
2023-06-11,17.0
2023-06-12,25.0
2023-06-13,0.2
2023-06-14,0.3
2023-06-15,25.3
2023-06-16,7.6
2023-06-17,25.1
2023-06-18,10.3
2023-06-19,5.0
2023-06-20,9.3
2023-06-21,15.6
2023-06-22,8.1
2023-06-23,12.3
2023-06-24,29.1
2023-06-25,10.8
2023-06-26,14.0
2023-06-27,2.4
2023-06-28,5.9
2023-06-29,29.5
2023-06-30,14.5
2023-07-01,23.8
2023-07-02,18.8
2023-07-03,16.6
2023-07-04,24.1
2023-07-05,13.6
2023-07-06,1.2
2023-07-07,8.2
2023-07-08,9.0
2023-07-09,18.0
2023-07-10,28.4
2023-07-11,16.2
2023-07-12,17.6
2023-07-13,8.2
2023-07-14,29.9
2023-07-15,16.4
2023-07-16,14.9
2023-07-17,15.4
2023-07-18,6.6
2023-07-19,28.8
2023-07-20,29.0
2023-07-21,15.3
2023-07-22,8.5
2023-07-23,17.7
2023-07-24,13.9
2023-07-25,5.6
2023-07-26,14.1
2023-07-27,1.4
2023-07-28,23.8
2023-07-29,4.5
2023-07-30,3.2
2023-07-31,23.9
2023-08-01,18.5
2023-08-02,1.1
2023-08-03,16.3
2023-08-04,23.2
2023-08-05,19.3
2023-08-06,2.7
2023-08-07,3.8
2023-08-08,18.6
2023-08-09,16.1
2023-08-10,5.4
2023-08-11,6.9
2023-08-12,14.9
2023-08-13,17.4
2023-08-14,27.3
2023-08-15,22.0
2023-08-16,7.0
2023-08-17,21.5
2023-08-18,8.4
2023-08-19,29.5
2023-08-20,27.2
2023-08-21,4.4
2023-08-22,17.0
2023-08-23,23.7
2023-08-24,10.1
2023-08-25,18.3
2023-08-26,23.8
2023-08-27,12.5
2023-08-28,15.1
2023-08-29,2.3
2023-08-30,11.7
2023-08-31,8.9
2023-09-01,21.9
2023-09-02,3.5
2023-09-03,16.5
2023-09-04,9.2
2023-09-05,6.2
2023-09-06,28.6
2023-09-07,16.1
2023-09-08,26.6
2023-09-09,1.7
2023-09-10,16.1
2023-09-11,7.4
2023-09-12,8.5
2023-09-13,23.8
2023-09-14,4.5
2023-09-15,0.0
2023-09-16,2.5
2023-09-17,11.1
2023-09-18,12.6
2023-09-19,9.4
2023-09-20,26.0
2023-09-21,29.6
2023-09-22,8.3
2023-09-23,25.0
2023-09-24,10.8
2023-09-25,2.6
2023-09-26,14.4
2023-09-27,24.5
2023-09-28,5.6
2023-09-29,28.4
2023-09-30,23.4
2023-10-01,25.2
2023-10-02,7.5
2023-10-03,12.9
2023-10-04,25.2
2023-10-05,3.8
2023-10-06,17.7
2023-10-07,12.1
2023-10-08,3.1
2023-10-09,4.1
2023-10-10,24.0
2023-10-11,26.3
2023-10-12,10.8
2023-10-13,11.9
2023-10-14,9.5
2023-10-15,12.0
2023-10-16,16.8
2023-10-17,13.8
2023-10-18,13.6
2023-10-19,21.5
2023-10-20,25.7
2023-10-21,4.7
2023-10-22,16.6
2023-10-23,21.7
2023-10-24,11.7
2023-10-25,11.4
2023-10-26,26.6
2023-10-27,1.8
2023-10-28,20.3
2023-10-29,4.3
2023-10-30,7.0
2023-10-31,1.7
2023-11-01,14.6
2023-11-02,26.6
2023-11-03,14.6
2023-11-04,14.0
2023-11-05,9.7
2023-11-06,5.4
2023-11-07,16.1
2023-11-08,8.4
2023-11-09,19.3
2023-11-10,15.0
2023-11-11,11.6
2023-11-12,3.9
2023-11-13,5.2
2023-11-14,18.2
2023-11-15,29.6
2023-11-16,29.1
2023-11-17,15.3
2023-11-18,7.3
2023-11-19,0.1
2023-11-20,13.2
2023-11-21,10.1
2023-11-22,5.1
2023-11-23,25.3
2023-11-24,24.4
2023-11-25,11.0
2023-11-26,18.1
2023-11-27,11.4
2023-11-28,9.0
2023-11-29,20.6
2023-11-30,6.5
2023-12-01,13.0
2023-12-02,2.6
2023-12-03,23.4
2023-12-04,14.9
2023-12-05,16.1
2023-12-06,9.8
2023-12-07,23.5
2023-12-08,21.1
2023-12-09,20.7
2023-12-10,14.2
2023-12-11,12.6
2023-12-12,12.0
2023-12-13,2.3
2023-12-14,5.6
2023-12-15,24.7
2023-12-16,3.3
2023-12-17,14.4
2023-12-18,22.9
2023-12-19,8.5
2023-12-20,15.9
2023-12-21,11.6
2023-12-22,18.3
2023-12-23,27.3
2023-12-24,18.3
2023-12-25,20.8
2023-12-26,8.9
2023-12-27,3.0
2023-12-28,29.1
2023-12-29,1.3
2023-12-30,15.1
2023-12-31,27.9
2024-01-01,27.3
2024-01-02,16.0
2024-01-03,19.0
2024-01-04,7.3
2024-01-05,29.6
2024-01-06,7.5
2024-01-07,21.8
2024-01-08,16.5
2024-01-09,20.6
2024-01-10,7.5
2024-01-11,21.1
2024-01-12,4.8
2024-01-13,26.7
2024-01-14,18.1
2024-01-15,3.0
2024-01-16,15.7
2024-01-17,19.0
2024-01-18,28.6
2024-01-19,14.3
2024-01-20,17.4
2024-01-21,18.5
2024-01-22,15.6
2024-01-23,12.1
2024-01-24,6.3
2024-01-25,20.3
2024-01-26,1.3
2024-01-27,17.6
2024-01-28,22.6
2024-01-29,7.8
2024-01-30,3.4
2024-01-31,7.3
2024-02-01,28.5
2024-02-02,3.9
2024-02-03,29.9
2024-02-04,24.9
2024-02-05,25.6
2024-02-06,24.1
2024-02-07,24.1
2024-02-08,7.4
2024-02-09,2.4
2024-02-10,14.1
2024-02-11,15.3
2024-02-12,19.3
2024-02-13,8.7
2024-02-14,13.5
2024-02-15,29.5
2024-02-16,24.5
2024-02-17,7.8
2024-02-18,21.0
2024-02-19,2.4
2024-02-20,18.4
2024-02-21,23.3
2024-02-22,13.2
2024-02-23,6.9
2024-02-24,16.0
2024-02-25,10.2
2024-02-26,10.1
2024-02-27,7.8
2024-02-28,4.2
2024-02-29,9.6
2024-03-01,12.9
2024-03-02,8.2
2024-03-03,24.1
2024-03-04,0.4
2024-03-05,18.0
2024-03-06,29.6
2024-03-07,21.2
2024-03-08,6.9
2024-03-09,29.0
2024-03-10,12.4
2024-03-11,18.5
2024-03-12,12.8
2024-03-13,10.1
2024-03-14,14.8
2024-03-15,24.0
2024-03-16,0.0
2024-03-17,1.2
2024-03-18,15.7
2024-03-19,1.3
2024-03-20,0.7
2024-03-21,10.5
2024-03-22,6.7
2024-03-23,26.1
2024-03-24,30.0
2024-03-25,7.8
2024-03-26,14.2
2024-03-27,29.9
2024-03-28,29.7
2024-03-29,26.2
2024-03-30,20.1
2024-03-31,21.2
2024-04-01,15.2
2024-04-02,4.8
2024-04-03,25.5
2024-04-04,21.5
2024-04-05,27.5
2024-04-06,5.6
2024-04-07,1.6
2024-04-08,26.5
2024-04-09,18.0
2024-04-10,20.3
2024-04-11,29.4
2024-04-12,23.4
2024-04-13,25.0
2024-04-14,8.0
2024-04-15,2.4
2024-04-16,20.6
2024-04-17,5.5
2024-04-18,12.6
2024-04-19,12.8
2024-04-20,3.5
2024-04-21,11.4
2024-04-22,5.5
2024-04-23,13.1
2024-04-24,29.3
2024-04-25,3.6
2024-04-26,17.3
2024-04-27,27.4
2024-04-28,27.3
2024-04-29,11.4
2024-04-30,6.6
2024-05-01,26.3
2024-05-02,6.6
2024-05-03,4.6
2024-05-04,24.8
2024-05-05,19.9
2024-05-06,20.0
2024-05-07,13.4
2024-05-08,22.1
2024-05-09,3.3
2024-05-10,16.5
2024-05-11,6.5
2024-05-12,7.3
2024-05-13,18.2
2024-05-14,2.6
2024-05-15,3.7
2024-05-16,9.0
2024-05-17,26.5
2024-05-18,14.1
2024-05-19,10.8
2024-05-20,4.8
2024-05-21,13.3
2024-05-22,7.9
2024-05-23,20.7
2024-05-24,18.7
2024-05-25,14.1
2024-05-26,22.0
2024-05-27,22.5
2024-05-28,3.1
2024-05-29,13.2
2024-05-30,21.5
