date,temperature
2023-06-10,-19.8
2023-06-11,-16.3
2023-06-12,5.7
2023-06-13,13.8
2023-06-14,13.7
2023-06-15,2.8
2023-06-16,-17.2
2023-06-17,-3.7
2023-06-18,17.1
2023-06-19,-9.0
2023-06-20,-8.3
2023-06-21,-14.9
2023-06-22,17.2
2023-06-23,-2.9
2023-06-24,9.3
2023-06-25,-5.2
2023-06-26,-19.5
2023-06-27,-15.9
2023-06-28,2.6
2023-06-29,-13.8
2023-06-30,-18.5
2023-07-01,-10.0
2023-07-02,11.3
2023-07-03,-9.6
2023-07-04,10.3
2023-07-05,-2.8
2023-07-06,9.2
2023-07-07,6.6
2023-07-08,-6.3
2023-07-09,-6.4
2023-07-10,4.6
2023-07-11,-10.3
2023-07-12,3.6
2023-07-13,17.0
2023-07-14,2.5
2023-07-15,1.6
2023-07-16,17.1
2023-07-17,-8.3
2023-07-18,-11.3
2023-07-19,5.3
2023-07-20,-9.5
2023-07-21,-16.1
2023-07-22,-4.9
2023-07-23,-7.6
2023-07-24,11.1
2023-07-25,-10.1
2023-07-26,-4.2
2023-07-27,19.7
2023-07-28,11.1
2023-07-29,-8.3
2023-07-30,-14.6
2023-07-31,-2.6
2023-08-01,19.2
2023-08-02,-5.8
2023-08-03,2.8
2023-08-04,10.0
2023-08-05,-5.1
2023-08-06,-10.0
2023-08-07,-3.7
2023-08-08,-3.3
2023-08-09,-15.5
2023-08-10,10.4
2023-08-11,-2.5
2023-08-12,-12.3
2023-08-13,-16.6
2023-08-14,-1.1
2023-08-15,-15.7
2023-08-16,-6.5
2023-08-17,-16.4
2023-08-18,7.9
2023-08-19,5.7
2023-08-20,-3.3
2023-08-21,3.7
2023-08-22,5.8
2023-08-23,18.3
2023-08-24,-5.9
2023-08-25,-9.5
2023-08-26,18.9
2023-08-27,-8.5
2023-08-28,15.6
2023-08-29,-2.1
2023-08-30,-15.4
2023-08-31,-14.8
2023-09-01,-8.6
2023-09-02,-5.3
2023-09-03,-6.3
2023-09-04,-3.5
2023-09-05,12.7
2023-09-06,18.7
2023-09-07,0.9
2023-09-08,-15.8
2023-09-09,-11.7
2023-09-10,6.5
2023-09-11,4.2
2023-09-12,3.2
2023-09-13,-12.2
2023-09-14,-1.6
2023-09-15,12.6
2023-09-16,-0.9
2023-09-17,7.6
2023-09-18,9.5
2023-09-19,5.1
2023-09-20,1.7
2023-09-21,-7.2
2023-09-22,12.2
2023-09-23,13.5
2023-09-24,8.2
2023-09-25,17.0
2023-09-26,17.9
2023-09-27,-10.4
2023-09-28,8.8
2023-09-29,-0.3
2023-09-30,-19.5
2023-10-01,-0.3
2023-10-02,-3.2
2023-10-03,8.9
2023-10-04,-16.8
