date,temperature
2023-06-10,10.8
2023-06-11,-1.6
2023-06-12,10.5
2023-06-13,4.7
2023-06-14,5.9
2023-06-15,18.3
2023-06-16,0.6
2023-06-17,3.7
2023-06-18,0.0
2023-06-19,28.1
2023-06-20,12.0
2023-06-21,20.5
2023-06-22,23.0
2023-06-23,23.8
2023-06-24,-3.6
2023-06-25,3.7
2023-06-26,29.3
2023-06-27,1.5
2023-06-28,-8.6
2023-06-29,-5.1
2023-06-30,-8.8
2023-07-01,0.7
2023-07-02,8.6
2023-07-03,25.0
2023-07-04,-8.7
2023-07-05,-8.0
2023-07-06,-6.5
2023-07-07,24.7
2023-07-08,-6.4
2023-07-09,25.6
2023-07-10,-5.5
2023-07-11,27.4
2023-07-12,8.4
2023-07-13,11.2
2023-07-14,-6.5
2023-07-15,14.4
2023-07-16,27.2
2023-07-17,1.3
2023-07-18,8.5
2023-07-19,-7.5
2023-07-20,15.0
2023-07-21,-2.1
2023-07-22,-5.8
2023-07-23,3.6
2023-07-24,-7.6
2023-07-25,-8.3
2023-07-26,4.9
2023-07-27,4.6
2023-07-28,-6.4
2023-07-29,-9.3
2023-07-30,23.0
2023-07-31,8.0
2023-08-01,18.7
2023-08-02,0.8
2023-08-03,-1.7
2023-08-04,16.9
2023-08-05,28.9
2023-08-06,18.7
2023-08-07,15.4
2023-08-08,21.5
2023-08-09,13.4
2023-08-10,29.7
2023-08-11,-5.6
2023-08-12,20.3
2023-08-13,17.2
2023-08-14,1.8
2023-08-15,4.4
2023-08-16,14.5
2023-08-17,-6.0
2023-08-18,18.9
2023-08-19,18.7
2023-08-20,1.1
2023-08-21,-6.8
2023-08-22,-9.9
2023-08-23,-8.7
2023-08-24,13.8
2023-08-25,6.8
2023-08-26,1.9
2023-08-27,22.5
2023-08-28,20.0
2023-08-29,16.8
2023-08-30,5.7
2023-08-31,0.6
2023-09-01,-4.0
2023-09-02,0.3
2023-09-03,-0.9
2023-09-04,8.6
2023-09-05,1.6
2023-09-06,27.0
2023-09-07,-8.5
2023-09-08,11.6
2023-09-09,-0.0
2023-09-10,21.2
2023-09-11,14.2
2023-09-12,9.7
2023-09-13,6.4
2023-09-14,26.7
2023-09-15,23.7
2023-09-16,9.1
2023-09-17,24.5
2023-09-18,26.4
2023-09-19,-2.7
2023-09-20,9.4
2023-09-21,19.7
2023-09-22,15.4
2023-09-23,11.9
2023-09-24,11.4
2023-09-25,21.7
2023-09-26,3.4
2023-09-27,12.2
2023-09-28,0.9
2023-09-29,19.4
2023-09-30,21.6
2023-10-01,7.9
2023-10-02,5.4
2023-10-03,-6.1
2023-10-04,-3.4
2023-10-05,2.9
2023-10-06,10.1
2023-10-07,-2.5
2023-10-08,-3.1
2023-10-09,13.5
2023-10-10,19.1
2023-10-11,12.9
2023-10-12,-0.9
2023-10-13,-4.3
2023-10-14,-6.4
2023-10-15,13.5
2023-10-16,4.5
2023-10-17,-7.2
2023-10-18,0.4
2023-10-19,19.5
2023-10-20,-3.6
2023-10-21,-9.2
