date,temperature
2023-06-10,16.3
2023-06-11,23.6
2023-06-12,10.7
2023-06-13,23.4
2023-06-14,19.5
2023-06-15,24.1
2023-06-16,16.0
2023-06-17,25.4
2023-06-18,12.3
2023-06-19,26.4
2023-06-20,10.6
2023-06-21,15.9
2023-06-22,27.6
2023-06-23,28.1
2023-06-24,24.0
2023-06-25,23.1
2023-06-26,20.8
2023-06-27,27.3
2023-06-28,25.0
2023-06-29,25.8
2023-06-30,15.7
2023-07-01,20.3
2023-07-02,24.2
2023-07-03,22.2
2023-07-04,21.3
2023-07-05,15.5
2023-07-06,26.2
2023-07-07,25.7
2023-07-08,16.7
2023-07-09,18.1
2023-07-10,19.1
2023-07-11,15.5
2023-07-12,24.8
2023-07-13,29.5
2023-07-14,24.5
2023-07-15,24.2
2023-07-16,23.8
2023-07-17,22.4
2023-07-18,16.1
2023-07-19,18.4
2023-07-20,18.5
2023-07-21,14.3
2023-07-22,22.2
2023-07-23,17.3
2023-07-24,28.0
2023-07-25,20.9
2023-07-26,26.3
2023-07-27,20.4
2023-07-28,14.4
2023-07-29,26.4
2023-07-30,11.6
2023-07-31,28.0
2023-08-01,24.4
2023-08-02,13.5
2023-08-03,19.0
2023-08-04,23.1
2023-08-05,24.4
2023-08-06,22.0
2023-08-07,24.5
2023-08-08,15.4
2023-08-09,19.8
2023-08-10,10.1
2023-08-11,18.7
2023-08-12,12.6
2023-08-13,16.8
2023-08-14,18.8
2023-08-15,23.9
2023-08-16,26.6
2023-08-17,29.4
2023-08-18,11.2
2023-08-19,29.1
2023-08-20,21.0
2023-08-21,24.4
2023-08-22,27.8
2023-08-23,21.7
2023-08-24,12.6
2023-08-25,19.0
2023-08-26,16.2
2023-08-27,29.6
2023-08-28,17.3
2023-08-29,16.6
2023-08-30,25.5
2023-08-31,10.8
2023-09-01,14.9
2023-09-02,18.2
2023-09-03,17.0
2023-09-04,19.1
2023-09-05,20.8
2023-09-06,28.4
2023-09-07,19.6
2023-09-08,18.2
2023-09-09,29.1
2023-09-10,17.4
2023-09-11,24.9
2023-09-12,22.5
2023-09-13,27.3
2023-09-14,26.3
2023-09-15,17.5
2023-09-16,23.1
2023-09-17,19.0
2023-09-18,14.7
2023-09-19,25.5
2023-09-20,15.3
2023-09-21,14.4
2023-09-22,10.8
2023-09-23,22.1
2023-09-24,17.4
2023-09-25,22.2
2023-09-26,19.8
2023-09-27,23.0
2023-09-28,29.5
2023-09-29,28.9
2023-09-30,18.0
2023-10-01,10.8
2023-10-02,17.0
2023-10-03,19.3
2023-10-04,20.2
2023-10-05,13.7
2023-10-06,22.3
2023-10-07,13.7
2023-10-08,15.4
2023-10-09,22.1
2023-10-10,27.7
2023-10-11,24.3
2023-10-12,22.8
2023-10-13,24.5
2023-10-14,15.1
2023-10-15,18.7
2023-10-16,26.3
2023-10-17,16.5
2023-10-18,27.0
2023-10-19,13.9
2023-10-20,11.5
2023-10-21,14.9
2023-10-22,15.4
2023-10-23,27.2
2023-10-24,13.7
2023-10-25,21.0
2023-10-26,16.2
2023-10-27,11.8
2023-10-28,15.7
2023-10-29,15.6
2023-10-30,11.5
2023-10-31,27.3
2023-11-01,11.6
2023-11-02,24.0
2023-11-03,23.3
2023-11-04,12.3
2023-11-05,24.0
2023-11-06,23.3
2023-11-07,24.6
2023-11-08,25.0
2023-11-09,23.3
2023-11-10,18.7
2023-11-11,16.9
2023-11-12,15.8
2023-11-13,18.1
2023-11-14,23.3
2023-11-15,14.9
2023-11-16,18.5
2023-11-17,20.8
2023-11-18,20.6
2023-11-19,10.3
2023-11-20,24.1
2023-11-21,26.4
2023-11-22,26.2
2023-11-23,11.8
2023-11-24,20.7
2023-11-25,24.7
2023-11-26,23.2
2023-11-27,17.1
2023-11-28,10.9
2023-11-29,15.2
2023-11-30,23.0
2023-12-01,18.8
2023-12-02,14.8
2023-12-03,22.6
2023-12-04,10.4
2023-12-05,19.2
2023-12-06,11.8
2023-12-07,11.0
2023-12-08,10.1
2023-12-09,29.9
2023-12-10,29.6
2023-12-11,20.0
2023-12-12,23.1
2023-12-13,18.6
2023-12-14,17.2
2023-12-15,17.2
2023-12-16,24.5
2023-12-17,22.4
2023-12-18,13.5
2023-12-19,12.5
2023-12-20,21.7
2023-12-21,21.9
2023-12-22,24.2
2023-12-23,12.6
2023-12-24,13.2
2023-12-25,20.5
2023-12-26,17.7
2023-12-27,13.2
2023-12-28,11.4
2023-12-29,17.6
2023-12-30,10.2
2023-12-31,10.8
2024-01-01,27.5
2024-01-02,19.1
2024-01-03,17.7
2024-01-04,11.9
2024-01-05,17.9
2024-01-06,25.0
2024-01-07,25.0
2024-01-08,25.6
2024-01-09,11.1
2024-01-10,12.7
2024-01-11,18.6
2024-01-12,25.9
2024-01-13,24.8
2024-01-14,12.3
2024-01-15,18.8
2024-01-16,24.2
2024-01-17,29.2
2024-01-18,26.1
2024-01-19,26.6
2024-01-20,17.8
2024-01-21,26.2
2024-01-22,12.6
2024-01-23,29.7
2024-01-24,14.7
2024-01-25,21.0
2024-01-26,24.0
2024-01-27,16.1
2024-01-28,27.5
2024-01-29,13.6
2024-01-30,13.3
2024-01-31,10.9
2024-02-01,12.9
2024-02-02,25.3
2024-02-03,10.9
2024-02-04,14.2
2024-02-05,20.5
2024-02-06,11.8
2024-02-07,15.2
2024-02-08,19.5
2024-02-09,13.2
2024-02-10,23.4
2024-02-11,20.6
2024-02-12,14.1
2024-02-13,15.3
2024-02-14,25.2
2024-02-15,28.3
2024-02-16,27.4
2024-02-17,25.4
2024-02-18,27.8
2024-02-19,16.8
2024-02-20,10.1
2024-02-21,28.5
2024-02-22,22.1
2024-02-23,29.7
2024-02-24,25.2
2024-02-25,29.7
2024-02-26,13.2
2024-02-27,16.6
2024-02-28,11.0
2024-02-29,17.2
2024-03-01,17.2
2024-03-02,10.0
2024-03-03,15.7
2024-03-04,15.4
2024-03-05,26.7
2024-03-06,27.1
2024-03-07,19.8
2024-03-08,26.3
2024-03-09,16.8
2024-03-10,12.8
2024-03-11,11.2
2024-03-12,28.5
2024-03-13,27.1
2024-03-14,28.1
2024-03-15,15.4
2024-03-16,28.3
2024-03-17,13.0
2024-03-18,15.8
2024-03-19,28.5
2024-03-20,25.5
2024-03-21,18.3
2024-03-22,21.8
2024-03-23,12.5
2024-03-24,15.2
2024-03-25,23.6
2024-03-26,24.4
2024-03-27,26.7
2024-03-28,24.8
2024-03-29,14.7
2024-03-30,13.4
2024-03-31,12.2
2024-04-01,26.6
2024-04-02,29.0
2024-04-03,21.3
2024-04-04,22.1
2024-04-05,13.1
2024-04-06,13.3
2024-04-07,25.2
2024-04-08,24.7
2024-04-09,15.3
2024-04-10,17.9
2024-04-11,25.1
2024-04-12,16.3
2024-04-13,29.5
2024-04-14,12.9
2024-04-15,14.8
2024-04-16,21.0
2024-04-17,26.2
2024-04-18,21.7
2024-04-19,29.3
2024-04-20,12.8
2024-04-21,10.7
2024-04-22,24.8
2024-04-23,18.1
2024-04-24,11.3
2024-04-25,19.1
2024-04-26,29.5
2024-04-27,29.7
2024-04-28,24.6
2024-04-29,13.0
2024-04-30,20.8
2024-05-01,23.4
2024-05-02,25.9
2024-05-03,21.5
2024-05-04,27.4
2024-05-05,12.4
2024-05-06,22.2
2024-05-07,28.1
2024-05-08,19.0
2024-05-09,18.3
2024-05-10,12.0
2024-05-11,27.2
2024-05-12,29.2
2024-05-13,28.6
2024-05-14,21.2
2024-05-15,27.3
2024-05-16,19.7
2024-05-17,28.9
2024-05-18,29.8
2024-05-19,11.5
2024-05-20,14.6
2024-05-21,28.9
2024-05-22,27.5
2024-05-23,18.1
2024-05-24,14.8
2024-05-25,14.1
2024-05-26,23.6
2024-05-27,21.8
2024-05-28,15.2
2024-05-29,19.7
2024-05-30,28.2
2024-05-31,22.4
2024-06-01,17.6
2024-06-02,10.6
2024-06-03,21.4
2024-06-04,14.6
2024-06-05,29.1
2024-06-06,15.9
2024-06-07,16.3
2024-06-08,19.9
2024-06-09,22.3
2024-06-10,14.4
2024-06-11,15.2
2024-06-12,26.0
2024-06-13,24.7
2024-06-14,25.1
2024-06-15,10.1
2024-06-16,12.3
2024-06-17,22.6
2024-06-18,10.2
