date,temperature
2023-06-10,-0.8
2023-06-11,8.0
2023-06-12,1.7
2023-06-13,27.2
2023-06-14,28.3
2023-06-15,-0.8
2023-06-16,9.1
2023-06-17,21.9
2023-06-18,9.1
2023-06-19,24.2
2023-06-20,24.4
2023-06-21,6.3
2023-06-22,-2.6
2023-06-23,27.3
2023-06-24,10.5
2023-06-25,12.0
2023-06-26,28.6
2023-06-27,14.3
2023-06-28,27.4
2023-06-29,13.5
2023-06-30,24.1
2023-07-01,23.1
2023-07-02,8.6
2023-07-03,1.2
2023-07-04,3.1
2023-07-05,12.6
2023-07-06,17.5
2023-07-07,14.8
2023-07-08,7.1
2023-07-09,10.2
2023-07-10,26.2
2023-07-11,19.8
2023-07-12,22.2
2023-07-13,18.3
2023-07-14,18.9
2023-07-15,13.8
2023-07-16,0.6
2023-07-17,13.5
2023-07-18,4.2
2023-07-19,20.3
2023-07-20,2.2
2023-07-21,21.5
2023-07-22,-1.7
2023-07-23,5.8
2023-07-24,24.2
2023-07-25,25.2
2023-07-26,18.8
2023-07-27,20.8
2023-07-28,0.6
2023-07-29,18.5
2023-07-30,-3.4
2023-07-31,15.5
2023-08-01,20.2
2023-08-02,12.1
2023-08-03,-3.8
2023-08-04,29.2
2023-08-05,3.7
2023-08-06,2.7
2023-08-07,8.4
2023-08-08,-4.8
2023-08-09,7.8
2023-08-10,5.6
2023-08-11,8.3
2023-08-12,13.5
2023-08-13,21.4
2023-08-14,17.2
2023-08-15,20.8
2023-08-16,4.6
2023-08-17,7.7
2023-08-18,13.6
2023-08-19,21.1
2023-08-20,1.5
2023-08-21,12.3
2023-08-22,13.5
2023-08-23,1.8
2023-08-24,7.7
2023-08-25,19.9
2023-08-26,11.9
2023-08-27,24.5
2023-08-28,-2.2
2023-08-29,2.4
2023-08-30,29.6
2023-08-31,-3.0
2023-09-01,0.8
2023-09-02,25.2
2023-09-03,19.1
2023-09-04,19.5
2023-09-05,0.9
2023-09-06,11.1
2023-09-07,2.5
2023-09-08,23.4
2023-09-09,1.4
2023-09-10,-3.1
2023-09-11,-4.8
2023-09-12,23.1
2023-09-13,12.3
2023-09-14,22.4
2023-09-15,18.6
2023-09-16,1.2
2023-09-17,15.0
2023-09-18,18.2
2023-09-19,-4.7
2023-09-20,-0.9
2023-09-21,22.4
2023-09-22,29.4
2023-09-23,4.2
2023-09-24,26.9
2023-09-25,-2.4
2023-09-26,19.2
2023-09-27,25.8
2023-09-28,15.5
2023-09-29,29.3
2023-09-30,-0.3
2023-10-01,18.2
2023-10-02,27.9
2023-10-03,23.7
2023-10-04,16.7
2023-10-05,3.5
2023-10-06,19.0
2023-10-07,3.2
2023-10-08,29.4
2023-10-09,-3.8
2023-10-10,25.3
2023-10-11,25.9
2023-10-12,-2.0
2023-10-13,5.8
2023-10-14,28.4
2023-10-15,11.5
2023-10-16,25.2
2023-10-17,-0.9
2023-10-18,13.9
2023-10-19,14.9
2023-10-20,29.7
2023-10-21,11.3
2023-10-22,-1.1
2023-10-23,15.7
2023-10-24,5.6
2023-10-25,3.5
2023-10-26,20.6
2023-10-27,11.1
2023-10-28,21.3
2023-10-29,26.2
2023-10-30,23.5
2023-10-31,25.7
2023-11-01,-2.2
2023-11-02,8.2
2023-11-03,16.0
2023-11-04,18.8
2023-11-05,-2.3
