date,temperature
2023-06-10,25.9
2023-06-11,18.8
2023-06-12,31.7
2023-06-13,22.3
2023-06-14,24.1
2023-06-15,31.7
2023-06-16,17.3
2023-06-17,22.3
2023-06-18,21.5
2023-06-19,29.0
2023-06-20,29.1
2023-06-21,18.6
2023-06-22,28.8
2023-06-23,15.7
2023-06-24,22.4
2023-06-25,18.8
2023-06-26,27.0
2023-06-27,20.8
2023-06-28,15.2
2023-06-29,31.5
2023-06-30,19.4
2023-07-01,28.7
2023-07-02,26.1
2023-07-03,23.9
2023-07-04,24.9
2023-07-05,22.2
2023-07-06,19.9
2023-07-07,28.6
2023-07-08,25.9
2023-07-09,17.8
2023-07-10,27.5
2023-07-11,21.6
2023-07-12,33.9
2023-07-13,30.1
2023-07-14,21.3
2023-07-15,22.0
2023-07-16,17.7
2023-07-17,19.4
2023-07-18,27.0
2023-07-19,33.9
2023-07-20,23.7
2023-07-21,23.7
2023-07-22,31.1
2023-07-23,15.6
2023-07-24,34.6
2023-07-25,32.7
2023-07-26,28.9
2023-07-27,15.3
2023-07-28,34.7
2023-07-29,26.5
2023-07-30,34.5
2023-07-31,28.6
2023-08-01,28.2
2023-08-02,28.9
2023-08-03,30.5
2023-08-04,18.7
2023-08-05,27.3
2023-08-06,24.1
2023-08-07,31.5
2023-08-08,17.1
2023-08-09,17.9
2023-08-10,28.6
2023-08-11,28.7
2023-08-12,34.4
2023-08-13,22.7
2023-08-14,29.2
2023-08-15,26.1
2023-08-16,16.5
2023-08-17,20.2
2023-08-18,19.9
2023-08-19,31.6
2023-08-20,19.0
2023-08-21,32.8
2023-08-22,32.9
2023-08-23,34.2
2023-08-24,22.8
2023-08-25,27.0
2023-08-26,16.7
2023-08-27,32.2
2023-08-28,25.7
2023-08-29,28.5
2023-08-30,27.1
2023-08-31,33.4
2023-09-01,18.5
2023-09-02,16.4
2023-09-03,24.7
2023-09-04,19.0
2023-09-05,21.4
2023-09-06,34.0
2023-09-07,26.1
2023-09-08,30.9
2023-09-09,32.3
2023-09-10,18.9
2023-09-11,17.9
2023-09-12,30.3
2023-09-13,34.1
2023-09-14,24.6
2023-09-15,27.6
2023-09-16,20.9
2023-09-17,16.0
2023-09-18,28.2
2023-09-19,19.0
2023-09-20,31.9
2023-09-21,16.4
2023-09-22,26.4
2023-09-23,15.2
2023-09-24,30.5
2023-09-25,15.3
