date,temperature
2023-06-10,25.9
2023-06-11,25.2
2023-06-12,30.3
2023-06-13,33.9
2023-06-14,29.1
2023-06-15,15.1
2023-06-16,24.0
2023-06-17,31.5
2023-06-18,15.3
2023-06-19,30.9
2023-06-20,34.1
2023-06-21,21.4
2023-06-22,23.2
2023-06-23,29.9
2023-06-24,17.2
2023-06-25,32.0
2023-06-26,30.0
2023-06-27,21.6
2023-06-28,15.6
2023-06-29,31.1
2023-06-30,32.2
2023-07-01,16.6
2023-07-02,30.9
2023-07-03,23.3
2023-07-04,18.8
2023-07-05,24.6
2023-07-06,21.3
2023-07-07,15.4
2023-07-08,30.8
2023-07-09,29.0
2023-07-10,33.3
2023-07-11,19.7
2023-07-12,30.8
2023-07-13,32.5
2023-07-14,22.6
2023-07-15,21.7
2023-07-16,15.3
2023-07-17,33.6
2023-07-18,30.2
2023-07-19,23.4
2023-07-20,23.4
2023-07-21,25.9
2023-07-22,24.5
2023-07-23,18.9
2023-07-24,18.8
2023-07-25,29.1
2023-07-26,29.2
2023-07-27,34.8
2023-07-28,33.4
2023-07-29,24.3
2023-07-30,27.2
2023-07-31,17.7
2023-08-01,18.6
2023-08-02,33.8
2023-08-03,15.8
2023-08-04,20.4
2023-08-05,34.7
2023-08-06,20.7
2023-08-07,23.3
2023-08-08,31.9
2023-08-09,16.8
2023-08-10,23.9
2023-08-11,34.9
2023-08-12,34.6
2023-08-13,32.8
2023-08-14,32.9
2023-08-15,25.9
2023-08-16,23.6
2023-08-17,21.1
2023-08-18,19.8
2023-08-19,34.2
2023-08-20,16.1
2023-08-21,17.6
2023-08-22,22.0
2023-08-23,17.1
2023-08-24,28.6
2023-08-25,29.9
2023-08-26,25.1
2023-08-27,28.8
2023-08-28,29.1
2023-08-29,26.0
2023-08-30,33.6
2023-08-31,27.8
2023-09-01,20.9
2023-09-02,28.3
2023-09-03,16.6
2023-09-04,16.8
2023-09-05,32.5
2023-09-06,33.3
2023-09-07,16.3
2023-09-08,21.7
2023-09-09,15.2
2023-09-10,29.8
2023-09-11,21.6
2023-09-12,32.2
2023-09-13,18.8
2023-09-14,18.9
2023-09-15,22.9
2023-09-16,23.3
2023-09-17,22.6
2023-09-18,25.5
2023-09-19,28.1
2023-09-20,32.7
2023-09-21,26.0
